timestamp,tubervillet_percent,jonesd_percent,tubervillet_count,jonesd_count,tubervillet_delta,jonesd_delta
2020-11-04 01:23:27+00:00,0.401,0.599,419,626,,
2020-11-04 01:29:13+00:00,0.387,0.613,849,1344,430.0,718.0
2020-11-04 01:30:00+00:00,0.496,0.504,1836,1866,987.0,522.0
2020-11-04 01:33:25+00:00,0.508,0.492,2170,2102,334.0,236.0
2020-11-04 01:41:13+00:00,0.496,0.504,2363,2401,193.0,299.0
2020-11-04 01:41:37+00:00,0.504,0.496,2643,2602,280.0,201.0
2020-11-04 01:42:00+00:00,0.461,0.539,4131,4830,1488.0,2228.0
2020-11-04 01:42:45+00:00,0.452,0.548,4169,5054,38.0,224.0
2020-11-04 01:43:21+00:00,0.426,0.573,4529,6092,360.0,1038.0
2020-11-04 01:46:35+00:00,0.462,0.537,5388,6263,859.0,171.0
2020-11-04 01:46:59+00:00,0.462,0.537,5389,6264,1.0,1.0
2020-11-04 01:49:47+00:00,0.391,0.608,8288,12888,2899.0,6624.0
2020-11-04 01:55:35+00:00,0.407,0.593,9576,13953,1288.0,1065.0
2020-11-04 01:56:38+00:00,0.433,0.566,13300,17386,3724.0,3433.0
2020-11-04 01:56:38+00:00,0.433,0.566,13300,17386,0.0,0.0
2020-11-04 01:58:05+00:00,0.434,0.565,13965,18181,665.0,795.0
2020-11-04 02:00:39+00:00,0.449,0.55,18203,22298,4238.0,4117.0
2020-11-04 02:03:00+00:00,0.442,0.557,19238,24243,1035.0,1945.0
2020-11-04 02:03:30+00:00,0.44,0.56,24992,31807,5754.0,7564.0
2020-11-04 02:03:44+00:00,0.464,0.535,27857,32119,2865.0,312.0
2020-11-04 02:05:06+00:00,0.467,0.533,28416,32431,559.0,312.0
2020-11-04 02:06:38+00:00,0.473,0.527,30173,33617,1757.0,1186.0
2020-11-04 02:09:48+00:00,0.479,0.52,32124,34874,1951.0,1257.0
2020-11-04 02:10:14+00:00,0.517,0.483,44923,41968,12799.0,7094.0
2020-11-04 02:11:32+00:00,0.479,0.52,45863,49788,940.0,7820.0
2020-11-04 02:12:42+00:00,0.493,0.507,50080,51503,4217.0,1715.0
2020-11-04 02:13:04+00:00,0.495,0.504,52310,53261,2230.0,1758.0
2020-11-04 02:17:02+00:00,0.5,0.499,54634,54525,2324.0,1264.0
2020-11-04 02:17:17+00:00,0.517,0.482,59071,55072,4437.0,547.0
2020-11-04 02:19:16+00:00,0.484,0.516,72273,77051,13202.0,21979.0
2020-11-04 02:20:30+00:00,0.47,0.529,78305,88135,6032.0,11084.0
2020-11-04 02:22:45+00:00,0.483,0.517,84709,90672,6404.0,2537.0
2020-11-04 02:22:51+00:00,0.491,0.508,94280,97544,9571.0,6872.0
2020-11-04 02:23:25+00:00,0.504,0.495,100178,98389,5898.0,845.0
2020-11-04 02:23:51+00:00,0.512,0.487,107121,101891,6943.0,3502.0
2020-11-04 02:24:38+00:00,0.521,0.478,112787,103478,5666.0,1587.0
2020-11-04 02:25:56+00:00,0.522,0.478,113300,103749,513.0,271.0
2020-11-04 02:26:38+00:00,0.529,0.471,122447,109021,9147.0,5272.0
2020-11-04 02:27:06+00:00,0.535,0.464,128657,111583,6210.0,2562.0
2020-11-04 02:27:21+00:00,0.537,0.463,129671,111802,1014.0,219.0
2020-11-04 02:27:52+00:00,0.541,0.458,135578,114778,5907.0,2976.0
2020-11-04 02:28:26+00:00,0.542,0.458,137814,116455,2236.0,1677.0
2020-11-04 02:28:42+00:00,0.545,0.455,140026,116902,2212.0,447.0
2020-11-04 02:29:43+00:00,0.55,0.449,145316,118631,5290.0,1729.0
2020-11-04 02:31:17+00:00,0.554,0.445,150222,120666,4906.0,2035.0
2020-11-04 02:32:43+00:00,0.559,0.441,156311,123315,6089.0,2649.0
2020-11-04 02:33:22+00:00,0.577,0.423,170657,125109,14346.0,1794.0
2020-11-04 02:33:59+00:00,0.587,0.412,181443,127350,10786.0,2241.0
2020-11-04 02:34:13+00:00,0.585,0.414,183598,129931,2155.0,2581.0
2020-11-04 02:35:12+00:00,0.587,0.412,185538,130224,1940.0,293.0
2020-11-04 02:36:33+00:00,0.553,0.447,196563,158885,11025.0,28661.0
2020-11-04 02:38:23+00:00,0.553,0.446,198499,160092,1936.0,1207.0
2020-11-04 02:38:51+00:00,0.553,0.446,215614,173895,17115.0,13803.0
2020-11-04 02:39:11+00:00,0.557,0.442,219921,174515,4307.0,620.0
2020-11-04 02:39:54+00:00,0.562,0.438,225859,176025,5938.0,1510.0
2020-11-04 02:40:24+00:00,0.562,0.437,228459,177645,2600.0,1620.0
2020-11-04 02:42:01+00:00,0.562,0.437,229700,178610,1241.0,965.0
2020-11-04 02:42:59+00:00,0.563,0.436,230861,178784,1161.0,174.0
2020-11-04 02:44:19+00:00,0.563,0.436,230990,178884,129.0,100.0
2020-11-04 02:45:54+00:00,0.552,0.447,234848,190176,3858.0,11292.0
2020-11-04 02:46:22+00:00,0.554,0.444,239062,191595,4214.0,1419.0
2020-11-04 02:46:37+00:00,0.565,0.434,251872,193473,12810.0,1878.0
2020-11-04 02:51:14+00:00,0.569,0.43,260056,196528,8184.0,3055.0
2020-11-04 02:51:31+00:00,0.57,0.429,262052,197228,1996.0,700.0
2020-11-04 02:52:28+00:00,0.57,0.429,264800,199297,2748.0,2069.0
2020-11-04 02:52:49+00:00,0.574,0.424,270613,199895,5813.0,598.0
2020-11-04 02:53:10+00:00,0.576,0.423,275287,202164,4674.0,2269.0
2020-11-04 02:53:37+00:00,0.578,0.42,280467,203800,5180.0,1636.0
2020-11-04 02:54:54+00:00,0.578,0.421,282900,206057,2433.0,2257.0
2020-11-04 02:55:19+00:00,0.575,0.424,298576,220167,15676.0,14110.0
2020-11-04 02:56:41+00:00,0.575,0.424,317065,233801,18489.0,13634.0
2020-11-04 02:57:02+00:00,0.577,0.422,323511,236606,6446.0,2805.0
2020-11-04 02:58:03+00:00,0.573,0.426,324091,240947,580.0,4341.0
2020-11-04 02:58:33+00:00,0.574,0.425,325406,240937,1315.0,-10.0
2020-11-04 02:59:54+00:00,0.574,0.425,326091,241443,685.0,506.0
2020-11-04 03:00:45+00:00,0.571,0.428,327357,245374,1266.0,3931.0
2020-11-04 03:01:47+00:00,0.57,0.429,328293,247083,936.0,1709.0
2020-11-04 03:04:02+00:00,0.577,0.422,339687,248436,11394.0,1353.0
2020-11-04 03:07:16+00:00,0.586,0.413,362137,255227,22450.0,6791.0
2020-11-04 03:07:46+00:00,0.584,0.414,365061,258793,2924.0,3566.0
2020-11-04 03:08:49+00:00,0.587,0.412,374234,262665,9173.0,3872.0
2020-11-04 03:09:37+00:00,0.59,0.409,381239,264283,7005.0,1618.0
2020-11-04 03:10:05+00:00,0.564,0.435,410844,316874,29605.0,52591.0
2020-11-04 03:12:50+00:00,0.568,0.431,419021,317954,8177.0,1080.0
2020-11-04 03:14:37+00:00,0.568,0.431,419950,318659,929.0,705.0
2020-11-04 03:15:42+00:00,0.571,0.428,430303,322539,10353.0,3880.0
2020-11-04 03:16:37+00:00,0.574,0.425,448886,332363,18583.0,9824.0
2020-11-04 03:16:59+00:00,0.583,0.416,476519,340020,27633.0,7657.0
2020-11-04 03:19:18+00:00,0.586,0.412,491737,345727,15218.0,5707.0
2020-11-04 03:19:59+00:00,0.584,0.415,509453,362026,17716.0,16299.0
2020-11-04 03:21:26+00:00,0.584,0.415,512642,364292,3189.0,2266.0
2020-11-04 03:21:39+00:00,0.592,0.406,538963,369626,26321.0,5334.0
2020-11-04 03:23:15+00:00,0.592,0.407,539919,371194,956.0,1568.0
2020-11-04 03:24:00+00:00,0.598,0.401,565285,379062,25366.0,7868.0
2020-11-04 03:24:47+00:00,0.6,0.399,572972,381027,7687.0,1965.0
2020-11-04 03:25:37+00:00,0.604,0.395,606068,396352,33096.0,15325.0
2020-11-04 03:26:41+00:00,0.605,0.394,613573,399583,7505.0,3231.0
2020-11-04 03:27:10+00:00,0.6,0.398,616057,408651,2484.0,9068.0
2020-11-04 03:29:00+00:00,0.601,0.398,618799,409787,2742.0,1136.0
2020-11-04 03:31:28+00:00,0.601,0.398,623620,412980,4821.0,3193.0
2020-11-04 03:31:51+00:00,0.602,0.397,632091,416844,8471.0,3864.0
2020-11-04 03:33:51+00:00,0.602,0.397,656031,432632,23940.0,15788.0
2020-11-04 03:36:11+00:00,0.606,0.393,677568,439413,21537.0,6781.0
2020-11-04 03:36:24+00:00,0.606,0.393,678517,440028,949.0,615.0
2020-11-04 03:36:34+00:00,0.606,0.393,678781,440200,264.0,172.0
2020-11-04 03:36:58+00:00,0.606,0.393,682040,442313,3259.0,2113.0
2020-11-04 03:37:16+00:00,0.608,0.391,687951,442416,5911.0,103.0
2020-11-04 03:38:04+00:00,0.609,0.39,704047,450868,16096.0,8452.0
2020-11-04 03:39:36+00:00,0.604,0.395,705779,461561,1732.0,10693.0
2020-11-04 03:42:27+00:00,0.603,0.396,733872,481945,28093.0,20384.0
2020-11-04 03:44:34+00:00,0.601,0.398,757916,501914,24044.0,19969.0
2020-11-04 03:45:08+00:00,0.601,0.398,758386,502226,470.0,312.0
2020-11-04 03:45:56+00:00,0.599,0.4,759375,507095,989.0,4869.0
2020-11-04 03:46:57+00:00,0.598,0.401,760853,510204,1478.0,3109.0
2020-11-04 03:48:42+00:00,0.597,0.402,763026,513796,2173.0,3592.0
2020-11-04 03:50:16+00:00,0.601,0.397,780151,515341,17125.0,1545.0
2020-11-04 03:50:47+00:00,0.602,0.397,798820,526796,18669.0,11455.0
2020-11-04 03:52:10+00:00,0.608,0.39,858846,550904,60026.0,24108.0
2020-11-04 03:53:35+00:00,0.609,0.389,863818,551766,4972.0,862.0
2020-11-04 03:53:52+00:00,0.61,0.389,872284,556259,8466.0,4493.0
2020-11-04 03:54:45+00:00,0.612,0.386,903056,569574,30772.0,13315.0
2020-11-04 03:55:07+00:00,0.615,0.384,922122,575764,19066.0,6190.0
2020-11-04 03:56:04+00:00,0.615,0.384,927523,579136,5401.0,3372.0
2020-11-04 03:56:28+00:00,0.615,0.383,928526,578253,1003.0,-883.0
2020-11-04 03:57:12+00:00,0.616,0.383,934200,580842,5674.0,2589.0
2020-11-04 04:00:47+00:00,0.62,0.379,959262,586388,25062.0,5546.0
2020-11-04 04:04:06+00:00,0.622,0.377,982454,595475,23192.0,9087.0
2020-11-04 04:05:19+00:00,0.622,0.377,982523,595516,69.0,41.0
2020-11-04 04:05:32+00:00,0.622,0.377,982641,595588,118.0,72.0
2020-11-04 04:16:04+00:00,0.622,0.376,996297,602263,13656.0,6675.0
2020-11-04 04:18:29+00:00,0.625,0.374,1014125,606852,17828.0,4589.0
2020-11-04 04:20:05+00:00,0.625,0.374,1015848,607884,1723.0,1032.0
2020-11-04 04:24:16+00:00,0.625,0.374,1019597,610127,3749.0,2243.0
2020-11-04 04:28:17+00:00,0.625,0.374,1019704,610191,107.0,64.0
2020-11-04 04:28:21+00:00,0.625,0.373,1021996,609927,2292.0,-264.0
2020-11-04 04:34:06+00:00,0.624,0.374,1048058,628163,26062.0,18236.0
2020-11-04 04:39:51+00:00,0.624,0.374,1049428,628984,1370.0,821.0
2020-11-04 04:44:31+00:00,0.627,0.371,1075799,636557,26371.0,7573.0
2020-11-04 04:48:42+00:00,0.625,0.374,1104631,661011,28832.0,24454.0
2020-11-04 05:00:04+00:00,0.626,0.372,1120222,665691,15591.0,4680.0
2020-11-04 05:05:11+00:00,0.624,0.375,1141018,685708,20796.0,20017.0
2020-11-04 05:07:00+00:00,0.623,0.375,1167907,702994,26889.0,17286.0
2020-11-04 05:08:03+00:00,0.623,0.375,1169196,703770,1289.0,776.0
2020-11-04 05:09:39+00:00,0.623,0.375,1169252,703803,56.0,33.0
2020-11-04 05:10:27+00:00,0.617,0.382,1184613,733424,15361.0,29621.0
2020-11-04 05:36:07+00:00,0.615,0.383,1188672,740262,4059.0,6838.0
2020-11-04 05:40:58+00:00,0.616,0.382,1204245,746788,15573.0,6526.0
2020-11-04 05:53:08+00:00,0.617,0.382,1208651,748306,4406.0,1518.0
2020-11-04 06:06:51+00:00,0.618,0.381,1222670,753782,14019.0,5476.0
2020-11-04 06:08:16+00:00,0.618,0.38,1228225,755219,5555.0,1437.0
2020-11-04 06:09:18+00:00,0.619,0.379,1235325,756362,7100.0,1143.0
2020-11-04 06:13:36+00:00,0.618,0.38,1238214,761362,2889.0,5000.0
2020-11-04 06:27:58+00:00,0.619,0.379,1257289,769810,19075.0,8448.0
2020-11-04 06:29:42+00:00,0.62,0.379,1260600,770593,3311.0,783.0
2020-11-04 06:30:54+00:00,0.619,0.38,1267987,778409,7387.0,7816.0
2020-11-04 06:32:02+00:00,0.619,0.379,1268689,776790,702.0,-1619.0
2020-11-04 06:33:02+00:00,0.619,0.379,1272767,779287,4078.0,2497.0
2020-11-04 06:34:07+00:00,0.621,0.378,1284652,781962,11885.0,2675.0
2020-11-04 06:35:33+00:00,0.619,0.379,1284732,786613,80.0,4651.0
2020-11-04 06:36:09+00:00,0.615,0.384,1292235,806859,7503.0,20246.0
2020-11-04 06:36:26+00:00,0.615,0.384,1293186,807453,951.0,594.0
2020-11-04 06:37:24+00:00,0.616,0.383,1301916,809470,8730.0,2017.0
2020-11-04 06:38:16+00:00,0.614,0.385,1310604,821796,8688.0,12326.0
2020-11-04 06:39:20+00:00,0.614,0.384,1312962,821136,2358.0,-660.0
