timestamp,harringtonr_percent,cottont_percent,harringtonr_count,cottont_count,harringtonr_delta,cottont_delta
2020-11-04 01:37:45+00:00,0.203,0.797,2192,8605,,
2020-11-04 01:42:47+00:00,0.264,0.736,15372,42854,13180.0,34249.0
2020-11-04 01:47:23+00:00,0.266,0.734,16017,44198,645.0,1344.0
2020-11-04 01:48:45+00:00,0.266,0.734,16918,46682,901.0,2484.0
2020-11-04 01:49:47+00:00,0.262,0.738,18079,50925,1161.0,4243.0
2020-11-04 01:50:48+00:00,0.28,0.72,30081,77352,12002.0,26427.0
2020-11-04 01:52:47+00:00,0.3,0.7,45911,107127,15830.0,29775.0
2020-11-04 01:54:46+00:00,0.293,0.707,47295,114123,1384.0,6996.0
2020-11-04 01:56:44+00:00,0.286,0.714,49790,124301,2495.0,10178.0
2020-11-04 02:00:47+00:00,0.287,0.713,50071,124394,281.0,93.0
2020-11-04 02:01:45+00:00,0.286,0.714,51042,127425,971.0,3031.0
2020-11-04 02:08:46+00:00,0.285,0.715,52413,131494,1371.0,4069.0
2020-11-04 02:09:50+00:00,0.282,0.718,53259,135604,846.0,4110.0
2020-11-04 02:10:45+00:00,0.281,0.719,54589,139679,1330.0,4075.0
2020-11-04 02:11:52+00:00,0.308,0.692,90779,203957,36190.0,64278.0
2020-11-04 02:12:53+00:00,0.392,0.608,163857,254146,73078.0,50189.0
2020-11-04 02:14:47+00:00,0.385,0.615,167528,267610,3671.0,13464.0
2020-11-04 02:15:47+00:00,0.383,0.617,168853,272016,1325.0,4406.0
2020-11-04 02:23:27+00:00,0.382,0.618,172129,278470,3276.0,6454.0
2020-11-04 02:27:25+00:00,0.381,0.619,172720,280613,591.0,2143.0
2020-11-04 02:29:04+00:00,0.38,0.62,173787,283546,1067.0,2933.0
2020-11-04 02:30:54+00:00,0.38,0.62,174533,284765,746.0,1219.0
2020-11-04 02:31:49+00:00,0.379,0.621,174710,286265,177.0,1500.0
2020-11-04 02:36:37+00:00,0.379,0.621,175674,287846,964.0,1581.0
2020-11-04 02:40:29+00:00,0.38,0.62,176504,287979,830.0,133.0
2020-11-04 02:40:46+00:00,0.38,0.62,176912,288646,408.0,667.0
2020-11-04 02:46:03+00:00,0.378,0.622,177453,291999,541.0,3353.0
2020-11-04 02:49:11+00:00,0.375,0.625,178905,298175,1452.0,6176.0
2020-11-04 02:49:29+00:00,0.373,0.627,179698,302066,793.0,3891.0
2020-11-04 02:51:05+00:00,0.37,0.63,181271,308651,1573.0,6585.0
2020-11-04 02:52:35+00:00,0.368,0.632,181809,312238,538.0,3587.0
2020-11-04 02:54:48+00:00,0.365,0.635,183310,318910,1501.0,6672.0
2020-11-04 02:58:08+00:00,0.365,0.635,183692,319573,382.0,663.0
2020-11-04 02:59:26+00:00,0.363,0.637,184747,324199,1055.0,4626.0
2020-11-04 03:02:05+00:00,0.362,0.638,184870,325820,123.0,1621.0
2020-11-04 03:02:37+00:00,0.362,0.638,185594,327097,724.0,1277.0
2020-11-04 03:06:33+00:00,0.36,0.64,186057,330769,463.0,3672.0
2020-11-04 03:07:07+00:00,0.358,0.642,187553,336339,1496.0,5570.0
2020-11-04 03:09:54+00:00,0.355,0.645,190358,345861,2805.0,9522.0
2020-11-04 03:10:40+00:00,0.353,0.647,191076,350216,718.0,4355.0
2020-11-04 03:14:46+00:00,0.35,0.65,192388,357291,1312.0,7075.0
2020-11-04 03:16:50+00:00,0.349,0.651,193805,361511,1417.0,4220.0
2020-11-04 03:18:30+00:00,0.347,0.653,197010,370742,3205.0,9231.0
2020-11-04 03:21:20+00:00,0.344,0.656,210618,401643,13608.0,30901.0
2020-11-04 03:22:13+00:00,0.344,0.656,211435,403202,817.0,1559.0
2020-11-04 03:22:31+00:00,0.344,0.656,212011,404301,576.0,1099.0
2020-11-04 03:23:32+00:00,0.342,0.658,214860,413385,2849.0,9084.0
2020-11-04 03:26:39+00:00,0.338,0.662,218006,426981,3146.0,13596.0
2020-11-04 03:30:29+00:00,0.338,0.662,218190,427342,184.0,361.0
2020-11-04 03:33:22+00:00,0.339,0.661,221557,432004,3367.0,4662.0
2020-11-04 03:36:02+00:00,0.338,0.662,224046,438812,2489.0,6808.0
2020-11-04 03:37:57+00:00,0.337,0.663,225636,443908,1590.0,5096.0
2020-11-04 03:38:50+00:00,0.335,0.665,227853,452304,2217.0,8396.0
2020-11-04 03:39:03+00:00,0.334,0.666,229353,457334,1500.0,5030.0
2020-11-04 03:45:40+00:00,0.334,0.666,233858,466317,4505.0,8983.0
2020-11-04 03:47:57+00:00,0.332,0.668,245911,494784,12053.0,28467.0
2020-11-04 03:50:37+00:00,0.331,0.669,248629,502516,2718.0,7732.0
2020-11-04 03:50:57+00:00,0.327,0.673,254046,522853,5417.0,20337.0
2020-11-04 03:54:06+00:00,0.327,0.673,254053,522867,7.0,14.0
2020-11-04 03:56:36+00:00,0.326,0.674,255913,529095,1860.0,6228.0
2020-11-04 03:58:52+00:00,0.325,0.675,257643,535104,1730.0,6009.0
2020-11-04 04:04:19+00:00,0.325,0.675,258427,536732,784.0,1628.0
2020-11-04 04:08:50+00:00,0.321,0.679,262143,554502,3716.0,17770.0
2020-11-04 04:11:37+00:00,0.317,0.683,268796,579140,6653.0,24638.0
2020-11-04 04:11:47+00:00,0.317,0.683,269861,581435,1065.0,2295.0
2020-11-04 04:16:23+00:00,0.317,0.683,277802,598545,7941.0,17110.0
2020-11-04 04:18:12+00:00,0.316,0.684,279931,605927,2129.0,7382.0
2020-11-04 04:19:41+00:00,0.317,0.683,282859,609440,2928.0,3513.0
2020-11-04 04:20:39+00:00,0.316,0.684,282715,611954,-144.0,2514.0
2020-11-04 04:22:49+00:00,0.316,0.684,283410,613457,695.0,1503.0
2020-11-04 04:26:29+00:00,0.315,0.685,284122,617854,712.0,4397.0
2020-11-04 04:34:13+00:00,0.321,0.679,297238,628738,13116.0,10884.0
2020-11-04 04:35:49+00:00,0.321,0.679,298054,630462,816.0,1724.0
2020-11-04 04:48:49+00:00,0.321,0.679,300176,634951,2122.0,4489.0
2020-11-04 04:57:52+00:00,0.32,0.68,301087,639811,911.0,4860.0
2020-11-04 05:01:45+00:00,0.319,0.681,301278,643166,191.0,3355.0
