timestamp,trumpd_percent,bidenj_percent,trumpd_count,bidenj_count,trumpd_delta,bidenj_delta
2020-11-04 02:09:20+00:00,0.27,0.713,98833,260992,,
2020-11-04 02:11:09+00:00,0.271,0.711,100718,264246,1885.0,3254.0
2020-11-04 02:12:59+00:00,0.311,0.671,144623,312032,43905.0,47786.0
2020-11-04 02:17:28+00:00,0.311,0.67,149421,321904,4798.0,9872.0
2020-11-04 02:18:07+00:00,0.328,0.652,257641,512139,108220.0,190235.0
2020-11-04 02:18:14+00:00,0.375,0.605,384630,620536,126989.0,108397.0
2020-11-04 02:20:35+00:00,0.377,0.603,397691,636094,13061.0,15558.0
2020-11-04 02:22:05+00:00,0.379,0.6,403720,639134,6029.0,3040.0
2020-11-04 02:27:32+00:00,0.376,0.604,418518,672300,14798.0,33166.0
2020-11-04 02:31:49+00:00,0.383,0.597,437892,682563,19374.0,10263.0
2020-11-04 02:32:08+00:00,0.383,0.595,571290,887513,133398.0,204950.0
2020-11-04 02:34:25+00:00,0.386,0.592,581851,892372,10561.0,4859.0
2020-11-04 02:34:33+00:00,0.386,0.593,592021,909504,10170.0,17132.0
2020-11-04 02:34:54+00:00,0.406,0.572,748194,1054106,156173.0,144602.0
2020-11-04 02:35:53+00:00,0.405,0.572,836377,1181253,88183.0,127147.0
2020-11-04 02:38:20+00:00,0.408,0.569,852891,1189449,16514.0,8196.0
2020-11-04 02:40:42+00:00,0.393,0.584,871437,1294959,18546.0,105510.0
2020-11-04 02:41:12+00:00,0.394,0.584,879402,1303479,7965.0,8520.0
2020-11-04 02:42:37+00:00,0.4,0.577,921260,1328918,41858.0,25439.0
2020-11-04 02:46:02+00:00,0.401,0.577,939681,1352109,18421.0,23191.0
2020-11-04 02:49:20+00:00,0.401,0.576,942970,1354490,3289.0,2381.0
2020-11-04 02:50:04+00:00,0.403,0.575,951272,1357274,8302.0,2784.0
2020-11-04 02:50:27+00:00,0.404,0.574,955513,1357585,4241.0,311.0
2020-11-04 02:52:23+00:00,0.404,0.574,957090,1359826,1577.0,2241.0
2020-11-04 03:00:09+00:00,0.403,0.574,1037103,1477164,80013.0,117338.0
2020-11-04 03:02:45+00:00,0.403,0.574,1037467,1477682,364.0,518.0
2020-11-04 03:05:05+00:00,0.403,0.574,1038074,1478547,607.0,865.0
2020-11-04 03:07:16+00:00,0.404,0.574,1041919,1480351,3845.0,1804.0
2020-11-04 03:08:31+00:00,0.404,0.573,1043692,1480286,1773.0,-65.0
2020-11-04 03:13:21+00:00,0.404,0.573,1043997,1480719,305.0,433.0
2020-11-04 03:14:02+00:00,0.404,0.573,1047367,1485498,3370.0,4779.0
2020-11-04 03:27:18+00:00,0.406,0.571,1057404,1487137,10037.0,1639.0
2020-11-04 03:29:18+00:00,0.406,0.571,1057429,1487172,25.0,35.0
2020-11-04 03:37:56+00:00,0.406,0.571,1063087,1495130,5658.0,7958.0
2020-11-04 03:41:08+00:00,0.406,0.571,1063136,1495198,49.0,68.0
2020-11-04 03:44:43+00:00,0.407,0.57,1070478,1499195,7342.0,3997.0
2020-11-04 03:46:57+00:00,0.412,0.565,1119200,1534826,48722.0,35631.0
2020-11-04 03:55:36+00:00,0.412,0.565,1119301,1534964,101.0,138.0
2020-11-04 03:56:19+00:00,0.412,0.565,1121089,1537416,1788.0,2452.0
2020-11-04 04:01:48+00:00,0.412,0.565,1121098,1537428,9.0,12.0
2020-11-04 04:04:34+00:00,0.412,0.565,1121367,1537797,269.0,369.0
2020-11-04 04:05:36+00:00,0.411,0.566,1139629,1569416,18262.0,31619.0
2020-11-04 04:06:24+00:00,0.411,0.566,1140151,1570135,522.0,719.0
2020-11-04 04:12:15+00:00,0.411,0.566,1143292,1574461,3141.0,4326.0
2020-11-04 04:12:56+00:00,0.411,0.566,1143293,1574461,1.0,0.0
2020-11-04 04:14:34+00:00,0.411,0.566,1145692,1577766,2399.0,3305.0
