timestamp,hickenlooperj_percent,gardnerc_percent,hickenlooperj_count,gardnerc_count,hickenlooperj_delta,gardnerc_delta
2020-11-04 02:10:49+00:00,0.563,0.416,3124,2308,,
2020-11-04 02:11:38+00:00,0.809,0.178,226274,49786,223150.0,47478.0
2020-11-04 02:12:58+00:00,0.733,0.251,272933,93460,46659.0,43674.0
2020-11-04 02:18:59+00:00,0.606,0.376,564899,350498,291966.0,257038.0
2020-11-04 02:20:34+00:00,0.606,0.377,567245,352890,2346.0,2392.0
2020-11-04 02:22:03+00:00,0.601,0.381,583873,370143,16628.0,17253.0
2020-11-04 02:27:30+00:00,0.603,0.38,591181,372552,7308.0,2409.0
2020-11-04 02:30:15+00:00,0.583,0.399,618045,422984,26864.0,50432.0
2020-11-04 02:31:05+00:00,0.578,0.404,622514,435114,4469.0,12130.0
2020-11-04 02:31:49+00:00,0.576,0.406,628014,442663,5500.0,7549.0
2020-11-04 02:32:26+00:00,0.575,0.407,827238,585540,199224.0,142877.0
2020-11-04 02:34:25+00:00,0.548,0.432,955035,752874,127797.0,167334.0
2020-11-04 02:34:54+00:00,0.549,0.432,980055,771191,25020.0,18317.0
2020-11-04 02:35:50+00:00,0.55,0.43,1103759,862939,123704.0,91748.0
2020-11-04 02:37:16+00:00,0.551,0.429,1120117,872106,16358.0,9167.0
2020-11-04 02:38:19+00:00,0.549,0.431,1144894,898815,24777.0,26709.0
2020-11-04 02:41:12+00:00,0.548,0.432,1150718,907136,5824.0,8321.0
2020-11-04 02:42:35+00:00,0.542,0.438,1176506,950756,25788.0,43620.0
2020-11-04 02:46:01+00:00,0.542,0.438,1198190,968279,21684.0,17523.0
2020-11-04 02:50:08+00:00,0.541,0.439,1200324,974015,2134.0,5736.0
2020-11-04 02:50:27+00:00,0.539,0.441,1203170,984412,2846.0,10397.0
2020-11-04 02:52:23+00:00,0.539,0.441,1205271,986131,2101.0,1719.0
2020-11-04 03:00:09+00:00,0.54,0.44,1314081,1070733,108810.0,84602.0
2020-11-04 03:03:52+00:00,0.554,0.426,1418901,1091068,104820.0,20335.0
2020-11-04 03:05:05+00:00,0.554,0.427,1419730,1094268,829.0,3200.0
2020-11-04 03:07:20+00:00,0.553,0.427,1418884,1095594,-846.0,1326.0
2020-11-04 03:09:07+00:00,0.553,0.427,1421291,1097453,2407.0,1859.0
2020-11-04 03:10:45+00:00,0.553,0.427,1421292,1097453,1.0,0.0
2020-11-04 03:13:21+00:00,0.553,0.427,1421709,1097776,417.0,323.0
2020-11-04 03:14:01+00:00,0.552,0.428,1423712,1103892,2003.0,6116.0
2020-11-04 03:27:16+00:00,0.551,0.429,1427653,1111548,3941.0,7656.0
2020-11-04 03:30:06+00:00,0.551,0.429,1427662,1111555,9.0,7.0
2020-11-04 03:37:58+00:00,0.551,0.429,1435221,1117440,7559.0,5885.0
2020-11-04 03:41:08+00:00,0.551,0.429,1435286,1117491,65.0,51.0
2020-11-04 03:44:43+00:00,0.55,0.43,1441182,1126742,5896.0,9251.0
2020-11-04 03:47:01+00:00,0.545,0.435,1475164,1177425,33982.0,50683.0
2020-11-04 03:55:35+00:00,0.545,0.435,1475296,1177530,132.0,105.0
2020-11-04 03:56:21+00:00,0.545,0.435,1475495,1177689,199.0,159.0
2020-11-04 04:05:40+00:00,0.545,0.435,1484593,1184950,9098.0,7261.0
2020-11-04 04:06:24+00:00,0.546,0.434,1507010,1197880,22417.0,12930.0
