timestamp,trumpd_percent,bidenj_percent,trumpd_count,bidenj_count,trumpd_delta,bidenj_delta
2020-11-04 01:08:08+00:00,0.83,0.135,14823,2411,,
2020-11-04 01:33:59+00:00,0.41,0.572,91866,128165,77043.0,125754.0
2020-11-04 01:34:10+00:00,0.433,0.547,114833,145067,22967.0,16902.0
2020-11-04 01:36:52+00:00,0.424,0.557,135340,177794,20507.0,32727.0
2020-11-04 01:40:09+00:00,0.424,0.557,135384,177851,44.0,57.0
2020-11-04 01:41:01+00:00,0.413,0.568,203182,279437,67798.0,101586.0
2020-11-04 01:41:21+00:00,0.415,0.566,207314,282746,4132.0,3309.0
2020-11-04 01:44:59+00:00,0.427,0.553,223768,289797,16454.0,7051.0
2020-11-04 01:50:40+00:00,0.428,0.553,224814,290472,1046.0,675.0
2020-11-04 01:51:22+00:00,0.429,0.551,229429,294674,4615.0,4202.0
2020-11-04 01:52:13+00:00,0.435,0.545,238137,298356,8708.0,3682.0
2020-11-04 01:52:47+00:00,0.435,0.545,238140,298359,3.0,3.0
2020-11-04 01:57:22+00:00,0.435,0.545,238252,298500,112.0,141.0
2020-11-04 01:59:15+00:00,0.429,0.551,258938,332575,20686.0,34075.0
2020-11-04 01:59:23+00:00,0.426,0.554,269591,350594,10653.0,18019.0
2020-11-04 01:59:36+00:00,0.426,0.554,280221,364418,10630.0,13824.0
2020-11-04 02:00:19+00:00,0.411,0.569,285480,395227,5259.0,30809.0
2020-11-04 02:00:53+00:00,0.411,0.569,285576,395359,96.0,132.0
2020-11-04 02:01:23+00:00,0.411,0.569,286109,396098,533.0,739.0
2020-11-04 02:03:30+00:00,0.412,0.568,287268,396040,1159.0,-58.0
2020-11-04 02:04:56+00:00,0.413,0.567,290317,398570,3049.0,2530.0
2020-11-04 02:06:20+00:00,0.413,0.567,290563,398908,246.0,338.0
2020-11-04 02:07:40+00:00,0.413,0.567,290991,399496,428.0,588.0
2020-11-04 02:07:53+00:00,0.412,0.569,331527,457861,40536.0,58365.0
2020-11-04 02:09:50+00:00,0.412,0.568,331858,457513,331.0,-348.0
2020-11-04 02:10:58+00:00,0.415,0.566,338188,461240,6330.0,3727.0
2020-11-04 02:11:39+00:00,0.416,0.564,341180,462562,2992.0,1322.0
2020-11-04 02:12:24+00:00,0.417,0.563,342900,462955,1720.0,393.0
2020-11-04 02:13:13+00:00,0.418,0.562,344883,463694,1983.0,739.0
2020-11-04 02:14:08+00:00,0.419,0.562,346216,464375,1333.0,681.0
2020-11-04 02:14:43+00:00,0.42,0.56,349358,465811,3142.0,1436.0
2020-11-04 02:15:00+00:00,0.4,0.581,359124,521628,9766.0,55817.0
2020-11-04 02:16:15+00:00,0.401,0.58,361022,522177,1898.0,549.0
2020-11-04 02:17:31+00:00,0.403,0.578,365155,523722,4133.0,1545.0
2020-11-04 02:17:59+00:00,0.406,0.574,375935,531494,10780.0,7772.0
2020-11-04 02:22:03+00:00,0.409,0.572,381498,533537,5563.0,2043.0
2020-11-04 02:22:52+00:00,0.409,0.571,382158,533526,660.0,-11.0
2020-11-04 02:25:46+00:00,0.41,0.571,383710,534387,1552.0,861.0
2020-11-04 02:26:19+00:00,0.412,0.569,389099,537372,5389.0,2985.0
2020-11-04 02:26:42+00:00,0.412,0.569,389639,538118,540.0,746.0
2020-11-04 02:28:30+00:00,0.412,0.568,389876,537500,237.0,-618.0
2020-11-04 02:28:56+00:00,0.413,0.567,393359,540035,3483.0,2535.0
2020-11-04 02:29:49+00:00,0.413,0.568,412561,567396,19202.0,27361.0
2020-11-04 02:30:30+00:00,0.413,0.568,413108,568148,547.0,752.0
2020-11-04 02:30:51+00:00,0.413,0.567,413772,568060,664.0,-88.0
2020-11-04 02:31:00+00:00,0.414,0.567,415316,568802,1544.0,742.0
2020-11-04 02:32:04+00:00,0.415,0.565,420041,571864,4725.0,3062.0
2020-11-04 02:33:19+00:00,0.417,0.563,423994,572443,3953.0,579.0
2020-11-04 02:35:56+00:00,0.417,0.563,424305,572863,311.0,420.0
2020-11-04 02:37:05+00:00,0.42,0.561,429989,574342,5684.0,1479.0
2020-11-04 02:37:52+00:00,0.42,0.561,430103,574495,114.0,153.0
2020-11-04 02:38:19+00:00,0.421,0.56,432104,574770,2001.0,275.0
2020-11-04 02:38:25+00:00,0.425,0.556,441252,577261,9148.0,2491.0
2020-11-04 02:39:27+00:00,0.425,0.556,441255,577266,3.0,5.0
2020-11-04 02:39:39+00:00,0.425,0.556,441511,577600,256.0,334.0
2020-11-04 02:39:56+00:00,0.426,0.554,445138,578888,3627.0,1288.0
2020-11-04 02:40:32+00:00,0.426,0.554,445541,579413,403.0,525.0
2020-11-04 02:40:51+00:00,0.427,0.554,446876,579788,1335.0,375.0
2020-11-04 02:42:02+00:00,0.431,0.549,458437,583949,11561.0,4161.0
2020-11-04 02:42:50+00:00,0.432,0.548,460439,584075,2002.0,126.0
2020-11-04 02:43:12+00:00,0.434,0.546,469420,590561,8981.0,6486.0
2020-11-04 02:45:16+00:00,0.435,0.545,471897,591227,2477.0,666.0
2020-11-04 02:45:53+00:00,0.437,0.544,476708,593431,4811.0,2204.0
2020-11-04 02:46:16+00:00,0.437,0.543,476878,592551,170.0,-880.0
2020-11-04 02:47:08+00:00,0.438,0.543,478651,593396,1773.0,845.0
2020-11-04 02:47:21+00:00,0.429,0.551,486175,624435,7524.0,31039.0
2020-11-04 02:48:27+00:00,0.429,0.551,486584,624960,409.0,525.0
2020-11-04 02:48:50+00:00,0.434,0.546,502783,632533,16199.0,7573.0
2020-11-04 02:49:05+00:00,0.442,0.539,540687,659345,37904.0,26812.0
2020-11-04 02:50:21+00:00,0.44,0.541,555576,683106,14889.0,23761.0
2020-11-04 02:53:12+00:00,0.44,0.541,556087,683734,511.0,628.0
2020-11-04 02:53:22+00:00,0.441,0.54,565911,692952,9824.0,9218.0
2020-11-04 02:53:44+00:00,0.442,0.539,568072,692740,2161.0,-212.0
2020-11-04 02:54:04+00:00,0.443,0.538,571227,693725,3155.0,985.0
2020-11-04 02:54:55+00:00,0.444,0.537,574695,695070,3468.0,1345.0
2020-11-04 02:55:10+00:00,0.444,0.536,576303,695717,1608.0,647.0
2020-11-04 02:55:34+00:00,0.444,0.536,576730,696232,427.0,515.0
2020-11-04 02:55:48+00:00,0.45,0.53,599230,705760,22500.0,9528.0
2020-11-04 02:56:42+00:00,0.451,0.529,604839,709445,5609.0,3685.0
2020-11-04 02:57:08+00:00,0.451,0.529,605216,709888,377.0,443.0
2020-11-04 02:57:45+00:00,0.451,0.529,605776,710545,560.0,657.0
2020-11-04 02:59:08+00:00,0.404,0.577,651080,929883,45304.0,219338.0
