timestamp,curranm_percent,durbinr_percent,curranm_count,durbinr_count,curranm_delta,durbinr_delta
2020-11-04 01:33:44+00:00,0.572,0.374,23312,15243,,
2020-11-04 01:34:50+00:00,0.399,0.549,97719,134456,74407.0,119213.0
2020-11-04 01:40:21+00:00,0.399,0.549,97761,134513,42.0,57.0
2020-11-04 01:41:43+00:00,0.401,0.553,167089,230425,69328.0,95912.0
2020-11-04 01:44:18+00:00,0.403,0.55,170943,233297,3854.0,2872.0
2020-11-04 01:45:27+00:00,0.413,0.543,201569,265017,30626.0,31720.0
2020-11-04 01:47:11+00:00,0.423,0.531,216650,271964,15081.0,6947.0
2020-11-04 01:51:12+00:00,0.426,0.528,222698,276020,6048.0,4056.0
2020-11-04 01:58:12+00:00,0.426,0.528,222807,276155,109.0,135.0
2020-11-04 02:00:20+00:00,0.406,0.545,227160,304932,4353.0,28777.0
2020-11-04 02:00:51+00:00,0.405,0.546,238375,321365,11215.0,16433.0
2020-11-04 02:02:50+00:00,0.405,0.546,238887,322055,512.0,690.0
2020-11-04 02:04:10+00:00,0.405,0.546,239335,322659,448.0,604.0
2020-11-04 02:05:07+00:00,0.406,0.545,242211,325136,2876.0,2477.0
2020-11-04 02:07:40+00:00,0.406,0.546,282711,380198,40500.0,55062.0
2020-11-04 02:08:25+00:00,0.407,0.546,283820,380751,1109.0,553.0
2020-11-04 02:08:38+00:00,0.407,0.546,283906,380866,86.0,115.0
2020-11-04 02:10:51+00:00,0.407,0.545,284223,380594,317.0,-272.0
2020-11-04 02:11:48+00:00,0.408,0.545,285350,381166,1127.0,572.0
2020-11-04 02:12:43+00:00,0.407,0.547,311228,418285,25878.0,37119.0
2020-11-04 02:13:09+00:00,0.408,0.546,312843,418658,1615.0,373.0
2020-11-04 02:14:43+00:00,0.409,0.545,314097,418540,1254.0,-118.0
2020-11-04 02:14:54+00:00,0.386,0.562,321669,468337,7572.0,49797.0
2020-11-04 02:15:47+00:00,0.387,0.561,323587,469076,1918.0,739.0
2020-11-04 02:16:53+00:00,0.387,0.561,323878,469497,291.0,421.0
2020-11-04 02:17:18+00:00,0.388,0.56,325289,469489,1411.0,-8.0
2020-11-04 02:18:14+00:00,0.389,0.559,327417,470505,2128.0,1016.0
2020-11-04 02:18:47+00:00,0.39,0.559,329326,472034,1909.0,1529.0
2020-11-04 02:19:43+00:00,0.392,0.555,338426,479149,9100.0,7115.0
2020-11-04 02:19:54+00:00,0.394,0.554,342429,481487,4003.0,2338.0
2020-11-04 02:22:31+00:00,0.395,0.552,344938,482040,2509.0,553.0
2020-11-04 02:23:42+00:00,0.396,0.552,346442,482919,1504.0,879.0
2020-11-04 02:27:50+00:00,0.397,0.551,348871,484201,2429.0,1282.0
2020-11-04 02:29:33+00:00,0.397,0.55,349098,483636,227.0,-565.0
2020-11-04 02:30:01+00:00,0.398,0.55,352392,486974,3294.0,3338.0
2020-11-04 02:30:40+00:00,0.399,0.549,353951,487015,1559.0,41.0
2020-11-04 02:31:57+00:00,0.399,0.549,354575,487874,624.0,859.0
2020-11-04 02:32:21+00:00,0.401,0.547,362572,494580,7997.0,6706.0
2020-11-04 02:33:20+00:00,0.401,0.547,363089,495286,517.0,706.0
2020-11-04 02:33:59+00:00,0.403,0.545,366763,495995,3674.0,709.0
2020-11-04 02:36:22+00:00,0.403,0.545,367586,497107,823.0,1112.0
2020-11-04 02:37:14+00:00,0.404,0.544,368794,496594,1208.0,-513.0
2020-11-04 02:37:49+00:00,0.406,0.542,373098,498076,4304.0,1482.0
2020-11-04 02:38:34+00:00,0.406,0.542,373205,498220,107.0,144.0
2020-11-04 02:39:01+00:00,0.407,0.541,375064,498549,1859.0,329.0
2020-11-04 02:39:16+00:00,0.411,0.538,383523,502033,8459.0,3484.0
2020-11-04 02:40:25+00:00,0.41,0.539,400768,526864,17245.0,24831.0
2020-11-04 02:40:50+00:00,0.41,0.539,401651,528024,883.0,1160.0
2020-11-04 02:41:27+00:00,0.415,0.534,416475,535898,14824.0,7874.0
2020-11-04 02:41:41+00:00,0.416,0.534,418436,537127,1961.0,1229.0
2020-11-04 02:42:18+00:00,0.417,0.533,422919,540566,4483.0,3439.0
2020-11-04 02:44:00+00:00,0.418,0.532,424823,540683,1904.0,117.0
2020-11-04 02:44:33+00:00,0.421,0.529,434055,545404,9232.0,4721.0
2020-11-04 02:46:12+00:00,0.422,0.528,436410,546030,2355.0,626.0
2020-11-04 02:46:59+00:00,0.424,0.526,441326,547494,4916.0,1464.0
2020-11-04 02:47:21+00:00,0.414,0.533,447545,576187,6219.0,28693.0
2020-11-04 02:48:13+00:00,0.415,0.532,449783,576589,2238.0,402.0
2020-11-04 02:49:41+00:00,0.416,0.531,452191,577196,2408.0,607.0
2020-11-04 02:49:51+00:00,0.413,0.533,452134,583504,-57.0,6308.0
2020-11-04 02:50:11+00:00,0.416,0.531,470765,600905,18631.0,17401.0
2020-11-04 02:54:19+00:00,0.417,0.529,473522,600703,2757.0,-202.0
2020-11-04 02:54:53+00:00,0.417,0.529,474411,601831,889.0,1128.0
2020-11-04 02:55:16+00:00,0.418,0.528,476032,601304,1621.0,-527.0
2020-11-04 02:55:37+00:00,0.418,0.53,500479,634578,24447.0,33274.0
2020-11-04 02:56:18+00:00,0.418,0.529,501788,635038,1309.0,460.0
2020-11-04 02:56:35+00:00,0.418,0.529,502229,635596,441.0,558.0
2020-11-04 02:57:52+00:00,0.422,0.525,515489,641308,13260.0,5712.0
2020-11-04 02:58:22+00:00,0.423,0.524,519180,643145,3691.0,1837.0
2020-11-04 02:58:31+00:00,0.424,0.524,522315,645503,3135.0,2358.0
2020-11-04 02:58:56+00:00,0.372,0.561,555771,838139,33456.0,192636.0
2020-11-04 02:59:47+00:00,0.373,0.561,558525,840034,2754.0,1895.0
2020-11-04 03:00:27+00:00,0.373,0.56,559264,839646,739.0,-388.0
2020-11-04 03:00:44+00:00,0.374,0.559,562231,840340,2967.0,694.0
2020-11-04 03:02:37+00:00,0.383,0.55,608013,873126,45782.0,32786.0
2020-11-04 03:03:58+00:00,0.383,0.55,608988,874526,975.0,1400.0
2020-11-04 03:04:46+00:00,0.386,0.547,619059,877268,10071.0,2742.0
2020-11-04 03:05:53+00:00,0.387,0.546,625932,883098,6873.0,5830.0
2020-11-04 03:06:35+00:00,0.389,0.544,631857,883626,5925.0,528.0
2020-11-04 03:07:52+00:00,0.391,0.542,643318,891760,11461.0,8134.0
2020-11-04 03:08:19+00:00,0.392,0.541,647156,893141,3838.0,1381.0
2020-11-04 03:09:27+00:00,0.393,0.541,650040,894838,2884.0,1697.0
2020-11-04 03:09:47+00:00,0.393,0.541,651208,896447,1168.0,1609.0
2020-11-04 03:10:10+00:00,0.394,0.54,653277,895354,2069.0,-1093.0
2020-11-04 03:11:08+00:00,0.395,0.539,658009,897891,4732.0,2537.0
2020-11-04 03:11:11+00:00,0.395,0.539,658170,898110,161.0,219.0
2020-11-04 03:11:29+00:00,0.396,0.538,662372,899889,4202.0,1779.0
2020-11-04 03:12:31+00:00,0.397,0.538,665583,901974,3211.0,2085.0
2020-11-04 03:13:26+00:00,0.398,0.536,669758,901986,4175.0,12.0
2020-11-04 03:13:33+00:00,0.399,0.536,673858,905233,4100.0,3247.0
2020-11-04 03:14:05+00:00,0.401,0.534,681479,907506,7621.0,2273.0
2020-11-04 03:15:36+00:00,0.37,0.56,715521,1082950,34042.0,175444.0
2020-11-04 03:17:22+00:00,0.371,0.559,719324,1083833,3803.0,883.0
2020-11-04 03:20:48+00:00,0.371,0.559,719651,1084326,327.0,493.0
2020-11-04 03:21:15+00:00,0.371,0.559,721369,1086915,1718.0,2589.0
2020-11-04 03:21:34+00:00,0.373,0.557,745610,1113417,24241.0,26502.0
2020-11-04 03:23:32+00:00,0.359,0.57,773697,1228433,28087.0,115016.0
2020-11-04 03:27:02+00:00,0.36,0.569,779697,1232355,6000.0,3922.0
