timestamp,trumpd_percent,bidenj_percent,trumpd_count,bidenj_count,trumpd_delta,bidenj_delta
2020-11-03 23:12:16+00:00,0.684,0.297,5463,2372,,
2020-11-03 23:17:15+00:00,0.683,0.298,14124,6162,8661.0,3790.0
2020-11-03 23:21:27+00:00,0.662,0.32,19157,9260,5033.0,3098.0
2020-11-03 23:21:46+00:00,0.667,0.314,22623,10650,3466.0,1390.0
2020-11-03 23:27:45+00:00,0.665,0.315,28581,13538,5958.0,2888.0
2020-11-03 23:30:26+00:00,0.667,0.314,39646,18664,11065.0,5126.0
2020-11-03 23:34:02+00:00,0.672,0.309,46970,21598,7324.0,2934.0
2020-11-03 23:37:55+00:00,0.669,0.313,54223,25369,7253.0,3771.0
2020-11-03 23:39:06+00:00,0.67,0.312,56943,26517,2720.0,1148.0
2020-11-03 23:41:40+00:00,0.669,0.312,59130,27576,2187.0,1059.0
2020-11-03 23:42:29+00:00,0.641,0.34,76844,40760,17714.0,13184.0
2020-11-03 23:44:32+00:00,0.627,0.353,93035,52378,16191.0,11618.0
2020-11-03 23:44:56+00:00,0.628,0.353,93284,52435,249.0,57.0
2020-11-03 23:46:48+00:00,0.629,0.351,94277,52609,993.0,174.0
2020-11-03 23:50:23+00:00,0.63,0.35,95405,53003,1128.0,394.0
2020-11-03 23:50:53+00:00,0.635,0.345,101978,55406,6573.0,2403.0
2020-11-03 23:51:23+00:00,0.639,0.341,110182,58798,8204.0,3392.0
2020-11-03 23:51:44+00:00,0.639,0.341,110420,58925,238.0,127.0
2020-11-03 23:53:12+00:00,0.64,0.34,111151,59049,731.0,124.0
2020-11-03 23:54:39+00:00,0.64,0.34,111367,59164,216.0,115.0
2020-11-03 23:55:17+00:00,0.64,0.34,111596,59285,229.0,121.0
2020-11-03 23:55:35+00:00,0.641,0.337,120063,63122,8467.0,3837.0
2020-11-03 23:55:47+00:00,0.646,0.332,130542,67090,10479.0,3968.0
2020-11-03 23:59:52+00:00,0.638,0.34,146335,77984,15793.0,10894.0
2020-11-04 00:00:58+00:00,0.637,0.341,146532,78442,197.0,458.0
2020-11-04 00:01:56+00:00,0.639,0.339,150481,79832,3949.0,1390.0
2020-11-04 00:03:37+00:00,0.641,0.337,152577,80216,2096.0,384.0
2020-11-04 00:05:26+00:00,0.642,0.336,153764,80475,1187.0,259.0
2020-11-04 00:07:41+00:00,0.642,0.335,154940,80849,1176.0,374.0
