timestamp,trumpd_percent,bidenj_percent,trumpd_count,bidenj_count,trumpd_delta,bidenj_delta
2020-11-04 03:13:02+00:00,0.651,0.333,244,125,,
2020-11-04 03:13:16+00:00,0.325,0.66,67205,136479,66961.0,136354.0
2020-11-04 03:13:54+00:00,0.338,0.647,74172,141980,6967.0,5501.0
2020-11-04 03:14:10+00:00,0.341,0.644,75702,142968,1530.0,988.0
2020-11-04 03:17:36+00:00,0.357,0.629,93874,165397,18172.0,22429.0
2020-11-04 03:18:29+00:00,0.361,0.624,100668,174008,6794.0,8611.0
2020-11-04 03:21:30+00:00,0.362,0.623,101394,174498,726.0,490.0
2020-11-04 03:22:16+00:00,0.369,0.616,108912,181815,7518.0,7317.0
2020-11-04 03:22:32+00:00,0.369,0.615,108949,181581,37.0,-234.0
2020-11-04 03:26:20+00:00,0.37,0.615,109435,181899,486.0,318.0
2020-11-04 03:26:41+00:00,0.366,0.619,123154,208285,13719.0,26386.0
2020-11-04 03:26:50+00:00,0.368,0.616,127303,213094,4149.0,4809.0
2020-11-04 03:27:41+00:00,0.369,0.615,128153,213589,850.0,495.0
2020-11-04 03:28:40+00:00,0.37,0.614,130805,217066,2652.0,3477.0
2020-11-04 03:30:28+00:00,0.372,0.613,132439,218239,1634.0,1173.0
2020-11-04 03:31:28+00:00,0.375,0.61,135663,220679,3224.0,2440.0
2020-11-04 03:33:57+00:00,0.375,0.609,135676,220339,13.0,-340.0
2020-11-04 03:34:12+00:00,0.377,0.608,137107,221116,1431.0,777.0
2020-11-04 03:35:21+00:00,0.379,0.606,139439,222956,2332.0,1840.0
2020-11-04 03:35:45+00:00,0.38,0.604,140144,222755,705.0,-201.0
2020-11-04 03:37:16+00:00,0.381,0.603,142310,225231,2166.0,2476.0
2020-11-04 03:38:07+00:00,0.397,0.587,167075,247035,24765.0,21804.0
2020-11-04 03:38:30+00:00,0.401,0.582,172528,250403,5453.0,3368.0
2020-11-04 03:38:51+00:00,0.405,0.579,175862,251417,3334.0,1014.0
2020-11-04 03:39:18+00:00,0.408,0.575,188357,265454,12495.0,14037.0
2020-11-04 03:40:39+00:00,0.41,0.574,190019,266026,1662.0,572.0
2020-11-04 03:41:51+00:00,0.412,0.569,302083,417197,112064.0,151171.0
2020-11-04 03:44:43+00:00,0.413,0.568,306962,422165,4879.0,4968.0
2020-11-04 03:45:15+00:00,0.413,0.568,306966,422171,4.0,6.0
2020-11-04 03:46:17+00:00,0.415,0.567,309982,423518,3016.0,1347.0
2020-11-04 03:47:20+00:00,0.415,0.567,316327,432187,6345.0,8669.0
