timestamp,ernstj_percent,greenfieldt_percent,ernstj_count,greenfieldt_count,ernstj_delta,greenfieldt_delta
2020-11-04 03:14:00+00:00,0.345,0.631,75894,138809,,
2020-11-04 03:17:36+00:00,0.359,0.617,93556,160792,17662.0,21983.0
2020-11-04 03:18:30+00:00,0.362,0.613,100031,169389,6475.0,8597.0
2020-11-04 03:22:06+00:00,0.364,0.612,101034,169870,1003.0,481.0
2020-11-04 03:22:15+00:00,0.371,0.604,108517,176669,7483.0,6799.0
2020-11-04 03:26:20+00:00,0.372,0.604,108999,176976,482.0,307.0
2020-11-04 03:26:38+00:00,0.369,0.607,123100,202498,14101.0,25522.0
2020-11-04 03:27:22+00:00,0.371,0.605,127242,207497,4142.0,4999.0
2020-11-04 03:28:30+00:00,0.372,0.604,128090,207974,848.0,477.0
2020-11-04 03:29:21+00:00,0.373,0.603,130753,211377,2663.0,3403.0
2020-11-04 03:30:28+00:00,0.374,0.601,132025,212157,1272.0,780.0
2020-11-04 03:31:27+00:00,0.377,0.598,135233,214508,3208.0,2351.0
2020-11-04 03:34:54+00:00,0.378,0.597,136294,215257,1061.0,749.0
2020-11-04 03:35:20+00:00,0.381,0.595,138958,217008,2664.0,1751.0
2020-11-04 03:35:39+00:00,0.381,0.594,139200,217021,242.0,13.0
2020-11-04 03:38:00+00:00,0.384,0.591,143366,220649,4166.0,3628.0
2020-11-04 03:38:39+00:00,0.4,0.575,167599,240923,24233.0,20274.0
2020-11-04 03:38:52+00:00,0.403,0.572,170455,241937,2856.0,1014.0
2020-11-04 03:39:59+00:00,0.406,0.568,182706,255609,12251.0,13672.0
2020-11-04 03:40:39+00:00,0.407,0.567,183887,256176,1181.0,567.0
2020-11-04 03:42:09+00:00,0.413,0.56,299893,406635,116006.0,150459.0
2020-11-04 03:44:02+00:00,0.414,0.559,301618,407258,1725.0,623.0
2020-11-04 03:44:43+00:00,0.415,0.558,306484,412091,4866.0,4833.0
2020-11-04 03:46:20+00:00,0.415,0.557,307986,413369,1502.0,1278.0
2020-11-04 03:47:57+00:00,0.418,0.555,319184,423796,11198.0,10427.0
2020-11-04 03:49:25+00:00,0.419,0.554,321065,424511,1881.0,715.0
2020-11-04 03:50:07+00:00,0.419,0.554,321314,424839,249.0,328.0
2020-11-04 03:51:15+00:00,0.42,0.553,323300,425678,1986.0,839.0
2020-11-04 03:51:44+00:00,0.42,0.553,323780,426310,480.0,632.0
2020-11-04 03:54:09+00:00,0.42,0.553,324096,426726,316.0,416.0
2020-11-04 03:54:54+00:00,0.423,0.55,329551,428495,5455.0,1769.0
2020-11-04 03:57:18+00:00,0.424,0.549,331116,428733,1565.0,238.0
2020-11-04 03:58:26+00:00,0.426,0.547,334568,429597,3452.0,864.0
2020-11-04 03:58:55+00:00,0.426,0.547,334963,430106,395.0,509.0
2020-11-04 03:59:12+00:00,0.426,0.546,338497,433849,3534.0,3743.0
2020-11-04 03:59:37+00:00,0.428,0.545,344357,438492,5860.0,4643.0
2020-11-04 03:59:55+00:00,0.435,0.538,362807,448712,18450.0,10220.0
2020-11-04 04:00:15+00:00,0.437,0.535,368388,451001,5581.0,2289.0
