timestamp,trumpd_percent,bidenj_percent,trumpd_count,bidenj_count,trumpd_delta,bidenj_delta
2020-11-04 01:09:19+00:00,0.563,0.417,2808,2080,,
2020-11-04 01:10:11+00:00,0.41,0.573,109851,153523,107043.0,151443.0
2020-11-04 01:18:51+00:00,0.411,0.572,110407,153657,556.0,134.0
2020-11-04 01:20:59+00:00,0.413,0.57,111484,153865,1077.0,208.0
2020-11-04 01:26:50+00:00,0.446,0.542,178771,217250,67287.0,63385.0
2020-11-04 01:27:55+00:00,0.443,0.544,184212,226210,5441.0,8960.0
2020-11-04 01:28:27+00:00,0.443,0.544,184754,226876,542.0,666.0
2020-11-04 01:33:02+00:00,0.443,0.544,184795,226926,41.0,50.0
2020-11-04 01:35:06+00:00,0.442,0.542,185025,226886,230.0,-40.0
2020-11-04 01:35:35+00:00,0.445,0.538,193002,233337,7977.0,6451.0
2020-11-04 01:42:31+00:00,0.445,0.538,193004,233340,2.0,3.0
2020-11-04 01:43:11+00:00,0.445,0.538,193029,233369,25.0,29.0
2020-11-04 01:44:36+00:00,0.443,0.54,200530,244438,7501.0,11069.0
2020-11-04 01:46:22+00:00,0.444,0.539,203379,246894,2849.0,2456.0
2020-11-04 01:47:06+00:00,0.444,0.539,206632,250844,3253.0,3950.0
2020-11-04 01:48:03+00:00,0.445,0.537,209676,253025,3044.0,2181.0
2020-11-04 01:50:27+00:00,0.446,0.536,210957,253526,1281.0,501.0
2020-11-04 01:50:49+00:00,0.455,0.527,215214,249269,4257.0,-4257.0
2020-11-04 01:51:08+00:00,0.456,0.527,217632,251518,2418.0,2249.0
2020-11-04 01:52:21+00:00,0.457,0.526,218498,251488,866.0,-30.0
2020-11-04 01:56:26+00:00,0.458,0.525,219494,251604,996.0,116.0
2020-11-04 01:57:36+00:00,0.456,0.522,219966,251803,472.0,199.0
2020-11-04 02:02:11+00:00,0.456,0.522,220129,251989,163.0,186.0
2020-11-04 02:02:39+00:00,0.457,0.521,221879,252952,1750.0,963.0
2020-11-04 02:04:06+00:00,0.457,0.521,222126,253233,247.0,281.0
2020-11-04 02:05:18+00:00,0.458,0.52,223275,253500,1149.0,267.0
2020-11-04 02:06:45+00:00,0.46,0.518,227241,255893,3966.0,2393.0
2020-11-04 02:07:20+00:00,0.463,0.516,232662,259295,5421.0,3402.0
2020-11-04 02:08:19+00:00,0.464,0.515,233832,259533,1170.0,238.0
2020-11-04 02:08:24+00:00,0.465,0.514,235236,260024,1404.0,491.0
2020-11-04 02:09:10+00:00,0.467,0.511,237908,260323,2672.0,299.0
2020-11-04 02:10:12+00:00,0.469,0.509,240066,260540,2158.0,217.0
2020-11-04 02:10:50+00:00,0.469,0.51,244729,266123,4663.0,5583.0
2020-11-04 02:12:43+00:00,0.47,0.508,245972,265859,1243.0,-264.0
2020-11-04 02:12:46+00:00,0.47,0.508,245982,265870,10.0,11.0
