timestamp,mcconnellm_percent,mcgratha_percent,mcconnellm_count,mcgratha_count,mcconnellm_delta,mcgratha_delta
2020-11-03 23:18:49+00:00,0.814,0.144,4956,877,,
2020-11-03 23:20:59+00:00,0.671,0.29,13932,6021,8976.0,5144.0
2020-11-03 23:21:37+00:00,0.638,0.323,14841,7513,909.0,1492.0
2020-11-03 23:25:19+00:00,0.633,0.33,32936,17170,18095.0,9657.0
2020-11-03 23:27:26+00:00,0.631,0.332,34507,18156,1571.0,986.0
2020-11-03 23:29:54+00:00,0.641,0.321,40495,20279,5988.0,2123.0
2020-11-03 23:30:16+00:00,0.65,0.313,43027,20719,2532.0,440.0
2020-11-03 23:35:11+00:00,0.433,0.539,64876,80758,21849.0,60039.0
2020-11-03 23:37:34+00:00,0.439,0.533,67910,82451,3034.0,1693.0
2020-11-03 23:37:46+00:00,0.441,0.531,68721,82745,811.0,294.0
2020-11-03 23:39:40+00:00,0.455,0.516,75336,85436,6615.0,2691.0
2020-11-03 23:40:10+00:00,0.457,0.514,76037,85521,701.0,85.0
2020-11-03 23:40:49+00:00,0.438,0.533,83594,101725,7557.0,16204.0
2020-11-03 23:43:21+00:00,0.436,0.536,84554,103948,960.0,2223.0
2020-11-03 23:46:20+00:00,0.461,0.51,107585,119021,23031.0,15073.0
2020-11-03 23:47:28+00:00,0.46,0.511,108616,120658,1031.0,1637.0
2020-11-03 23:47:35+00:00,0.465,0.506,111873,121738,3257.0,1080.0
2020-11-03 23:49:13+00:00,0.47,0.501,118297,126100,6424.0,4362.0
2020-11-03 23:54:11+00:00,0.468,0.503,119032,127934,735.0,1834.0
2020-11-03 23:54:34+00:00,0.473,0.497,121984,128174,2952.0,240.0
2020-11-03 23:54:47+00:00,0.474,0.496,123201,128919,1217.0,745.0
2020-11-03 23:56:04+00:00,0.478,0.492,126059,129751,2858.0,832.0
2020-11-03 23:57:23+00:00,0.485,0.486,133620,133895,7561.0,4144.0
2020-11-04 00:03:59+00:00,0.484,0.486,144981,145580,11361.0,11685.0
2020-11-04 00:04:41+00:00,0.489,0.48,151416,148629,6435.0,3049.0
2020-11-04 00:06:30+00:00,0.492,0.477,155376,150639,3960.0,2010.0
2020-11-04 00:09:29+00:00,0.493,0.476,156318,150928,942.0,289.0
2020-11-04 00:10:42+00:00,0.495,0.475,157881,151502,1563.0,574.0
2020-11-04 00:11:03+00:00,0.498,0.472,165813,157156,7932.0,5654.0
2020-11-04 00:14:13+00:00,0.498,0.471,166550,157520,737.0,364.0
2020-11-04 00:14:50+00:00,0.507,0.462,175230,159677,8680.0,2157.0
2020-11-04 00:15:38+00:00,0.511,0.458,179533,160912,4303.0,1235.0
2020-11-04 00:16:39+00:00,0.511,0.458,180222,161529,689.0,617.0
2020-11-04 00:19:10+00:00,0.514,0.455,184990,163755,4768.0,2226.0
2020-11-04 00:19:22+00:00,0.515,0.453,186230,163810,1240.0,55.0
2020-11-04 00:20:39+00:00,0.516,0.452,188008,164689,1778.0,879.0
2020-11-04 00:20:52+00:00,0.524,0.444,196654,166630,8646.0,1941.0
2020-11-04 00:21:44+00:00,0.529,0.438,207109,171481,10455.0,4851.0
2020-11-04 00:23:22+00:00,0.532,0.435,210918,172461,3809.0,980.0
2020-11-04 00:25:52+00:00,0.533,0.434,212837,173304,1919.0,843.0
2020-11-04 00:26:09+00:00,0.535,0.432,215454,173974,2617.0,670.0
2020-11-04 00:26:43+00:00,0.535,0.432,215462,173980,8.0,6.0
2020-11-04 00:29:00+00:00,0.537,0.429,219614,175446,4152.0,1466.0
2020-11-04 00:29:55+00:00,0.541,0.426,226848,178627,7234.0,3181.0
2020-11-04 00:30:09+00:00,0.544,0.422,234042,181555,7194.0,2928.0
2020-11-04 00:30:28+00:00,0.544,0.422,234566,181961,524.0,406.0
2020-11-04 00:30:40+00:00,0.545,0.421,235570,181972,1004.0,11.0
2020-11-04 00:30:54+00:00,0.545,0.421,235968,182280,398.0,308.0
2020-11-04 00:31:17+00:00,0.548,0.418,248990,189923,13022.0,7643.0
2020-11-04 00:31:53+00:00,0.552,0.414,254332,190749,5342.0,826.0
2020-11-04 00:32:20+00:00,0.554,0.412,257706,191651,3374.0,902.0
2020-11-04 00:33:01+00:00,0.554,0.412,257707,191652,1.0,1.0
2020-11-04 00:33:50+00:00,0.554,0.411,258884,192060,1177.0,408.0
2020-11-04 00:34:05+00:00,0.557,0.409,264201,194001,5317.0,1941.0
2020-11-04 00:34:51+00:00,0.565,0.4,286954,203153,22753.0,9152.0
2020-11-04 00:35:44+00:00,0.565,0.4,287648,203645,694.0,492.0
2020-11-04 00:36:56+00:00,0.569,0.396,296442,206311,8794.0,2666.0
2020-11-04 00:37:13+00:00,0.57,0.395,298161,206621,1719.0,310.0
2020-11-04 00:37:39+00:00,0.573,0.392,304486,208304,6325.0,1683.0
2020-11-04 00:40:53+00:00,0.573,0.392,311403,213037,6917.0,4733.0
2020-11-04 00:42:53+00:00,0.575,0.388,335201,226188,23798.0,13151.0
2020-11-04 00:44:46+00:00,0.576,0.388,356235,239964,21034.0,13776.0
2020-11-04 00:46:03+00:00,0.576,0.388,356325,240024,90.0,60.0
2020-11-04 00:46:52+00:00,0.578,0.385,362540,241484,6215.0,1460.0
2020-11-04 00:47:17+00:00,0.579,0.384,366306,242938,3766.0,1454.0
2020-11-04 00:48:23+00:00,0.58,0.384,368506,243976,2200.0,1038.0
2020-11-04 00:49:51+00:00,0.581,0.382,371989,244578,3483.0,602.0
2020-11-04 00:50:26+00:00,0.583,0.38,389190,253675,17201.0,9097.0
2020-11-04 00:51:53+00:00,0.584,0.379,393996,255692,4806.0,2017.0
2020-11-04 00:52:07+00:00,0.586,0.377,398138,256140,4142.0,448.0
2020-11-04 00:52:27+00:00,0.589,0.374,406604,258183,8466.0,2043.0
2020-11-04 00:52:54+00:00,0.596,0.366,430465,264346,23861.0,6163.0
2020-11-04 00:53:54+00:00,0.593,0.37,455101,283959,24636.0,19613.0
2020-11-04 00:54:19+00:00,0.595,0.368,462657,286147,7556.0,2188.0
2020-11-04 00:56:10+00:00,0.601,0.362,486716,293164,24059.0,7017.0
2020-11-04 00:57:52+00:00,0.601,0.361,490033,294346,3317.0,1182.0
2020-11-04 00:59:51+00:00,0.603,0.36,495837,296022,5804.0,1676.0
2020-11-04 01:00:15+00:00,0.603,0.36,496018,296130,181.0,108.0
2020-11-04 01:01:03+00:00,0.603,0.36,496024,296134,6.0,4.0
2020-11-04 01:02:05+00:00,0.603,0.36,499374,298134,3350.0,2000.0
2020-11-04 01:03:29+00:00,0.604,0.358,506527,300226,7153.0,2092.0
2020-11-04 01:04:23+00:00,0.604,0.358,509247,301838,2720.0,1612.0
2020-11-04 01:04:52+00:00,0.605,0.357,517098,305131,7851.0,3293.0
2020-11-04 01:05:51+00:00,0.605,0.357,519412,306496,2314.0,1365.0
2020-11-04 01:06:03+00:00,0.605,0.356,520095,306039,683.0,-457.0
2020-11-04 01:06:52+00:00,0.606,0.356,524105,307890,4010.0,1851.0
2020-11-04 01:08:47+00:00,0.607,0.355,527623,308577,3518.0,687.0
2020-11-04 01:09:52+00:00,0.608,0.354,533142,310415,5519.0,1838.0
2020-11-04 01:11:26+00:00,0.608,0.354,533363,310543,221.0,128.0
2020-11-04 01:11:52+00:00,0.61,0.351,541679,311688,8316.0,1145.0
2020-11-04 01:12:51+00:00,0.61,0.352,543210,313459,1531.0,1771.0
2020-11-04 01:13:51+00:00,0.544,0.421,674955,522346,131745.0,208887.0
2020-11-04 01:14:54+00:00,0.545,0.42,679255,523462,4300.0,1116.0
2020-11-04 01:15:39+00:00,0.545,0.42,680011,524045,756.0,583.0
2020-11-04 01:17:22+00:00,0.545,0.42,680951,524770,940.0,725.0
2020-11-04 01:17:56+00:00,0.546,0.419,683636,524622,2685.0,-148.0
2020-11-04 01:18:31+00:00,0.546,0.419,683638,524624,2.0,2.0
2020-11-04 01:20:52+00:00,0.548,0.416,697724,529659,14086.0,5035.0
2020-11-04 01:21:39+00:00,0.549,0.416,700163,530543,2439.0,884.0
2020-11-04 01:22:27+00:00,0.549,0.416,700454,530763,291.0,220.0
2020-11-04 01:22:53+00:00,0.549,0.415,701861,530551,1407.0,-212.0
2020-11-04 01:23:52+00:00,0.55,0.415,705974,532690,4113.0,2139.0
2020-11-04 01:24:48+00:00,0.55,0.415,706304,532939,330.0,249.0
2020-11-04 01:24:52+00:00,0.552,0.413,713795,534053,7491.0,1114.0
2020-11-04 01:25:29+00:00,0.552,0.413,714669,534707,874.0,654.0
2020-11-04 01:26:03+00:00,0.552,0.412,718073,535953,3404.0,1246.0
2020-11-04 01:26:43+00:00,0.553,0.411,720857,535755,2784.0,-198.0
2020-11-04 01:27:59+00:00,0.554,0.41,735037,543980,14180.0,8225.0
2020-11-04 01:29:02+00:00,0.555,0.409,739678,545096,4641.0,1116.0
2020-11-04 01:29:20+00:00,0.556,0.408,745860,547322,6182.0,2226.0
2020-11-04 01:29:53+00:00,0.557,0.406,750805,547266,4945.0,-56.0
2020-11-04 01:31:57+00:00,0.56,0.404,763115,550533,12310.0,3267.0
2020-11-04 01:33:32+00:00,0.56,0.403,766911,551902,3796.0,1369.0
2020-11-04 01:34:53+00:00,0.561,0.403,770809,553718,3898.0,1816.0
2020-11-04 01:35:52+00:00,0.561,0.402,784134,561893,13325.0,8175.0
2020-11-04 01:36:54+00:00,0.562,0.402,786622,562673,2488.0,780.0
