timestamp,piercea_percent,wenstrupp_percent,cassidyb_percent,perkinsa_percent,murphyd_percent,piercea_count,wenstrupp_count,cassidyb_count,perkinsa_count,murphyd_count,piercea_delta,wenstrupp_delta,cassidyb_delta,perkinsa_delta,murphyd_delta
2020-11-04 02:06:59+00:00,0.033,0.007,0.543,0.201,0.017,1002,212,16482,6101,516,,,,,
2020-11-04 02:09:05+00:00,0.028,0.006,0.607,0.172,0.019,1884,404,40844,11574,1278,882.0,192.0,24362.0,5473.0,762.0
2020-11-04 02:10:04+00:00,0.028,0.007,0.618,0.162,0.019,3039,760,67075,17583,2062,1155.0,356.0,26231.0,6009.0,784.0
2020-11-04 02:11:21+00:00,0.026,0.007,0.616,0.166,0.019,4099,1104,97109,26169,2995,1060.0,344.0,30034.0,8586.0,933.0
2020-11-04 02:14:55+00:00,0.026,0.007,0.623,0.16,0.021,4332,1166,103798,26658,3499,233.0,62.0,6689.0,489.0,504.0
2020-11-04 02:18:40+00:00,0.026,0.007,0.627,0.159,0.021,4430,1193,106841,27094,3578,98.0,27.0,3043.0,436.0,79.0
2020-11-04 02:23:58+00:00,0.025,0.007,0.627,0.168,0.02,5820,1630,145962,39110,4656,1390.0,437.0,39121.0,12016.0,1078.0
2020-11-04 02:25:06+00:00,0.025,0.007,0.629,0.167,0.021,6116,1712,153870,40853,5137,296.0,82.0,7908.0,1743.0,481.0
2020-11-04 02:30:00+00:00,0.025,0.007,0.629,0.167,0.021,6130,1716,154238,40950,5149,14.0,4.0,368.0,97.0,12.0
2020-11-04 02:34:40+00:00,0.024,0.007,0.641,0.16,0.02,6394,1865,170763,42624,5328,264.0,149.0,16525.0,1674.0,179.0
2020-11-04 02:35:15+00:00,0.024,0.007,0.638,0.161,0.02,6554,1912,174240,43970,5462,160.0,47.0,3477.0,1346.0,134.0
2020-11-04 02:39:16+00:00,0.024,0.007,0.638,0.16,0.02,6714,1958,178488,44762,5595,160.0,46.0,4248.0,792.0,133.0
2020-11-04 02:42:23+00:00,0.026,0.008,0.604,0.183,0.019,9360,2880,217440,65880,6840,2646.0,922.0,38952.0,21118.0,1245.0
2020-11-04 02:45:42+00:00,0.026,0.008,0.605,0.181,0.019,10335,3180,240488,71948,7553,975.0,300.0,23048.0,6068.0,713.0
2020-11-04 02:46:37+00:00,0.026,0.008,0.605,0.181,0.019,10338,3181,240562,71970,7555,3.0,1.0,74.0,22.0,2.0
2020-11-04 02:50:29+00:00,0.025,0.007,0.606,0.179,0.019,10404,2913,252186,74490,7907,66.0,-268.0,11624.0,2520.0,352.0
2020-11-04 02:52:14+00:00,0.025,0.008,0.609,0.174,0.019,11698,3743,284957,81416,8890,1294.0,830.0,32771.0,6926.0,983.0
2020-11-04 02:54:15+00:00,0.025,0.008,0.62,0.168,0.019,14789,4732,366759,99380,11239,3091.0,989.0,81802.0,17964.0,2349.0
2020-11-04 02:55:52+00:00,0.024,0.007,0.62,0.168,0.019,15079,4398,389541,105553,11938,290.0,-334.0,22782.0,6173.0,699.0
2020-11-04 02:57:22+00:00,0.025,0.007,0.619,0.169,0.019,17407,4874,430987,117669,13229,2328.0,476.0,41446.0,12116.0,1291.0
2020-11-04 03:03:40+00:00,0.024,0.007,0.626,0.164,0.019,19084,5566,497778,130408,15108,1677.0,692.0,66791.0,12739.0,1879.0
2020-11-04 03:06:03+00:00,0.024,0.007,0.625,0.164,0.019,19235,5610,500901,131436,15227,151.0,44.0,3123.0,1028.0,119.0
2020-11-04 03:06:25+00:00,0.024,0.007,0.627,0.164,0.019,19377,5652,506233,132412,15340,142.0,42.0,5332.0,976.0,113.0
2020-11-04 03:10:42+00:00,0.024,0.007,0.633,0.159,0.02,21101,6154,556538,139794,17584,1724.0,502.0,50305.0,7382.0,2244.0
2020-11-04 03:11:52+00:00,0.024,0.007,0.632,0.159,0.02,21332,6222,561748,141326,17777,231.0,68.0,5210.0,1532.0,193.0
2020-11-04 03:12:55+00:00,0.023,0.007,0.632,0.161,0.02,21313,6487,585655,149194,18533,-19.0,265.0,23907.0,7868.0,756.0
2020-11-04 03:16:36+00:00,0.023,0.007,0.633,0.16,0.02,21461,6532,590649,149295,18662,148.0,45.0,4994.0,101.0,129.0
2020-11-04 03:18:18+00:00,0.023,0.006,0.64,0.156,0.02,23178,6046,644947,157206,20155,1717.0,-486.0,54298.0,7911.0,1493.0
2020-11-04 03:21:10+00:00,0.023,0.006,0.641,0.155,0.02,23989,6258,668565,161665,20860,811.0,212.0,23618.0,4459.0,705.0
2020-11-04 03:22:21+00:00,0.022,0.006,0.645,0.152,0.02,24150,6586,708036,166855,21955,161.0,328.0,39471.0,5190.0,1095.0
2020-11-04 03:26:09+00:00,0.022,0.006,0.647,0.151,0.02,24754,6751,727990,169902,22504,604.0,165.0,19954.0,3047.0,549.0
2020-11-04 03:26:12+00:00,0.022,0.006,0.648,0.151,0.02,24857,6779,732143,170608,22597,103.0,28.0,4153.0,706.0,93.0
2020-11-04 03:31:34+00:00,0.022,0.006,0.648,0.15,0.02,25947,7077,764269,176914,23589,1090.0,298.0,32126.0,6306.0,992.0
2020-11-04 03:32:45+00:00,0.022,0.006,0.648,0.15,0.02,26055,7106,767437,177648,23686,108.0,29.0,3168.0,734.0,97.0
2020-11-04 03:34:42+00:00,0.022,0.006,0.65,0.151,0.02,27588,7524,815090,189352,25080,1533.0,418.0,47653.0,11704.0,1394.0
2020-11-04 03:36:40+00:00,0.021,0.006,0.65,0.15,0.02,26974,7707,834904,192670,25689,-614.0,183.0,19814.0,3318.0,609.0
2020-11-04 03:38:56+00:00,0.023,0.006,0.635,0.163,0.019,32477,8472,896657,230165,26829,5503.0,765.0,61753.0,37495.0,1140.0
2020-11-04 03:40:26+00:00,0.023,0.006,0.635,0.163,0.019,32813,8560,905932,232546,27107,336.0,88.0,9275.0,2381.0,278.0
2020-11-04 03:44:47+00:00,0.023,0.006,0.633,0.164,0.019,34398,8973,946698,245274,28416,1585.0,413.0,40766.0,12728.0,1309.0
2020-11-04 03:47:18+00:00,0.023,0.006,0.632,0.164,0.019,34574,9019,950027,246526,28561,176.0,46.0,3329.0,1252.0,145.0
2020-11-04 03:48:12+00:00,0.023,0.006,0.633,0.163,0.019,34953,9118,961973,247712,28874,379.0,99.0,11946.0,1186.0,313.0
2020-11-04 03:51:59+00:00,0.023,0.006,0.635,0.162,0.019,35497,9260,980030,250023,29324,544.0,142.0,18057.0,2311.0,450.0
2020-11-04 03:55:27+00:00,0.023,0.006,0.635,0.163,0.019,36354,9484,1003682,257638,30031,857.0,224.0,23652.0,7615.0,707.0
2020-11-04 03:57:15+00:00,0.023,0.006,0.635,0.163,0.019,36436,9505,1005958,258222,30100,82.0,21.0,2276.0,584.0,69.0
2020-11-04 03:58:58+00:00,0.023,0.006,0.636,0.162,0.02,36862,9616,1019307,259635,32054,426.0,111.0,13349.0,1413.0,1954.0
2020-11-04 04:00:23+00:00,0.023,0.006,0.636,0.162,0.02,37021,9658,1023723,260760,32193,159.0,42.0,4416.0,1125.0,139.0
2020-11-04 04:01:23+00:00,0.023,0.006,0.632,0.165,0.02,38113,9943,1047283,273420,33142,1092.0,285.0,23560.0,12660.0,949.0
2020-11-04 04:06:36+00:00,0.023,0.006,0.632,0.166,0.019,38636,10079,1061649,278851,31917,523.0,136.0,14366.0,5431.0,-1225.0
2020-11-04 04:16:44+00:00,0.023,0.006,0.631,0.166,0.019,38928,10155,1067983,280959,32158,292.0,76.0,6334.0,2108.0,241.0
2020-11-04 04:22:35+00:00,0.024,0.006,0.624,0.169,0.019,42268,10567,1098956,297634,33462,3340.0,412.0,30973.0,16675.0,1304.0
2020-11-04 04:27:44+00:00,0.024,0.006,0.625,0.169,0.019,42825,10706,1115231,301558,33903,557.0,139.0,16275.0,3924.0,441.0
2020-11-04 04:29:05+00:00,0.024,0.006,0.625,0.168,0.019,42875,10719,1116536,300125,33943,50.0,13.0,1305.0,-1433.0,40.0
2020-11-04 04:33:14+00:00,0.024,0.006,0.625,0.168,0.019,42911,10728,1117482,300379,33971,36.0,9.0,946.0,254.0,28.0
2020-11-04 04:36:25+00:00,0.024,0.006,0.624,0.169,0.019,43402,10851,1128454,305623,34360,491.0,123.0,10972.0,5244.0,389.0
2020-11-04 04:45:42+00:00,0.024,0.006,0.624,0.169,0.019,43424,10856,1129012,305774,34377,22.0,5.0,558.0,151.0,17.0
2020-11-04 04:49:22+00:00,0.024,0.006,0.624,0.169,0.019,43439,10860,1129409,305882,34389,15.0,4.0,397.0,108.0,12.0
2020-11-04 04:50:55+00:00,0.024,0.006,0.624,0.17,0.019,43871,10968,1140652,310755,34731,432.0,108.0,11243.0,4873.0,342.0
2020-11-04 05:01:07+00:00,0.024,0.006,0.624,0.17,0.019,43910,10977,1141657,311028,34762,39.0,9.0,1005.0,273.0,31.0
2020-11-04 05:09:14+00:00,0.024,0.006,0.62,0.174,0.019,44616,11154,1152574,323464,35321,706.0,177.0,10917.0,12436.0,559.0
2020-11-04 05:10:01+00:00,0.024,0.006,0.62,0.174,0.019,45142,11286,1166177,327282,35738,526.0,132.0,13603.0,3818.0,417.0
2020-11-04 05:13:13+00:00,0.024,0.006,0.62,0.174,0.019,45168,11292,1166852,327471,35758,26.0,6.0,675.0,189.0,20.0
2020-11-04 05:17:28+00:00,0.024,0.006,0.62,0.174,0.019,45168,11292,1166852,327471,35758,0.0,0.0,0.0,0.0,0.0
2020-11-04 05:27:23+00:00,0.024,0.006,0.62,0.174,0.019,45196,11299,1167554,327668,35780,28.0,7.0,702.0,197.0,22.0
2020-11-04 05:30:38+00:00,0.024,0.006,0.621,0.173,0.019,45643,11411,1181016,329011,36134,447.0,112.0,13462.0,1343.0,354.0
2020-11-04 05:37:25+00:00,0.026,0.007,0.597,0.19,0.018,51959,13989,1193050,379698,35971,6316.0,2578.0,12034.0,50687.0,-163.0
2020-11-04 05:47:11+00:00,0.027,0.007,0.593,0.192,0.018,54668,14173,1200665,388748,36445,2709.0,184.0,7615.0,9050.0,474.0
2020-11-04 06:40:48+00:00,0.027,0.007,0.593,0.19,0.019,55914,14496,1228027,393466,39347,1246.0,323.0,27362.0,4718.0,2902.0
2020-11-04 23:18:53+00:00,0.027,0.007,0.593,0.19,0.019,55914,14496,1228028,393466,39347,0.0,0.0,1.0,0.0,0.0
2020-11-05 02:20:46+00:00,0.027,0.007,0.593,0.19,0.019,55914,14496,1228028,393466,39347,0.0,0.0,0.0,0.0,0.0
2020-11-07 11:15:49+00:00,0.027,0.007,0.593,0.19,0.019,55915,14497,1228066,393478,39348,1.0,1.0,38.0,12.0,1.0
