timestamp,gideons_percent,collinss_percent,gideons_count,collinss_count,gideons_delta,collinss_delta
2020-11-04 01:37:23+00:00,0.503,0.44,2330,2038,,
2020-11-04 01:40:46+00:00,0.461,0.483,2539,2660,209.0,622.0
2020-11-04 01:43:40+00:00,0.43,0.513,3322,3963,783.0,1303.0
2020-11-04 01:43:54+00:00,0.401,0.54,3921,5280,599.0,1317.0
2020-11-04 01:51:21+00:00,0.397,0.543,4663,6378,742.0,1098.0
2020-11-04 01:52:52+00:00,0.39,0.551,4770,6739,107.0,361.0
2020-11-04 02:01:52+00:00,0.381,0.561,4953,7294,183.0,555.0
2020-11-04 02:03:31+00:00,0.375,0.56,5504,8219,551.0,925.0
2020-11-04 02:04:08+00:00,0.37,0.566,6291,9623,787.0,1404.0
2020-11-04 02:10:59+00:00,0.368,0.567,7196,11087,905.0,1464.0
2020-11-04 02:11:40+00:00,0.352,0.582,7658,12662,462.0,1575.0
2020-11-04 02:11:57+00:00,0.349,0.586,7825,13138,167.0,476.0
2020-11-04 02:15:12+00:00,0.352,0.583,8320,13780,495.0,642.0
2020-11-04 02:16:14+00:00,0.352,0.584,8684,14407,364.0,627.0
2020-11-04 02:18:07+00:00,0.35,0.587,9213,15451,529.0,1044.0
2020-11-04 02:19:44+00:00,0.345,0.592,9591,16457,378.0,1006.0
2020-11-04 02:20:46+00:00,0.344,0.593,9781,16860,190.0,403.0
2020-11-04 02:22:48+00:00,0.343,0.593,10230,17687,449.0,827.0
2020-11-04 02:24:09+00:00,0.338,0.599,10871,19265,641.0,1578.0
2020-11-04 02:24:41+00:00,0.336,0.6,11558,20640,687.0,1375.0
2020-11-04 02:24:59+00:00,0.347,0.59,12832,21819,1274.0,1179.0
2020-11-04 02:29:05+00:00,0.344,0.593,13337,22991,505.0,1172.0
2020-11-04 02:29:53+00:00,0.35,0.588,13938,23416,601.0,425.0
2020-11-04 02:31:17+00:00,0.347,0.592,14081,24023,143.0,607.0
2020-11-04 02:33:57+00:00,0.346,0.592,14096,24117,15.0,94.0
2020-11-04 02:35:29+00:00,0.346,0.593,14149,24250,53.0,133.0
2020-11-04 02:37:17+00:00,0.346,0.592,14170,24245,21.0,-5.0
2020-11-04 02:45:09+00:00,0.344,0.595,14822,25636,652.0,1391.0
2020-11-04 02:48:30+00:00,0.343,0.596,15007,26076,185.0,440.0
2020-11-04 02:49:59+00:00,0.362,0.579,19044,30460,4037.0,4384.0
2020-11-04 02:51:42+00:00,0.39,0.553,24051,34103,5007.0,3643.0
2020-11-04 03:02:06+00:00,0.387,0.555,27224,39042,3173.0,4939.0
2020-11-04 03:02:18+00:00,0.402,0.538,30375,40651,3151.0,1609.0
2020-11-04 03:03:36+00:00,0.403,0.535,33014,43827,2639.0,3176.0
2020-11-04 03:04:19+00:00,0.4,0.538,33518,45081,504.0,1254.0
2020-11-04 03:04:48+00:00,0.4,0.537,34796,46713,1278.0,1632.0
2020-11-04 03:05:51+00:00,0.398,0.539,35294,47798,498.0,1085.0
2020-11-04 03:08:31+00:00,0.399,0.538,36222,48841,928.0,1043.0
2020-11-04 03:09:04+00:00,0.397,0.541,36644,49936,422.0,1095.0
2020-11-04 03:10:17+00:00,0.395,0.544,37627,51820,983.0,1884.0
2020-11-04 03:11:38+00:00,0.392,0.546,38713,53922,1086.0,2102.0
2020-11-04 03:12:27+00:00,0.393,0.546,39300,54600,587.0,678.0
2020-11-04 03:18:15+00:00,0.39,0.55,40062,56497,762.0,1897.0
2020-11-04 03:22:09+00:00,0.389,0.551,40408,57236,346.0,739.0
2020-11-04 03:23:32+00:00,0.388,0.552,40590,57747,182.0,511.0
2020-11-04 03:26:43+00:00,0.385,0.555,41594,59961,1004.0,2214.0
2020-11-04 03:26:59+00:00,0.385,0.555,41595,59962,1.0,1.0
2020-11-04 03:27:41+00:00,0.384,0.556,41894,60659,299.0,697.0
2020-11-04 03:30:31+00:00,0.382,0.557,42140,61445,246.0,786.0
2020-11-04 03:31:08+00:00,0.379,0.56,44274,65418,2134.0,3973.0
2020-11-04 03:31:18+00:00,0.378,0.56,44449,65850,175.0,432.0
2020-11-04 03:31:43+00:00,0.381,0.557,45651,66740,1202.0,890.0
2020-11-04 03:31:55+00:00,0.381,0.558,45685,66909,34.0,169.0
2020-11-04 03:32:01+00:00,0.38,0.558,45816,67277,131.0,368.0
2020-11-04 03:39:27+00:00,0.38,0.558,45831,67300,15.0,23.0
2020-11-04 03:44:21+00:00,0.38,0.558,46568,68381,737.0,1081.0
2020-11-04 03:44:29+00:00,0.383,0.555,47960,69498,1392.0,1117.0
2020-11-04 03:44:41+00:00,0.382,0.557,48743,71073,783.0,1575.0
2020-11-04 03:46:24+00:00,0.381,0.557,49439,72277,696.0,1204.0
2020-11-04 03:54:42+00:00,0.381,0.557,50622,74006,1183.0,1729.0
2020-11-04 03:57:49+00:00,0.381,0.558,50685,74231,63.0,225.0
2020-11-04 03:58:47+00:00,0.381,0.558,50833,74448,148.0,217.0
2020-11-04 04:02:59+00:00,0.379,0.559,51538,76014,705.0,1566.0
2020-11-04 04:04:57+00:00,0.378,0.561,52076,77287,538.0,1273.0
2020-11-04 04:10:57+00:00,0.378,0.561,52489,77900,413.0,613.0
2020-11-04 04:12:19+00:00,0.378,0.561,52545,77984,56.0,84.0
2020-11-04 04:14:25+00:00,0.377,0.562,52568,78364,23.0,380.0
2020-11-04 04:14:58+00:00,0.382,0.558,57279,83670,4711.0,5306.0
2020-11-04 04:15:52+00:00,0.381,0.559,57414,84237,135.0,567.0
2020-11-04 04:16:56+00:00,0.389,0.552,61832,87741,4418.0,3504.0
2020-11-04 04:17:14+00:00,0.388,0.552,61980,88177,148.0,436.0
2020-11-04 04:18:09+00:00,0.396,0.546,67964,93708,5984.0,5531.0
2020-11-04 04:18:56+00:00,0.395,0.546,68247,94336,283.0,628.0
2020-11-04 04:19:34+00:00,0.4,0.541,70544,95410,2297.0,1074.0
2020-11-04 04:19:47+00:00,0.398,0.543,70851,96663,307.0,1253.0
2020-11-04 04:20:22+00:00,0.397,0.544,71027,97326,176.0,663.0
2020-11-04 04:21:51+00:00,0.396,0.544,71103,97677,76.0,351.0
2020-11-04 04:26:00+00:00,0.396,0.545,71357,98206,254.0,529.0
2020-11-04 04:26:16+00:00,0.402,0.539,79082,106033,7725.0,7827.0
2020-11-04 04:28:17+00:00,0.402,0.539,79472,106555,390.0,522.0
2020-11-04 04:29:24+00:00,0.403,0.538,80526,107502,1054.0,947.0
2020-11-04 04:32:13+00:00,0.403,0.538,80644,107659,118.0,157.0
2020-11-04 04:33:56+00:00,0.403,0.538,80888,107984,244.0,325.0
2020-11-04 04:34:33+00:00,0.401,0.54,81895,110283,1007.0,2299.0
2020-11-04 04:38:19+00:00,0.4,0.541,82450,111513,555.0,1230.0
2020-11-04 04:41:46+00:00,0.399,0.542,82846,112538,396.0,1025.0
2020-11-04 04:43:45+00:00,0.399,0.542,82885,112591,39.0,53.0
2020-11-04 04:44:07+00:00,0.398,0.543,83624,114090,739.0,1499.0
