timestamp,smitht_percent,lewisj_percent,smitht_count,lewisj_count,smitht_delta,lewisj_delta
2020-11-04 02:31:22+00:00,0.409,0.503,6685,8222,,
2020-11-04 02:31:36+00:00,0.648,0.288,159034,70682,152349.0,62460.0
2020-11-04 02:32:26+00:00,0.643,0.293,161152,73433,2118.0,2751.0
2020-11-04 02:42:08+00:00,0.603,0.329,190612,103999,29460.0,30566.0
2020-11-04 02:47:19+00:00,0.603,0.329,190781,104091,169.0,92.0
2020-11-04 02:49:29+00:00,0.605,0.322,520191,276862,329410.0,172771.0
2020-11-04 02:54:33+00:00,0.605,0.323,523922,279714,3731.0,2852.0
2020-11-04 03:00:50+00:00,0.587,0.338,571852,329278,47930.0,49564.0
2020-11-04 03:10:08+00:00,0.567,0.358,619427,391102,47575.0,61824.0
2020-11-04 03:21:57+00:00,0.564,0.361,629864,403158,10437.0,12056.0
2020-11-04 03:22:18+00:00,0.564,0.361,632872,405083,3008.0,1925.0
2020-11-04 03:32:00+00:00,0.559,0.365,661810,432130,28938.0,27047.0
2020-11-04 03:33:46+00:00,0.558,0.366,663951,435495,2141.0,3365.0
2020-11-04 03:42:53+00:00,0.554,0.37,679647,453916,15696.0,18421.0
2020-11-04 03:43:22+00:00,0.554,0.37,686876,458744,7229.0,4828.0
2020-11-04 03:51:14+00:00,0.542,0.382,726292,511889,39416.0,53145.0
2020-11-04 03:51:19+00:00,0.541,0.383,730566,517203,4274.0,5314.0
2020-11-04 03:51:42+00:00,0.54,0.384,736112,523457,5546.0,6254.0
2020-11-04 03:59:10+00:00,0.536,0.388,771285,558318,35173.0,34861.0
2020-11-04 04:11:41+00:00,0.531,0.392,797883,589021,26598.0,30703.0
2020-11-04 04:20:43+00:00,0.517,0.407,912739,718539,114856.0,129518.0
2020-11-04 04:21:09+00:00,0.517,0.407,914652,720045,1913.0,1506.0
2020-11-04 04:31:22+00:00,0.511,0.413,946205,764741,31553.0,44696.0
2020-11-04 04:32:27+00:00,0.511,0.413,946398,764897,193.0,156.0
2020-11-04 04:34:34+00:00,0.51,0.415,952795,775313,6397.0,10416.0
2020-11-04 04:38:27+00:00,0.51,0.414,955425,775581,2630.0,268.0
2020-11-04 04:39:05+00:00,0.51,0.415,961361,782284,5936.0,6703.0
2020-11-04 04:40:22+00:00,0.507,0.418,1015758,837450,54397.0,55166.0
2020-11-04 04:51:49+00:00,0.507,0.418,1049932,865624,34174.0,28174.0
2020-11-04 04:58:44+00:00,0.504,0.421,1058297,884014,8365.0,18390.0
2020-11-04 05:09:41+00:00,0.501,0.424,1086535,919543,28238.0,35529.0
2020-11-04 05:10:58+00:00,0.5,0.425,1088830,925505,2295.0,5962.0
2020-11-04 05:19:40+00:00,0.499,0.426,1095762,935460,6932.0,9955.0
2020-11-04 05:19:47+00:00,0.497,0.428,1113167,958623,17405.0,23163.0
2020-11-04 05:30:37+00:00,0.512,0.411,1293170,1038072,180003.0,79449.0
2020-11-04 05:30:50+00:00,0.512,0.412,1296987,1043669,3817.0,5597.0
2020-11-04 05:39:33+00:00,0.506,0.417,1318537,1086621,21550.0,42952.0
2020-11-04 05:50:20+00:00,0.505,0.419,1336254,1108694,17717.0,22073.0
2020-11-04 05:59:17+00:00,0.503,0.421,1369937,1146607,33683.0,37913.0
2020-11-04 06:04:15+00:00,0.501,0.423,1372625,1158923,2688.0,12316.0
2020-11-04 06:04:46+00:00,0.501,0.423,1373705,1159835,1080.0,912.0
2020-11-04 06:08:57+00:00,0.5,0.423,1373502,1161982,-203.0,2147.0
2020-11-04 06:09:13+00:00,0.498,0.426,1392545,1191214,19043.0,29232.0
2020-11-04 06:09:36+00:00,0.498,0.426,1392914,1191529,369.0,315.0
2020-11-04 06:18:55+00:00,0.496,0.428,1404749,1212163,11835.0,20634.0
2020-11-04 06:28:58+00:00,0.496,0.428,1425805,1230331,21056.0,18168.0
2020-11-04 06:38:53+00:00,0.493,0.43,1451915,1266376,26110.0,36045.0
2020-11-04 06:44:02+00:00,0.493,0.43,1452068,1266510,153.0,134.0
2020-11-04 06:48:54+00:00,0.492,0.431,1486394,1302105,34326.0,35595.0
2020-11-04 06:58:49+00:00,0.492,0.431,1487157,1302773,763.0,668.0
2020-11-04 07:08:51+00:00,0.492,0.431,1489326,1304674,2169.0,1901.0
2020-11-04 07:18:49+00:00,0.492,0.432,1496367,1313883,7041.0,9209.0
2020-11-04 07:28:52+00:00,0.49,0.433,1503809,1328876,7442.0,14993.0
2020-11-04 07:38:50+00:00,0.489,0.434,1508320,1338672,4511.0,9796.0
2020-11-04 07:48:51+00:00,0.488,0.435,1510568,1346510,2248.0,7838.0
2020-11-04 07:58:49+00:00,0.488,0.435,1512488,1348222,1920.0,1712.0
2020-11-04 08:08:49+00:00,0.488,0.435,1512703,1348414,215.0,192.0
2020-11-04 08:14:47+00:00,0.488,0.435,1512861,1348554,158.0,140.0
2020-11-04 08:18:48+00:00,0.488,0.435,1512913,1348600,52.0,46.0
2020-11-04 08:28:47+00:00,0.488,0.435,1513703,1349305,790.0,705.0
2020-11-04 08:38:48+00:00,0.489,0.434,1525468,1353892,11765.0,4587.0
2020-11-04 08:48:48+00:00,0.489,0.434,1525914,1354288,446.0,396.0
2020-11-04 08:58:49+00:00,0.489,0.434,1526089,1354443,175.0,155.0
2020-11-04 09:08:51+00:00,0.489,0.434,1526157,1354504,68.0,61.0
2020-11-04 09:18:52+00:00,0.489,0.435,1530700,1361665,4543.0,7161.0
2020-11-04 09:28:48+00:00,0.489,0.435,1530913,1361855,213.0,190.0
2020-11-04 09:38:48+00:00,0.489,0.435,1531328,1362224,415.0,369.0
2020-11-04 09:48:48+00:00,0.489,0.435,1531468,1362349,140.0,125.0
2020-11-04 09:58:49+00:00,0.489,0.435,1534045,1364642,2577.0,2293.0
2020-11-04 10:08:52+00:00,0.489,0.435,1534344,1364907,299.0,265.0
2020-11-04 10:18:48+00:00,0.489,0.435,1534789,1365303,445.0,396.0
2020-11-04 10:28:50+00:00,0.489,0.435,1534937,1365435,148.0,132.0
2020-11-04 10:39:21+00:00,0.488,0.435,1533037,1366539,-1900.0,1104.0
2020-11-04 10:48:48+00:00,0.488,0.435,1533265,1366742,228.0,203.0
2020-11-04 10:58:48+00:00,0.488,0.435,1534688,1368011,1423.0,1269.0
2020-11-04 11:08:48+00:00,0.488,0.435,1534720,1368040,32.0,29.0
2020-11-04 14:58:50+00:00,0.488,0.435,1534971,1368263,251.0,223.0
2020-11-04 15:18:49+00:00,0.488,0.435,1535269,1368529,298.0,266.0
2020-11-04 15:28:50+00:00,0.488,0.435,1535394,1368640,125.0,111.0
2020-11-04 15:48:51+00:00,0.488,0.435,1535654,1368872,260.0,232.0
2020-11-04 15:58:51+00:00,0.488,0.435,1536010,1369189,356.0,317.0
2020-11-04 16:18:50+00:00,0.488,0.435,1536292,1369440,282.0,251.0
2020-11-04 16:28:49+00:00,0.488,0.435,1536293,1369441,1.0,1.0
2020-11-04 16:38:49+00:00,0.488,0.435,1536926,1370006,633.0,565.0
2020-11-04 17:08:50+00:00,0.488,0.435,1538965,1371823,2039.0,1817.0
2020-11-04 17:38:48+00:00,0.488,0.435,1539585,1372376,620.0,553.0
2020-11-04 17:48:52+00:00,0.488,0.435,1540445,1373143,860.0,767.0
2020-11-04 17:58:50+00:00,0.488,0.435,1541288,1373894,843.0,751.0
2020-11-04 18:08:49+00:00,0.488,0.435,1541689,1374252,401.0,358.0
2020-11-04 18:18:48+00:00,0.488,0.435,1542392,1374878,703.0,626.0
2020-11-04 18:28:51+00:00,0.488,0.435,1542580,1375046,188.0,168.0
2020-11-04 18:48:51+00:00,0.488,0.435,1542867,1375302,287.0,256.0
2020-11-04 19:08:49+00:00,0.488,0.435,1543439,1375811,572.0,509.0
2020-11-04 19:28:50+00:00,0.488,0.435,1544244,1376529,805.0,718.0
2020-11-04 19:48:48+00:00,0.488,0.435,1544584,1376832,340.0,303.0
2020-11-04 19:58:48+00:00,0.488,0.435,1545159,1377344,575.0,512.0
2020-11-04 20:08:49+00:00,0.488,0.435,1545479,1377630,320.0,286.0
2020-11-04 20:38:49+00:00,0.488,0.435,1545528,1377674,49.0,44.0
2020-11-04 20:48:52+00:00,0.488,0.435,1545763,1377883,235.0,209.0
2020-11-04 20:58:49+00:00,0.488,0.435,1545886,1377993,123.0,110.0
2020-11-04 21:08:51+00:00,0.488,0.435,1545979,1378075,93.0,82.0
2020-11-04 21:18:52+00:00,0.488,0.435,1546261,1378327,282.0,252.0
2020-11-04 21:28:51+00:00,0.488,0.435,1546265,1378331,4.0,4.0
2020-11-04 21:48:50+00:00,0.488,0.435,1546342,1378399,77.0,68.0
2020-11-04 21:58:51+00:00,0.488,0.435,1546462,1378506,120.0,107.0
2020-11-04 22:08:48+00:00,0.488,0.435,1546685,1378705,223.0,199.0
2020-11-04 22:18:49+00:00,0.488,0.435,1548269,1380117,1584.0,1412.0
2020-11-04 22:28:48+00:00,0.488,0.435,1548271,1380119,2.0,2.0
2020-11-04 22:38:50+00:00,0.488,0.435,1548272,1380119,1.0,0.0
2020-11-04 22:48:48+00:00,0.488,0.435,1548274,1380121,2.0,2.0
2020-11-04 22:58:48+00:00,0.488,0.435,1548275,1380122,1.0,1.0
2020-11-04 23:08:49+00:00,0.488,0.435,1548993,1380763,718.0,641.0
2020-11-04 23:18:47+00:00,0.488,0.435,1549008,1380775,15.0,12.0
2020-11-04 23:43:49+00:00,0.488,0.435,1550325,1381949,1317.0,1174.0
2020-11-04 23:59:52+00:00,0.488,0.435,1550397,1382014,72.0,65.0
2020-11-05 00:10:49+00:00,0.488,0.435,1550632,1382223,235.0,209.0
2020-11-05 00:25:51+00:00,0.488,0.435,1550754,1382332,122.0,109.0
2020-11-05 00:29:49+00:00,0.488,0.435,1555027,1386141,4273.0,3809.0
2020-11-05 00:40:50+00:00,0.488,0.435,1555299,1386383,272.0,242.0
2020-11-05 01:38:48+00:00,0.488,0.435,1558037,1388824,2738.0,2441.0
2020-11-05 01:48:48+00:00,0.488,0.435,1562452,1392760,4415.0,3936.0
2020-11-05 02:18:57+00:00,0.488,0.435,1562557,1392853,105.0,93.0
2020-11-05 03:08:48+00:00,0.488,0.435,1562593,1392885,36.0,32.0
2020-11-05 03:18:45+00:00,0.488,0.435,1562668,1392952,75.0,67.0
2020-11-05 03:28:44+00:00,0.488,0.435,1562673,1392956,5.0,4.0
2020-11-05 03:38:44+00:00,0.488,0.435,1562687,1392969,14.0,13.0
2020-11-05 03:48:43+00:00,0.488,0.435,1562700,1392980,13.0,11.0
2020-11-05 03:58:47+00:00,0.488,0.435,1562707,1392987,7.0,7.0
2020-11-05 04:08:43+00:00,0.488,0.435,1562710,1392990,3.0,3.0
2020-11-05 04:18:47+00:00,0.488,0.435,1562716,1392995,6.0,5.0
2020-11-05 04:28:43+00:00,0.488,0.435,1562719,1392997,3.0,2.0
2020-11-05 04:38:45+00:00,0.488,0.435,1562735,1393011,16.0,14.0
2020-11-05 04:48:47+00:00,0.488,0.435,1562736,1393012,1.0,1.0
2020-11-05 04:58:43+00:00,0.488,0.435,1562739,1393015,3.0,3.0
2020-11-05 05:08:50+00:00,0.488,0.435,1562746,1393022,7.0,7.0
2020-11-05 05:18:48+00:00,0.488,0.435,1562753,1393027,7.0,5.0
2020-11-05 05:28:45+00:00,0.488,0.435,1562763,1393037,10.0,10.0
2020-11-05 05:38:46+00:00,0.488,0.435,1562772,1393044,9.0,7.0
2020-11-05 05:48:48+00:00,0.488,0.435,1562780,1393052,8.0,8.0
2020-11-05 05:58:47+00:00,0.488,0.435,1562785,1393056,5.0,4.0
2020-11-05 06:08:44+00:00,0.488,0.435,1562788,1393059,3.0,3.0
2020-11-05 16:38:46+00:00,0.488,0.435,1562793,1393063,5.0,4.0
2020-11-05 18:18:44+00:00,0.488,0.435,1562796,1393066,3.0,3.0
2020-11-05 18:28:44+00:00,0.488,0.435,1562820,1393088,24.0,22.0
2020-11-05 19:13:45+00:00,0.488,0.435,1562821,1393088,1.0,0.0
2020-11-05 19:38:38+00:00,0.488,0.435,1562824,1393091,3.0,3.0
2020-11-05 20:28:38+00:00,0.488,0.435,1562836,1393101,12.0,10.0
2020-11-05 20:38:39+00:00,0.488,0.435,1563552,1393740,716.0,639.0
2020-11-05 20:48:38+00:00,0.488,0.435,1563553,1393741,1.0,1.0
2020-11-05 20:58:38+00:00,0.488,0.435,1563584,1393768,31.0,27.0
2020-11-05 21:08:39+00:00,0.488,0.435,1564024,1394161,440.0,393.0
2020-11-05 21:18:39+00:00,0.488,0.435,1564202,1394319,178.0,158.0
2020-11-05 21:28:38+00:00,0.488,0.435,1564378,1394476,176.0,157.0
2020-11-05 21:38:38+00:00,0.488,0.435,1564422,1394515,44.0,39.0
2020-11-05 21:48:38+00:00,0.488,0.435,1564451,1394541,29.0,26.0
2020-11-05 21:58:38+00:00,0.488,0.435,1564621,1394693,170.0,152.0
2020-11-05 22:08:38+00:00,0.488,0.435,1564623,1394694,2.0,1.0
2020-11-05 22:18:38+00:00,0.488,0.435,1564741,1394800,118.0,106.0
2020-11-05 22:28:38+00:00,0.488,0.435,1564779,1394834,38.0,34.0
2020-11-05 22:38:38+00:00,0.488,0.435,1564991,1395022,212.0,188.0
2020-11-05 22:48:38+00:00,0.488,0.435,1565010,1395039,19.0,17.0
2020-11-05 22:58:42+00:00,0.488,0.435,1565140,1395155,130.0,116.0
2020-11-05 23:08:37+00:00,0.488,0.435,1565220,1395227,80.0,72.0
2020-11-05 23:28:38+00:00,0.488,0.435,1565262,1395264,42.0,37.0
2020-11-05 23:58:42+00:00,0.488,0.435,1565262,1395265,0.0,1.0
2020-11-06 00:28:38+00:00,0.488,0.435,1565432,1395416,170.0,151.0
