timestamp,trumpd_percent,bidenj_percent,trumpd_count,bidenj_count,trumpd_delta,bidenj_delta
2020-11-04 01:33:46+00:00,0.465,0.522,348,391,,
2020-11-04 01:35:52+00:00,0.595,0.396,693,461,345.0,70.0
2020-11-04 01:51:17+00:00,0.652,0.335,982,505,289.0,44.0
2020-11-04 01:54:13+00:00,0.714,0.274,1507,578,525.0,73.0
2020-11-04 02:00:12+00:00,0.651,0.328,20200,10178,18693.0,9600.0
2020-11-04 02:03:39+00:00,0.651,0.328,20622,10390,422.0,212.0
2020-11-04 02:07:11+00:00,0.645,0.334,21320,11040,698.0,650.0
2020-11-04 02:08:14+00:00,0.63,0.349,23144,12821,1824.0,1781.0
2020-11-04 02:09:10+00:00,0.633,0.346,23719,12965,575.0,144.0
2020-11-04 02:13:48+00:00,0.623,0.356,25268,14439,1549.0,1474.0
2020-11-04 02:17:19+00:00,0.619,0.361,25721,15001,453.0,562.0
2020-11-04 02:19:02+00:00,0.607,0.372,29554,18112,3833.0,3111.0
2020-11-04 02:19:41+00:00,0.601,0.379,30481,19222,927.0,1110.0
2020-11-04 02:19:51+00:00,0.598,0.381,30753,19594,272.0,372.0
2020-11-04 02:20:20+00:00,0.595,0.385,31683,20501,930.0,907.0
2020-11-04 02:20:52+00:00,0.604,0.376,33183,20657,1500.0,156.0
2020-11-04 02:24:32+00:00,0.586,0.395,34425,23204,1242.0,2547.0
2020-11-04 02:25:29+00:00,0.587,0.394,35418,23773,993.0,569.0
2020-11-04 02:26:24+00:00,0.565,0.416,37169,27367,1751.0,3594.0
2020-11-04 02:28:32+00:00,0.563,0.418,37804,28067,635.0,700.0
2020-11-04 02:29:56+00:00,0.556,0.425,38598,29504,794.0,1437.0
2020-11-04 02:30:47+00:00,0.554,0.428,40483,31276,1885.0,1772.0
2020-11-04 02:30:54+00:00,0.545,0.437,41203,33038,720.0,1762.0
2020-11-04 02:31:42+00:00,0.549,0.433,42431,33466,1228.0,428.0
2020-11-04 02:32:21+00:00,0.546,0.436,43323,34595,892.0,1129.0
2020-11-04 02:34:54+00:00,0.565,0.417,47630,35154,4307.0,559.0
2020-11-04 02:35:31+00:00,0.571,0.411,49066,35317,1436.0,163.0
2020-11-04 02:35:56+00:00,0.59,0.393,54472,36284,5406.0,967.0
2020-11-04 02:37:24+00:00,0.597,0.386,57049,36886,2577.0,602.0
2020-11-04 02:38:25+00:00,0.599,0.383,58492,37400,1443.0,514.0
2020-11-04 02:43:47+00:00,0.593,0.39,62385,41029,3893.0,3629.0
2020-11-04 02:44:47+00:00,0.592,0.391,63065,41653,680.0,624.0
2020-11-04 02:46:59+00:00,0.594,0.389,64096,41975,1031.0,322.0
2020-11-04 02:48:47+00:00,0.584,0.399,67492,46112,3396.0,4137.0
2020-11-04 02:49:13+00:00,0.593,0.39,81374,53517,13882.0,7405.0
2020-11-04 02:49:47+00:00,0.593,0.39,85004,55905,3630.0,2388.0
2020-11-04 02:50:14+00:00,0.588,0.396,86919,58538,1915.0,2633.0
2020-11-04 02:50:35+00:00,0.586,0.397,87377,59195,458.0,657.0
2020-11-04 02:51:39+00:00,0.591,0.392,89844,59592,2467.0,397.0
2020-11-04 02:54:00+00:00,0.592,0.392,92665,61359,2821.0,1767.0
2020-11-04 02:55:41+00:00,0.595,0.389,94194,61583,1529.0,224.0
2020-11-04 02:56:45+00:00,0.589,0.395,100551,67432,6357.0,5849.0
2020-11-04 02:59:03+00:00,0.579,0.405,104112,72824,3561.0,5392.0
2020-11-04 03:02:36+00:00,0.586,0.398,110875,75304,6763.0,2480.0
2020-11-04 03:09:21+00:00,0.587,0.397,117938,79764,7063.0,4460.0
2020-11-04 03:09:40+00:00,0.581,0.403,118297,82054,359.0,2290.0
2020-11-04 03:13:33+00:00,0.587,0.397,122796,83050,4499.0,996.0
2020-11-04 03:15:03+00:00,0.585,0.398,123176,83802,380.0,752.0
2020-11-04 03:16:19+00:00,0.582,0.402,127590,88129,4414.0,4327.0
2020-11-04 03:16:53+00:00,0.572,0.411,130076,93463,2486.0,5334.0
2020-11-04 03:17:23+00:00,0.578,0.405,135265,94779,5189.0,1316.0
2020-11-04 03:18:14+00:00,0.578,0.406,137166,96349,1901.0,1570.0
2020-11-04 03:18:55+00:00,0.579,0.405,138599,96948,1433.0,599.0
2020-11-04 03:19:27+00:00,0.577,0.407,142194,100300,3595.0,3352.0
2020-11-04 03:20:32+00:00,0.576,0.408,142566,100984,372.0,684.0
2020-11-04 03:21:40+00:00,0.579,0.405,145028,101445,2462.0,461.0
