timestamp,espym_percent,hyde_smithc_percent,espym_count,hyde_smithc_count,espym_delta,hyde_smithc_delta
2020-11-04 01:36:35+00:00,0.195,0.779,81,324,,
2020-11-04 01:52:11+00:00,0.203,0.774,150,571,69.0,247.0
2020-11-04 01:55:15+00:00,0.18,0.792,241,1060,91.0,489.0
2020-11-04 02:01:01+00:00,0.367,0.604,11072,18222,10831.0,17162.0
2020-11-04 02:05:06+00:00,0.367,0.604,11308,18611,236.0,389.0
2020-11-04 02:08:03+00:00,0.373,0.598,12006,19249,698.0,638.0
2020-11-04 02:08:50+00:00,0.39,0.582,13980,20862,1974.0,1613.0
2020-11-04 02:09:59+00:00,0.387,0.585,14155,21396,175.0,534.0
2020-11-04 02:14:33+00:00,0.388,0.584,14745,22193,590.0,797.0
2020-11-04 02:14:48+00:00,0.397,0.576,15745,22844,1000.0,651.0
2020-11-04 02:17:56+00:00,0.401,0.572,16303,23255,558.0,411.0
2020-11-04 02:20:13+00:00,0.419,0.556,20517,27226,4214.0,3971.0
2020-11-04 02:22:04+00:00,0.413,0.563,21667,29536,1150.0,2310.0
2020-11-04 02:22:18+00:00,0.413,0.563,22007,30000,340.0,464.0
2020-11-04 02:25:55+00:00,0.432,0.545,24665,31117,2658.0,1117.0
2020-11-04 02:26:04+00:00,0.431,0.546,25292,32041,627.0,924.0
2020-11-04 02:27:21+00:00,0.452,0.526,28983,33728,3691.0,1687.0
2020-11-04 02:29:05+00:00,0.454,0.524,29447,33987,464.0,259.0
2020-11-04 02:30:12+00:00,0.454,0.524,29795,34389,348.0,402.0
2020-11-04 02:30:37+00:00,0.461,0.517,30943,34702,1148.0,313.0
2020-11-04 02:31:39+00:00,0.464,0.515,32837,36447,1894.0,1745.0
2020-11-04 02:32:10+00:00,0.469,0.51,35154,38228,2317.0,1781.0
2020-11-04 02:33:33+00:00,0.472,0.507,36352,39047,1198.0,819.0
2020-11-04 02:35:30+00:00,0.454,0.524,37194,42929,842.0,3882.0
2020-11-04 02:36:19+00:00,0.448,0.53,37423,44273,229.0,1344.0
2020-11-04 02:36:32+00:00,0.446,0.532,38178,45540,755.0,1267.0
2020-11-04 02:36:57+00:00,0.421,0.557,40081,53029,1903.0,7489.0
2020-11-04 02:44:36+00:00,0.428,0.55,43964,56495,3883.0,3466.0
2020-11-04 02:47:20+00:00,0.428,0.55,44527,57220,563.0,725.0
2020-11-04 02:47:39+00:00,0.425,0.553,47402,61678,2875.0,4458.0
