timestamp,trumpd_percent,bidenj_percent,trumpd_count,bidenj_count,trumpd_delta,bidenj_delta
2020-11-04 02:07:28+00:00,0.512,0.459,3012,2700,,
2020-11-04 02:16:19+00:00,0.534,0.438,5686,4664,2674.0,1964.0
2020-11-04 02:19:39+00:00,0.598,0.38,53376,33918,47690.0,29254.0
2020-11-04 02:19:54+00:00,0.475,0.505,119388,126929,66012.0,93011.0
2020-11-04 02:20:35+00:00,0.474,0.503,119436,126743,48.0,-186.0
2020-11-04 02:22:45+00:00,0.481,0.496,124171,128043,4735.0,1300.0
2020-11-04 02:27:48+00:00,0.488,0.489,130799,131067,6628.0,3024.0
2020-11-04 02:32:26+00:00,0.488,0.489,130814,131082,15.0,15.0
2020-11-04 02:35:26+00:00,0.491,0.486,132508,131158,1694.0,76.0
2020-11-04 02:43:06+00:00,0.503,0.475,146861,138686,14353.0,7528.0
2020-11-04 02:44:24+00:00,0.503,0.475,147329,139128,468.0,442.0
2020-11-04 02:44:55+00:00,0.503,0.474,149267,140661,1938.0,1533.0
2020-11-04 02:48:46+00:00,0.507,0.47,154452,143181,5185.0,2520.0
2020-11-04 02:54:26+00:00,0.492,0.486,168354,166300,13902.0,23119.0
2020-11-04 02:57:02+00:00,0.495,0.483,173347,169145,4993.0,2845.0
2020-11-04 02:59:38+00:00,0.495,0.483,173358,169156,11.0,11.0
2020-11-04 03:00:18+00:00,0.496,0.482,175220,170275,1862.0,1119.0
2020-11-04 03:03:33+00:00,0.502,0.476,182271,172830,7051.0,2555.0
2020-11-04 03:06:01+00:00,0.503,0.475,182912,172730,641.0,-100.0
2020-11-04 03:08:01+00:00,0.507,0.471,186746,173486,3834.0,756.0
2020-11-04 03:08:42+00:00,0.509,0.469,189120,174258,2374.0,772.0
2020-11-04 03:11:48+00:00,0.51,0.468,190172,174511,1052.0,253.0
2020-11-04 03:16:18+00:00,0.51,0.468,190212,174547,40.0,36.0
2020-11-04 03:51:19+00:00,0.535,0.443,225771,186947,35559.0,12400.0
2020-11-04 03:52:31+00:00,0.517,0.461,252909,225514,27138.0,38567.0
2020-11-04 03:59:40+00:00,0.52,0.459,260085,229575,7176.0,4061.0
2020-11-04 04:07:55+00:00,0.521,0.458,261724,230076,1639.0,501.0
2020-11-04 04:09:09+00:00,0.522,0.457,263152,230384,1428.0,308.0
2020-11-04 04:12:15+00:00,0.523,0.455,265043,230582,1891.0,198.0
2020-11-04 04:12:41+00:00,0.528,0.45,272319,232090,7276.0,1508.0
2020-11-04 04:13:33+00:00,0.529,0.449,273798,232392,1479.0,302.0
2020-11-04 04:17:29+00:00,0.535,0.444,294800,244656,21002.0,12264.0
2020-11-04 04:20:22+00:00,0.535,0.443,295459,244651,659.0,-5.0
2020-11-04 04:24:37+00:00,0.536,0.443,296181,244792,722.0,141.0
2020-11-04 04:25:22+00:00,0.537,0.441,298382,245040,2201.0,248.0
2020-11-04 04:26:40+00:00,0.541,0.438,303430,245660,5048.0,620.0
2020-11-04 04:40:24+00:00,0.547,0.431,313206,246786,9776.0,1126.0
2020-11-04 04:41:05+00:00,0.548,0.43,314879,247076,1673.0,290.0
2020-11-04 04:50:42+00:00,0.553,0.426,326774,251729,11895.0,4653.0
2020-11-04 04:51:54+00:00,0.554,0.425,328664,252134,1890.0,405.0
2020-11-04 05:04:29+00:00,0.539,0.441,366745,300064,38081.0,47930.0
2020-11-04 05:05:00+00:00,0.539,0.441,366766,300082,21.0,18.0
2020-11-04 05:06:28+00:00,0.541,0.439,370350,300524,3584.0,442.0
2020-11-04 05:11:39+00:00,0.543,0.436,375046,301142,4696.0,618.0
2020-11-04 05:18:26+00:00,0.543,0.436,375315,301358,269.0,216.0
2020-11-04 05:20:31+00:00,0.544,0.435,378358,302547,3043.0,1189.0
2020-11-04 05:47:56+00:00,0.552,0.427,407627,315320,29269.0,12773.0
2020-11-04 05:48:52+00:00,0.553,0.426,409953,315804,2326.0,484.0
2020-11-04 05:52:35+00:00,0.558,0.421,440465,332322,30512.0,16518.0
2020-11-04 05:56:24+00:00,0.559,0.419,443357,332320,2892.0,-2.0
2020-11-04 06:13:33+00:00,0.564,0.415,455115,334881,11758.0,2561.0
2020-11-04 06:15:47+00:00,0.564,0.415,456409,335833,1294.0,952.0
2020-11-04 06:20:49+00:00,0.565,0.413,460730,336782,4321.0,949.0
2020-11-04 06:30:54+00:00,0.566,0.412,466223,339371,5493.0,2589.0
2020-11-04 06:35:49+00:00,0.568,0.411,471157,340925,4934.0,1554.0
2020-11-04 06:36:44+00:00,0.568,0.411,471184,340945,27.0,20.0
2020-11-04 06:39:17+00:00,0.568,0.411,471186,340946,2.0,1.0
2020-11-04 06:43:58+00:00,0.569,0.41,474455,341874,3269.0,928.0
2020-11-04 06:45:19+00:00,0.569,0.41,474457,341876,2.0,2.0
2020-11-04 06:50:48+00:00,0.57,0.409,477213,342421,2756.0,545.0
2020-11-04 06:53:07+00:00,0.57,0.409,477218,342425,5.0,4.0
2020-11-04 07:00:50+00:00,0.572,0.407,485957,345777,8739.0,3352.0
2020-11-04 07:15:52+00:00,0.572,0.407,486729,346326,772.0,549.0
2020-11-04 07:55:32+00:00,0.576,0.403,504554,353012,17825.0,6686.0
2020-11-04 08:10:48+00:00,0.576,0.403,504661,353088,107.0,76.0
2020-11-04 08:15:48+00:00,0.576,0.402,505395,352724,734.0,-364.0
2020-11-04 08:25:47+00:00,0.577,0.402,508132,354019,2737.0,1295.0
2020-11-05 01:09:29+00:00,0.587,0.391,543766,362202,35634.0,8183.0
2020-11-06 15:11:02+00:00,0.587,0.391,543766,362202,0.0,0.0
2020-11-07 00:44:14+00:00,0.617,0.36,580108,338475,36342.0,-23727.0
2020-11-07 00:47:20+00:00,0.585,0.391,550022,367621,-30086.0,29146.0
