timestamp,sasseb_percent,janicekc_percent,sasseb_count,janicekc_count,sasseb_delta,janicekc_delta
2020-11-04 02:08:29+00:00,0.613,0.254,3502,1451,,
2020-11-04 02:16:44+00:00,0.624,0.24,6460,2484,2958.0,1033.0
2020-11-04 02:19:54+00:00,0.607,0.329,135037,73192,128577.0,70708.0
2020-11-04 02:22:45+00:00,0.608,0.327,136930,73645,1893.0,453.0
2020-11-04 02:23:11+00:00,0.611,0.324,139384,73912,2454.0,267.0
2020-11-04 02:27:47+00:00,0.616,0.319,146177,75699,6793.0,1787.0
2020-11-04 02:31:37+00:00,0.601,0.311,146232,75671,55.0,-28.0
2020-11-04 02:32:54+00:00,0.6,0.31,146177,75525,-55.0,-146.0
2020-11-04 02:35:25+00:00,0.602,0.309,147703,75814,1526.0,289.0
2020-11-04 02:37:49+00:00,0.604,0.307,150817,76657,3114.0,843.0
2020-11-04 02:38:51+00:00,0.613,0.301,163570,80317,12753.0,3660.0
2020-11-04 02:40:29+00:00,0.614,0.3,166562,81382,2992.0,1065.0
2020-11-04 02:44:02+00:00,0.613,0.3,166620,81543,58.0,161.0
2020-11-04 02:45:51+00:00,0.613,0.3,166734,81599,114.0,56.0
2020-11-04 02:48:47+00:00,0.616,0.297,172096,82975,5362.0,1376.0
2020-11-04 02:54:25+00:00,0.609,0.306,188471,94700,16375.0,11725.0
2020-11-04 02:55:21+00:00,0.61,0.305,189393,94697,922.0,-3.0
2020-11-04 02:57:00+00:00,0.611,0.304,190449,94757,1056.0,60.0
2020-11-04 02:59:24+00:00,0.609,0.304,190285,94986,-164.0,229.0
2020-11-04 03:00:18+00:00,0.611,0.303,195648,97023,5363.0,2037.0
2020-11-04 03:00:36+00:00,0.61,0.302,195645,96860,-3.0,-163.0
2020-11-04 03:03:27+00:00,0.612,0.301,198795,97774,3150.0,914.0
2020-11-04 03:05:34+00:00,0.616,0.299,202853,98463,4058.0,689.0
2020-11-04 03:06:37+00:00,0.616,0.299,203181,98622,328.0,159.0
2020-11-04 03:08:02+00:00,0.62,0.295,209026,99456,5845.0,834.0
2020-11-04 03:11:47+00:00,0.62,0.295,209419,99643,393.0,187.0
2020-11-04 03:13:33+00:00,0.621,0.295,210156,99832,737.0,189.0
2020-11-04 03:17:45+00:00,0.619,0.294,209975,99730,-181.0,-102.0
2020-11-04 03:20:46+00:00,0.622,0.293,211983,99857,2008.0,127.0
2020-11-04 03:23:47+00:00,0.625,0.292,221949,103694,9966.0,3837.0
2020-11-04 03:27:50+00:00,0.626,0.291,223195,103753,1246.0,59.0
2020-11-04 03:37:15+00:00,0.627,0.29,225164,104143,1969.0,390.0
2020-11-04 03:39:55+00:00,0.626,0.289,226396,104518,1232.0,375.0
2020-11-04 03:42:05+00:00,0.629,0.286,230100,104624,3704.0,106.0
2020-11-04 03:43:00+00:00,0.634,0.281,244565,108395,14465.0,3771.0
2020-11-04 03:52:31+00:00,0.635,0.28,246264,108589,1699.0,194.0
2020-11-04 03:54:06+00:00,0.636,0.28,247672,109038,1408.0,449.0
2020-11-04 03:54:51+00:00,0.636,0.279,248282,108916,610.0,-122.0
