timestamp,trumpd_percent,bidenj_percent,trumpd_count,bidenj_count,trumpd_delta,bidenj_delta
2020-11-04 04:53:10+00:00,0.91,0.075,374,31,,
2020-11-04 05:02:47+00:00,0.787,0.189,3611,867,3237.0,836.0
2020-11-04 05:29:51+00:00,0.746,0.222,12520,3726,8909.0,2859.0
2020-11-04 05:40:54+00:00,0.75,0.22,18436,5408,5916.0,1682.0
2020-11-04 05:46:13+00:00,0.763,0.209,32486,8899,14050.0,3491.0
2020-11-04 05:49:45+00:00,0.734,0.239,48120,15669,15634.0,6770.0
2020-11-04 06:23:22+00:00,0.678,0.295,62991,27408,14871.0,11739.0
2020-11-04 06:32:49+00:00,0.468,0.515,382534,420951,319543.0,393543.0
2020-11-04 06:35:22+00:00,0.465,0.516,479748,532365,97214.0,111414.0
2020-11-04 06:44:49+00:00,0.467,0.514,484322,533065,4574.0,700.0
2020-11-04 06:48:01+00:00,0.468,0.514,486404,534213,2082.0,1148.0
2020-11-04 06:50:19+00:00,0.472,0.509,503936,543440,17532.0,9227.0
2020-11-04 06:51:05+00:00,0.473,0.508,507388,544932,3452.0,1492.0
2020-11-04 06:51:49+00:00,0.476,0.505,514681,546038,7293.0,1106.0
2020-11-04 06:54:56+00:00,0.477,0.504,520301,549752,5620.0,3714.0
2020-11-04 07:07:53+00:00,0.477,0.504,520554,550019,253.0,267.0
2020-11-04 07:44:00+00:00,0.478,0.503,522743,550083,2189.0,64.0
2020-11-04 07:47:53+00:00,0.478,0.503,523500,550880,757.0,797.0
2020-11-04 08:59:16+00:00,0.479,0.502,528352,553722,4852.0,2842.0
2020-11-04 10:20:55+00:00,0.485,0.495,575898,587772,47546.0,34050.0
2020-11-04 10:26:39+00:00,0.486,0.494,578470,587992,2572.0,220.0
2020-11-04 10:45:08+00:00,0.487,0.493,580950,588107,2480.0,115.0
2020-11-05 17:08:20+00:00,0.485,0.495,585492,597564,4542.0,9457.0
2020-11-05 17:15:03+00:00,0.485,0.495,585975,598057,483.0,493.0
2020-11-05 17:18:00+00:00,0.485,0.495,586465,598557,490.0,500.0
2020-11-05 17:20:46+00:00,0.485,0.495,586469,598561,4.0,4.0
2020-11-05 17:28:58+00:00,0.485,0.494,592380,603373,5911.0,4812.0
2020-11-05 18:02:27+00:00,0.485,0.494,592823,603824,443.0,451.0
2020-11-05 18:16:00+00:00,0.485,0.494,592831,603832,8.0,8.0
2020-11-05 18:19:58+00:00,0.485,0.494,592831,603832,0.0,0.0
2020-11-06 16:31:41+00:00,0.481,0.498,602526,623821,9695.0,19989.0
2020-11-06 16:48:41+00:00,0.481,0.498,602647,623946,121.0,125.0
2020-11-06 16:53:42+00:00,0.481,0.498,602795,624100,148.0,154.0
2020-11-06 16:55:41+00:00,0.481,0.498,605296,626689,2501.0,2589.0
2020-11-06 16:57:40+00:00,0.481,0.498,605298,626691,2.0,2.0
2020-11-06 16:58:40+00:00,0.481,0.498,605299,626692,1.0,1.0
2020-11-06 17:03:34+00:00,0.481,0.498,605310,626704,11.0,12.0
2020-11-06 17:48:41+00:00,0.481,0.498,605590,626993,280.0,289.0
2020-11-06 18:03:42+00:00,0.481,0.497,606445,626618,855.0,-375.0
2020-11-06 23:19:42+00:00,0.48,0.498,609366,632217,2921.0,5599.0
2020-11-07 17:04:43+00:00,0.48,0.498,609600,632460,234.0,243.0
2020-11-07 17:10:42+00:00,0.479,0.499,615370,641064,5770.0,8604.0
2020-11-07 17:13:42+00:00,0.479,0.499,615927,641645,557.0,581.0
2020-11-07 17:17:42+00:00,0.479,0.499,616666,642414,739.0,769.0
2020-11-08 01:59:57+00:00,0.478,0.5,619375,647882,2709.0,5468.0
2020-11-08 17:03:45+00:00,0.478,0.5,620075,648614,700.0,732.0
