timestamp,messnerc_percent,shaheenj_percent,messnerc_count,shaheenj_count,messnerc_delta,shaheenj_delta
2020-11-03 14:17:31+00:00,0.593,0.407,16,11,,
2020-11-03 14:17:31+00:00,0.593,0.407,16,11,0.0,0.0
2020-11-04 00:10:59+00:00,0.234,0.766,611,1999,595.0,1988.0
2020-11-04 00:16:24+00:00,0.243,0.757,1288,4012,677.0,2013.0
2020-11-04 00:24:21+00:00,0.248,0.752,1793,5435,505.0,1423.0
2020-11-04 00:27:37+00:00,0.269,0.731,2550,6928,757.0,1493.0
2020-11-04 00:30:22+00:00,0.31,0.69,3796,8448,1246.0,1520.0
2020-11-04 00:30:42+00:00,0.355,0.64,5625,10140,1829.0,1692.0
2020-11-04 00:31:47+00:00,0.35,0.645,6121,11280,496.0,1140.0
2020-11-04 00:35:59+00:00,0.375,0.617,8203,13496,2082.0,2216.0
2020-11-04 00:42:45+00:00,0.395,0.595,9728,14654,1525.0,1158.0
2020-11-04 00:49:12+00:00,0.391,0.6,10562,16208,834.0,1554.0
2020-11-04 00:50:16+00:00,0.393,0.597,11310,17180,748.0,972.0
2020-11-04 00:52:25+00:00,0.384,0.606,11650,18385,340.0,1205.0
2020-11-04 00:53:17+00:00,0.39,0.6,12913,19866,1263.0,1481.0
2020-11-04 00:53:32+00:00,0.375,0.615,13556,22232,643.0,2366.0
2020-11-04 00:54:23+00:00,0.36,0.63,14427,25247,871.0,3015.0
2020-11-04 00:57:31+00:00,0.362,0.628,14738,25568,311.0,321.0
2020-11-04 01:01:09+00:00,0.366,0.625,15566,26582,828.0,1014.0
2020-11-04 01:05:06+00:00,0.368,0.623,16223,27464,657.0,882.0
2020-11-04 01:06:14+00:00,0.37,0.622,17115,28771,892.0,1307.0
2020-11-04 01:08:40+00:00,0.368,0.624,18160,30793,1045.0,2022.0
2020-11-04 01:09:02+00:00,0.371,0.621,18898,31632,738.0,839.0
2020-11-04 01:09:14+00:00,0.379,0.611,20588,33190,1690.0,1558.0
2020-11-04 01:10:10+00:00,0.385,0.605,21623,33979,1035.0,789.0
2020-11-04 01:10:37+00:00,0.389,0.601,22931,35428,1308.0,1449.0
2020-11-04 01:11:33+00:00,0.391,0.599,23062,35331,131.0,-97.0
2020-11-04 01:15:15+00:00,0.391,0.599,23079,35356,17.0,25.0
2020-11-04 01:16:06+00:00,0.396,0.594,24918,37377,1839.0,2021.0
2020-11-04 01:19:10+00:00,0.398,0.591,26195,38898,1277.0,1521.0
2020-11-04 01:20:33+00:00,0.401,0.587,28143,41197,1948.0,2299.0
2020-11-04 01:22:17+00:00,0.398,0.589,29078,43033,935.0,1836.0
2020-11-04 01:22:30+00:00,0.4,0.588,30354,44621,1276.0,1588.0
2020-11-04 01:26:52+00:00,0.4,0.588,30362,44633,8.0,12.0
2020-11-04 01:27:19+00:00,0.397,0.591,31134,46349,772.0,1716.0
2020-11-04 01:29:57+00:00,0.398,0.59,32397,48026,1263.0,1677.0
2020-11-04 01:30:28+00:00,0.404,0.584,34355,49662,1958.0,1636.0
2020-11-04 01:30:36+00:00,0.404,0.584,34900,50449,545.0,787.0
2020-11-04 01:31:19+00:00,0.406,0.582,35488,50872,588.0,423.0
2020-11-04 01:33:10+00:00,0.406,0.581,36123,51693,635.0,821.0
2020-11-04 01:34:57+00:00,0.406,0.581,36323,51980,200.0,287.0
