timestamp,bookerc_percent,mehtar_percent,bookerc_count,mehtar_count,bookerc_delta,mehtar_delta
2020-11-04 01:24:14+00:00,0.488,0.488,20025,20025,,
2020-11-04 01:25:13+00:00,0.665,0.319,93971,45078,73946.0,25053.0
2020-11-04 01:31:45+00:00,0.589,0.394,169667,113496,75696.0,68418.0
2020-11-04 01:31:45+00:00,0.589,0.394,169667,113496,0.0,0.0
2020-11-04 01:36:59+00:00,0.485,0.499,266067,273747,96400.0,160251.0
2020-11-04 01:40:39+00:00,0.493,0.491,325253,323934,59186.0,50187.0
2020-11-04 01:44:51+00:00,0.491,0.492,336583,337269,11330.0,13335.0
2020-11-04 01:58:49+00:00,0.57,0.414,537147,390138,200564.0,52869.0
2020-11-04 02:00:53+00:00,0.599,0.384,663850,425573,126703.0,35435.0
2020-11-04 02:01:41+00:00,0.596,0.387,719557,467229,55707.0,41656.0
2020-11-04 02:02:21+00:00,0.596,0.387,719593,467253,36.0,24.0
2020-11-04 02:12:08+00:00,0.596,0.387,719631,467277,38.0,24.0
2020-11-04 02:14:35+00:00,0.59,0.393,740361,493156,20730.0,25879.0
2020-11-04 02:15:54+00:00,0.59,0.393,740362,493156,1.0,0.0
2020-11-04 02:16:14+00:00,0.586,0.397,754105,510887,13743.0,17731.0
2020-11-04 02:28:25+00:00,0.599,0.384,858316,550239,104211.0,39352.0
2020-11-04 02:28:49+00:00,0.602,0.382,967673,614039,109357.0,63800.0
2020-11-04 02:31:37+00:00,0.602,0.382,1187253,753373,219580.0,139334.0
2020-11-04 02:33:01+00:00,0.597,0.387,1282783,831553,95530.0,78180.0
2020-11-04 02:33:27+00:00,0.603,0.381,1377335,870257,94552.0,38704.0
2020-11-04 02:34:12+00:00,0.603,0.381,1377338,870258,3.0,1.0
2020-11-04 02:35:05+00:00,0.608,0.376,1515954,937498,138616.0,67240.0
2020-11-04 02:44:02+00:00,0.608,0.376,1526351,943927,10397.0,6429.0
2020-11-04 02:46:27+00:00,0.608,0.376,1526365,943936,14.0,9.0
2020-11-04 02:51:39+00:00,0.608,0.376,1526366,943937,1.0,1.0
2020-11-04 02:59:37+00:00,0.608,0.375,1592939,982487,66573.0,38550.0
2020-11-04 03:03:58+00:00,0.608,0.375,1604722,989755,11783.0,7268.0
2020-11-04 03:17:53+00:00,0.609,0.375,1607971,990130,3249.0,375.0
2020-11-04 03:18:22+00:00,0.609,0.375,1608114,990218,143.0,88.0
2020-11-04 03:21:01+00:00,0.609,0.375,1608207,990275,93.0,57.0
2020-11-04 03:47:10+00:00,0.609,0.375,1608234,990292,27.0,17.0
2020-11-04 03:52:07+00:00,0.609,0.375,1608239,990295,5.0,3.0
2020-11-04 03:57:22+00:00,0.609,0.375,1608267,990312,28.0,17.0
2020-11-04 04:21:25+00:00,0.608,0.375,1612646,994642,4379.0,4330.0
2020-11-04 04:26:46+00:00,0.606,0.377,1624242,1010461,11596.0,15819.0
2020-11-04 04:28:29+00:00,0.606,0.377,1624268,1010477,26.0,16.0
2020-11-04 04:34:13+00:00,0.606,0.377,1625645,1011333,1377.0,856.0
2020-11-04 04:57:13+00:00,0.606,0.377,1625650,1011337,5.0,4.0
2020-11-04 05:28:36+00:00,0.606,0.377,1626416,1011813,766.0,476.0
2020-11-04 07:03:01+00:00,0.606,0.378,1710571,1066990,84155.0,55177.0
2020-11-04 08:36:43+00:00,0.605,0.378,1714099,1070958,3528.0,3968.0
2020-11-04 16:35:48+00:00,0.605,0.378,1714107,1070963,8.0,5.0
2020-11-04 19:01:00+00:00,0.605,0.378,1714108,1070964,1.0,1.0
2020-11-04 20:31:49+00:00,0.605,0.379,1723217,1079503,9109.0,8539.0
2020-11-04 20:50:48+00:00,0.605,0.379,1723854,1079902,637.0,399.0
2020-11-05 00:56:35+00:00,0.604,0.38,1730933,1088998,7079.0,9096.0
2020-11-05 01:00:40+00:00,0.602,0.382,1738972,1103467,8039.0,14469.0
2020-11-05 04:52:43+00:00,0.602,0.382,1742984,1106013,4012.0,2546.0
2020-11-05 19:37:40+00:00,0.6,0.384,1756198,1123966,13214.0,17953.0
2020-11-05 19:43:21+00:00,0.599,0.385,1771857,1138840,15659.0,14874.0
2020-11-05 19:48:09+00:00,0.598,0.386,1779075,1148366,7218.0,9526.0
2020-11-05 19:57:28+00:00,0.596,0.388,1784039,1161421,4964.0,13055.0
2020-11-05 20:11:20+00:00,0.595,0.388,1785974,1164635,1935.0,3214.0
2020-11-05 20:15:37+00:00,0.596,0.388,1799095,1171223,13121.0,6588.0
2020-11-05 20:56:37+00:00,0.596,0.388,1806540,1176070,7445.0,4847.0
2020-11-05 21:16:32+00:00,0.595,0.388,1806181,1177812,-359.0,1742.0
2020-11-05 21:34:52+00:00,0.595,0.389,1815775,1187120,9594.0,9308.0
2020-11-05 21:44:16+00:00,0.595,0.388,1826015,1190746,10240.0,3626.0
2020-11-05 21:49:06+00:00,0.594,0.39,1834264,1204315,8249.0,13569.0
2020-11-05 21:57:36+00:00,0.593,0.39,1833554,1205879,-710.0,1564.0
2020-11-05 22:00:40+00:00,0.592,0.391,1841234,1216085,7680.0,10206.0
2020-11-05 22:39:37+00:00,0.593,0.39,1859638,1223033,18404.0,6948.0
2020-11-06 03:57:37+00:00,0.593,0.39,1877959,1235082,18321.0,12049.0
2020-11-06 04:31:36+00:00,0.593,0.39,1881923,1237690,3964.0,2608.0
2020-11-06 13:50:58+00:00,0.593,0.39,1883242,1238557,1319.0,867.0
2020-11-06 15:46:22+00:00,0.592,0.391,1890357,1248530,7115.0,9973.0
2020-11-06 15:48:50+00:00,0.592,0.392,1891744,1252641,1387.0,4111.0
2020-11-06 16:59:08+00:00,0.591,0.392,1901194,1261029,9450.0,8388.0
2020-11-06 18:24:10+00:00,0.589,0.394,1906252,1275150,5058.0,14121.0
2020-11-06 18:40:48+00:00,0.589,0.394,1912283,1279184,6031.0,4034.0
2020-11-06 18:48:52+00:00,0.588,0.395,1913485,1285419,1202.0,6235.0
2020-11-06 18:58:57+00:00,0.588,0.395,1916066,1287153,2581.0,1734.0
2020-11-06 19:05:41+00:00,0.588,0.395,1916209,1287249,143.0,96.0
2020-11-06 19:47:39+00:00,0.588,0.395,1916215,1287253,6.0,4.0
2020-11-06 20:00:37+00:00,0.588,0.395,1917459,1288089,1244.0,836.0
2020-11-06 20:09:38+00:00,0.587,0.396,1924758,1298474,7299.0,10385.0
2020-11-06 22:27:23+00:00,0.587,0.396,1930845,1302580,6087.0,4106.0
2020-11-06 22:29:44+00:00,0.587,0.396,1931673,1303139,828.0,559.0
2020-11-06 23:00:35+00:00,0.587,0.396,1942634,1310533,10961.0,7394.0
2020-11-06 23:54:39+00:00,0.586,0.397,1951074,1321803,8440.0,11270.0
2020-11-07 00:32:55+00:00,0.586,0.397,1962601,1329612,11527.0,7809.0
2020-11-07 00:37:08+00:00,0.584,0.399,1970567,1346329,7966.0,16717.0
2020-11-07 00:40:27+00:00,0.583,0.399,1970763,1348772,196.0,2443.0
2020-11-07 02:57:37+00:00,0.584,0.399,1987642,1357995,16879.0,9223.0
2020-11-07 05:12:53+00:00,0.583,0.4,1988533,1364345,891.0,6350.0
2020-11-07 14:00:57+00:00,0.583,0.4,1998245,1371008,9712.0,6663.0
2020-11-07 14:08:18+00:00,0.583,0.4,1998272,1371027,27.0,19.0
2020-11-07 15:04:42+00:00,0.582,0.401,2000244,1378175,1972.0,7148.0
2020-11-07 21:16:49+00:00,0.582,0.401,2007567,1383221,7323.0,5046.0
2020-11-07 21:31:38+00:00,0.583,0.4,2022810,1387863,15243.0,4642.0
2020-11-07 23:30:49+00:00,0.582,0.4,2030756,1395708,7946.0,7845.0
2020-11-08 04:29:52+00:00,0.582,0.401,2035021,1402136,4265.0,6428.0
2020-11-08 14:20:50+00:00,0.582,0.401,2039139,1404974,4118.0,2838.0
