timestamp,trumpd_percent,bidenj_percent,trumpd_count,bidenj_count,trumpd_delta,bidenj_delta
2020-11-04 02:43:43+00:00,0.356,0.623,99338,173841,,
2020-11-04 02:46:31+00:00,0.382,0.597,113556,177468,14218.0,3627.0
2020-11-04 02:46:48+00:00,0.404,0.576,126834,180833,13278.0,3365.0
2020-11-04 02:47:43+00:00,0.405,0.575,127553,181094,719.0,261.0
2020-11-04 03:04:42+00:00,0.406,0.574,128115,181128,562.0,34.0
2020-11-04 03:09:37+00:00,0.431,0.55,192727,245940,64612.0,64812.0
2020-11-04 03:15:46+00:00,0.431,0.55,221404,282534,28677.0,36594.0
2020-11-04 03:17:42+00:00,0.431,0.55,221809,283051,405.0,517.0
2020-11-04 03:18:25+00:00,0.431,0.549,222088,282892,279.0,-159.0
2020-11-04 03:20:21+00:00,0.432,0.549,223290,283764,1202.0,872.0
2020-11-04 03:26:40+00:00,0.442,0.538,240730,293016,17440.0,9252.0
2020-11-04 03:35:59+00:00,0.443,0.538,244209,296579,3479.0,3563.0
2020-11-04 03:46:56+00:00,0.44,0.54,251152,308233,6943.0,11654.0
2020-11-04 03:55:02+00:00,0.44,0.539,251479,308062,327.0,-171.0
2020-11-04 03:55:13+00:00,0.441,0.539,252447,308547,968.0,485.0
2020-11-04 03:57:01+00:00,0.443,0.537,255626,309867,3179.0,1320.0
2020-11-04 04:03:41+00:00,0.443,0.537,255737,310002,111.0,135.0
2020-11-04 04:06:15+00:00,0.442,0.537,267780,325335,12043.0,15333.0
2020-11-04 04:08:46+00:00,0.442,0.538,269763,328354,1983.0,3019.0
2020-11-04 04:16:23+00:00,0.442,0.537,271437,329778,1674.0,1424.0
2020-11-04 04:19:33+00:00,0.442,0.537,271945,330395,508.0,617.0
2020-11-04 04:20:10+00:00,0.442,0.537,272343,330878,398.0,483.0
2020-11-04 04:27:00+00:00,0.444,0.536,283336,342046,10993.0,11168.0
2020-11-04 04:34:55+00:00,0.442,0.537,287593,349406,4257.0,7360.0
2020-11-04 04:46:34+00:00,0.442,0.537,291006,353552,3413.0,4146.0
2020-11-04 04:56:05+00:00,0.449,0.53,323936,382374,32930.0,28822.0
2020-11-04 05:06:17+00:00,0.449,0.53,329445,388877,5509.0,6503.0
2020-11-04 05:15:09+00:00,0.449,0.531,330423,390768,978.0,1891.0
2020-11-04 05:16:06+00:00,0.449,0.53,334657,395030,4234.0,4262.0
2020-11-04 05:22:40+00:00,0.449,0.53,334714,395096,57.0,66.0
2020-11-04 05:27:56+00:00,0.447,0.533,361977,431620,27263.0,36524.0
2020-11-04 05:32:41+00:00,0.446,0.533,364446,435538,2469.0,3918.0
2020-11-04 05:35:21+00:00,0.445,0.534,364989,437986,543.0,2448.0
2020-11-04 05:46:21+00:00,0.445,0.534,365161,438193,172.0,207.0
2020-11-04 05:59:49+00:00,0.445,0.533,369490,442558,4329.0,4365.0
2020-11-04 06:05:35+00:00,0.439,0.54,384243,472645,14753.0,30087.0
2020-11-04 06:14:48+00:00,0.439,0.54,387951,477207,3708.0,4562.0
2020-11-04 06:24:47+00:00,0.439,0.54,388488,477867,537.0,660.0
2020-11-04 06:34:49+00:00,0.439,0.539,396015,486223,7527.0,8356.0
2020-11-04 06:44:49+00:00,0.439,0.539,396203,486454,188.0,231.0
2020-11-04 07:04:49+00:00,0.439,0.539,399958,491065,3755.0,4611.0
2020-11-04 07:35:49+00:00,0.439,0.539,400227,491394,269.0,329.0
2020-11-04 07:45:50+00:00,0.438,0.54,399958,493099,-269.0,1705.0
2020-11-05 00:49:49+00:00,0.436,0.542,401594,499229,1636.0,6130.0
2020-11-05 01:26:48+00:00,0.436,0.542,401890,499597,296.0,368.0
2020-11-06 02:00:41+00:00,0.436,0.542,402217,500004,327.0,407.0
2020-11-06 20:47:18+00:00,0.436,0.542,400207,497505,-2010.0,-2499.0
2020-11-07 02:00:44+00:00,0.436,0.542,400659,498067,452.0,562.0
2020-11-08 02:01:39+00:00,0.436,0.542,400798,498239,139.0,172.0
