timestamp,ronchettim_percent,ronchettim_count,ronchettim_delta
2020-11-04 01:53:26+00:00,0.761,757,
2020-11-04 02:44:08+00:00,0.398,110874,110117.0
2020-11-04 02:48:22+00:00,0.42,123891,13017.0
2020-11-04 02:58:25+00:00,0.421,124437,546.0
2020-11-04 03:09:37+00:00,0.446,190172,65735.0
2020-11-04 03:15:45+00:00,0.445,219130,28958.0
2020-11-04 03:18:14+00:00,0.457,234381,15251.0
2020-11-04 03:26:19+00:00,0.467,252385,18004.0
2020-11-04 03:35:39+00:00,0.467,255447,3062.0
2020-11-04 03:37:28+00:00,0.468,256669,1222.0
2020-11-04 03:48:33+00:00,0.464,262598,5929.0
2020-11-04 03:54:53+00:00,0.464,263226,628.0
2020-11-04 03:59:12+00:00,0.466,266487,3261.0
2020-11-04 04:06:15+00:00,0.466,279721,13234.0
2020-11-04 04:16:23+00:00,0.466,281875,2154.0
2020-11-04 04:27:23+00:00,0.468,293303,11428.0
2020-11-04 04:36:08+00:00,0.466,298247,4944.0
2020-11-04 04:46:33+00:00,0.465,301801,3554.0
2020-11-04 04:56:47+00:00,0.472,338272,36471.0
2020-11-04 05:05:25+00:00,0.471,339575,1303.0
2020-11-04 05:16:05+00:00,0.472,348429,8854.0
2020-11-04 05:27:57+00:00,0.467,375440,27011.0
2020-11-04 05:35:21+00:00,0.466,376064,624.0
2020-11-04 05:46:21+00:00,0.466,376237,173.0
2020-11-04 05:56:15+00:00,0.466,379622,3385.0
2020-11-04 05:59:48+00:00,0.466,384055,4433.0
2020-11-04 06:05:35+00:00,0.46,399762,15707.0
2020-11-04 06:14:49+00:00,0.46,403616,3854.0
2020-11-04 06:15:24+00:00,0.46,403616,0.0
2020-11-04 06:25:49+00:00,0.46,404167,551.0
2020-11-04 06:34:49+00:00,0.46,411930,7763.0
2020-11-04 06:44:50+00:00,0.46,412121,191.0
2020-11-04 07:04:49+00:00,0.46,416021,3900.0
2020-11-04 07:35:49+00:00,0.46,416302,281.0
2020-11-04 07:45:49+00:00,0.46,416967,665.0
2020-11-05 00:48:50+00:00,0.457,417915,948.0
2020-11-05 01:24:49+00:00,0.457,418224,309.0
2020-11-06 02:00:49+00:00,0.457,418564,340.0
2020-11-06 20:53:08+00:00,0.458,417378,-1186.0
2020-11-07 02:00:44+00:00,0.457,416930,-448.0
2020-11-08 02:00:38+00:00,0.457,417072,142.0
