timestamp,trumpd_percent,bidenj_percent,trumpd_count,bidenj_count,trumpd_delta,bidenj_delta
2020-11-04 00:39:55+00:00,0.281,0.719,9,23,,
2020-11-04 00:42:17+00:00,0.47,0.519,60146,66416,60137.0,66393.0
2020-11-04 00:43:31+00:00,0.304,0.685,147291,331890,87145.0,265474.0
2020-11-04 00:44:11+00:00,0.305,0.684,147899,331681,608.0,-209.0
2020-11-04 00:44:56+00:00,0.333,0.656,354612,698576,206713.0,366895.0
2020-11-04 00:47:56+00:00,0.345,0.644,401018,748568,46406.0,49992.0
2020-11-04 00:50:54+00:00,0.361,0.628,448121,779556,47103.0,30988.0
2020-11-04 00:54:39+00:00,0.388,0.601,529906,820807,81785.0,41251.0
2020-11-04 00:56:54+00:00,0.385,0.604,585285,918214,55379.0,97407.0
2020-11-04 00:59:59+00:00,0.391,0.597,699342,1067794,114057.0,149580.0
2020-11-04 01:01:19+00:00,0.391,0.597,699345,1067798,3.0,4.0
2020-11-04 01:02:57+00:00,0.404,0.585,778294,1126986,78949.0,59188.0
2020-11-04 01:05:59+00:00,0.419,0.569,892515,1212031,114221.0,85045.0
2020-11-04 01:09:05+00:00,0.429,0.56,986466,1287695,93951.0,75664.0
2020-11-04 01:10:28+00:00,0.429,0.56,986471,1287701,5.0,6.0
2020-11-04 01:11:56+00:00,0.424,0.564,1063629,1414828,77158.0,127127.0
2020-11-04 01:14:57+00:00,0.432,0.556,1122387,1444554,58758.0,29726.0
2020-11-04 01:15:24+00:00,0.432,0.556,1122481,1444675,94.0,121.0
2020-11-04 01:16:33+00:00,0.432,0.556,1122554,1444769,73.0,94.0
2020-11-04 01:17:49+00:00,0.432,0.556,1122694,1444949,140.0,180.0
2020-11-04 01:19:09+00:00,0.435,0.553,1155765,1469283,33071.0,24334.0
2020-11-04 01:20:46+00:00,0.435,0.553,1155777,1469298,12.0,15.0
2020-11-04 01:21:00+00:00,0.436,0.552,1163064,1472504,7287.0,3206.0
2020-11-04 01:22:45+00:00,0.436,0.552,1163112,1472564,48.0,60.0
2020-11-04 01:23:58+00:00,0.436,0.552,1163214,1472693,102.0,129.0
2020-11-04 01:26:57+00:00,0.437,0.551,1169840,1475015,6626.0,2322.0
2020-11-04 01:27:40+00:00,0.437,0.551,1169850,1475029,10.0,14.0
2020-11-04 01:29:58+00:00,0.443,0.545,1233371,1517352,63521.0,42323.0
2020-11-04 01:31:31+00:00,0.443,0.545,1233372,1517354,1.0,2.0
2020-11-04 01:32:55+00:00,0.444,0.544,1238402,1517322,5030.0,-32.0
2020-11-04 01:36:02+00:00,0.435,0.553,1334155,1696064,95753.0,178742.0
2020-11-04 01:37:38+00:00,0.435,0.553,1334165,1696076,10.0,12.0
2020-11-04 01:37:55+00:00,0.435,0.553,1334379,1696349,214.0,273.0
2020-11-04 01:38:41+00:00,0.435,0.553,1334391,1696363,12.0,14.0
2020-11-04 01:42:18+00:00,0.438,0.55,1364901,1713917,30510.0,17554.0
2020-11-04 01:42:55+00:00,0.438,0.55,1365058,1714114,157.0,197.0
2020-11-04 01:44:56+00:00,0.439,0.549,1372195,1716025,7137.0,1911.0
2020-11-04 01:45:53+00:00,0.439,0.549,1372620,1716557,425.0,532.0
