timestamp,inhofej_percent,broylesa_percent,inhofej_count,broylesa_count,inhofej_delta,broylesa_delta
2020-11-04 01:12:56+00:00,0.493,0.472,8634,8267,,
2020-11-04 01:13:20+00:00,0.605,0.364,67370,40533,58736.0,32266.0
2020-11-04 01:15:56+00:00,0.601,0.368,69563,42595,2193.0,2062.0
2020-11-04 01:16:56+00:00,0.598,0.371,74889,46461,5326.0,3866.0
2020-11-04 01:17:56+00:00,0.599,0.37,81744,50493,6855.0,4032.0
2020-11-04 01:19:57+00:00,0.601,0.368,85873,52581,4129.0,2088.0
2020-11-04 01:20:57+00:00,0.601,0.367,86521,52834,648.0,253.0
2020-11-04 01:21:57+00:00,0.603,0.365,89674,54280,3153.0,1446.0
2020-11-04 01:23:56+00:00,0.599,0.369,92721,57119,3047.0,2839.0
2020-11-04 01:24:58+00:00,0.604,0.364,103603,62436,10882.0,5317.0
2020-11-04 01:25:56+00:00,0.606,0.362,112751,67353,9148.0,4917.0
2020-11-04 01:27:59+00:00,0.61,0.358,117097,68723,4346.0,1370.0
2020-11-04 01:29:05+00:00,0.611,0.357,130345,76159,13248.0,7436.0
2020-11-04 01:29:57+00:00,0.61,0.358,134751,79084,4406.0,2925.0
2020-11-04 01:31:58+00:00,0.529,0.44,173638,144425,38887.0,65341.0
2020-11-04 01:32:58+00:00,0.532,0.437,176507,144988,2869.0,563.0
2020-11-04 01:33:59+00:00,0.534,0.434,180697,146859,4190.0,1871.0
2020-11-04 01:35:01+00:00,0.538,0.431,185542,148640,4845.0,1781.0
2020-11-04 01:36:59+00:00,0.539,0.43,188009,149989,2467.0,1349.0
2020-11-04 01:37:59+00:00,0.541,0.427,191133,150857,3124.0,868.0
2020-11-04 01:38:59+00:00,0.543,0.425,194114,151931,2981.0,1074.0
2020-11-04 01:40:58+00:00,0.521,0.448,212865,183039,18751.0,31108.0
2020-11-04 01:42:00+00:00,0.524,0.444,217867,184605,5002.0,1566.0
2020-11-04 01:43:01+00:00,0.523,0.445,231062,196601,13195.0,11996.0
2020-11-04 01:44:58+00:00,0.525,0.443,235078,198361,4016.0,1760.0
2020-11-04 01:46:03+00:00,0.528,0.44,249695,208079,14617.0,9718.0
2020-11-04 01:47:01+00:00,0.531,0.436,257181,211169,7486.0,3090.0
2020-11-04 01:49:02+00:00,0.536,0.43,265214,212765,8033.0,1596.0
2020-11-04 01:50:00+00:00,0.538,0.429,273145,217805,7931.0,5040.0
2020-11-04 01:51:05+00:00,0.541,0.426,289314,227815,16169.0,10010.0
2020-11-04 01:53:00+00:00,0.544,0.422,298540,231588,9226.0,3773.0
2020-11-04 01:54:00+00:00,0.548,0.418,306533,233815,7993.0,2227.0
2020-11-04 01:55:04+00:00,0.551,0.414,317123,238274,10590.0,4459.0
2020-11-04 01:57:03+00:00,0.555,0.41,327863,242205,10740.0,3931.0
2020-11-04 01:58:01+00:00,0.558,0.406,335719,244269,7856.0,2064.0
