timestamp,trumpd_percent,bidenj_percent,trumpd_count,bidenj_count,trumpd_delta,bidenj_delta
2020-11-04 01:14:14+00:00,0.41,0.57,1213,1686,,
2020-11-04 01:16:02+00:00,0.42,0.56,3457,4609,2244.0,2923.0
2020-11-04 01:18:01+00:00,0.49,0.491,10019,10039,6562.0,5430.0
2020-11-04 01:22:01+00:00,0.508,0.472,21434,19915,11415.0,9876.0
2020-11-04 01:26:02+00:00,0.509,0.471,37210,34432,15776.0,14517.0
2020-11-04 01:28:01+00:00,0.512,0.468,49204,44976,11994.0,10544.0
2020-11-04 01:32:02+00:00,0.534,0.447,66648,55790,17444.0,10814.0
2020-11-04 01:33:56+00:00,0.535,0.446,68263,56907,1615.0,1117.0
2020-11-04 01:35:06+00:00,0.537,0.443,82109,67736,13846.0,10829.0
2020-11-04 01:36:00+00:00,0.539,0.441,87282,71412,5173.0,3676.0
2020-11-04 01:40:57+00:00,0.54,0.44,90032,73359,2750.0,1947.0
2020-11-04 01:43:59+00:00,0.541,0.439,92543,75095,2511.0,1736.0
2020-11-04 01:45:58+00:00,0.541,0.439,93825,76135,1282.0,1040.0
2020-11-04 01:52:02+00:00,0.541,0.438,93933,76049,108.0,-86.0
2020-11-04 02:01:57+00:00,0.541,0.439,94047,76316,114.0,267.0
2020-11-04 02:22:26+00:00,0.542,0.438,94466,76339,419.0,23.0
2020-11-04 02:33:01+00:00,0.542,0.438,94650,76488,184.0,149.0
2020-11-04 02:33:32+00:00,0.541,0.438,94845,76788,195.0,300.0
2020-11-04 02:34:27+00:00,0.541,0.438,94915,76844,70.0,56.0
2020-11-04 03:11:12+00:00,0.541,0.438,94942,76866,27.0,22.0
2020-11-04 03:11:48+00:00,0.532,0.448,96727,81454,1785.0,4588.0
2020-11-04 03:37:16+00:00,0.533,0.448,97784,82190,1057.0,736.0
2020-11-04 03:37:55+00:00,0.526,0.455,103480,89512,5696.0,7322.0
2020-11-04 03:47:58+00:00,0.523,0.458,107594,94222,4114.0,4710.0
2020-11-04 03:55:15+00:00,0.51,0.472,108328,100256,734.0,6034.0
2020-11-04 03:56:46+00:00,0.501,0.481,111714,107255,3386.0,6999.0
2020-11-04 03:56:52+00:00,0.495,0.487,120691,118740,8977.0,11485.0
2020-11-04 04:10:20+00:00,0.489,0.494,128936,130254,8245.0,11514.0
2020-11-04 04:24:39+00:00,0.488,0.495,130507,132379,1571.0,2125.0
2020-11-04 04:54:56+00:00,0.488,0.495,130500,132372,-7.0,-7.0
2020-11-04 06:00:04+00:00,0.486,0.498,159235,163167,28735.0,30795.0
2020-11-04 06:08:50+00:00,0.393,0.592,187488,282424,28253.0,119257.0
2020-11-04 06:12:55+00:00,0.393,0.592,189306,285163,1818.0,2739.0
2020-11-04 21:13:02+00:00,0.392,0.594,196153,297232,6847.0,12069.0
2020-11-06 21:48:51+00:00,0.391,0.594,197534,300089,1381.0,2857.0
