timestamp,harrisonj_percent,grahaml_percent,harrisonj_count,grahaml_count,harrisonj_delta,grahaml_delta
2020-11-04 00:13:37+00:00,0.312,0.688,135,298,,
2020-11-04 00:15:05+00:00,0.394,0.606,324,498,189.0,200.0
2020-11-04 00:16:50+00:00,0.336,0.664,781,1543,457.0,1045.0
2020-11-04 00:18:44+00:00,0.365,0.635,1002,1744,221.0,201.0
2020-11-04 00:23:18+00:00,0.336,0.664,1150,2272,148.0,528.0
2020-11-04 00:24:33+00:00,0.328,0.672,1224,2508,74.0,236.0
2020-11-04 00:26:01+00:00,0.303,0.697,1597,3675,373.0,1167.0
2020-11-04 00:26:17+00:00,0.331,0.669,2017,4078,420.0,403.0
2020-11-04 00:27:21+00:00,0.305,0.695,2229,5079,212.0,1001.0
2020-11-04 00:29:22+00:00,0.307,0.693,2472,5580,243.0,501.0
2020-11-04 00:31:44+00:00,0.298,0.702,2573,6061,101.0,481.0
2020-11-04 00:32:27+00:00,0.307,0.693,3115,7031,542.0,970.0
2020-11-04 00:33:10+00:00,0.338,0.661,3884,7595,769.0,564.0
2020-11-04 00:34:12+00:00,0.341,0.658,4008,7734,124.0,139.0
2020-11-04 00:34:57+00:00,0.434,0.566,5943,7750,1935.0,16.0
2020-11-04 00:35:17+00:00,0.424,0.575,6129,8312,186.0,562.0
2020-11-04 00:35:49+00:00,0.433,0.566,6582,8603,453.0,291.0
2020-11-04 00:39:35+00:00,0.428,0.569,8130,10808,1548.0,2205.0
2020-11-04 00:39:57+00:00,0.416,0.581,8280,11565,150.0,757.0
2020-11-04 00:40:56+00:00,0.479,0.516,13509,14552,5229.0,2987.0
2020-11-04 00:42:33+00:00,0.479,0.517,13690,14776,181.0,224.0
2020-11-04 00:48:27+00:00,0.473,0.521,16869,18581,3179.0,3805.0
2020-11-04 00:52:23+00:00,0.473,0.521,16942,18661,73.0,80.0
2020-11-04 00:53:56+00:00,0.538,0.456,43653,37000,26711.0,18339.0
2020-11-04 00:58:31+00:00,0.537,0.456,43813,37204,160.0,204.0
2020-11-04 00:59:15+00:00,0.548,0.445,47351,38451,3538.0,1247.0
2020-11-04 00:59:56+00:00,0.549,0.445,50286,40760,2935.0,2309.0
2020-11-04 01:01:42+00:00,0.558,0.435,54904,42802,4618.0,2042.0
2020-11-04 01:01:51+00:00,0.557,0.436,55896,43753,992.0,951.0
2020-11-04 01:04:04+00:00,0.54,0.452,63668,53292,7772.0,9539.0
2020-11-04 01:09:11+00:00,0.538,0.454,63995,54003,327.0,711.0
2020-11-04 01:10:03+00:00,0.537,0.455,67420,57125,3425.0,3122.0
2020-11-04 01:10:46+00:00,0.552,0.44,75061,59831,7641.0,2706.0
2020-11-04 01:13:46+00:00,0.55,0.439,79170,63192,4109.0,3361.0
2020-11-04 01:13:58+00:00,0.539,0.451,89494,74883,10324.0,11691.0
2020-11-04 01:14:53+00:00,0.539,0.451,90219,75489,725.0,606.0
2020-11-04 01:15:04+00:00,0.537,0.453,96281,81220,6062.0,5731.0
2020-11-04 01:19:06+00:00,0.531,0.459,98708,85324,2427.0,4104.0
2020-11-04 01:20:59+00:00,0.525,0.465,102292,90602,3584.0,5278.0
2020-11-04 01:23:59+00:00,0.523,0.466,103029,91800,737.0,1198.0
2020-11-04 01:24:50+00:00,0.52,0.47,105298,95173,2269.0,3373.0
2020-11-04 01:26:47+00:00,0.519,0.471,111422,101117,6124.0,5944.0
2020-11-04 01:30:04+00:00,0.519,0.471,112505,102100,1083.0,983.0
2020-11-04 01:30:24+00:00,0.515,0.474,113305,104284,800.0,2184.0
2020-11-04 01:30:43+00:00,0.522,0.468,118873,106576,5568.0,2292.0
2020-11-04 01:32:29+00:00,0.517,0.472,119816,109387,943.0,2811.0
2020-11-04 01:33:49+00:00,0.518,0.471,120501,109567,685.0,180.0
2020-11-04 01:42:48+00:00,0.525,0.465,128888,114158,8387.0,4591.0
