timestamp,trumpd_percent,bidenj_percent,trumpd_count,bidenj_count,trumpd_delta,bidenj_delta
2020-11-04 02:03:34+00:00,0.744,0.236,2402,762,,
2020-11-04 02:04:03+00:00,0.707,0.27,7789,2975,5387.0,2213.0
2020-11-04 02:06:03+00:00,0.69,0.287,9383,3903,1594.0,928.0
2020-11-04 02:10:27+00:00,0.693,0.284,9848,4036,465.0,133.0
2020-11-04 02:11:27+00:00,0.698,0.279,10888,4352,1040.0,316.0
2020-11-04 02:11:57+00:00,0.68,0.297,11832,5168,944.0,816.0
2020-11-04 02:17:51+00:00,0.681,0.295,14158,6133,2326.0,965.0
2020-11-04 02:22:45+00:00,0.617,0.359,20740,12067,6582.0,5934.0
2020-11-04 02:27:43+00:00,0.625,0.35,23033,12899,2293.0,832.0
2020-11-04 02:31:17+00:00,0.626,0.348,32176,17887,9143.0,4988.0
2020-11-04 02:36:21+00:00,0.627,0.347,33529,18556,1353.0,669.0
2020-11-04 02:36:27+00:00,0.626,0.348,39756,22101,6227.0,3545.0
2020-11-04 02:39:57+00:00,0.612,0.363,45955,27258,6199.0,5157.0
2020-11-04 02:42:17+00:00,0.613,0.362,46289,27336,334.0,78.0
2020-11-04 02:42:27+00:00,0.615,0.359,47903,27963,1614.0,627.0
2020-11-04 02:42:59+00:00,0.618,0.356,48980,28215,1077.0,252.0
2020-11-04 02:47:15+00:00,0.619,0.355,49760,28538,780.0,323.0
2020-11-04 02:47:34+00:00,0.618,0.356,50342,28999,582.0,461.0
2020-11-04 02:49:17+00:00,0.617,0.357,50670,29318,328.0,319.0
2020-11-04 02:51:42+00:00,0.617,0.357,50778,29381,108.0,63.0
2020-11-04 02:51:45+00:00,0.618,0.356,51213,29501,435.0,120.0
2020-11-04 02:53:28+00:00,0.622,0.352,54795,31009,3582.0,1508.0
2020-11-04 02:55:36+00:00,0.623,0.351,55351,31185,556.0,176.0
2020-11-04 02:58:21+00:00,0.624,0.35,57253,32113,1902.0,928.0
2020-11-04 02:58:39+00:00,0.626,0.348,58976,32785,1723.0,672.0
2020-11-04 02:59:35+00:00,0.627,0.346,60235,33240,1259.0,455.0
2020-11-04 03:02:55+00:00,0.634,0.34,66254,35530,6019.0,2290.0
2020-11-04 03:06:58+00:00,0.635,0.339,66669,35592,415.0,62.0
2020-11-04 03:07:43+00:00,0.641,0.333,70970,36869,4301.0,1277.0
2020-11-04 03:12:12+00:00,0.645,0.33,76051,38910,5081.0,2041.0
2020-11-04 03:16:35+00:00,0.65,0.324,80509,40131,4458.0,1221.0
2020-11-04 03:17:27+00:00,0.649,0.325,81315,40720,806.0,589.0
2020-11-04 03:23:11+00:00,0.651,0.323,84066,41710,2751.0,990.0
2020-11-04 03:23:45+00:00,0.651,0.323,84423,41887,357.0,177.0
2020-11-04 03:27:55+00:00,0.653,0.321,88600,43554,4177.0,1667.0
2020-11-04 03:32:40+00:00,0.657,0.318,91245,44164,2645.0,610.0
2020-11-04 03:35:23+00:00,0.656,0.318,91986,44591,741.0,427.0
2020-11-04 03:35:51+00:00,0.657,0.318,93562,45286,1576.0,695.0
2020-11-04 03:37:18+00:00,0.66,0.314,99195,47193,5633.0,1907.0
2020-11-04 03:42:59+00:00,0.662,0.312,101967,48057,2772.0,864.0
2020-11-04 03:46:23+00:00,0.662,0.312,102121,48129,154.0,72.0
2020-11-04 03:50:32+00:00,0.664,0.311,106786,50016,4665.0,1887.0
2020-11-04 03:53:02+00:00,0.663,0.311,109143,51197,2357.0,1181.0
2020-11-04 03:53:17+00:00,0.663,0.311,109999,51598,856.0,401.0
2020-11-04 03:54:28+00:00,0.66,0.314,110508,52575,509.0,977.0
2020-11-04 03:58:11+00:00,0.641,0.333,132221,68689,21713.0,16114.0
2020-11-04 03:58:51+00:00,0.642,0.332,134244,69422,2023.0,733.0
2020-11-04 04:01:36+00:00,0.644,0.33,138487,70964,4243.0,1542.0
2020-11-04 04:08:28+00:00,0.645,0.329,141530,72191,3043.0,1227.0
2020-11-04 04:11:17+00:00,0.645,0.329,142356,72613,826.0,422.0
2020-11-04 04:12:23+00:00,0.646,0.328,155888,79151,13532.0,6538.0
2020-11-04 04:18:15+00:00,0.646,0.328,158331,80391,2443.0,1240.0
2020-11-04 04:22:24+00:00,0.646,0.327,158481,80222,150.0,-169.0
2020-11-04 04:22:53+00:00,0.646,0.327,160761,81376,2280.0,1154.0
2020-11-04 04:26:41+00:00,0.646,0.328,165047,83801,4286.0,2425.0
2020-11-04 04:32:36+00:00,0.646,0.328,167021,84803,1974.0,1002.0
2020-11-04 04:38:46+00:00,0.646,0.328,171901,87281,4880.0,2478.0
2020-11-04 04:41:38+00:00,0.643,0.33,171102,87813,-799.0,532.0
2020-11-04 04:41:46+00:00,0.644,0.33,171545,87903,443.0,90.0
2020-11-04 04:41:58+00:00,0.643,0.331,171738,88406,193.0,503.0
2020-11-04 04:42:34+00:00,0.643,0.33,172550,88556,812.0,150.0
2020-11-04 04:43:11+00:00,0.644,0.33,176954,90675,4404.0,2119.0
2020-11-04 04:43:45+00:00,0.645,0.329,177615,90597,661.0,-78.0
2020-11-04 04:46:34+00:00,0.646,0.328,180480,91637,2865.0,1040.0
2020-11-04 04:51:46+00:00,0.646,0.328,180929,91865,449.0,228.0
2020-11-04 04:52:28+00:00,0.645,0.329,180970,92309,41.0,444.0
2020-11-04 04:53:54+00:00,0.645,0.329,181042,92345,72.0,36.0
2020-11-04 04:57:24+00:00,0.645,0.329,181237,92445,195.0,100.0
2020-11-04 05:01:20+00:00,0.646,0.328,182459,92642,1222.0,197.0
2020-11-04 05:02:10+00:00,0.649,0.325,186262,93275,3803.0,633.0
2020-11-04 05:03:52+00:00,0.648,0.327,185975,93849,-287.0,574.0
2020-11-04 05:06:12+00:00,0.648,0.327,186056,93889,81.0,40.0
2020-11-04 05:07:24+00:00,0.648,0.326,186782,93968,726.0,79.0
2020-11-04 05:11:11+00:00,0.648,0.326,187038,94096,256.0,128.0
2020-11-04 05:14:30+00:00,0.648,0.326,189084,95126,2046.0,1030.0
2020-11-04 05:16:35+00:00,0.646,0.328,199439,101263,10355.0,6137.0
2020-11-04 05:23:00+00:00,0.647,0.327,203267,102733,3828.0,1470.0
2020-11-04 05:27:26+00:00,0.646,0.328,206438,104817,3171.0,2084.0
2020-11-04 05:31:56+00:00,0.648,0.326,210866,106084,4428.0,1267.0
2020-11-04 05:32:14+00:00,0.648,0.326,210925,106114,59.0,30.0
2020-11-04 05:33:20+00:00,0.648,0.326,210929,106115,4.0,1.0
2020-11-04 05:37:13+00:00,0.648,0.326,211507,106406,578.0,291.0
2020-11-04 05:42:02+00:00,0.647,0.326,211565,106600,58.0,194.0
2020-11-04 05:44:35+00:00,0.647,0.326,212818,107232,1253.0,632.0
2020-11-04 05:46:50+00:00,0.646,0.328,214994,109161,2176.0,1929.0
2020-11-04 05:48:04+00:00,0.645,0.328,216005,109845,1011.0,684.0
2020-11-04 05:51:48+00:00,0.645,0.328,216326,110008,321.0,163.0
2020-11-04 05:56:57+00:00,0.645,0.329,216531,110448,205.0,440.0
2020-11-04 06:01:47+00:00,0.645,0.329,219037,111726,2506.0,1278.0
2020-11-04 06:06:25+00:00,0.644,0.329,220110,112447,1073.0,721.0
2020-11-04 06:15:54+00:00,0.644,0.33,221177,113336,1067.0,889.0
2020-11-04 06:20:53+00:00,0.642,0.331,230241,118707,9064.0,5371.0
2020-11-04 06:30:53+00:00,0.642,0.332,231401,119665,1160.0,958.0
2020-11-04 06:35:52+00:00,0.641,0.333,236599,122913,5198.0,3248.0
2020-11-04 06:50:50+00:00,0.641,0.332,239314,123951,2715.0,1038.0
2020-11-04 06:55:53+00:00,0.641,0.332,239408,123999,94.0,48.0
2020-11-04 07:01:50+00:00,0.642,0.331,240881,124193,1473.0,194.0
2020-11-04 07:05:52+00:00,0.641,0.332,241658,125164,777.0,971.0
2020-11-04 07:10:04+00:00,0.641,0.332,241696,125184,38.0,20.0
2020-11-04 07:11:50+00:00,0.641,0.332,241801,125238,105.0,54.0
2020-11-04 07:15:15+00:00,0.64,0.333,241758,125790,-43.0,552.0
2020-11-04 07:21:49+00:00,0.64,0.333,242022,125927,264.0,137.0
2020-11-04 07:25:50+00:00,0.64,0.333,242547,126200,525.0,273.0
2020-11-04 07:45:50+00:00,0.64,0.333,243059,126466,512.0,266.0
2020-11-04 07:56:50+00:00,0.641,0.333,244283,126905,1224.0,439.0
2020-11-04 08:20:53+00:00,0.64,0.333,244231,127076,-52.0,171.0
2020-11-04 15:15:51+00:00,0.64,0.333,244233,127077,2.0,1.0
2020-11-04 15:20:52+00:00,0.64,0.333,244234,127078,1.0,1.0
2020-11-04 15:30:53+00:00,0.64,0.333,244235,127078,1.0,0.0
2020-11-04 15:36:22+00:00,0.64,0.333,244236,127079,1.0,1.0
2020-11-04 15:45:50+00:00,0.64,0.333,244236,127079,0.0,0.0
2020-11-04 15:55:51+00:00,0.64,0.333,244237,127080,1.0,1.0
2020-11-04 16:01:18+00:00,0.64,0.333,244239,127080,2.0,0.0
2020-11-04 16:11:52+00:00,0.64,0.333,244240,127081,1.0,1.0
