timestamp,roundsm_percent,ahlersd_percent,roundsm_count,ahlersd_count,roundsm_delta,ahlersd_delta
2020-11-04 02:03:27+00:00,0.795,0.205,236,61,,
2020-11-04 02:04:03+00:00,0.749,0.251,8151,2731,7915.0,2670.0
2020-11-04 02:06:03+00:00,0.731,0.269,9839,3620,1688.0,889.0
2020-11-04 02:10:27+00:00,0.733,0.267,10316,3757,477.0,137.0
2020-11-04 02:11:07+00:00,0.72,0.28,12414,4828,2098.0,1071.0
2020-11-04 02:17:17+00:00,0.722,0.278,13271,5110,857.0,282.0
2020-11-04 02:17:51+00:00,0.717,0.283,14800,5841,1529.0,731.0
2020-11-04 02:22:45+00:00,0.659,0.341,22048,11408,7248.0,5567.0
2020-11-04 02:28:17+00:00,0.666,0.334,24426,12250,2378.0,842.0
2020-11-04 02:31:17+00:00,0.666,0.334,34085,17093,9659.0,4843.0
2020-11-04 02:36:27+00:00,0.669,0.331,40964,20267,6879.0,3174.0
2020-11-04 02:37:03+00:00,0.669,0.331,42346,20952,1382.0,685.0
2020-11-04 02:40:34+00:00,0.655,0.345,48991,25805,6645.0,4853.0
2020-11-04 02:41:08+00:00,0.658,0.342,51048,26533,2057.0,728.0
2020-11-04 02:43:32+00:00,0.66,0.34,52108,26843,1060.0,310.0
2020-11-04 02:46:55+00:00,0.66,0.34,52307,26946,199.0,103.0
2020-11-04 02:47:15+00:00,0.662,0.338,53214,27169,907.0,223.0
2020-11-04 02:48:10+00:00,0.661,0.339,53836,27611,622.0,442.0
2020-11-04 02:49:17+00:00,0.659,0.341,53975,27929,139.0,318.0
2020-11-04 02:51:42+00:00,0.659,0.341,54091,27990,116.0,61.0
2020-11-04 02:51:46+00:00,0.66,0.34,54539,28096,448.0,106.0
2020-11-04 02:55:34+00:00,0.659,0.341,55126,28525,587.0,429.0
2020-11-04 02:56:00+00:00,0.66,0.34,55704,28696,578.0,171.0
2020-11-04 02:56:40+00:00,0.664,0.336,58824,29767,3120.0,1071.0
2020-11-04 02:58:21+00:00,0.665,0.335,60834,30645,2010.0,878.0
2020-11-04 02:58:39+00:00,0.666,0.334,62546,31367,1712.0,722.0
2020-11-04 02:59:35+00:00,0.668,0.332,63982,31800,1436.0,433.0
2020-11-04 03:01:49+00:00,0.672,0.328,69991,34163,6009.0,2363.0
2020-11-04 03:06:58+00:00,0.679,0.321,74927,35422,4936.0,1259.0
2020-11-04 03:12:12+00:00,0.681,0.319,80040,37493,5113.0,2071.0
2020-11-04 03:16:35+00:00,0.685,0.315,84579,38894,4539.0,1401.0
2020-11-04 03:17:46+00:00,0.685,0.315,85556,39344,977.0,450.0
2020-11-04 03:23:11+00:00,0.686,0.314,88408,40466,2852.0,1122.0
2020-11-04 03:23:45+00:00,0.686,0.314,88656,40580,248.0,114.0
2020-11-04 03:27:55+00:00,0.688,0.312,93022,42184,4366.0,1604.0
2020-11-04 03:32:41+00:00,0.691,0.309,95635,42766,2613.0,582.0
2020-11-04 03:35:47+00:00,0.691,0.309,96561,43180,926.0,414.0
2020-11-04 03:36:09+00:00,0.691,0.309,98052,43847,1491.0,667.0
2020-11-04 03:37:18+00:00,0.694,0.306,103936,45828,5884.0,1981.0
2020-11-04 03:42:59+00:00,0.696,0.304,106393,46470,2457.0,642.0
2020-11-04 03:43:19+00:00,0.696,0.304,106852,46671,459.0,201.0
2020-11-04 03:46:24+00:00,0.696,0.304,107011,46740,159.0,69.0
2020-11-04 03:50:29+00:00,0.697,0.303,111415,48435,4404.0,1695.0
2020-11-04 03:51:54+00:00,0.698,0.302,111874,48404,459.0,-31.0
2020-11-04 03:53:02+00:00,0.698,0.302,113777,49228,1903.0,824.0
2020-11-04 03:53:17+00:00,0.697,0.303,115242,50098,1465.0,870.0
2020-11-04 03:54:52+00:00,0.695,0.305,115970,50894,728.0,796.0
2020-11-04 03:58:11+00:00,0.679,0.321,139378,65891,23408.0,14997.0
2020-11-04 03:58:51+00:00,0.68,0.32,141500,66588,2122.0,697.0
2020-11-04 04:01:36+00:00,0.682,0.318,145936,68047,4436.0,1459.0
2020-11-04 04:10:38+00:00,0.682,0.318,147043,68562,1107.0,515.0
2020-11-04 04:11:32+00:00,0.682,0.318,147218,68644,175.0,82.0
2020-11-04 04:11:48+00:00,0.682,0.318,148119,69065,901.0,421.0
2020-11-04 04:12:11+00:00,0.682,0.318,149176,69557,1057.0,492.0
2020-11-04 04:12:41+00:00,0.684,0.316,163602,75582,14426.0,6025.0
2020-11-04 04:13:14+00:00,0.684,0.316,163660,75609,58.0,27.0
2020-11-04 04:14:46+00:00,0.684,0.316,164153,75837,493.0,228.0
2020-11-04 04:21:28+00:00,0.684,0.316,164722,76100,569.0,263.0
2020-11-04 04:22:00+00:00,0.685,0.315,166014,76342,1292.0,242.0
