timestamp,trumpd_percent,bidenj_percent,trumpd_count,bidenj_count,trumpd_delta,bidenj_delta
2020-11-04 00:34:55+00:00,0.143,0.857,1,6,,
2020-11-04 00:45:12+00:00,0.636,0.364,7,4,6.0,-2.0
2020-11-04 01:01:47+00:00,0.529,0.456,202596,174639,202589.0,174635.0
2020-11-04 01:02:14+00:00,0.393,0.594,463891,701149,261295.0,526510.0
2020-11-04 01:03:35+00:00,0.4,0.587,483327,709283,19436.0,8134.0
2020-11-04 01:06:42+00:00,0.401,0.585,486206,709303,2879.0,20.0
2020-11-04 01:06:55+00:00,0.403,0.583,490933,710209,4727.0,906.0
2020-11-04 01:10:38+00:00,0.416,0.571,1092045,1498936,601112.0,788727.0
2020-11-04 01:12:05+00:00,0.421,0.565,1214009,1629252,121964.0,130316.0
2020-11-04 01:12:41+00:00,0.423,0.564,1225555,1634073,11546.0,4821.0
2020-11-04 01:13:12+00:00,0.426,0.561,1270873,1673615,45318.0,39542.0
2020-11-04 01:15:03+00:00,0.432,0.555,1313012,1686856,42139.0,13241.0
2020-11-04 01:15:28+00:00,0.433,0.553,1319534,1685224,6522.0,-1632.0
2020-11-04 01:15:55+00:00,0.433,0.553,1319534,1685225,0.0,1.0
2020-11-04 01:16:18+00:00,0.435,0.552,1331086,1689102,11552.0,3877.0
2020-11-04 01:16:35+00:00,0.446,0.541,1676391,2033470,345305.0,344368.0
2020-11-04 01:16:58+00:00,0.447,0.54,1682488,2032536,6097.0,-934.0
2020-11-04 01:19:07+00:00,0.448,0.539,1693732,2037771,11244.0,5235.0
2020-11-04 01:21:02+00:00,0.452,0.535,1742666,2062669,48934.0,24898.0
2020-11-04 01:21:41+00:00,0.455,0.532,1766682,2065659,24016.0,2990.0
2020-11-04 01:22:12+00:00,0.46,0.526,1820905,2082165,54223.0,16506.0
2020-11-04 01:23:14+00:00,0.461,0.526,1826656,2084211,5751.0,2046.0
2020-11-04 01:24:45+00:00,0.46,0.526,1825859,2087830,-797.0,3619.0
2020-11-04 01:24:53+00:00,0.464,0.523,1887467,2127468,61608.0,39638.0
2020-11-04 01:25:29+00:00,0.468,0.518,1952717,2161340,65250.0,33872.0
2020-11-04 01:26:10+00:00,0.475,0.512,2035611,2194174,82894.0,32834.0
2020-11-04 01:28:27+00:00,0.464,0.522,2301215,2588867,265604.0,394693.0
2020-11-04 01:29:14+00:00,0.468,0.518,2380410,2634728,79195.0,45861.0
2020-11-04 01:30:57+00:00,0.469,0.517,2433841,2682933,53431.0,48205.0
2020-11-04 01:31:46+00:00,0.47,0.516,2452980,2693059,19139.0,10126.0
2020-11-04 01:31:46+00:00,0.47,0.516,2452980,2693059,0.0,0.0
2020-11-04 01:32:04+00:00,0.473,0.514,2500227,2716948,47247.0,23889.0
2020-11-04 01:32:37+00:00,0.483,0.504,2655841,2771313,155614.0,54365.0
2020-11-04 01:33:04+00:00,0.483,0.504,2655893,2771367,52.0,54.0
2020-11-04 01:33:59+00:00,0.482,0.505,2691885,2820336,35992.0,48969.0
2020-11-04 01:34:57+00:00,0.486,0.501,2745969,2830721,54084.0,10385.0
2020-11-04 01:35:54+00:00,0.488,0.499,2974276,3041319,228307.0,210598.0
2020-11-04 01:37:15+00:00,0.49,0.496,3015945,3052875,41669.0,11556.0
2020-11-04 01:38:03+00:00,0.492,0.495,3156050,3175294,140105.0,122419.0
2020-11-04 01:39:12+00:00,0.493,0.494,3171868,3178302,15818.0,3008.0
2020-11-04 01:42:07+00:00,0.476,0.51,3403321,3646416,231453.0,468114.0
2020-11-04 01:42:46+00:00,0.478,0.509,3429883,3652323,26562.0,5907.0
2020-11-04 01:42:55+00:00,0.478,0.508,3429936,3645204,53.0,-7119.0
2020-11-04 01:43:11+00:00,0.478,0.508,3429955,3645224,19.0,20.0
2020-11-04 01:44:14+00:00,0.478,0.508,3439264,3655117,9309.0,9893.0
2020-11-04 01:47:05+00:00,0.48,0.506,3477169,3665516,37905.0,10399.0
2020-11-04 01:49:06+00:00,0.48,0.506,3477174,3665521,5.0,5.0
2020-11-04 01:50:28+00:00,0.481,0.505,3507654,3682672,30480.0,17151.0
2020-11-04 01:51:46+00:00,0.481,0.505,3519653,3695270,11999.0,12598.0
2020-11-04 01:52:29+00:00,0.486,0.5,3627955,3732464,108302.0,37194.0
2020-11-04 01:53:07+00:00,0.486,0.5,3627978,3732488,23.0,24.0
2020-11-04 01:55:15+00:00,0.486,0.5,3643228,3748177,15250.0,15689.0
2020-11-04 01:55:57+00:00,0.486,0.5,3643999,3748970,771.0,793.0
2020-11-04 01:56:31+00:00,0.487,0.499,3661090,3751302,17091.0,2332.0
2020-11-04 01:56:31+00:00,0.487,0.499,3661090,3751302,0.0,0.0
2020-11-04 01:57:04+00:00,0.488,0.499,3672826,3755615,11736.0,4313.0
2020-11-04 02:00:12+00:00,0.487,0.498,3666607,3749426,-6219.0,-6189.0
2020-11-04 02:01:23+00:00,0.489,0.496,3708708,3761798,42101.0,12372.0
2020-11-04 02:03:12+00:00,0.489,0.496,3708719,3761809,11.0,11.0
2020-11-04 02:06:31+00:00,0.489,0.496,3709049,3762144,330.0,335.0
2020-11-04 02:06:51+00:00,0.489,0.496,3709199,3762296,150.0,152.0
2020-11-04 02:07:39+00:00,0.49,0.496,3725732,3771353,16533.0,9057.0
2020-11-04 02:09:11+00:00,0.49,0.496,3725733,3771354,1.0,1.0
2020-11-04 02:10:51+00:00,0.49,0.496,3725932,3771556,199.0,202.0
2020-11-04 02:12:03+00:00,0.49,0.495,3727162,3765195,1230.0,-6361.0
2020-11-04 02:12:42+00:00,0.492,0.494,3792467,3807883,65305.0,42688.0
2020-11-04 02:13:10+00:00,0.492,0.493,3803056,3810786,10589.0,2903.0
2020-11-04 02:13:23+00:00,0.493,0.493,3818807,3818807,15751.0,8021.0
2020-11-04 02:15:08+00:00,0.493,0.493,3818814,3818814,7.0,7.0
2020-11-04 02:19:16+00:00,0.494,0.491,3844222,3820876,25408.0,2062.0
2020-11-04 02:19:55+00:00,0.496,0.49,3882319,3835355,38097.0,14479.0
2020-11-04 02:21:53+00:00,0.491,0.495,3944897,3977035,62578.0,141680.0
2020-11-04 02:23:16+00:00,0.491,0.495,3944898,3977035,1.0,0.0
2020-11-04 02:23:49+00:00,0.493,0.493,3997118,3997118,52220.0,20083.0
2020-11-04 02:24:27+00:00,0.493,0.493,3997213,3997213,95.0,95.0
2020-11-04 02:25:23+00:00,0.492,0.494,4025436,4041800,28223.0,44587.0
2020-11-04 02:25:54+00:00,0.49,0.496,4100763,4150976,75327.0,109176.0
2020-11-04 02:27:04+00:00,0.49,0.496,4101732,4151957,969.0,981.0
2020-11-04 02:29:03+00:00,0.49,0.496,4102239,4152470,507.0,513.0
2020-11-04 02:29:04+00:00,0.49,0.496,4102251,4152482,12.0,12.0
2020-11-04 02:29:53+00:00,0.494,0.493,4193735,4185246,91484.0,32764.0
2020-11-04 02:33:54+00:00,0.494,0.492,4200304,4183299,6569.0,-1947.0
2020-11-04 02:33:57+00:00,0.494,0.492,4204024,4187004,3720.0,3705.0
2020-11-04 02:34:25+00:00,0.494,0.492,4204039,4187019,15.0,15.0
2020-11-04 02:34:43+00:00,0.494,0.492,4205496,4188470,1457.0,1451.0
2020-11-04 02:35:45+00:00,0.494,0.492,4206309,4189280,813.0,810.0
2020-11-04 02:36:06+00:00,0.494,0.492,4206579,4189548,270.0,268.0
2020-11-04 02:37:51+00:00,0.496,0.49,4276317,4224587,69738.0,35039.0
2020-11-04 02:38:54+00:00,0.496,0.49,4276817,4225081,500.0,494.0
2020-11-04 02:39:17+00:00,0.497,0.489,4308369,4239019,31552.0,13938.0
2020-11-04 02:39:59+00:00,0.497,0.489,4309067,4239706,698.0,687.0
2020-11-04 02:40:07+00:00,0.497,0.489,4309073,4239711,6.0,5.0
2020-11-04 02:40:34+00:00,0.497,0.489,4309082,4239721,9.0,10.0
2020-11-04 02:41:13+00:00,0.497,0.489,4311889,4242483,2807.0,2762.0
2020-11-04 02:42:12+00:00,0.497,0.489,4311894,4242488,5.0,5.0
2020-11-04 02:43:10+00:00,0.497,0.489,4312205,4242793,311.0,305.0
2020-11-04 02:44:28+00:00,0.499,0.487,4366094,4261098,53889.0,18305.0
2020-11-04 02:45:42+00:00,0.5,0.486,4378320,4255727,12226.0,-5371.0
2020-11-04 02:46:32+00:00,0.5,0.486,4380250,4257603,1930.0,1876.0
2020-11-04 02:48:04+00:00,0.5,0.486,4382733,4260016,2483.0,2413.0
2020-11-04 02:48:42+00:00,0.5,0.486,4384730,4261957,1997.0,1941.0
2020-11-04 02:49:31+00:00,0.501,0.485,4409390,4268571,24660.0,6614.0
2020-11-04 02:49:38+00:00,0.503,0.483,4456820,4279611,47430.0,11040.0
2020-11-04 02:51:04+00:00,0.503,0.483,4456964,4279749,144.0,138.0
2020-11-04 02:52:40+00:00,0.503,0.483,4456993,4279777,29.0,28.0
2020-11-04 02:53:06+00:00,0.503,0.483,4456998,4279781,5.0,4.0
2020-11-04 02:53:33+00:00,0.503,0.483,4467739,4290095,10741.0,10314.0
2020-11-04 02:53:57+00:00,0.503,0.483,4469373,4291664,1634.0,1569.0
2020-11-04 02:56:01+00:00,0.503,0.483,4469385,4291676,12.0,12.0
2020-11-04 02:57:00+00:00,0.503,0.483,4469403,4291693,18.0,17.0
2020-11-04 02:59:43+00:00,0.503,0.483,4470859,4293091,1456.0,1398.0
2020-11-04 03:00:18+00:00,0.505,0.481,4526188,4311082,55329.0,17991.0
2020-11-04 03:00:59+00:00,0.505,0.481,4528497,4313281,2309.0,2199.0
2020-11-04 03:01:53+00:00,0.505,0.481,4528563,4313344,66.0,63.0
2020-11-04 03:02:39+00:00,0.505,0.481,4533427,4317977,4864.0,4633.0
2020-11-04 03:04:03+00:00,0.505,0.481,4539515,4323776,6088.0,5799.0
2020-11-04 03:04:58+00:00,0.505,0.481,4539580,4323837,65.0,61.0
2020-11-04 03:06:37+00:00,0.507,0.479,4595096,4341323,55516.0,17486.0
2020-11-04 03:06:59+00:00,0.507,0.479,4595140,4341365,44.0,42.0
2020-11-04 03:07:46+00:00,0.507,0.478,4627267,4362591,32127.0,21226.0
2020-11-04 03:08:39+00:00,0.507,0.478,4627410,4362726,143.0,135.0
2020-11-04 03:11:36+00:00,0.508,0.478,4641860,4367735,14450.0,5009.0
2020-11-04 03:12:22+00:00,0.508,0.478,4641897,4367769,37.0,34.0
2020-11-04 03:13:27+00:00,0.508,0.478,4649911,4375310,8014.0,7541.0
2020-11-04 03:13:54+00:00,0.508,0.478,4650492,4375856,581.0,546.0
2020-11-04 03:14:55+00:00,0.508,0.478,4651741,4377032,1249.0,1176.0
2020-11-04 03:15:39+00:00,0.508,0.478,4657931,4382856,6190.0,5824.0
2020-11-04 03:16:53+00:00,0.508,0.478,4657936,4382861,5.0,5.0
2020-11-04 03:17:12+00:00,0.508,0.477,4661940,4377452,4004.0,-5409.0
2020-11-04 03:18:07+00:00,0.51,0.476,4702805,4389285,40865.0,11833.0
2020-11-04 03:18:22+00:00,0.51,0.476,4705019,4391351,2214.0,2066.0
2020-11-04 03:20:44+00:00,0.51,0.476,4706528,4392759,1509.0,1408.0
2020-11-04 03:22:27+00:00,0.51,0.476,4706587,4392815,59.0,56.0
2020-11-04 03:23:15+00:00,0.51,0.476,4707549,4393712,962.0,897.0
2020-11-04 03:24:20+00:00,0.51,0.476,4708528,4394626,979.0,914.0
2020-11-04 03:24:43+00:00,0.51,0.476,4716481,4402049,7953.0,7423.0
2020-11-04 03:25:27+00:00,0.51,0.476,4716514,4402079,33.0,30.0
2020-11-04 03:27:35+00:00,0.51,0.476,4717225,4402743,711.0,664.0
2020-11-04 03:28:56+00:00,0.51,0.475,4719737,4395833,2512.0,-6910.0
2020-11-04 03:29:08+00:00,0.51,0.475,4722315,4398234,2578.0,2401.0
2020-11-04 03:29:32+00:00,0.51,0.475,4723729,4399552,1414.0,1318.0
2020-11-04 03:30:15+00:00,0.511,0.475,4746047,4411687,22318.0,12135.0
2020-11-04 03:31:21+00:00,0.511,0.475,4746053,4411693,6.0,6.0
2020-11-04 03:31:59+00:00,0.511,0.475,4749782,4415160,3729.0,3467.0
2020-11-04 03:32:55+00:00,0.512,0.474,4767321,4413496,17539.0,-1664.0
2020-11-04 03:33:50+00:00,0.512,0.474,4791683,4436050,24362.0,22554.0
2020-11-04 03:36:09+00:00,0.513,0.473,4815651,4440161,23968.0,4111.0
2020-11-04 03:44:30+00:00,0.515,0.471,4868756,4452785,53105.0,12624.0
2020-11-04 03:45:19+00:00,0.515,0.471,4898242,4479751,29486.0,26966.0
2020-11-04 03:45:56+00:00,0.516,0.471,4908893,4480792,10651.0,1041.0
2020-11-04 03:46:45+00:00,0.516,0.47,4910061,4472343,1168.0,-8449.0
2020-11-04 03:47:56+00:00,0.516,0.471,4957453,4525117,47392.0,52774.0
2020-11-04 03:48:37+00:00,0.516,0.471,4963351,4530500,5898.0,5383.0
2020-11-04 03:49:06+00:00,0.515,0.471,4965416,4541187,2065.0,10687.0
2020-11-04 03:50:39+00:00,0.515,0.471,4965453,4541220,37.0,33.0
2020-11-04 03:51:48+00:00,0.515,0.471,4965823,4541558,370.0,338.0
2020-11-04 03:53:52+00:00,0.516,0.471,4986090,4551257,20267.0,9699.0
2020-11-04 04:00:34+00:00,0.516,0.47,5003919,4557833,17829.0,6576.0
2020-11-04 04:00:40+00:00,0.516,0.47,5003957,4557868,38.0,35.0
2020-11-04 04:01:53+00:00,0.517,0.47,5014047,4558225,10090.0,357.0
2020-11-04 04:02:16+00:00,0.517,0.47,5034319,4576654,20272.0,18429.0
2020-11-04 04:07:05+00:00,0.517,0.469,5046950,4578375,12631.0,1721.0
2020-11-04 04:07:32+00:00,0.517,0.469,5048554,4579830,1604.0,1455.0
2020-11-04 04:10:24+00:00,0.518,0.468,5071848,4582288,23294.0,2458.0
2020-11-04 04:13:33+00:00,0.518,0.468,5071876,4582312,28.0,24.0
2020-11-04 04:14:17+00:00,0.518,0.468,5071907,4582341,31.0,29.0
2020-11-04 04:16:11+00:00,0.518,0.468,5074560,4584737,2653.0,2396.0
2020-11-04 04:16:33+00:00,0.518,0.468,5076879,4586833,2319.0,2096.0
2020-11-04 04:19:33+00:00,0.518,0.469,5108673,4625420,31794.0,38587.0
2020-11-04 04:20:09+00:00,0.518,0.468,5116693,4622804,8020.0,-2616.0
2020-11-04 04:20:33+00:00,0.518,0.468,5121305,4626970,4612.0,4166.0
2020-11-04 04:25:33+00:00,0.518,0.468,5152806,4655431,31501.0,28461.0
2020-11-04 04:28:03+00:00,0.518,0.468,5153316,4655891,510.0,460.0
2020-11-04 04:29:48+00:00,0.518,0.468,5153759,4656292,443.0,401.0
2020-11-04 04:32:27+00:00,0.519,0.467,5187188,4667470,33429.0,11178.0
2020-11-04 04:33:09+00:00,0.519,0.467,5191254,4671128,4066.0,3658.0
2020-11-04 04:33:31+00:00,0.52,0.466,5212885,4671547,21631.0,419.0
2020-11-04 04:33:56+00:00,0.52,0.466,5217536,4675715,4651.0,4168.0
2020-11-04 04:34:23+00:00,0.52,0.466,5219950,4677878,2414.0,2163.0
2020-11-04 04:35:18+00:00,0.52,0.466,5233935,4690411,13985.0,12533.0
2020-11-04 04:42:43+00:00,0.521,0.465,5263671,4697902,29736.0,7491.0
2020-11-04 04:42:54+00:00,0.521,0.465,5263708,4697935,37.0,33.0
2020-11-04 04:44:30+00:00,0.521,0.465,5267122,4700983,3414.0,3048.0
2020-11-04 04:47:09+00:00,0.522,0.464,5283611,4696544,16489.0,-4439.0
2020-11-04 04:50:38+00:00,0.522,0.464,5289044,4701373,5433.0,4829.0
2020-11-04 04:50:59+00:00,0.522,0.464,5289105,4701427,61.0,54.0
2020-11-04 04:52:34+00:00,0.522,0.464,5298748,4709999,9643.0,8572.0
2020-11-04 04:54:53+00:00,0.522,0.464,5309382,4719450,10634.0,9451.0
2020-11-04 04:58:15+00:00,0.521,0.465,5343162,4768849,33780.0,49399.0
2020-11-04 04:59:18+00:00,0.521,0.465,5347527,4772745,4365.0,3896.0
2020-11-04 05:00:36+00:00,0.521,0.464,5355395,4769488,7868.0,-3257.0
2020-11-04 05:06:34+00:00,0.522,0.464,5373131,4776116,17736.0,6628.0
2020-11-04 05:08:41+00:00,0.522,0.464,5408295,4807373,35164.0,31257.0
2020-11-04 05:09:34+00:00,0.522,0.464,5416420,4814596,8125.0,7223.0
2020-11-04 05:10:12+00:00,0.522,0.464,5420115,4817880,3695.0,3284.0
2020-11-04 05:10:39+00:00,0.522,0.464,5420913,4818589,798.0,709.0
2020-11-04 05:10:57+00:00,0.522,0.463,5422408,4809530,1495.0,-9059.0
2020-11-04 05:13:00+00:00,0.522,0.464,5443201,4838401,20793.0,28871.0
2020-11-04 05:14:05+00:00,0.522,0.464,5444111,4839210,910.0,809.0
2020-11-04 05:15:46+00:00,0.522,0.464,5451719,4845973,7608.0,6763.0
2020-11-04 05:15:57+00:00,0.522,0.464,5451737,4845989,18.0,16.0
2020-11-04 05:19:53+00:00,0.522,0.463,5458112,4841199,6375.0,-4790.0
2020-11-04 05:21:54+00:00,0.522,0.463,5458113,4841200,1.0,1.0
2020-11-04 05:23:15+00:00,0.522,0.463,5458263,4841333,150.0,133.0
2020-11-04 05:24:15+00:00,0.522,0.463,5464043,4846459,5780.0,5126.0
2020-11-04 05:24:41+00:00,0.522,0.463,5464047,4846463,4.0,4.0
2020-11-04 05:27:09+00:00,0.522,0.463,5464053,4846469,6.0,6.0
2020-11-04 05:29:21+00:00,0.523,0.463,5484277,4855106,20224.0,8637.0
2020-11-04 05:29:26+00:00,0.523,0.463,5484301,4855127,24.0,21.0
2020-11-04 05:30:56+00:00,0.523,0.463,5489659,4859870,5358.0,4743.0
2020-11-04 05:35:05+00:00,0.523,0.462,5508590,4866096,18931.0,6226.0
2020-11-04 05:35:57+00:00,0.523,0.462,5521609,4877597,13019.0,11501.0
2020-11-04 05:36:56+00:00,0.523,0.462,5521662,4877644,53.0,47.0
2020-11-04 05:40:58+00:00,0.523,0.462,5529137,4884247,7475.0,6603.0
2020-11-04 05:44:09+00:00,0.523,0.462,5532347,4887083,3210.0,2836.0
2020-11-04 05:47:42+00:00,0.523,0.462,5534941,4889375,2594.0,2292.0
2020-11-04 05:51:20+00:00,0.523,0.462,5535565,4889926,624.0,551.0
2020-11-04 05:52:45+00:00,0.523,0.462,5539191,4893129,3626.0,3203.0
2020-11-04 05:54:56+00:00,0.523,0.462,5539193,4893130,2.0,1.0
2020-11-04 05:58:14+00:00,0.523,0.463,5582272,4941859,43079.0,48729.0
2020-11-04 05:58:31+00:00,0.523,0.463,5582323,4941904,51.0,45.0
2020-11-04 05:59:00+00:00,0.522,0.463,5599756,4966833,17433.0,24929.0
2020-11-04 05:59:08+00:00,0.522,0.463,5602445,4969218,2689.0,2385.0
2020-11-04 06:00:14+00:00,0.522,0.463,5604562,4971096,2117.0,1878.0
2020-11-04 06:01:32+00:00,0.522,0.463,5605963,4972338,1401.0,1242.0
2020-11-04 06:01:40+00:00,0.523,0.462,5630067,4973406,24104.0,1068.0
2020-11-04 06:02:09+00:00,0.523,0.462,5640481,4982604,10414.0,9198.0
2020-11-04 06:03:10+00:00,0.523,0.462,5641824,4983791,1343.0,1187.0
2020-11-04 06:13:58+00:00,0.523,0.462,5644228,4985915,2404.0,2124.0
2020-11-04 06:24:01+00:00,0.523,0.462,5656583,4996828,12355.0,10913.0
2020-11-04 06:29:27+00:00,0.522,0.463,5676245,5034677,19662.0,37849.0
2020-11-04 06:36:51+00:00,0.522,0.463,5684978,5042423,8733.0,7746.0
2020-11-04 06:37:00+00:00,0.523,0.462,5713940,5047496,28962.0,5073.0
2020-11-04 06:37:53+00:00,0.522,0.463,5716619,5070488,2679.0,22992.0
2020-11-04 06:40:04+00:00,0.522,0.463,5716626,5070494,7.0,6.0
2020-11-04 06:46:56+00:00,0.522,0.463,5717558,5071321,932.0,827.0
2020-11-04 06:49:58+00:00,0.522,0.463,5717564,5071326,6.0,5.0
2020-11-04 06:52:55+00:00,0.522,0.463,5719735,5073251,2171.0,1925.0
2020-11-04 06:55:13+00:00,0.522,0.463,5720009,5073495,274.0,244.0
2020-11-04 06:55:59+00:00,0.522,0.463,5720014,5073499,5.0,4.0
2020-11-04 06:56:57+00:00,0.522,0.463,5721370,5074701,1356.0,1202.0
2020-11-04 06:59:59+00:00,0.522,0.463,5721371,5074703,1.0,2.0
2020-11-04 07:01:56+00:00,0.523,0.463,5734122,5076288,12751.0,1585.0
2020-11-04 07:03:57+00:00,0.523,0.463,5734128,5076293,6.0,5.0
2020-11-04 07:07:48+00:00,0.523,0.463,5734169,5076329,41.0,36.0
2020-11-04 07:11:59+00:00,0.523,0.463,5735895,5077857,1726.0,1528.0
2020-11-04 07:21:56+00:00,0.523,0.463,5736165,5078096,270.0,239.0
2020-11-04 07:24:56+00:00,0.523,0.463,5736198,5078125,33.0,29.0
2020-11-04 07:26:55+00:00,0.523,0.462,5751191,5080402,14993.0,2277.0
2020-11-04 07:32:57+00:00,0.523,0.462,5763964,5091685,12773.0,11283.0
2020-11-04 07:33:50+00:00,0.523,0.462,5765858,5093358,1894.0,1673.0
2020-11-04 07:35:58+00:00,0.523,0.462,5773880,5100444,8022.0,7086.0
2020-11-04 07:36:55+00:00,0.523,0.462,5775230,5101637,1350.0,1193.0
2020-11-04 07:39:57+00:00,0.523,0.462,5775235,5101641,5.0,4.0
2020-11-04 07:47:00+00:00,0.523,0.462,5776840,5103059,1605.0,1418.0
