timestamp,trumpd_percent,bidenj_percent,trumpd_count,bidenj_count,trumpd_delta,bidenj_delta
2020-11-04 03:06:42+00:00,0.338,0.647,6128,11730,,
2020-11-04 03:08:27+00:00,0.414,0.557,149199,200734,143071.0,189004.0
2020-11-04 03:09:49+00:00,0.415,0.556,149936,200878,737.0,144.0
2020-11-04 03:11:12+00:00,0.432,0.538,167700,208849,17764.0,7971.0
2020-11-04 03:13:54+00:00,0.481,0.489,223253,226966,55553.0,18117.0
2020-11-04 03:15:50+00:00,0.481,0.489,223254,226967,1.0,1.0
2020-11-04 03:17:31+00:00,0.481,0.489,223530,227248,276.0,281.0
2020-11-04 03:20:44+00:00,0.508,0.459,305927,276418,82397.0,49170.0
2020-11-04 03:25:59+00:00,0.513,0.454,313011,277012,7084.0,594.0
2020-11-04 03:28:02+00:00,0.512,0.454,312552,277146,-459.0,134.0
2020-11-04 03:30:12+00:00,0.514,0.452,315323,277288,2771.0,142.0
2020-11-04 03:33:01+00:00,0.545,0.415,435967,331975,120644.0,54687.0
2020-11-04 03:37:38+00:00,0.545,0.415,435985,331989,18.0,14.0
2020-11-04 03:40:21+00:00,0.554,0.406,459919,337053,23934.0,5064.0
2020-11-04 03:42:21+00:00,0.554,0.405,460515,336658,596.0,-395.0
2020-11-04 03:53:09+00:00,0.555,0.405,461830,337011,1315.0,353.0
2020-11-04 03:54:07+00:00,0.553,0.404,461522,337170,-308.0,159.0
2020-11-04 03:54:33+00:00,0.553,0.404,461555,337194,33.0,24.0
2020-11-04 03:57:20+00:00,0.555,0.403,504581,366389,43026.0,29195.0
2020-11-04 04:00:19+00:00,0.558,0.4,513814,368326,9233.0,1937.0
2020-11-04 04:29:19+00:00,0.559,0.399,516065,368354,2251.0,28.0
2020-11-04 04:33:18+00:00,0.558,0.399,515204,368399,-861.0,45.0
2020-11-04 04:33:58+00:00,0.558,0.399,515224,368413,20.0,14.0
2020-11-04 04:44:41+00:00,0.559,0.399,516792,368873,1568.0,460.0
2020-11-04 04:47:08+00:00,0.559,0.399,516898,368949,106.0,76.0
2020-11-04 04:51:43+00:00,0.559,0.399,516966,368997,68.0,48.0
2020-11-04 04:55:07+00:00,0.561,0.4,519282,370254,2316.0,1257.0
2020-11-04 04:55:51+00:00,0.561,0.4,519409,370345,127.0,91.0
2020-11-04 04:59:51+00:00,0.562,0.399,521856,370499,2447.0,154.0
2020-11-04 05:04:30+00:00,0.567,0.395,536981,374088,15125.0,3589.0
2020-11-04 05:08:40+00:00,0.569,0.392,544720,375273,7739.0,1185.0
2020-11-04 05:19:19+00:00,0.577,0.388,567546,381643,22826.0,6370.0
2020-11-04 05:40:17+00:00,0.577,0.387,568661,381407,1115.0,-236.0
2020-11-04 05:54:26+00:00,0.578,0.387,579044,387699,10383.0,6292.0
2020-11-04 05:55:01+00:00,0.578,0.387,579114,387746,70.0,47.0
2020-11-04 05:59:54+00:00,0.578,0.386,583917,389951,4803.0,2205.0
2020-11-04 06:07:51+00:00,0.578,0.386,583939,389966,22.0,15.0
2020-11-04 06:08:58+00:00,0.578,0.386,583977,389991,38.0,25.0
2020-11-04 06:10:53+00:00,0.578,0.387,587007,393031,3030.0,3040.0
2020-11-04 06:18:55+00:00,0.578,0.386,587606,392415,599.0,-616.0
2020-11-04 06:24:51+00:00,0.578,0.386,587720,392491,114.0,76.0
2020-11-04 06:25:16+00:00,0.578,0.386,588065,392722,345.0,231.0
2020-11-04 06:28:53+00:00,0.578,0.386,588901,393280,836.0,558.0
2020-11-04 06:56:29+00:00,0.577,0.386,590836,395256,1935.0,1976.0
2020-11-04 07:03:45+00:00,0.577,0.386,590916,395309,80.0,53.0
2020-11-04 07:05:53+00:00,0.578,0.386,592837,395908,1921.0,599.0
2020-11-04 07:06:54+00:00,0.579,0.385,598237,397792,5400.0,1884.0
2020-11-04 07:10:53+00:00,0.58,0.384,605229,400703,6992.0,2911.0
2020-11-04 07:49:54+00:00,0.581,0.383,609906,402055,4677.0,1352.0
2020-11-04 22:00:57+00:00,0.584,0.379,622898,404244,12992.0,2189.0
2020-11-04 22:59:58+00:00,0.583,0.38,631105,411355,8207.0,7111.0
2020-11-05 23:34:24+00:00,0.584,0.377,676706,436846,45601.0,25491.0
2020-11-06 00:54:40+00:00,0.585,0.375,685828,439633,9122.0,2787.0
2020-11-06 22:01:43+00:00,0.587,0.372,700787,444110,14959.0,4477.0
