timestamp,trumpd_percent,bidenj_percent,trumpd_count,bidenj_count,trumpd_delta,bidenj_delta
2020-11-04 04:11:18+00:00,0.679,0.306,2362,1064,,
2020-11-04 04:18:15+00:00,0.527,0.454,8530,7348,6168.0,6284.0
2020-11-04 04:21:18+00:00,0.502,0.472,24482,23019,15952.0,15671.0
2020-11-04 04:21:51+00:00,0.437,0.533,364005,443969,339523.0,420950.0
2020-11-04 04:22:03+00:00,0.414,0.556,499359,670637,135354.0,226668.0
2020-11-04 04:22:13+00:00,0.416,0.554,510554,679920,11195.0,9283.0
2020-11-04 04:22:28+00:00,0.357,0.619,1109704,1924108,599150.0,1244188.0
2020-11-04 04:22:42+00:00,0.358,0.619,1116224,1930007,6520.0,5899.0
2020-11-04 04:23:25+00:00,0.358,0.619,1116235,1930026,11.0,19.0
2020-11-04 04:24:23+00:00,0.358,0.619,1116264,1930076,29.0,50.0
2020-11-04 04:25:17+00:00,0.358,0.618,1118453,1930737,2189.0,661.0
2020-11-04 04:29:56+00:00,0.362,0.612,1154749,1952228,36296.0,21491.0
2020-11-04 04:31:08+00:00,0.362,0.612,1154786,1952290,37.0,62.0
2020-11-04 04:31:42+00:00,0.362,0.612,1154836,1952375,50.0,85.0
2020-11-04 04:32:05+00:00,0.365,0.609,1191328,1987723,36492.0,35348.0
2020-11-04 04:33:00+00:00,0.365,0.609,1191349,1987758,21.0,35.0
2020-11-04 04:37:10+00:00,0.367,0.607,1210033,2001335,18684.0,13577.0
2020-11-04 04:46:50+00:00,0.367,0.607,1213610,2007252,3577.0,5917.0
2020-11-04 04:47:08+00:00,0.367,0.607,1213691,2007385,81.0,133.0
2020-11-04 04:54:15+00:00,0.367,0.609,1213691,2014000,0.0,6615.0
2020-11-04 05:12:16+00:00,0.367,0.609,1213967,2014458,276.0,458.0
2020-11-04 05:30:33+00:00,0.367,0.609,1214023,2014551,56.0,93.0
2020-11-04 05:31:18+00:00,0.367,0.609,1214050,2014595,27.0,44.0
2020-11-04 05:32:06+00:00,0.367,0.609,1214059,2014611,9.0,16.0
2020-11-04 05:32:55+00:00,0.367,0.609,1214062,2014615,3.0,4.0
2020-11-04 05:34:04+00:00,0.367,0.609,1214116,2014705,54.0,90.0
2020-11-04 05:36:12+00:00,0.367,0.609,1214347,2015088,231.0,383.0
2020-11-04 05:50:42+00:00,0.367,0.609,1219734,2024027,5387.0,8939.0
2020-11-04 05:56:22+00:00,0.367,0.609,1219820,2024170,86.0,143.0
2020-11-04 06:14:09+00:00,0.367,0.609,1219996,2024463,176.0,293.0
2020-11-04 06:15:59+00:00,0.367,0.609,1220032,2024521,36.0,58.0
2020-11-04 20:30:58+00:00,0.367,0.609,1220090,2024618,58.0,97.0
2020-11-04 22:51:53+00:00,0.368,0.608,1226787,2026866,6697.0,2248.0
2020-11-04 23:02:54+00:00,0.368,0.608,1226956,2027145,169.0,279.0
2020-11-04 23:34:53+00:00,0.369,0.607,1233391,2028911,6435.0,1766.0
2020-11-04 23:46:55+00:00,0.369,0.607,1236063,2033307,2672.0,4396.0
2020-11-04 23:57:53+00:00,0.369,0.607,1236658,2034286,595.0,979.0
2020-11-05 00:02:55+00:00,0.369,0.607,1266069,2082666,29411.0,48380.0
2020-11-05 00:43:53+00:00,0.369,0.607,1266142,2082786,73.0,120.0
2020-11-05 00:49:53+00:00,0.369,0.607,1267195,2084519,1053.0,1733.0
2020-11-05 00:57:53+00:00,0.369,0.607,1269979,2089098,2784.0,4579.0
2020-11-05 01:00:57+00:00,0.37,0.607,1276826,2094684,6847.0,5586.0
2020-11-05 01:02:56+00:00,0.37,0.606,1278250,2093566,1424.0,-1118.0
2020-11-05 01:18:55+00:00,0.372,0.604,1301040,2112441,22790.0,18875.0
2020-11-05 01:23:53+00:00,0.374,0.603,1313400,2117594,12360.0,5153.0
2020-11-05 01:41:54+00:00,0.374,0.603,1318995,2126615,5595.0,9021.0
2020-11-05 01:49:03+00:00,0.374,0.603,1319728,2127797,733.0,1182.0
2020-11-05 02:53:45+00:00,0.375,0.603,1324423,2129672,4695.0,1875.0
2020-11-05 04:32:46+00:00,0.375,0.602,1326956,2130207,2533.0,535.0
2020-11-05 18:21:48+00:00,0.375,0.602,1327000,2130278,44.0,71.0
2020-11-05 21:22:41+00:00,0.375,0.602,1327105,2130445,105.0,167.0
2020-11-05 21:34:40+00:00,0.375,0.602,1327216,2130624,111.0,179.0
2020-11-05 21:55:39+00:00,0.375,0.602,1327310,2130774,94.0,150.0
2020-11-05 22:42:41+00:00,0.376,0.601,1333766,2131897,6456.0,1123.0
2020-11-05 23:45:40+00:00,0.376,0.601,1337062,2137165,3296.0,5268.0
2020-11-05 23:58:42+00:00,0.375,0.601,1359953,2179552,22891.0,42387.0
2020-11-06 00:03:39+00:00,0.376,0.6,1367607,2182352,7654.0,2800.0
2020-11-06 00:08:39+00:00,0.376,0.6,1368104,2183145,497.0,793.0
2020-11-06 00:30:38+00:00,0.376,0.6,1368485,2183753,381.0,608.0
2020-11-06 00:38:41+00:00,0.377,0.6,1376491,2190703,8006.0,6950.0
2020-11-06 00:48:43+00:00,0.377,0.599,1377285,2188312,794.0,-2391.0
2020-11-06 01:05:40+00:00,0.377,0.599,1377547,2188728,262.0,416.0
2020-11-06 01:15:39+00:00,0.377,0.598,1387817,2201364,10270.0,12636.0
2020-11-06 01:56:38+00:00,0.379,0.597,1402932,2209895,15115.0,8531.0
2020-11-06 02:00:49+00:00,0.38,0.595,1423074,2228235,20142.0,18340.0
2020-11-06 02:38:39+00:00,0.38,0.595,1424336,2230211,1262.0,1976.0
2020-11-06 03:57:39+00:00,0.38,0.595,1425014,2231271,678.0,1060.0
2020-11-06 20:24:39+00:00,0.381,0.594,1431736,2232155,6722.0,884.0
2020-11-06 20:52:40+00:00,0.381,0.594,1431777,2232219,41.0,64.0
2020-11-06 22:04:43+00:00,0.381,0.594,1432643,2233569,866.0,1350.0
2020-11-06 23:41:42+00:00,0.382,0.593,1444982,2243127,12339.0,9558.0
2020-11-06 23:46:40+00:00,0.382,0.593,1445231,2243513,249.0,386.0
2020-11-06 23:49:39+00:00,0.382,0.593,1445625,2244124,394.0,611.0
2020-11-07 00:03:40+00:00,0.382,0.593,1446246,2245089,621.0,965.0
2020-11-07 00:16:43+00:00,0.383,0.593,1451308,2247064,5062.0,1975.0
2020-11-07 00:25:40+00:00,0.383,0.592,1453665,2246919,2357.0,-145.0
2020-11-07 00:34:41+00:00,0.383,0.592,1453907,2247292,242.0,373.0
2020-11-07 00:46:39+00:00,0.383,0.592,1457106,2252237,3199.0,4945.0
2020-11-07 00:52:40+00:00,0.384,0.591,1464469,2253909,7363.0,1672.0
2020-11-07 00:56:45+00:00,0.384,0.591,1465624,2255686,1155.0,1777.0
2020-11-07 01:05:51+00:00,0.384,0.591,1468861,2260669,3237.0,4983.0
2020-11-07 01:11:41+00:00,0.384,0.591,1474969,2270069,6108.0,9400.0
2020-11-07 01:26:40+00:00,0.385,0.59,1484741,2275317,9772.0,5248.0
2020-11-07 01:39:40+00:00,0.385,0.59,1487923,2280194,3182.0,4877.0
2020-11-07 02:20:42+00:00,0.386,0.589,1497039,2284342,9116.0,4148.0
2020-11-07 02:35:29+00:00,0.386,0.589,1498819,2287059,1780.0,2717.0
2020-11-07 03:09:40+00:00,0.386,0.589,1498905,2287189,86.0,130.0
2020-11-08 00:00:48+00:00,0.386,0.589,1500147,2289084,1242.0,1895.0
2020-11-08 01:00:52+00:00,0.386,0.589,1503731,2294553,3584.0,5469.0
2020-11-08 01:01:42+00:00,0.386,0.588,1507418,2296274,3687.0,1721.0
2020-11-08 01:20:53+00:00,0.387,0.588,1516182,2303657,8764.0,7383.0
