timestamp,trumpd_percent,bidenj_percent,trumpd_count,bidenj_count,trumpd_delta,bidenj_delta
2020-11-04 00:48:39+00:00,0.446,0.535,13474,16163,,
2020-11-04 01:03:20+00:00,0.474,0.508,16317,17488,2843.0,1325.0
2020-11-04 01:04:36+00:00,0.472,0.506,16304,17479,-13.0,-9.0
2020-11-04 01:13:51+00:00,0.5,0.48,20594,19770,4290.0,2291.0
2020-11-04 01:16:07+00:00,0.525,0.456,28230,24520,7636.0,4750.0
2020-11-04 01:19:01+00:00,0.56,0.421,42399,31875,14169.0,7355.0
2020-11-04 01:23:59+00:00,0.563,0.418,47762,35461,5363.0,3586.0
2020-11-04 01:25:43+00:00,0.565,0.415,50323,36963,2561.0,1502.0
2020-11-04 01:26:30+00:00,0.563,0.417,58544,43362,8221.0,6399.0
2020-11-04 01:28:50+00:00,0.569,0.412,60861,44068,2317.0,706.0
2020-11-04 01:33:30+00:00,0.589,0.392,79132,52665,18271.0,8597.0
2020-11-04 01:33:35+00:00,0.602,0.379,89253,56191,10121.0,3526.0
2020-11-04 01:35:47+00:00,0.604,0.377,90274,56346,1021.0,155.0
2020-11-04 01:38:58+00:00,0.617,0.365,102408,60582,12134.0,4236.0
2020-11-04 01:40:39+00:00,0.62,0.362,105255,61455,2847.0,873.0
2020-11-04 01:45:12+00:00,0.621,0.36,109965,63748,4710.0,2293.0
2020-11-04 01:45:50+00:00,0.623,0.357,111842,64089,1877.0,341.0
2020-11-04 01:46:42+00:00,0.625,0.355,117741,66877,5899.0,2788.0
2020-11-04 01:47:09+00:00,0.629,0.351,122218,68201,4477.0,1324.0
2020-11-04 01:47:58+00:00,0.633,0.347,125780,68951,3562.0,750.0
2020-11-04 01:48:16+00:00,0.635,0.346,127648,69553,1868.0,602.0
2020-11-04 01:48:25+00:00,0.624,0.357,144995,82954,17347.0,13401.0
2020-11-04 01:50:30+00:00,0.62,0.361,176565,102806,31570.0,19852.0
2020-11-04 01:52:36+00:00,0.599,0.382,195969,124976,19404.0,22170.0
2020-11-04 01:57:00+00:00,0.602,0.379,201674,126967,5705.0,1991.0
2020-11-04 01:57:40+00:00,0.603,0.378,202649,127034,975.0,67.0
2020-11-04 01:58:17+00:00,0.605,0.377,204684,127547,2035.0,513.0
2020-11-04 01:59:10+00:00,0.606,0.376,206067,127857,1383.0,310.0
2020-11-04 01:59:22+00:00,0.609,0.372,210519,128593,4452.0,736.0
2020-11-04 02:00:32+00:00,0.611,0.37,213650,129379,3131.0,786.0
2020-11-04 02:05:17+00:00,0.612,0.369,214912,129579,1262.0,200.0
2020-11-04 02:07:11+00:00,0.613,0.368,216141,129755,1229.0,176.0
2020-11-04 02:07:22+00:00,0.615,0.366,218990,130326,2849.0,571.0
2020-11-04 02:08:09+00:00,0.622,0.36,244195,141335,25205.0,11009.0
2020-11-04 02:09:10+00:00,0.624,0.357,247587,141648,3392.0,313.0
2020-11-04 02:12:30+00:00,0.626,0.355,250895,142280,3308.0,632.0
2020-11-04 02:19:01+00:00,0.627,0.355,251988,142672,1093.0,392.0
2020-11-04 02:19:39+00:00,0.635,0.346,270840,147576,18852.0,4904.0
2020-11-04 02:19:55+00:00,0.637,0.345,273887,148338,3047.0,762.0
2020-11-04 02:20:39+00:00,0.636,0.345,279498,151615,5611.0,3277.0
2020-11-04 02:22:02+00:00,0.638,0.343,283675,152509,4177.0,894.0
2020-11-04 02:29:04+00:00,0.635,0.346,295761,161155,12086.0,8646.0
2020-11-04 02:35:50+00:00,0.638,0.344,300817,162196,5056.0,1041.0
2020-11-04 02:38:51+00:00,0.64,0.341,306757,163444,5940.0,1248.0
2020-11-04 02:40:53+00:00,0.641,0.34,309282,164050,2525.0,606.0
2020-11-04 02:41:31+00:00,0.647,0.335,327390,169514,18108.0,5464.0
2020-11-04 02:43:29+00:00,0.647,0.335,327442,169541,52.0,27.0
2020-11-04 02:49:43+00:00,0.651,0.331,338659,172191,11217.0,2650.0
2020-11-04 02:50:23+00:00,0.652,0.33,348787,176534,10128.0,4343.0
2020-11-04 03:00:03+00:00,0.653,0.328,352213,176915,3426.0,381.0
2020-11-04 03:01:32+00:00,0.654,0.327,356403,178202,4190.0,1287.0
2020-11-04 03:03:27+00:00,0.656,0.326,361988,179890,5585.0,1688.0
2020-11-04 03:04:44+00:00,0.656,0.325,362996,179838,1008.0,-52.0
2020-11-04 03:05:21+00:00,0.658,0.323,369133,181201,6137.0,1363.0
2020-11-04 03:08:51+00:00,0.658,0.323,369151,181209,18.0,8.0
2020-11-04 03:09:21+00:00,0.658,0.323,373451,183320,4300.0,2111.0
2020-11-04 03:14:30+00:00,0.658,0.323,377353,185236,3902.0,1916.0
2020-11-04 03:21:10+00:00,0.659,0.322,378740,185060,1387.0,-176.0
2020-11-04 03:23:14+00:00,0.665,0.316,406040,192945,27300.0,7885.0
