timestamp,trumpd_percent,bidenj_percent,trumpd_count,bidenj_count,trumpd_delta,bidenj_delta
2020-11-04 02:14:29+00:00,0.256,0.725,280,794,,
2020-11-04 02:18:58+00:00,0.619,0.362,5572,3258,5292.0,2464.0
2020-11-04 02:23:05+00:00,0.359,0.624,15667,27232,10095.0,23974.0
2020-11-04 02:24:58+00:00,0.543,0.441,59554,48367,43887.0,21135.0
2020-11-04 02:27:50+00:00,0.55,0.433,64043,50419,4489.0,2052.0
2020-11-04 02:27:56+00:00,0.496,0.487,68842,67593,4799.0,17174.0
2020-11-04 02:28:29+00:00,0.498,0.486,69556,67880,714.0,287.0
2020-11-04 02:29:02+00:00,0.474,0.508,101070,108319,31514.0,40439.0
2020-11-04 02:30:00+00:00,0.492,0.489,137286,136449,36216.0,28130.0
2020-11-04 02:32:26+00:00,0.493,0.488,138646,137240,1360.0,791.0
2020-11-04 02:34:02+00:00,0.509,0.471,161286,149245,22640.0,12005.0
2020-11-04 02:34:40+00:00,0.477,0.504,168188,177708,6902.0,28463.0
2020-11-04 02:35:06+00:00,0.477,0.504,168775,178328,587.0,620.0
2020-11-04 02:36:25+00:00,0.48,0.502,172392,180293,3617.0,1965.0
2020-11-04 02:37:36+00:00,0.48,0.501,172660,180214,268.0,-79.0
2020-11-04 02:38:19+00:00,0.482,0.499,181564,187968,8904.0,7754.0
2020-11-04 02:39:00+00:00,0.486,0.495,191033,194571,9469.0,6603.0
2020-11-04 02:42:35+00:00,0.469,0.512,219855,240013,28822.0,45442.0
2020-11-04 02:43:50+00:00,0.477,0.504,244202,258024,24347.0,18011.0
2020-11-04 02:44:16+00:00,0.477,0.504,244242,258067,40.0,43.0
2020-11-04 02:46:37+00:00,0.498,0.483,276886,268546,32644.0,10479.0
2020-11-04 02:46:58+00:00,0.466,0.516,290403,321562,13517.0,53016.0
2020-11-04 02:47:06+00:00,0.473,0.51,312731,337194,22328.0,15632.0
2020-11-04 02:48:16+00:00,0.472,0.509,312340,336824,-391.0,-370.0
2020-11-04 02:48:52+00:00,0.474,0.508,317808,340605,5468.0,3781.0
2020-11-04 02:49:19+00:00,0.474,0.507,326255,348969,8447.0,8364.0
2020-11-04 02:51:09+00:00,0.482,0.5,352333,365490,26078.0,16521.0
2020-11-04 02:51:39+00:00,0.474,0.509,356317,382628,3984.0,17138.0
2020-11-04 02:52:35+00:00,0.482,0.501,376809,391662,20492.0,9034.0
2020-11-04 02:53:41+00:00,0.487,0.496,399298,406677,22489.0,15015.0
2020-11-04 02:54:34+00:00,0.487,0.496,399481,406863,183.0,186.0
2020-11-04 02:55:58+00:00,0.487,0.495,400068,406640,587.0,-223.0
2020-11-04 02:56:07+00:00,0.487,0.495,411463,418223,11395.0,11583.0
2020-11-04 02:57:10+00:00,0.488,0.495,413673,419607,2210.0,1384.0
2020-11-04 02:57:38+00:00,0.485,0.497,414767,425029,1094.0,5422.0
2020-11-04 02:58:08+00:00,0.495,0.488,453201,446792,38434.0,21763.0
2020-11-04 02:58:29+00:00,0.498,0.485,470180,457906,16979.0,11114.0
2020-11-04 02:59:11+00:00,0.498,0.485,470630,458344,450.0,438.0
2020-11-04 02:59:37+00:00,0.505,0.478,496888,470322,26258.0,11978.0
2020-11-04 03:00:20+00:00,0.505,0.477,501239,473447,4351.0,3125.0
2020-11-04 03:01:17+00:00,0.507,0.476,520602,488770,19363.0,15323.0
2020-11-04 03:03:52+00:00,0.504,0.478,537855,510108,17253.0,21338.0
2020-11-04 03:04:05+00:00,0.505,0.478,539615,510764,1760.0,656.0
2020-11-04 03:06:03+00:00,0.506,0.477,550492,518942,10877.0,8178.0
2020-11-04 03:06:21+00:00,0.506,0.477,551058,519475,566.0,533.0
2020-11-04 03:09:17+00:00,0.508,0.475,566670,529859,15612.0,10384.0
2020-11-04 03:10:18+00:00,0.508,0.475,567403,530545,733.0,686.0
2020-11-04 03:10:42+00:00,0.508,0.475,568361,531440,958.0,895.0
2020-11-04 03:11:07+00:00,0.509,0.474,574047,534574,5686.0,3134.0
2020-11-04 03:11:30+00:00,0.509,0.474,574374,534879,327.0,305.0
2020-11-04 03:13:28+00:00,0.509,0.474,574882,535352,508.0,473.0
2020-11-04 03:14:01+00:00,0.51,0.473,583469,541139,8587.0,5787.0
2020-11-04 03:14:27+00:00,0.51,0.473,583916,541554,447.0,415.0
2020-11-04 03:15:00+00:00,0.51,0.473,584717,542296,801.0,742.0
2020-11-04 03:16:53+00:00,0.511,0.472,588074,543191,3357.0,895.0
2020-11-04 03:22:01+00:00,0.511,0.472,593877,548551,5803.0,5360.0
2020-11-04 03:24:08+00:00,0.511,0.472,601617,555701,7740.0,7150.0
2020-11-04 03:27:32+00:00,0.5,0.483,615622,594690,14005.0,38989.0
2020-11-04 03:28:57+00:00,0.5,0.483,635870,614251,20248.0,19561.0
2020-11-04 03:30:09+00:00,0.5,0.483,636620,614975,750.0,724.0
2020-11-04 03:30:28+00:00,0.502,0.481,649563,622390,12943.0,7415.0
2020-11-04 03:30:52+00:00,0.503,0.481,651862,623351,2299.0,961.0
2020-11-04 03:35:25+00:00,0.503,0.48,661114,630884,9252.0,7533.0
2020-11-04 03:37:17+00:00,0.502,0.481,660596,632961,-518.0,2077.0
2020-11-04 03:39:29+00:00,0.501,0.482,670825,645385,10229.0,12424.0
2020-11-04 03:44:05+00:00,0.501,0.483,687307,662614,16482.0,17229.0
2020-11-04 03:44:54+00:00,0.502,0.481,698185,668978,10878.0,6364.0
2020-11-04 03:46:25+00:00,0.5,0.483,710043,685902,11858.0,16924.0
2020-11-04 03:46:46+00:00,0.499,0.484,715542,694032,5499.0,8130.0
2020-11-04 03:50:10+00:00,0.5,0.483,720866,696356,5324.0,2324.0
2020-11-04 03:51:23+00:00,0.5,0.483,722622,698053,1756.0,1697.0
2020-11-04 03:53:26+00:00,0.502,0.481,737492,706640,14870.0,8587.0
2020-11-04 03:54:07+00:00,0.502,0.481,737531,706678,39.0,38.0
2020-11-04 03:55:00+00:00,0.502,0.481,739558,708621,2027.0,1943.0
2020-11-04 03:55:27+00:00,0.502,0.481,740242,709276,684.0,655.0
2020-11-04 03:56:12+00:00,0.503,0.48,746329,712203,6087.0,2927.0
2020-11-04 03:57:47+00:00,0.503,0.479,747237,711583,908.0,-620.0
2020-11-04 03:59:40+00:00,0.498,0.485,753057,733399,5820.0,21816.0
2020-11-04 04:00:08+00:00,0.498,0.485,753317,733652,260.0,253.0
2020-11-04 04:00:47+00:00,0.5,0.483,763456,737498,10139.0,3846.0
2020-11-04 04:01:02+00:00,0.5,0.483,766159,740110,2703.0,2612.0
2020-11-04 04:02:43+00:00,0.5,0.483,767062,740981,903.0,871.0
2020-11-04 04:03:17+00:00,0.501,0.482,773176,743854,6114.0,2873.0
2020-11-04 04:05:14+00:00,0.504,0.479,798668,759051,25492.0,15197.0
2020-11-04 04:05:40+00:00,0.504,0.479,801607,761845,2939.0,2794.0
2020-11-04 04:06:06+00:00,0.506,0.477,812240,765689,10633.0,3844.0
2020-11-04 04:06:31+00:00,0.507,0.476,822099,771833,9859.0,6144.0
2020-11-04 04:06:39+00:00,0.507,0.476,827213,776634,5114.0,4801.0
2020-11-04 04:07:40+00:00,0.507,0.476,829783,779046,2570.0,2412.0
2020-11-04 04:07:55+00:00,0.507,0.476,841198,789764,11415.0,10718.0
2020-11-04 04:08:08+00:00,0.507,0.476,843822,792228,2624.0,2464.0
2020-11-04 04:08:32+00:00,0.507,0.476,844471,792837,649.0,609.0
2020-11-04 04:10:26+00:00,0.508,0.475,865735,809496,21264.0,16659.0
2020-11-04 04:11:25+00:00,0.508,0.475,869700,813203,3965.0,3707.0
2020-11-04 04:12:06+00:00,0.509,0.474,875240,815056,5540.0,1853.0
2020-11-04 04:12:37+00:00,0.509,0.474,876922,816623,1682.0,1567.0
2020-11-04 04:12:47+00:00,0.509,0.474,877778,817420,856.0,797.0
2020-11-04 04:13:10+00:00,0.509,0.474,877783,817424,5.0,4.0
2020-11-04 04:13:33+00:00,0.509,0.474,881310,820709,3527.0,3285.0
2020-11-04 04:14:01+00:00,0.509,0.474,881623,821000,313.0,291.0
2020-11-04 04:14:31+00:00,0.509,0.474,887341,826326,5718.0,5326.0
2020-11-04 04:14:54+00:00,0.509,0.474,890636,829394,3295.0,3068.0
2020-11-04 04:15:05+00:00,0.51,0.473,894129,829261,3493.0,-133.0
2020-11-04 04:15:49+00:00,0.508,0.476,911435,854022,17306.0,24761.0
2020-11-04 04:16:17+00:00,0.508,0.475,915737,856250,4302.0,2228.0
2020-11-04 04:16:23+00:00,0.508,0.475,919516,859784,3779.0,3534.0
2020-11-04 04:17:17+00:00,0.508,0.475,921966,862075,2450.0,2291.0
2020-11-04 04:19:21+00:00,0.509,0.474,931217,867184,9251.0,5109.0
2020-11-04 04:19:27+00:00,0.509,0.474,934438,870184,3221.0,3000.0
2020-11-04 04:20:07+00:00,0.51,0.473,936774,868812,2336.0,-1372.0
2020-11-04 04:20:46+00:00,0.51,0.473,944868,876319,8094.0,7507.0
2020-11-04 04:21:42+00:00,0.51,0.473,945561,876961,693.0,642.0
2020-11-04 04:22:12+00:00,0.51,0.473,945885,877262,324.0,301.0
2020-11-04 04:23:03+00:00,0.511,0.472,950475,877934,4590.0,672.0
2020-11-04 04:23:32+00:00,0.512,0.472,963214,887963,12739.0,10029.0
