timestamp,trumpd_percent,bidenj_percent,trumpd_count,bidenj_count,trumpd_delta,bidenj_delta
2020-11-04 02:39:32+00:00,0.797,0.179,1388,312,,
2020-11-04 02:57:26+00:00,0.84,0.131,3896,608,2508.0,296.0
2020-11-04 03:08:33+00:00,0.788,0.182,5214,1204,1318.0,596.0
2020-11-04 03:39:34+00:00,0.803,0.163,9707,1970,4493.0,766.0
2020-11-04 03:44:20+00:00,0.812,0.155,10452,1995,745.0,25.0
2020-11-04 03:46:00+00:00,0.759,0.196,13483,3482,3031.0,1487.0
2020-11-04 03:53:08+00:00,0.688,0.272,24205,9570,10722.0,6088.0
2020-11-04 03:54:29+00:00,0.691,0.27,24699,9651,494.0,81.0
2020-11-04 03:57:47+00:00,0.704,0.257,27104,9894,2405.0,243.0
2020-11-04 03:58:17+00:00,0.692,0.271,32504,12729,5400.0,2835.0
2020-11-04 04:00:29+00:00,0.704,0.257,38896,14199,6392.0,1470.0
2020-11-04 04:07:04+00:00,0.719,0.245,51731,17628,12835.0,3429.0
2020-11-04 04:11:14+00:00,0.719,0.244,51867,17601,136.0,-27.0
2020-11-04 04:11:40+00:00,0.708,0.256,63896,23103,12029.0,5502.0
2020-11-04 04:15:12+00:00,0.712,0.252,67113,23754,3217.0,651.0
2020-11-04 04:17:56+00:00,0.718,0.247,70222,24157,3109.0,403.0
2020-11-04 04:19:06+00:00,0.723,0.243,72816,24474,2594.0,317.0
2020-11-04 04:20:14+00:00,0.726,0.239,76727,25258,3911.0,784.0
2020-11-04 04:26:05+00:00,0.739,0.225,91238,27779,14511.0,2521.0
2020-11-04 04:29:34+00:00,0.731,0.234,96132,30773,4894.0,2994.0
2020-11-04 04:45:26+00:00,0.73,0.234,97377,31214,1245.0,441.0
2020-11-04 05:07:53+00:00,0.74,0.223,104830,31591,7453.0,377.0
2020-11-04 05:11:00+00:00,0.744,0.22,112390,33234,7560.0,1643.0
2020-11-04 05:12:49+00:00,0.748,0.216,119840,34606,7450.0,1372.0
2020-11-04 05:22:51+00:00,0.749,0.216,120841,34849,1001.0,243.0
2020-11-04 05:25:57+00:00,0.75,0.215,125684,36029,4843.0,1180.0
2020-11-04 05:28:01+00:00,0.754,0.211,131608,36829,5924.0,800.0
2020-11-04 05:36:30+00:00,0.754,0.211,136632,38235,5024.0,1406.0
2020-11-04 05:37:45+00:00,0.73,0.235,140921,45365,4289.0,7130.0
2020-11-04 06:00:44+00:00,0.733,0.232,144520,45742,3599.0,377.0
2020-11-04 06:12:59+00:00,0.739,0.227,154050,47320,9530.0,1578.0
2020-11-04 06:18:38+00:00,0.739,0.226,155331,47503,1281.0,183.0
2020-11-04 06:48:32+00:00,0.74,0.225,156759,47663,1428.0,160.0
2020-11-04 07:15:43+00:00,0.743,0.223,161669,48522,4910.0,859.0
2020-11-04 07:16:15+00:00,0.715,0.251,166070,58299,4401.0,9777.0
2020-11-04 08:29:35+00:00,0.697,0.268,187390,72052,21320.0,13753.0
2020-11-04 08:45:32+00:00,0.698,0.267,189457,72472,2067.0,420.0
2020-11-04 08:50:19+00:00,0.699,0.266,193164,73507,3707.0,1035.0
2020-11-05 03:23:59+00:00,0.699,0.266,193164,73507,0.0,0.0
2020-11-06 02:42:54+00:00,0.7,0.266,193570,73556,406.0,49.0
