timestamp,lummisc_percent,ben_davidm_percent,lummisc_count,ben_davidm_count,lummisc_delta,ben_davidm_delta
2020-11-04 02:39:59+00:00,0.827,0.173,1403,293,,
2020-11-04 02:57:41+00:00,0.851,0.149,3852,674,2449.0,381.0
2020-11-04 03:09:04+00:00,0.81,0.19,5257,1233,1405.0,559.0
2020-11-04 03:13:15+00:00,0.825,0.175,5963,1265,706.0,32.0
2020-11-04 03:40:05+00:00,0.839,0.161,10525,2020,4562.0,755.0
2020-11-04 03:46:25+00:00,0.793,0.207,13725,3583,3200.0,1563.0
2020-11-04 03:46:56+00:00,0.795,0.205,14196,3660,471.0,77.0
2020-11-04 03:53:51+00:00,0.725,0.275,25299,9596,11103.0,5936.0
2020-11-04 03:58:44+00:00,0.725,0.275,33320,12639,8021.0,3043.0
2020-11-04 04:06:50+00:00,0.733,0.267,39690,14458,6370.0,1819.0
2020-11-04 04:07:32+00:00,0.751,0.249,52897,17539,13207.0,3081.0
2020-11-04 04:09:53+00:00,0.758,0.242,55517,17724,2620.0,185.0
2020-11-04 04:11:40+00:00,0.758,0.242,55658,17770,141.0,46.0
2020-11-04 04:11:51+00:00,0.746,0.254,67981,23146,12323.0,5376.0
2020-11-04 04:15:23+00:00,0.749,0.251,71202,23861,3221.0,715.0
2020-11-04 04:18:09+00:00,0.754,0.246,74272,24232,3070.0,371.0
2020-11-04 04:19:36+00:00,0.758,0.242,76827,24528,2555.0,296.0
2020-11-04 04:20:25+00:00,0.761,0.239,80814,25380,3987.0,852.0
2020-11-04 04:27:19+00:00,0.768,0.232,94787,28633,13973.0,3253.0
2020-11-04 04:29:57+00:00,0.761,0.239,99932,31385,5145.0,2752.0
2020-11-04 04:30:59+00:00,0.761,0.239,101447,31860,1515.0,475.0
2020-11-04 04:45:50+00:00,0.761,0.239,102839,32298,1392.0,438.0
2020-11-04 05:00:55+00:00,0.763,0.237,106333,33029,3494.0,731.0
2020-11-04 05:07:57+00:00,0.735,0.265,111003,40021,4670.0,6992.0
2020-11-04 05:08:19+00:00,0.745,0.255,118396,40525,7393.0,504.0
2020-11-04 05:11:56+00:00,0.75,0.25,126050,42016,7654.0,1491.0
2020-11-04 05:23:12+00:00,0.751,0.249,127048,42124,998.0,108.0
2020-11-04 05:26:09+00:00,0.752,0.248,131817,43471,4769.0,1347.0
2020-11-04 05:28:15+00:00,0.756,0.244,137615,44415,5798.0,944.0
2020-11-04 05:37:14+00:00,0.757,0.243,142740,45820,5125.0,1405.0
2020-11-04 05:48:41+00:00,0.76,0.24,147594,46609,4854.0,789.0
2020-11-04 05:55:17+00:00,0.733,0.267,152906,55697,5312.0,9088.0
2020-11-04 06:01:01+00:00,0.736,0.264,156494,56134,3588.0,437.0
2020-11-04 06:13:31+00:00,0.743,0.257,166155,57472,9661.0,1338.0
2020-11-04 06:19:00+00:00,0.744,0.256,167645,57684,1490.0,212.0
2020-11-04 06:49:02+00:00,0.745,0.255,169070,57869,1425.0,185.0
2020-11-04 07:55:43+00:00,0.729,0.271,191832,71312,22762.0,13443.0
2020-11-04 08:45:42+00:00,0.73,0.27,193941,71731,2109.0,419.0
2020-11-04 08:50:41+00:00,0.731,0.269,197734,72764,3793.0,1033.0
2020-11-05 03:23:59+00:00,0.731,0.269,197734,72764,0.0,0.0
2020-11-06 02:43:32+00:00,0.731,0.269,197868,72813,134.0,49.0
