timestamp,democrat__percent,republican__percent,democrat__count,republican__count,democrat__delta,republican__delta
2020-11-04 01:23:27+00:00,0.599,0.401,626,419,,
2020-11-04 01:29:13+00:00,0.613,0.387,1344,849,718.0,430.0
2020-11-04 01:30:00+00:00,0.504,0.496,1866,1836,522.0,987.0
2020-11-04 01:33:25+00:00,0.492,0.508,2102,2170,236.0,334.0
2020-11-04 01:41:13+00:00,0.504,0.496,2401,2363,299.0,193.0
2020-11-04 01:41:37+00:00,0.496,0.504,2602,2643,201.0,280.0
2020-11-04 01:42:00+00:00,0.539,0.461,4830,4131,2228.0,1488.0
2020-11-04 01:42:45+00:00,0.548,0.452,5054,4169,224.0,38.0
2020-11-04 01:43:21+00:00,0.573,0.426,6092,4529,1038.0,360.0
2020-11-04 01:46:35+00:00,0.537,0.462,6263,5388,171.0,859.0
2020-11-04 01:46:59+00:00,0.537,0.462,6264,5389,1.0,1.0
2020-11-04 01:49:47+00:00,0.608,0.391,12888,8288,6624.0,2899.0
2020-11-04 01:55:35+00:00,0.593,0.407,13953,9576,1065.0,1288.0
2020-11-04 01:56:38+00:00,0.566,0.433,17386,13300,3433.0,3724.0
2020-11-04 01:56:38+00:00,0.566,0.433,17386,13300,0.0,0.0
2020-11-04 01:58:05+00:00,0.565,0.434,18181,13965,795.0,665.0
2020-11-04 02:00:39+00:00,0.55,0.449,22298,18203,4117.0,4238.0
2020-11-04 02:03:00+00:00,0.557,0.442,24243,19238,1945.0,1035.0
2020-11-04 02:03:30+00:00,0.56,0.44,31807,24992,7564.0,5754.0
2020-11-04 02:03:44+00:00,0.535,0.464,32119,27857,312.0,2865.0
2020-11-04 02:05:06+00:00,0.533,0.467,32431,28416,312.0,559.0
2020-11-04 02:06:38+00:00,0.527,0.473,33617,30173,1186.0,1757.0
2020-11-04 02:09:48+00:00,0.52,0.479,34874,32124,1257.0,1951.0
2020-11-04 02:10:14+00:00,0.483,0.517,41968,44923,7094.0,12799.0
2020-11-04 02:11:32+00:00,0.52,0.479,49788,45863,7820.0,940.0
2020-11-04 02:12:42+00:00,0.507,0.493,51503,50080,1715.0,4217.0
2020-11-04 02:13:04+00:00,0.504,0.495,53261,52310,1758.0,2230.0
2020-11-04 02:17:02+00:00,0.499,0.5,54525,54634,1264.0,2324.0
2020-11-04 02:17:17+00:00,0.482,0.517,55072,59071,547.0,4437.0
2020-11-04 02:19:16+00:00,0.516,0.484,77051,72273,21979.0,13202.0
2020-11-04 02:20:30+00:00,0.529,0.47,88135,78305,11084.0,6032.0
2020-11-04 02:22:45+00:00,0.517,0.483,90672,84709,2537.0,6404.0
2020-11-04 02:22:51+00:00,0.508,0.491,97544,94280,6872.0,9571.0
2020-11-04 02:23:25+00:00,0.495,0.504,98389,100178,845.0,5898.0
2020-11-04 02:23:51+00:00,0.487,0.512,101891,107121,3502.0,6943.0
2020-11-04 02:24:38+00:00,0.478,0.521,103478,112787,1587.0,5666.0
2020-11-04 02:25:56+00:00,0.478,0.522,103749,113300,271.0,513.0
2020-11-04 02:26:38+00:00,0.471,0.529,109021,122447,5272.0,9147.0
2020-11-04 02:27:06+00:00,0.464,0.535,111583,128657,2562.0,6210.0
2020-11-04 02:27:21+00:00,0.463,0.537,111802,129671,219.0,1014.0
2020-11-04 02:27:52+00:00,0.458,0.541,114778,135578,2976.0,5907.0
2020-11-04 02:28:26+00:00,0.458,0.542,116455,137814,1677.0,2236.0
2020-11-04 02:28:42+00:00,0.455,0.545,116902,140026,447.0,2212.0
2020-11-04 02:29:43+00:00,0.449,0.55,118631,145316,1729.0,5290.0
2020-11-04 02:31:17+00:00,0.445,0.554,120666,150222,2035.0,4906.0
2020-11-04 02:32:43+00:00,0.441,0.559,123315,156311,2649.0,6089.0
2020-11-04 02:33:22+00:00,0.423,0.577,125109,170657,1794.0,14346.0
2020-11-04 02:33:59+00:00,0.412,0.587,127350,181443,2241.0,10786.0
2020-11-04 02:34:13+00:00,0.414,0.585,129931,183598,2581.0,2155.0
2020-11-04 02:35:12+00:00,0.412,0.587,130224,185538,293.0,1940.0
2020-11-04 02:36:33+00:00,0.447,0.553,158885,196563,28661.0,11025.0
2020-11-04 02:38:23+00:00,0.446,0.553,160092,198499,1207.0,1936.0
2020-11-04 02:38:51+00:00,0.446,0.553,173895,215614,13803.0,17115.0
2020-11-04 02:39:11+00:00,0.442,0.557,174515,219921,620.0,4307.0
2020-11-04 02:39:54+00:00,0.438,0.562,176025,225859,1510.0,5938.0
2020-11-04 02:40:24+00:00,0.437,0.562,177645,228459,1620.0,2600.0
2020-11-04 02:42:01+00:00,0.437,0.562,178610,229700,965.0,1241.0
2020-11-04 02:42:59+00:00,0.436,0.563,178784,230861,174.0,1161.0
2020-11-04 02:44:19+00:00,0.436,0.563,178884,230990,100.0,129.0
2020-11-04 02:45:54+00:00,0.447,0.552,190176,234848,11292.0,3858.0
2020-11-04 02:46:22+00:00,0.444,0.554,191595,239062,1419.0,4214.0
2020-11-04 02:46:37+00:00,0.434,0.565,193473,251872,1878.0,12810.0
2020-11-04 02:51:14+00:00,0.43,0.569,196528,260056,3055.0,8184.0
2020-11-04 02:51:31+00:00,0.429,0.57,197228,262052,700.0,1996.0
2020-11-04 02:52:28+00:00,0.429,0.57,199297,264800,2069.0,2748.0
2020-11-04 02:52:49+00:00,0.424,0.574,199895,270613,598.0,5813.0
2020-11-04 02:53:10+00:00,0.423,0.576,202164,275287,2269.0,4674.0
2020-11-04 02:53:37+00:00,0.42,0.578,203800,280467,1636.0,5180.0
2020-11-04 02:54:54+00:00,0.421,0.578,206057,282900,2257.0,2433.0
2020-11-04 02:55:19+00:00,0.424,0.575,220167,298576,14110.0,15676.0
2020-11-04 02:56:41+00:00,0.424,0.575,233801,317065,13634.0,18489.0
2020-11-04 02:57:02+00:00,0.422,0.577,236606,323511,2805.0,6446.0
2020-11-04 02:58:03+00:00,0.426,0.573,240947,324091,4341.0,580.0
2020-11-04 02:58:33+00:00,0.425,0.574,240937,325406,-10.0,1315.0
2020-11-04 02:59:54+00:00,0.425,0.574,241443,326091,506.0,685.0
2020-11-04 03:00:45+00:00,0.428,0.571,245374,327357,3931.0,1266.0
2020-11-04 03:01:47+00:00,0.429,0.57,247083,328293,1709.0,936.0
2020-11-04 03:04:02+00:00,0.422,0.577,248436,339687,1353.0,11394.0
2020-11-04 03:07:16+00:00,0.413,0.586,255227,362137,6791.0,22450.0
2020-11-04 03:07:46+00:00,0.414,0.584,258793,365061,3566.0,2924.0
2020-11-04 03:08:49+00:00,0.412,0.587,262665,374234,3872.0,9173.0
2020-11-04 03:09:37+00:00,0.409,0.59,264283,381239,1618.0,7005.0
2020-11-04 03:10:05+00:00,0.435,0.564,316874,410844,52591.0,29605.0
