timestamp,republican__percent,democrat__percent,republican__count,democrat__count,republican__delta,democrat__delta
2020-11-04 03:03:36+00:00,0.505,0.48,52957,50336,,
2020-11-04 03:05:47+00:00,0.421,0.566,307456,413349,254499.0,363013.0
2020-11-04 03:06:25+00:00,0.437,0.55,962923,1211917,655467.0,798568.0
2020-11-04 03:08:46+00:00,0.438,0.549,978734,1226770,15811.0,14853.0
2020-11-04 03:10:54+00:00,0.446,0.541,1027737,1246650,49003.0,19880.0
2020-11-04 03:13:47+00:00,0.448,0.539,1043641,1255630,15904.0,8980.0
2020-11-04 03:14:48+00:00,0.449,0.539,1046871,1256711,3230.0,1081.0
2020-11-04 03:16:33+00:00,0.448,0.539,1044580,1256760,-2291.0,49.0
2020-11-04 03:17:55+00:00,0.448,0.538,1045132,1255091,552.0,-1669.0
2020-11-04 03:18:15+00:00,0.447,0.539,1049059,1264973,3927.0,9882.0
2020-11-04 03:22:32+00:00,0.448,0.538,1067786,1282296,18727.0,17323.0
2020-11-04 03:24:23+00:00,0.45,0.537,1078371,1286857,10585.0,4561.0
2020-11-04 03:31:35+00:00,0.45,0.537,1078385,1286873,14.0,16.0
2020-11-04 03:34:13+00:00,0.45,0.537,1078652,1287192,267.0,319.0
2020-11-04 03:37:56+00:00,0.45,0.537,1078768,1287330,116.0,138.0
2020-11-04 03:57:01+00:00,0.45,0.537,1079471,1288168,703.0,838.0
2020-11-04 04:03:37+00:00,0.45,0.537,1080429,1289312,958.0,1144.0
2020-11-04 04:04:48+00:00,0.45,0.536,1081315,1287966,886.0,-1346.0
2020-11-04 04:05:29+00:00,0.45,0.536,1081523,1288214,208.0,248.0
2020-11-04 04:07:29+00:00,0.45,0.536,1082048,1288839,525.0,625.0
2020-11-04 04:23:33+00:00,0.451,0.536,1086412,1291168,4364.0,2329.0
2020-11-04 04:26:30+00:00,0.451,0.535,1086990,1289445,578.0,-1723.0
2020-11-04 04:38:07+00:00,0.45,0.536,1089177,1297331,2187.0,7886.0
2020-11-04 05:53:27+00:00,0.456,0.531,1132589,1318870,43412.0,21539.0
2020-11-04 05:57:55+00:00,0.456,0.531,1132656,1318948,67.0,78.0
2020-11-04 06:01:59+00:00,0.458,0.528,1146047,1321207,13391.0,2259.0
2020-11-04 06:04:42+00:00,0.46,0.526,1160049,1326490,14002.0,5283.0
2020-11-04 06:07:45+00:00,0.461,0.526,1168115,1332817,8066.0,6327.0
2020-11-04 06:17:33+00:00,0.461,0.525,1169205,1331524,1090.0,-1293.0
2020-11-04 06:34:40+00:00,0.461,0.525,1169914,1332331,709.0,807.0
2020-11-04 06:43:46+00:00,0.463,0.524,1181045,1336647,11131.0,4316.0
2020-11-04 06:48:46+00:00,0.463,0.524,1181950,1337671,905.0,1024.0
2020-11-04 06:52:30+00:00,0.463,0.524,1181966,1337689,16.0,18.0
2020-11-04 07:20:03+00:00,0.463,0.523,1188935,1343009,6969.0,5320.0
2020-11-04 07:20:41+00:00,0.463,0.523,1188939,1343013,4.0,4.0
2020-11-04 07:30:48+00:00,0.467,0.519,1225043,1361451,36104.0,18438.0
2020-11-04 07:33:40+00:00,0.469,0.518,1237515,1366807,12472.0,5356.0
2020-11-04 07:39:40+00:00,0.468,0.518,1235314,1367292,-2201.0,485.0
2020-11-04 14:44:09+00:00,0.476,0.51,1316836,1410896,81522.0,43604.0
2020-11-04 18:51:42+00:00,0.476,0.51,1316936,1411003,100.0,107.0
2020-11-04 19:39:52+00:00,0.476,0.51,1316968,1411037,32.0,34.0
2020-11-04 20:27:42+00:00,0.476,0.51,1317341,1411437,373.0,400.0
2020-11-05 00:41:41+00:00,0.476,0.51,1320014,1414300,2673.0,2863.0
2020-11-05 02:02:47+00:00,0.479,0.507,1364515,1444278,44501.0,29978.0
2020-11-05 07:40:12+00:00,0.481,0.505,1400036,1469892,35521.0,25614.0
2020-11-05 19:13:40+00:00,0.481,0.505,1400967,1470870,931.0,978.0
2020-11-05 19:45:35+00:00,0.481,0.505,1401271,1471189,304.0,319.0
2020-11-05 19:49:34+00:00,0.481,0.505,1401359,1471282,88.0,93.0
2020-11-05 20:51:36+00:00,0.481,0.505,1401929,1471880,570.0,598.0
2020-11-05 22:57:35+00:00,0.481,0.505,1403962,1474014,2033.0,2134.0
2020-11-05 23:06:37+00:00,0.482,0.504,1410737,1475128,6775.0,1114.0
2020-11-06 00:14:38+00:00,0.483,0.504,1416482,1478068,5745.0,2940.0
2020-11-06 00:34:35+00:00,0.483,0.503,1417265,1475951,783.0,-2117.0
2020-11-06 00:37:43+00:00,0.483,0.503,1419762,1478551,2497.0,2600.0
2020-11-06 00:53:35+00:00,0.483,0.503,1422655,1481564,2893.0,3013.0
2020-11-06 00:56:36+00:00,0.483,0.502,1436345,1492848,13690.0,11284.0
2020-11-06 01:11:35+00:00,0.483,0.502,1436472,1492979,127.0,131.0
2020-11-06 01:13:36+00:00,0.483,0.503,1437546,1497071,1074.0,4092.0
2020-11-06 01:27:35+00:00,0.483,0.503,1438491,1498056,945.0,985.0
2020-11-06 02:01:44+00:00,0.485,0.501,1480975,1529832,42484.0,31776.0
2020-11-06 03:35:42+00:00,0.485,0.501,1481547,1530423,572.0,591.0
2020-11-06 05:27:48+00:00,0.485,0.501,1484318,1533285,2771.0,2862.0
2020-11-06 16:01:42+00:00,0.486,0.5,1517408,1561119,33090.0,27834.0
2020-11-06 16:09:38+00:00,0.486,0.5,1518081,1561812,673.0,693.0
2020-11-06 16:33:32+00:00,0.486,0.5,1518081,1561812,0.0,0.0
2020-11-06 19:23:36+00:00,0.486,0.499,1520004,1560663,1923.0,-1149.0
2020-11-06 19:48:35+00:00,0.486,0.499,1520532,1561205,528.0,542.0
2020-11-06 20:27:36+00:00,0.486,0.499,1523772,1564531,3240.0,3326.0
2020-11-06 22:16:38+00:00,0.486,0.499,1524273,1565046,501.0,515.0
2020-11-06 23:04:37+00:00,0.486,0.499,1526628,1567464,2355.0,2418.0
2020-11-06 23:13:05+00:00,0.486,0.499,1530944,1571895,4316.0,4431.0
2020-11-06 23:13:36+00:00,0.486,0.499,1531043,1571997,99.0,102.0
2020-11-06 23:42:34+00:00,0.486,0.499,1532099,1573081,1056.0,1084.0
2020-11-07 00:27:35+00:00,0.487,0.498,1536701,1571411,4602.0,-1670.0
2020-11-07 01:24:38+00:00,0.487,0.498,1536999,1571715,298.0,304.0
2020-11-07 02:01:44+00:00,0.488,0.497,1575258,1604310,38259.0,32595.0
2020-11-07 02:02:26+00:00,0.487,0.496,1575664,1604783,406.0,473.0
2020-11-07 15:37:37+00:00,0.487,0.495,1579071,1605010,3407.0,227.0
2020-11-07 15:53:37+00:00,0.487,0.495,1579923,1605877,852.0,867.0
2020-11-07 16:01:45+00:00,0.489,0.495,1606170,1625878,26247.0,20001.0
2020-11-07 20:01:48+00:00,0.489,0.495,1606319,1626028,149.0,150.0
2020-11-07 21:27:39+00:00,0.489,0.495,1606818,1626534,499.0,506.0
2020-11-08 01:02:42+00:00,0.489,0.495,1610299,1630058,3481.0,3524.0
2020-11-08 02:19:59+00:00,0.489,0.495,1611414,1631186,1115.0,1128.0
