timestamp,republican__percent,libertarian__percent,republican__count,libertarian__count,republican__delta,libertarian__delta
2020-11-04 01:37:45+00:00,0.797,0.203,8605,2192,,
2020-11-04 01:42:47+00:00,0.736,0.264,42854,15372,34249.0,13180.0
2020-11-04 01:47:23+00:00,0.734,0.266,44198,16017,1344.0,645.0
2020-11-04 01:48:45+00:00,0.734,0.266,46682,16918,2484.0,901.0
2020-11-04 01:49:47+00:00,0.738,0.262,50925,18079,4243.0,1161.0
2020-11-04 01:50:48+00:00,0.72,0.28,77352,30081,26427.0,12002.0
2020-11-04 01:52:47+00:00,0.7,0.3,107127,45911,29775.0,15830.0
2020-11-04 01:54:46+00:00,0.707,0.293,114123,47295,6996.0,1384.0
2020-11-04 01:56:44+00:00,0.714,0.286,124301,49790,10178.0,2495.0
2020-11-04 02:00:47+00:00,0.713,0.287,124394,50071,93.0,281.0
2020-11-04 02:01:45+00:00,0.714,0.286,127425,51042,3031.0,971.0
2020-11-04 02:08:46+00:00,0.715,0.285,131494,52413,4069.0,1371.0
2020-11-04 02:09:50+00:00,0.718,0.282,135604,53259,4110.0,846.0
2020-11-04 02:10:45+00:00,0.719,0.281,139679,54589,4075.0,1330.0
2020-11-04 02:11:52+00:00,0.692,0.308,203957,90779,64278.0,36190.0
2020-11-04 02:12:53+00:00,0.608,0.392,254146,163857,50189.0,73078.0
2020-11-04 02:14:47+00:00,0.615,0.385,267610,167528,13464.0,3671.0
2020-11-04 02:15:47+00:00,0.617,0.383,272016,168853,4406.0,1325.0
2020-11-04 02:23:27+00:00,0.618,0.382,278470,172129,6454.0,3276.0
2020-11-04 02:27:25+00:00,0.619,0.381,280613,172720,2143.0,591.0
2020-11-04 02:29:04+00:00,0.62,0.38,283546,173787,2933.0,1067.0
2020-11-04 02:30:54+00:00,0.62,0.38,284765,174533,1219.0,746.0
2020-11-04 02:31:49+00:00,0.621,0.379,286265,174710,1500.0,177.0
2020-11-04 02:36:37+00:00,0.621,0.379,287846,175674,1581.0,964.0
2020-11-04 02:40:29+00:00,0.62,0.38,287979,176504,133.0,830.0
2020-11-04 02:40:46+00:00,0.62,0.38,288646,176912,667.0,408.0
2020-11-04 02:46:03+00:00,0.622,0.378,291999,177453,3353.0,541.0
2020-11-04 02:49:11+00:00,0.625,0.375,298175,178905,6176.0,1452.0
2020-11-04 02:49:29+00:00,0.627,0.373,302066,179698,3891.0,793.0
2020-11-04 02:51:05+00:00,0.63,0.37,308651,181271,6585.0,1573.0
2020-11-04 02:52:35+00:00,0.632,0.368,312238,181809,3587.0,538.0
2020-11-04 02:54:48+00:00,0.635,0.365,318910,183310,6672.0,1501.0
2020-11-04 02:58:08+00:00,0.635,0.365,319573,183692,663.0,382.0
2020-11-04 02:59:26+00:00,0.637,0.363,324199,184747,4626.0,1055.0
2020-11-04 03:02:05+00:00,0.638,0.362,325820,184870,1621.0,123.0
2020-11-04 03:02:37+00:00,0.638,0.362,327097,185594,1277.0,724.0
2020-11-04 03:06:33+00:00,0.64,0.36,330769,186057,3672.0,463.0
2020-11-04 03:07:07+00:00,0.642,0.358,336339,187553,5570.0,1496.0
2020-11-04 03:09:54+00:00,0.645,0.355,345861,190358,9522.0,2805.0
2020-11-04 03:10:40+00:00,0.647,0.353,350216,191076,4355.0,718.0
2020-11-04 03:14:46+00:00,0.65,0.35,357291,192388,7075.0,1312.0
2020-11-04 03:16:50+00:00,0.651,0.349,361511,193805,4220.0,1417.0
2020-11-04 03:18:30+00:00,0.653,0.347,370742,197010,9231.0,3205.0
