timestamp,republican__percent,democrat__percent,republican__count,democrat__count,republican__delta,democrat__delta
2020-11-04 04:11:07+00:00,0.395,0.583,2095,3093,,
2020-11-04 04:13:01+00:00,0.165,0.82,38148,189585,36053.0,186492.0
2020-11-04 04:13:33+00:00,0.218,0.765,72216,253418,34068.0,63833.0
2020-11-04 04:16:17+00:00,0.287,0.696,184408,447206,112192.0,193788.0
2020-11-04 04:17:37+00:00,0.344,0.638,485875,901128,301467.0,453922.0
2020-11-04 04:18:49+00:00,0.344,0.638,485876,901130,1.0,2.0
2020-11-04 04:22:42+00:00,0.324,0.658,583395,1184797,97519.0,283667.0
2020-11-04 04:23:21+00:00,0.324,0.658,583396,1184798,1.0,1.0
2020-11-04 04:23:50+00:00,0.299,0.683,670345,1531257,86949.0,346459.0
2020-11-04 04:25:00+00:00,0.269,0.714,1573291,4175948,902946.0,2644691.0
2020-11-04 04:26:07+00:00,0.264,0.719,1677065,4567461,103774.0,391513.0
2020-11-04 04:26:26+00:00,0.28,0.702,2062399,5170728,385334.0,603267.0
2020-11-04 04:27:33+00:00,0.28,0.702,2062420,5170782,21.0,54.0
2020-11-04 04:29:26+00:00,0.28,0.702,2062434,5170817,14.0,35.0
2020-11-04 04:31:22+00:00,0.283,0.699,2130223,5261574,67789.0,90757.0
2020-11-04 04:31:54+00:00,0.283,0.699,2130229,5261590,6.0,16.0
2020-11-04 04:33:41+00:00,0.281,0.702,2195774,5485529,65545.0,223939.0
2020-11-04 04:33:56+00:00,0.281,0.702,2196040,5486193,266.0,664.0
2020-11-04 04:37:06+00:00,0.282,0.7,2237072,5553016,41032.0,66823.0
2020-11-04 04:39:33+00:00,0.288,0.694,2394854,5770934,157782.0,217918.0
2020-11-04 04:40:48+00:00,0.29,0.692,2456754,5862322,61900.0,91388.0
2020-11-04 04:42:43+00:00,0.29,0.692,2456754,5862324,0.0,2.0
2020-11-04 04:44:44+00:00,0.29,0.692,2456780,5862386,26.0,62.0
2020-11-04 04:45:07+00:00,0.289,0.693,2480844,5948875,24064.0,86489.0
2020-11-04 04:47:41+00:00,0.289,0.693,2480847,5948883,3.0,8.0
2020-11-04 04:50:59+00:00,0.293,0.689,2764820,6501574,283973.0,552691.0
2020-11-04 04:51:08+00:00,0.297,0.685,2860232,6596832,95412.0,95258.0
2020-11-04 04:54:01+00:00,0.298,0.684,2888054,6628956,27822.0,32124.0
2020-11-04 04:56:05+00:00,0.298,0.684,2888092,6629044,38.0,88.0
2020-11-04 04:57:52+00:00,0.297,0.686,2905807,6711729,17715.0,82685.0
2020-11-04 05:00:50+00:00,0.297,0.686,2906299,6712866,492.0,1137.0
2020-11-04 05:03:07+00:00,0.297,0.685,2910901,6713695,4602.0,829.0
2020-11-04 05:09:19+00:00,0.297,0.685,2913068,6718692,2167.0,4997.0
2020-11-04 05:18:47+00:00,0.297,0.685,2929250,6756015,16182.0,37323.0
2020-11-04 05:21:28+00:00,0.297,0.685,2929257,6756031,7.0,16.0
2020-11-04 05:25:28+00:00,0.298,0.685,2944920,6769362,15663.0,13331.0
2020-11-04 05:25:50+00:00,0.298,0.685,2944930,6769387,10.0,25.0
2020-11-04 05:28:48+00:00,0.298,0.684,2956068,6785069,11138.0,15682.0
2020-11-04 05:30:22+00:00,0.298,0.684,2956101,6785145,33.0,76.0
2020-11-04 05:30:54+00:00,0.298,0.684,2956111,6785169,10.0,24.0
2020-11-04 05:31:37+00:00,0.299,0.683,2973100,6791396,16989.0,6227.0
2020-11-04 05:32:16+00:00,0.301,0.681,3031816,6859359,58716.0,67963.0
2020-11-04 05:32:58+00:00,0.301,0.681,3031824,6859376,8.0,17.0
2020-11-04 05:36:14+00:00,0.301,0.681,3031824,6859377,0.0,1.0
2020-11-04 05:38:12+00:00,0.301,0.68,3043017,6874590,11193.0,15213.0
2020-11-04 05:44:54+00:00,0.301,0.68,3044497,6877933,1480.0,3343.0
2020-11-04 05:45:05+00:00,0.301,0.68,3044504,6877949,7.0,16.0
2020-11-04 05:46:48+00:00,0.301,0.68,3045063,6879212,559.0,1263.0
