timestamp,republican__percent,democrat__percent,republican__count,democrat__count,republican__delta,democrat__delta
2020-11-04 02:10:49+00:00,0.416,0.563,2308,3124,,
2020-11-04 02:11:38+00:00,0.178,0.809,49786,226274,47478.0,223150.0
2020-11-04 02:12:58+00:00,0.251,0.733,93460,272933,43674.0,46659.0
2020-11-04 02:18:59+00:00,0.376,0.606,350498,564899,257038.0,291966.0
2020-11-04 02:20:34+00:00,0.377,0.606,352890,567245,2392.0,2346.0
2020-11-04 02:22:03+00:00,0.381,0.601,370143,583873,17253.0,16628.0
2020-11-04 02:27:30+00:00,0.38,0.603,372552,591181,2409.0,7308.0
2020-11-04 02:30:15+00:00,0.399,0.583,422984,618045,50432.0,26864.0
2020-11-04 02:31:05+00:00,0.404,0.578,435114,622514,12130.0,4469.0
2020-11-04 02:31:49+00:00,0.406,0.576,442663,628014,7549.0,5500.0
2020-11-04 02:32:26+00:00,0.407,0.575,585540,827238,142877.0,199224.0
2020-11-04 02:34:25+00:00,0.432,0.548,752874,955035,167334.0,127797.0
2020-11-04 02:34:54+00:00,0.432,0.549,771191,980055,18317.0,25020.0
2020-11-04 02:35:50+00:00,0.43,0.55,862939,1103759,91748.0,123704.0
2020-11-04 02:37:16+00:00,0.429,0.551,872106,1120117,9167.0,16358.0
2020-11-04 02:38:19+00:00,0.431,0.549,898815,1144894,26709.0,24777.0
2020-11-04 02:41:12+00:00,0.432,0.548,907136,1150718,8321.0,5824.0
2020-11-04 02:42:35+00:00,0.438,0.542,950756,1176506,43620.0,25788.0
2020-11-04 02:46:01+00:00,0.438,0.542,968279,1198190,17523.0,21684.0
2020-11-04 02:50:08+00:00,0.439,0.541,974015,1200324,5736.0,2134.0
2020-11-04 02:50:27+00:00,0.441,0.539,984412,1203170,10397.0,2846.0
2020-11-04 02:52:23+00:00,0.441,0.539,986131,1205271,1719.0,2101.0
2020-11-04 03:00:09+00:00,0.44,0.54,1070733,1314081,84602.0,108810.0
2020-11-04 03:03:52+00:00,0.426,0.554,1091068,1418901,20335.0,104820.0
2020-11-04 03:05:05+00:00,0.427,0.554,1094268,1419730,3200.0,829.0
2020-11-04 03:07:20+00:00,0.427,0.553,1095594,1418884,1326.0,-846.0
2020-11-04 03:09:07+00:00,0.427,0.553,1097453,1421291,1859.0,2407.0
2020-11-04 03:10:45+00:00,0.427,0.553,1097453,1421292,0.0,1.0
2020-11-04 03:13:21+00:00,0.427,0.553,1097776,1421709,323.0,417.0
2020-11-04 03:14:01+00:00,0.428,0.552,1103892,1423712,6116.0,2003.0
2020-11-04 03:27:16+00:00,0.429,0.551,1111548,1427653,7656.0,3941.0
2020-11-04 03:30:06+00:00,0.429,0.551,1111555,1427662,7.0,9.0
2020-11-04 03:37:58+00:00,0.429,0.551,1117440,1435221,5885.0,7559.0
2020-11-04 03:41:08+00:00,0.429,0.551,1117491,1435286,51.0,65.0
2020-11-04 03:44:43+00:00,0.43,0.55,1126742,1441182,9251.0,5896.0
2020-11-04 03:47:01+00:00,0.435,0.545,1177425,1475164,50683.0,33982.0
2020-11-04 03:55:35+00:00,0.435,0.545,1177530,1475296,105.0,132.0
2020-11-04 03:56:21+00:00,0.435,0.545,1177689,1475495,159.0,199.0
2020-11-04 04:05:40+00:00,0.435,0.545,1184950,1484593,7261.0,9098.0
2020-11-04 04:06:24+00:00,0.434,0.546,1197880,1507010,12930.0,22417.0
2020-11-04 04:09:48+00:00,0.434,0.546,1197881,1507011,1.0,1.0
2020-11-04 04:12:12+00:00,0.434,0.546,1201155,1511131,3274.0,4120.0
2020-11-04 04:14:31+00:00,0.434,0.546,1203662,1514285,2507.0,3154.0
2020-11-04 04:20:41+00:00,0.435,0.545,1208891,1514588,5229.0,303.0
2020-11-04 04:26:17+00:00,0.435,0.545,1210439,1516527,1548.0,1939.0
2020-11-04 04:32:11+00:00,0.435,0.545,1210489,1516589,50.0,62.0
2020-11-04 04:38:42+00:00,0.435,0.544,1212307,1516080,1818.0,-509.0
2020-11-04 04:44:00+00:00,0.435,0.544,1212604,1516452,297.0,372.0
2020-11-04 04:49:06+00:00,0.436,0.544,1217273,1518799,4669.0,2347.0
2020-11-04 04:55:40+00:00,0.436,0.544,1217346,1518891,73.0,92.0
2020-11-04 05:00:24+00:00,0.436,0.544,1218118,1519854,772.0,963.0
2020-11-04 05:10:04+00:00,0.436,0.544,1218213,1519972,95.0,118.0
2020-11-04 05:10:21+00:00,0.435,0.544,1219844,1525505,1631.0,5533.0
2020-11-04 05:11:55+00:00,0.436,0.544,1225585,1529170,5741.0,3665.0
2020-11-04 05:16:57+00:00,0.436,0.543,1227452,1528685,1867.0,-485.0
