timestamp,republican__percent,democrat__percent,republican__count,democrat__count,republican__delta,democrat__delta
2020-11-04 02:24:57+00:00,0.036,0.944,573,15028,,
2020-11-04 02:26:04+00:00,0.059,0.919,1840,28664,1267.0,13636.0
2020-11-04 10:29:33+00:00,0.055,0.923,2298,38572,458.0,9908.0
2020-11-04 10:31:14+00:00,0.064,0.915,3202,45775,904.0,7203.0
2020-11-04 10:32:33+00:00,0.072,0.906,5896,74191,2694.0,28416.0
2020-11-04 10:34:09+00:00,0.064,0.915,7185,102719,1289.0,28528.0
2020-11-04 10:35:57+00:00,0.059,0.921,8393,131014,1208.0,28295.0
2020-11-04 10:39:18+00:00,0.062,0.916,11268,166478,2875.0,35464.0
2020-11-04 10:40:16+00:00,0.058,0.92,12039,190968,771.0,24490.0
2020-11-04 10:43:18+00:00,0.056,0.922,12910,212556,871.0,21588.0
2020-11-05 13:24:46+00:00,0.055,0.923,12940,217163,30.0,4607.0
2020-11-05 13:26:08+00:00,0.055,0.923,13147,220625,207.0,3462.0
2020-11-05 13:28:07+00:00,0.055,0.923,13450,225715,303.0,5090.0
2020-11-05 13:29:00+00:00,0.054,0.924,13575,232290,125.0,6575.0
2020-11-05 13:29:57+00:00,0.053,0.925,13790,240669,215.0,8379.0
2020-11-05 13:31:20+00:00,0.053,0.925,14315,249829,525.0,9160.0
2020-11-05 13:32:09+00:00,0.052,0.926,14356,255648,41.0,5819.0
2020-11-05 13:34:07+00:00,0.052,0.926,14516,258495,160.0,2847.0
