timestamp,republican__percent,democrat__percent,republican__count,democrat__count,republican__delta,democrat__delta
2020-11-04 00:14:11+00:00,0.674,0.326,275,133,,
2020-11-04 00:15:51+00:00,0.37,0.618,47029,78552,46754.0,78419.0
2020-11-04 00:19:55+00:00,0.431,0.557,74838,96716,27809.0,18164.0
2020-11-04 00:21:57+00:00,0.432,0.557,75171,96921,333.0,205.0
2020-11-04 00:22:23+00:00,0.433,0.556,75536,96993,365.0,72.0
2020-11-04 00:22:53+00:00,0.434,0.555,76015,97208,479.0,215.0
2020-11-04 00:23:58+00:00,0.434,0.555,76065,97272,50.0,64.0
2020-11-04 00:24:14+00:00,0.435,0.554,76370,97262,305.0,-10.0
2020-11-04 00:24:49+00:00,0.435,0.554,76617,97577,247.0,315.0
2020-11-04 00:25:55+00:00,0.442,0.547,88555,109592,11938.0,12015.0
2020-11-04 00:28:08+00:00,0.456,0.533,97225,113643,8670.0,4051.0
2020-11-04 00:29:54+00:00,0.458,0.531,98593,114307,1368.0,664.0
2020-11-04 00:30:54+00:00,0.458,0.531,98895,114657,302.0,350.0
2020-11-04 00:31:47+00:00,0.458,0.531,99090,114884,195.0,227.0
2020-11-04 00:31:54+00:00,0.458,0.532,99536,115618,446.0,734.0
2020-11-04 00:32:53+00:00,0.464,0.526,102483,116177,2947.0,559.0
2020-11-04 00:34:05+00:00,0.464,0.526,102971,116730,488.0,553.0
2020-11-04 00:36:20+00:00,0.47,0.52,105843,117102,2872.0,372.0
2020-11-04 00:36:53+00:00,0.486,0.504,117990,122360,12147.0,5258.0
2020-11-04 00:38:52+00:00,0.488,0.502,119245,122666,1255.0,306.0
2020-11-04 00:39:56+00:00,0.491,0.499,121117,123090,1872.0,424.0
2020-11-04 00:40:53+00:00,0.503,0.488,130086,126207,8969.0,3117.0
2020-11-04 00:42:34+00:00,0.511,0.479,136651,128094,6565.0,1887.0
2020-11-04 00:43:54+00:00,0.513,0.477,139200,129432,2549.0,1338.0
2020-11-04 00:44:40+00:00,0.513,0.478,139323,129817,123.0,385.0
2020-11-04 00:45:11+00:00,0.513,0.477,139751,129944,428.0,127.0
2020-11-04 00:45:53+00:00,0.524,0.466,147723,131372,7972.0,1428.0
2020-11-04 00:47:05+00:00,0.524,0.467,148450,132302,727.0,930.0
2020-11-04 00:47:52+00:00,0.524,0.466,148480,132045,30.0,-257.0
2020-11-04 00:48:54+00:00,0.512,0.479,162178,151725,13698.0,19680.0
2020-11-04 00:49:02+00:00,0.512,0.478,164588,153658,2410.0,1933.0
2020-11-04 00:49:56+00:00,0.508,0.482,177942,168834,13354.0,15176.0
2020-11-04 00:50:56+00:00,0.508,0.482,178007,168897,65.0,63.0
2020-11-04 00:51:53+00:00,0.51,0.48,180181,169582,2174.0,685.0
2020-11-04 00:53:56+00:00,0.523,0.467,205096,183135,24915.0,13553.0
2020-11-04 00:54:59+00:00,0.534,0.455,226572,193053,21476.0,9918.0
2020-11-04 00:56:52+00:00,0.534,0.455,226850,193289,278.0,236.0
2020-11-04 00:57:18+00:00,0.534,0.455,226851,193291,1.0,2.0
2020-11-04 00:57:52+00:00,0.535,0.455,227337,193343,486.0,52.0
2020-11-04 00:58:52+00:00,0.538,0.452,231593,194573,4256.0,1230.0
2020-11-04 00:59:38+00:00,0.487,0.503,245445,253509,13852.0,58936.0
