timestamp,democrat__percent,republican__percent,democrat__count,republican__count,democrat__delta,republican__delta
2020-11-04 00:14:33+00:00,0.313,0.648,131,271,,
2020-11-04 00:15:45+00:00,0.586,0.394,72826,48965,72695.0,48694.0
2020-11-04 00:19:56+00:00,0.529,0.452,89981,76883,17155.0,27918.0
2020-11-04 00:22:28+00:00,0.529,0.452,90181,77054,200.0,171.0
2020-11-04 00:22:49+00:00,0.528,0.453,90246,77427,65.0,373.0
2020-11-04 00:23:27+00:00,0.527,0.454,90453,77924,207.0,497.0
2020-11-04 00:24:39+00:00,0.526,0.455,90505,78288,52.0,364.0
2020-11-04 00:25:07+00:00,0.526,0.454,90812,78382,307.0,94.0
2020-11-04 00:25:55+00:00,0.521,0.46,102304,90326,11492.0,11944.0
2020-11-04 00:28:39+00:00,0.508,0.473,106217,98899,3913.0,8573.0
2020-11-04 00:29:54+00:00,0.506,0.475,106794,100252,577.0,1353.0
2020-11-04 00:30:54+00:00,0.506,0.475,107117,100554,323.0,302.0
2020-11-04 00:32:08+00:00,0.506,0.474,107821,101002,704.0,448.0
2020-11-04 00:32:53+00:00,0.501,0.479,108505,103740,684.0,2738.0
2020-11-04 00:36:53+00:00,0.485,0.496,113498,116072,4993.0,12332.0
2020-11-04 00:37:02+00:00,0.481,0.5,114120,118628,622.0,2556.0
2020-11-04 00:38:52+00:00,0.481,0.5,114265,118779,145.0,151.0
2020-11-04 00:39:56+00:00,0.476,0.505,114784,121777,519.0,2998.0
2020-11-04 00:40:53+00:00,0.465,0.516,117636,130538,2852.0,8761.0
2020-11-04 00:43:12+00:00,0.457,0.524,119618,137155,1982.0,6617.0
2020-11-04 00:43:54+00:00,0.455,0.526,120856,139715,1238.0,2560.0
2020-11-04 00:45:09+00:00,0.455,0.526,120967,139843,111.0,128.0
2020-11-04 00:45:53+00:00,0.445,0.536,122484,147532,1517.0,7689.0
2020-11-04 00:47:27+00:00,0.445,0.536,123077,148245,593.0,713.0
2020-11-04 00:47:52+00:00,0.445,0.536,123102,148276,25.0,31.0
2020-11-04 00:48:58+00:00,0.458,0.524,141582,161985,18480.0,13709.0
2020-11-04 00:49:34+00:00,0.457,0.524,143304,164313,1722.0,2328.0
2020-11-04 00:49:56+00:00,0.46,0.52,157236,177745,13932.0,13432.0
2020-11-04 00:50:56+00:00,0.46,0.52,157296,177812,60.0,67.0
2020-11-04 00:51:53+00:00,0.458,0.522,157924,179992,628.0,2180.0
2020-11-04 00:53:56+00:00,0.445,0.535,170600,205103,12676.0,25111.0
2020-11-04 00:54:55+00:00,0.436,0.544,178859,223163,8259.0,18060.0
2020-11-04 00:55:51+00:00,0.433,0.548,182603,231100,3744.0,7937.0
2020-11-04 00:56:52+00:00,0.432,0.548,182403,231382,-200.0,282.0
2020-11-04 00:57:52+00:00,0.432,0.549,182453,231867,50.0,485.0
2020-11-04 00:58:52+00:00,0.429,0.552,183534,236156,1081.0,4289.0
2020-11-04 00:59:54+00:00,0.427,0.554,185886,241173,2352.0,5017.0
2020-11-04 01:00:05+00:00,0.475,0.507,240768,256989,54882.0,15816.0
2020-11-04 01:03:53+00:00,0.474,0.507,240328,257060,-440.0,71.0
2020-11-04 01:04:55+00:00,0.47,0.511,242467,263619,2139.0,6559.0
2020-11-04 01:05:56+00:00,0.463,0.518,245615,274792,3148.0,11173.0
2020-11-04 01:07:02+00:00,0.451,0.531,254368,299488,8753.0,24696.0
2020-11-04 01:10:54+00:00,0.447,0.534,257012,307034,2644.0,7546.0
2020-11-04 01:11:56+00:00,0.456,0.525,293132,337488,36120.0,30454.0
2020-11-04 01:12:56+00:00,0.448,0.534,295960,352774,2828.0,15286.0
2020-11-04 01:13:56+00:00,0.425,0.555,328991,429623,33031.0,76849.0
2020-11-04 01:14:54+00:00,0.425,0.555,329189,429882,198.0,259.0
2020-11-04 01:15:55+00:00,0.425,0.555,329796,430674,607.0,792.0
2020-11-04 01:17:02+00:00,0.424,0.557,340843,447759,11047.0,17085.0
2020-11-04 01:17:56+00:00,0.416,0.564,347136,470637,6293.0,22878.0
2020-11-04 01:18:55+00:00,0.416,0.565,347692,472225,556.0,1588.0
2020-11-04 01:19:54+00:00,0.416,0.564,350661,475415,2969.0,3190.0
2020-11-04 01:20:54+00:00,0.412,0.568,353018,486686,2357.0,11271.0
2020-11-04 01:21:57+00:00,0.409,0.571,358134,499987,5116.0,13301.0
2020-11-04 01:23:01+00:00,0.411,0.569,365381,505843,7247.0,5856.0
2020-11-04 01:23:56+00:00,0.406,0.574,368723,521298,3342.0,15455.0
2020-11-04 01:24:58+00:00,0.404,0.576,372295,530797,3572.0,9499.0
2020-11-04 01:25:53+00:00,0.404,0.576,372605,531238,310.0,441.0
2020-11-04 01:26:57+00:00,0.403,0.577,376465,539009,3860.0,7771.0
2020-11-04 01:27:55+00:00,0.402,0.578,376435,541243,-30.0,2234.0
2020-11-04 01:29:03+00:00,0.401,0.579,380142,548884,3707.0,7641.0
2020-11-04 01:29:53+00:00,0.409,0.571,433821,605653,53679.0,56769.0
2020-11-04 01:30:17+00:00,0.409,0.571,433823,605656,2.0,3.0
2020-11-04 01:30:57+00:00,0.411,0.569,470450,651304,36627.0,45648.0
2020-11-04 01:31:56+00:00,0.411,0.569,470665,651602,215.0,298.0
2020-11-04 01:32:58+00:00,0.415,0.565,490918,668358,20253.0,16756.0
2020-11-04 01:33:55+00:00,0.415,0.566,494326,674190,3408.0,5832.0
2020-11-04 01:35:04+00:00,0.414,0.566,493622,674855,-704.0,665.0
