timestamp,republican__percent,democrat__percent,republican__count,democrat__count,republican__delta,democrat__delta
2020-11-04 04:06:38+00:00,0.923,0.064,144,10,,
2020-11-04 04:12:48+00:00,0.431,0.543,81380,102527,81236.0,102517.0
2020-11-04 04:17:15+00:00,0.453,0.52,98149,112666,16769.0,10139.0
2020-11-04 04:22:02+00:00,0.465,0.509,105466,115445,7317.0,2779.0
2020-11-04 04:22:17+00:00,0.473,0.501,113912,120655,8446.0,5210.0
2020-11-04 04:27:56+00:00,0.474,0.5,114677,120968,765.0,313.0
2020-11-04 04:30:05+00:00,0.477,0.496,126892,131946,12215.0,10978.0
2020-11-04 04:35:29+00:00,0.51,0.463,166211,150894,39319.0,18948.0
2020-11-04 04:41:38+00:00,0.514,0.458,173444,154547,7233.0,3653.0
2020-11-04 04:42:54+00:00,0.52,0.451,181842,157713,8398.0,3166.0
2020-11-04 04:46:54+00:00,0.528,0.444,205560,172857,23718.0,15144.0
2020-11-04 04:49:57+00:00,0.523,0.449,208082,178640,2522.0,5783.0
2020-11-04 04:51:56+00:00,0.527,0.445,212304,179270,4222.0,630.0
2020-11-04 04:54:14+00:00,0.527,0.445,212467,179408,163.0,138.0
2020-11-04 04:56:17+00:00,0.527,0.445,212500,179436,33.0,28.0
2020-11-04 04:56:42+00:00,0.53,0.442,218136,181917,5636.0,2481.0
2020-11-04 04:58:08+00:00,0.537,0.434,227519,183879,9383.0,1962.0
2020-11-04 05:00:00+00:00,0.539,0.432,230087,184411,2568.0,532.0
2020-11-04 05:02:23+00:00,0.54,0.431,231428,184714,1341.0,303.0
2020-11-04 05:04:31+00:00,0.543,0.428,237479,187185,6051.0,2471.0
2020-11-04 05:04:50+00:00,0.544,0.427,240062,188431,2583.0,1246.0
2020-11-04 05:08:28+00:00,0.545,0.426,241959,189128,1897.0,697.0
2020-11-04 05:11:23+00:00,0.545,0.427,249519,195495,7560.0,6367.0
2020-11-04 05:14:13+00:00,0.547,0.424,253545,196532,4026.0,1037.0
2020-11-04 05:19:45+00:00,0.548,0.424,254536,196940,991.0,408.0
2020-11-04 05:21:16+00:00,0.549,0.422,256011,196788,1475.0,-152.0
2020-11-04 05:23:54+00:00,0.551,0.42,259554,197845,3543.0,1057.0
2020-11-04 05:24:16+00:00,0.557,0.415,269151,200535,9597.0,2690.0
2020-11-04 05:26:38+00:00,0.557,0.414,270870,201329,1719.0,794.0
2020-11-04 05:28:18+00:00,0.561,0.41,278874,203811,8004.0,2482.0
2020-11-04 05:38:06+00:00,0.561,0.41,278878,203814,4.0,3.0
2020-11-04 05:41:49+00:00,0.562,0.409,280493,204131,1615.0,317.0
2020-11-04 05:45:28+00:00,0.566,0.405,287010,205369,6517.0,1238.0
2020-11-04 05:46:21+00:00,0.568,0.403,291610,206899,4600.0,1530.0
2020-11-04 05:51:52+00:00,0.569,0.402,294810,208284,3200.0,1385.0
2020-11-04 05:52:23+00:00,0.569,0.401,295789,208456,979.0,172.0
2020-11-04 05:58:24+00:00,0.57,0.4,297266,208608,1477.0,152.0
2020-11-04 05:59:56+00:00,0.584,0.386,332170,219551,34904.0,10943.0
2020-11-04 06:01:35+00:00,0.586,0.384,342721,224582,10551.0,5031.0
2020-11-04 06:04:13+00:00,0.588,0.381,355831,230564,13110.0,5982.0
2020-11-04 06:05:46+00:00,0.591,0.379,360171,230973,4340.0,409.0
2020-11-04 06:06:39+00:00,0.593,0.376,366218,232206,6047.0,1233.0
2020-11-04 06:20:12+00:00,0.596,0.373,372740,233275,6522.0,1069.0
2020-11-04 06:22:48+00:00,0.6,0.369,384586,236520,11846.0,3245.0
2020-11-04 06:27:48+00:00,0.604,0.365,395945,239271,11359.0,2751.0
2020-11-04 06:32:34+00:00,0.604,0.365,396048,239333,103.0,62.0
2020-11-04 06:38:45+00:00,0.604,0.365,396264,239464,216.0,131.0
2020-11-04 06:42:26+00:00,0.605,0.364,398485,239750,2221.0,286.0
2020-11-04 06:57:43+00:00,0.605,0.364,399340,240264,855.0,514.0
2020-11-04 06:58:29+00:00,0.607,0.362,403904,240878,4564.0,614.0
2020-11-04 07:05:59+00:00,0.609,0.36,409045,241800,5141.0,922.0
2020-11-04 07:07:44+00:00,0.61,0.359,414517,243953,5472.0,2153.0
2020-11-04 07:11:17+00:00,0.613,0.356,424008,246243,9491.0,2290.0
2020-11-04 07:21:47+00:00,0.614,0.355,428679,247852,4671.0,1609.0
2020-11-04 07:31:54+00:00,0.62,0.349,451674,254249,22995.0,6397.0
2020-11-04 07:32:44+00:00,0.62,0.349,451973,254417,299.0,168.0
2020-11-04 07:36:46+00:00,0.62,0.349,453107,255055,1134.0,638.0
2020-11-04 07:44:21+00:00,0.62,0.349,453255,255139,148.0,84.0
