timestamp,democrat__percent,republican__percent,democrat__count,republican__count,democrat__delta,republican__delta
2020-11-04 03:14:00+00:00,0.631,0.345,138809,75894,,
2020-11-04 03:17:36+00:00,0.617,0.359,160792,93556,21983.0,17662.0
2020-11-04 03:18:30+00:00,0.613,0.362,169389,100031,8597.0,6475.0
2020-11-04 03:22:06+00:00,0.612,0.364,169870,101034,481.0,1003.0
2020-11-04 03:22:15+00:00,0.604,0.371,176669,108517,6799.0,7483.0
2020-11-04 03:26:20+00:00,0.604,0.372,176976,108999,307.0,482.0
2020-11-04 03:26:38+00:00,0.607,0.369,202498,123100,25522.0,14101.0
2020-11-04 03:27:22+00:00,0.605,0.371,207497,127242,4999.0,4142.0
2020-11-04 03:28:30+00:00,0.604,0.372,207974,128090,477.0,848.0
2020-11-04 03:29:21+00:00,0.603,0.373,211377,130753,3403.0,2663.0
2020-11-04 03:30:28+00:00,0.601,0.374,212157,132025,780.0,1272.0
2020-11-04 03:31:27+00:00,0.598,0.377,214508,135233,2351.0,3208.0
2020-11-04 03:34:54+00:00,0.597,0.378,215257,136294,749.0,1061.0
2020-11-04 03:35:20+00:00,0.595,0.381,217008,138958,1751.0,2664.0
2020-11-04 03:35:39+00:00,0.594,0.381,217021,139200,13.0,242.0
2020-11-04 03:38:00+00:00,0.591,0.384,220649,143366,3628.0,4166.0
2020-11-04 03:38:39+00:00,0.575,0.4,240923,167599,20274.0,24233.0
2020-11-04 03:38:52+00:00,0.572,0.403,241937,170455,1014.0,2856.0
2020-11-04 03:39:59+00:00,0.568,0.406,255609,182706,13672.0,12251.0
2020-11-04 03:40:39+00:00,0.567,0.407,256176,183887,567.0,1181.0
2020-11-04 03:42:09+00:00,0.56,0.413,406635,299893,150459.0,116006.0
2020-11-04 03:44:02+00:00,0.559,0.414,407258,301618,623.0,1725.0
2020-11-04 03:44:43+00:00,0.558,0.415,412091,306484,4833.0,4866.0
2020-11-04 03:46:20+00:00,0.557,0.415,413369,307986,1278.0,1502.0
2020-11-04 03:47:57+00:00,0.555,0.418,423796,319184,10427.0,11198.0
2020-11-04 03:49:25+00:00,0.554,0.419,424511,321065,715.0,1881.0
2020-11-04 03:50:07+00:00,0.554,0.419,424839,321314,328.0,249.0
2020-11-04 03:51:15+00:00,0.553,0.42,425678,323300,839.0,1986.0
2020-11-04 03:51:44+00:00,0.553,0.42,426310,323780,632.0,480.0
2020-11-04 03:54:09+00:00,0.553,0.42,426726,324096,416.0,316.0
2020-11-04 03:54:54+00:00,0.55,0.423,428495,329551,1769.0,5455.0
2020-11-04 03:57:18+00:00,0.549,0.424,428733,331116,238.0,1565.0
2020-11-04 03:58:26+00:00,0.547,0.426,429597,334568,864.0,3452.0
2020-11-04 03:58:55+00:00,0.547,0.426,430106,334963,509.0,395.0
2020-11-04 03:59:12+00:00,0.546,0.426,433849,338497,3743.0,3534.0
2020-11-04 03:59:37+00:00,0.545,0.428,438492,344357,4643.0,5860.0
2020-11-04 03:59:55+00:00,0.538,0.435,448712,362807,10220.0,18450.0
2020-11-04 04:00:15+00:00,0.535,0.437,451001,368388,2289.0,5581.0
2020-11-04 04:01:13+00:00,0.533,0.439,453509,373528,2508.0,5140.0
2020-11-04 04:02:55+00:00,0.533,0.439,454171,374074,662.0,546.0
2020-11-04 04:03:21+00:00,0.528,0.445,459290,387091,5119.0,13017.0
2020-11-04 04:03:32+00:00,0.527,0.445,459517,388017,227.0,926.0
2020-11-04 04:03:44+00:00,0.527,0.446,461019,390160,1502.0,2143.0
2020-11-04 04:05:49+00:00,0.525,0.447,462289,393606,1270.0,3446.0
2020-11-04 04:07:06+00:00,0.525,0.448,464796,396626,2507.0,3020.0
2020-11-04 04:08:24+00:00,0.52,0.452,466202,405237,1406.0,8611.0
2020-11-04 04:10:52+00:00,0.51,0.462,481592,436266,15390.0,31029.0
2020-11-04 04:12:00+00:00,0.508,0.464,483570,441686,1978.0,5420.0
2020-11-04 04:14:01+00:00,0.507,0.465,484794,444633,1224.0,2947.0
2020-11-04 04:15:07+00:00,0.503,0.468,490394,456271,5600.0,11638.0
2020-11-04 04:15:45+00:00,0.502,0.47,492401,461013,2007.0,4742.0
2020-11-04 04:18:23+00:00,0.501,0.471,492244,462768,-157.0,1755.0
2020-11-04 04:20:36+00:00,0.499,0.473,506175,479801,13931.0,17033.0
2020-11-04 04:21:04+00:00,0.493,0.478,509711,494203,3536.0,14402.0
2020-11-04 04:21:48+00:00,0.493,0.479,510733,496229,1022.0,2026.0
2020-11-04 04:23:32+00:00,0.489,0.482,515962,508576,5229.0,12347.0
2020-11-04 04:23:51+00:00,0.489,0.483,517612,511261,1650.0,2685.0
2020-11-04 04:24:43+00:00,0.487,0.485,523725,521574,6113.0,10313.0
2020-11-04 04:25:05+00:00,0.487,0.484,529215,525955,5490.0,4381.0
2020-11-04 04:26:07+00:00,0.487,0.485,531921,529737,2706.0,3782.0
2020-11-04 04:26:17+00:00,0.486,0.485,534330,533231,2409.0,3494.0
2020-11-04 04:29:07+00:00,0.485,0.486,535650,536754,1320.0,3523.0
2020-11-04 04:29:19+00:00,0.483,0.489,538959,545654,3309.0,8900.0
2020-11-04 04:29:27+00:00,0.482,0.489,540344,548191,1385.0,2537.0
2020-11-04 04:30:20+00:00,0.481,0.49,540791,550909,447.0,2718.0
2020-11-04 04:31:00+00:00,0.477,0.495,553378,574260,12587.0,23351.0
2020-11-04 04:32:04+00:00,0.476,0.495,556007,578201,2629.0,3941.0
2020-11-04 04:35:15+00:00,0.475,0.496,557957,582625,1950.0,4424.0
2020-11-04 04:35:38+00:00,0.474,0.497,560524,587722,2567.0,5097.0
2020-11-04 04:36:59+00:00,0.474,0.497,560809,588021,285.0,299.0
2020-11-04 04:37:35+00:00,0.474,0.497,561455,588699,646.0,678.0
2020-11-04 04:37:47+00:00,0.474,0.497,561525,588772,70.0,73.0
2020-11-04 04:39:04+00:00,0.473,0.498,563553,593339,2028.0,4567.0
2020-11-04 04:39:18+00:00,0.471,0.5,567267,602194,3714.0,8855.0
2020-11-04 04:39:56+00:00,0.47,0.501,567873,605328,606.0,3134.0
2020-11-04 04:41:05+00:00,0.47,0.5,572591,609139,4718.0,3811.0
2020-11-04 04:44:20+00:00,0.47,0.501,573285,611097,694.0,1958.0
2020-11-04 04:44:33+00:00,0.469,0.502,578322,619014,5037.0,7917.0
2020-11-04 04:45:29+00:00,0.47,0.501,626042,667335,47720.0,48321.0
2020-11-04 04:46:33+00:00,0.468,0.503,637880,685585,11838.0,18250.0
2020-11-04 04:47:08+00:00,0.468,0.503,638936,686719,1056.0,1134.0
2020-11-04 04:50:03+00:00,0.467,0.503,638612,687841,-324.0,1122.0
2020-11-04 04:50:27+00:00,0.467,0.503,641164,690590,2552.0,2749.0
2020-11-04 04:50:38+00:00,0.467,0.504,642597,693509,1433.0,2919.0
2020-11-04 04:51:27+00:00,0.466,0.504,660118,713947,17521.0,20438.0
2020-11-04 04:51:51+00:00,0.465,0.505,660499,717317,381.0,3370.0
2020-11-04 04:52:39+00:00,0.464,0.506,664166,724284,3667.0,6967.0
2020-11-04 04:54:21+00:00,0.462,0.508,668496,735056,4330.0,10772.0
2020-11-04 04:56:13+00:00,0.462,0.508,669009,735620,513.0,564.0
2020-11-04 04:58:57+00:00,0.462,0.508,672042,738956,3033.0,3336.0
2020-11-04 04:59:50+00:00,0.461,0.509,671706,741645,-336.0,2689.0
2020-11-04 05:00:18+00:00,0.461,0.509,671854,741808,148.0,163.0
2020-11-04 05:00:50+00:00,0.46,0.51,674360,747661,2506.0,5853.0
2020-11-04 05:02:44+00:00,0.459,0.511,675355,751865,995.0,4204.0
2020-11-04 05:02:52+00:00,0.459,0.511,675675,752222,320.0,357.0
2020-11-04 05:03:29+00:00,0.459,0.511,677943,754748,2268.0,2526.0
2020-11-04 05:05:05+00:00,0.459,0.511,678358,755209,415.0,461.0
2020-11-04 05:08:02+00:00,0.457,0.512,685163,767623,6805.0,12414.0
2020-11-04 05:09:51+00:00,0.456,0.514,688938,776567,3775.0,8944.0
2020-11-04 05:10:14+00:00,0.456,0.514,690846,778717,1908.0,2150.0
2020-11-04 05:10:48+00:00,0.455,0.515,694500,786082,3654.0,7365.0
2020-11-04 05:11:34+00:00,0.454,0.515,693480,786657,-1020.0,575.0
2020-11-04 05:17:46+00:00,0.454,0.515,693828,787051,348.0,394.0
2020-11-04 05:18:01+00:00,0.453,0.517,703398,802774,9570.0,15723.0
2020-11-04 05:19:29+00:00,0.453,0.517,703786,803217,388.0,443.0
2020-11-04 05:20:25+00:00,0.452,0.518,704314,807156,528.0,3939.0
2020-11-04 05:23:34+00:00,0.452,0.518,704660,807553,346.0,397.0
2020-11-04 05:24:10+00:00,0.451,0.518,705470,810274,810.0,2721.0
2020-11-04 05:26:16+00:00,0.451,0.519,709856,816885,4386.0,6611.0
2020-11-04 05:34:43+00:00,0.451,0.518,712690,818566,2834.0,1681.0
2020-11-04 05:36:39+00:00,0.451,0.519,713372,820931,682.0,2365.0
2020-11-04 05:38:37+00:00,0.454,0.515,740865,840408,27493.0,19477.0
2020-11-04 05:53:34+00:00,0.454,0.516,743872,845458,3007.0,5050.0
2020-11-04 05:59:36+00:00,0.454,0.516,747960,850104,4088.0,4646.0
2020-11-04 05:59:48+00:00,0.453,0.517,749445,855327,1485.0,5223.0
2020-11-04 06:04:24+00:00,0.453,0.517,749663,855576,218.0,249.0
2020-11-04 06:27:48+00:00,0.452,0.517,749758,857577,95.0,2001.0
2020-11-04 10:15:47+00:00,0.452,0.518,753746,863806,3988.0,6229.0
2020-11-04 21:45:47+00:00,0.452,0.518,753753,863815,7.0,9.0
2020-11-05 21:11:37+00:00,0.452,0.518,753757,863819,4.0,4.0
2020-11-05 21:36:37+00:00,0.452,0.518,753761,863824,4.0,5.0
2020-11-05 21:42:38+00:00,0.452,0.518,753814,863884,53.0,60.0
2020-11-05 22:08:38+00:00,0.452,0.518,753851,863927,37.0,43.0
2020-11-05 22:15:38+00:00,0.452,0.518,753851,863927,0.0,0.0
2020-11-05 22:56:36+00:00,0.452,0.518,753875,863954,24.0,27.0
2020-11-06 14:42:37+00:00,0.452,0.518,753883,863963,8.0,9.0
2020-11-06 14:56:41+00:00,0.452,0.518,753886,863967,3.0,4.0
2020-11-06 15:57:41+00:00,0.452,0.518,753887,863968,1.0,1.0
2020-11-06 16:15:36+00:00,0.452,0.518,753889,863970,2.0,2.0
2020-11-06 16:26:40+00:00,0.452,0.518,753899,863982,10.0,12.0
2020-11-06 17:15:38+00:00,0.452,0.518,753917,864002,18.0,20.0
2020-11-06 17:23:37+00:00,0.452,0.518,753924,864010,7.0,8.0
2020-11-06 17:54:37+00:00,0.452,0.518,753925,864012,1.0,2.0
2020-11-06 18:35:44+00:00,0.452,0.518,753929,864016,4.0,4.0
2020-11-06 19:00:44+00:00,0.452,0.518,753929,864016,0.0,0.0
2020-11-06 19:57:36+00:00,0.452,0.518,753930,864017,1.0,1.0
