timestamp,democrat__percent,republican__percent,democrat__count,republican__count,democrat__delta,republican__delta
2020-11-04 01:10:06+00:00,0.43,0.539,2128,2668,,
2020-11-04 01:18:29+00:00,0.414,0.551,2691,3582,563.0,914.0
2020-11-04 01:21:21+00:00,0.382,0.581,2980,4532,289.0,950.0
2020-11-04 01:29:48+00:00,0.533,0.435,12173,9935,9193.0,5403.0
2020-11-04 01:31:44+00:00,0.525,0.442,12633,10635,460.0,700.0
2020-11-04 01:31:44+00:00,0.525,0.442,12633,10635,0.0,0.0
2020-11-04 01:35:52+00:00,0.493,0.472,19315,18492,6682.0,7857.0
2020-11-04 01:36:10+00:00,0.573,0.422,166995,122988,147680.0,104496.0
2020-11-04 01:45:39+00:00,0.572,0.422,167136,123306,141.0,318.0
2020-11-04 01:50:00+00:00,0.57,0.424,169601,126160,2465.0,2854.0
2020-11-04 01:50:52+00:00,0.566,0.426,171686,129220,2085.0,3060.0
2020-11-04 01:51:26+00:00,0.563,0.429,174173,132718,2487.0,3498.0
2020-11-04 01:51:50+00:00,0.553,0.437,185133,146298,10960.0,13580.0
2020-11-04 01:57:11+00:00,0.552,0.437,185411,146783,278.0,485.0
2020-11-04 01:58:11+00:00,0.551,0.438,185511,147466,100.0,683.0
2020-11-04 01:58:15+00:00,0.532,0.451,249314,211354,63803.0,63888.0
2020-11-04 02:03:16+00:00,0.531,0.451,250309,212598,995.0,1244.0
2020-11-04 02:05:02+00:00,0.53,0.452,250125,213314,-184.0,716.0
2020-11-04 02:06:33+00:00,0.529,0.453,250414,214438,289.0,1124.0
2020-11-04 02:08:06+00:00,0.525,0.456,256404,222705,5990.0,8267.0
2020-11-04 02:08:52+00:00,0.523,0.458,257183,225220,779.0,2515.0
2020-11-04 02:09:34+00:00,0.521,0.46,258038,227826,855.0,2606.0
2020-11-04 02:11:21+00:00,0.519,0.461,263459,234017,5421.0,6191.0
2020-11-04 02:13:28+00:00,0.518,0.462,263936,235402,477.0,1385.0
2020-11-04 02:15:54+00:00,0.515,0.464,264529,238333,593.0,2931.0
2020-11-04 02:19:55+00:00,0.514,0.466,264825,240094,296.0,1761.0
2020-11-04 02:22:20+00:00,0.514,0.466,265432,240644,607.0,550.0
2020-11-04 02:23:42+00:00,0.513,0.466,265596,241263,164.0,619.0
2020-11-04 02:23:52+00:00,0.511,0.468,266315,243905,719.0,2642.0
2020-11-04 02:25:05+00:00,0.511,0.469,266645,244729,330.0,824.0
2020-11-04 02:28:06+00:00,0.52,0.458,293112,258164,26467.0,13435.0
2020-11-04 02:28:32+00:00,0.519,0.459,293242,259341,130.0,1177.0
2020-11-04 02:28:48+00:00,0.519,0.459,293989,260001,747.0,660.0
2020-11-04 02:30:24+00:00,0.514,0.462,306100,275133,12111.0,15132.0
2020-11-04 02:31:05+00:00,0.512,0.463,307094,277704,994.0,2571.0
2020-11-04 02:32:33+00:00,0.511,0.464,308139,279798,1045.0,2094.0
2020-11-04 02:32:52+00:00,0.509,0.466,314402,287841,6263.0,8043.0
2020-11-04 02:34:43+00:00,0.483,0.474,339687,333357,25285.0,45516.0
2020-11-04 02:37:52+00:00,0.48,0.477,343852,341703,4165.0,8346.0
2020-11-04 02:39:25+00:00,0.478,0.478,347354,347354,3502.0,5651.0
2020-11-04 02:42:12+00:00,0.478,0.478,347669,347669,315.0,315.0
2020-11-04 02:43:13+00:00,0.478,0.479,348307,349035,638.0,1366.0
2020-11-04 02:43:16+00:00,0.477,0.48,348512,350704,205.0,1669.0
2020-11-04 02:45:19+00:00,0.473,0.484,350382,358531,1870.0,7827.0
2020-11-04 02:47:52+00:00,0.471,0.485,351073,361508,691.0,2977.0
2020-11-04 02:50:06+00:00,0.47,0.486,351593,363563,520.0,2055.0
2020-11-04 02:52:39+00:00,0.47,0.486,351959,363941,366.0,378.0
2020-11-04 02:53:32+00:00,0.467,0.488,353966,369883,2007.0,5942.0
2020-11-04 02:53:43+00:00,0.467,0.489,354437,371134,471.0,1251.0
2020-11-04 02:54:04+00:00,0.466,0.49,356347,374700,1910.0,3566.0
2020-11-04 02:54:49+00:00,0.465,0.49,356259,375413,-88.0,713.0
2020-11-04 02:56:31+00:00,0.465,0.491,357358,377339,1099.0,1926.0
2020-11-04 02:57:04+00:00,0.464,0.491,356836,377600,-522.0,261.0
2020-11-04 03:00:18+00:00,0.463,0.493,357682,380858,846.0,3258.0
2020-11-04 03:00:44+00:00,0.463,0.493,359523,382818,1841.0,1960.0
2020-11-04 03:01:52+00:00,0.462,0.493,359395,383510,-128.0,692.0
2020-11-04 03:03:52+00:00,0.459,0.496,365364,394816,5969.0,11306.0
2020-11-04 03:04:06+00:00,0.459,0.496,365654,395129,290.0,313.0
2020-11-04 03:04:38+00:00,0.458,0.497,365844,396996,190.0,1867.0
2020-11-04 03:05:34+00:00,0.458,0.497,365964,397126,120.0,130.0
2020-11-04 03:06:20+00:00,0.458,0.497,370859,402438,4895.0,5312.0
2020-11-04 03:06:48+00:00,0.453,0.501,372748,412244,1889.0,9806.0
2020-11-04 03:07:57+00:00,0.453,0.502,374135,414605,1387.0,2361.0
2020-11-04 03:09:34+00:00,0.45,0.504,375300,420337,1165.0,5732.0
2020-11-04 03:10:35+00:00,0.45,0.504,375466,420522,166.0,185.0
2020-11-04 03:11:32+00:00,0.45,0.505,377682,423843,2216.0,3321.0
2020-11-04 03:13:10+00:00,0.447,0.507,378713,429547,1031.0,5704.0
2020-11-04 03:14:30+00:00,0.446,0.508,380541,433441,1828.0,3894.0
2020-11-04 03:14:49+00:00,0.445,0.509,380414,435125,-127.0,1684.0
2020-11-04 03:15:22+00:00,0.445,0.509,380692,435443,278.0,318.0
2020-11-04 03:16:13+00:00,0.444,0.51,381539,438254,847.0,2811.0
2020-11-04 03:16:36+00:00,0.443,0.511,381447,439999,-92.0,1745.0
2020-11-04 03:18:47+00:00,0.443,0.511,382297,440980,850.0,981.0
2020-11-04 03:19:12+00:00,0.442,0.512,382276,442817,-21.0,1837.0
2020-11-04 03:20:46+00:00,0.442,0.512,383605,444357,1329.0,1540.0
2020-11-04 03:24:01+00:00,0.442,0.512,384346,445215,741.0,858.0
2020-11-04 03:24:44+00:00,0.442,0.512,384563,445467,217.0,252.0
2020-11-04 03:25:25+00:00,0.442,0.512,385030,446008,467.0,541.0
2020-11-04 03:25:45+00:00,0.441,0.513,385135,448014,105.0,2006.0
2020-11-04 03:26:04+00:00,0.441,0.513,385423,448349,288.0,335.0
2020-11-04 03:26:47+00:00,0.44,0.514,384881,449611,-542.0,1262.0
2020-11-04 03:27:49+00:00,0.439,0.515,385572,452322,691.0,2711.0
2020-11-04 03:28:30+00:00,0.439,0.515,386559,453480,987.0,1158.0
2020-11-04 03:29:37+00:00,0.438,0.516,386340,455140,-219.0,1660.0
2020-11-04 03:30:20+00:00,0.437,0.517,387617,458576,1277.0,3436.0
2020-11-04 03:32:33+00:00,0.437,0.517,387872,458879,255.0,303.0
2020-11-04 03:33:43+00:00,0.436,0.518,389139,462326,1267.0,3447.0
2020-11-04 03:35:05+00:00,0.436,0.518,389722,463018,583.0,692.0
2020-11-04 03:35:51+00:00,0.435,0.519,391056,466571,1334.0,3553.0
2020-11-04 03:36:53+00:00,0.434,0.52,391515,469096,459.0,2525.0
2020-11-04 03:38:13+00:00,0.434,0.52,391707,469326,192.0,230.0
2020-11-04 03:42:11+00:00,0.432,0.521,391816,472537,109.0,3211.0
2020-11-04 03:43:12+00:00,0.432,0.522,392208,473918,392.0,1381.0
2020-11-04 03:43:33+00:00,0.431,0.522,392269,475091,61.0,1173.0
2020-11-04 03:48:11+00:00,0.431,0.522,392336,475173,67.0,82.0
2020-11-04 03:48:44+00:00,0.442,0.511,418413,483730,26077.0,8557.0
2020-11-04 03:49:08+00:00,0.441,0.513,419806,488346,1393.0,4616.0
2020-11-04 03:54:22+00:00,0.44,0.513,420552,490325,746.0,1979.0
2020-11-04 03:55:53+00:00,0.439,0.514,421357,493343,805.0,3018.0
