timestamp,republican__percent,democrat__percent,republican__count,democrat__count,republican__delta,democrat__delta
2020-11-03 23:18:18+00:00,0.858,0.133,5234,811,,
2020-11-03 23:19:41+00:00,0.817,0.173,6303,1335,1069.0,524.0
2020-11-03 23:20:56+00:00,0.693,0.295,16165,6881,9862.0,5546.0
2020-11-03 23:23:02+00:00,0.707,0.28,18926,7495,2761.0,614.0
2020-11-03 23:24:53+00:00,0.673,0.312,35035,16242,16109.0,8747.0
2020-11-03 23:26:39+00:00,0.675,0.311,37704,17372,2669.0,1130.0
2020-11-03 23:28:53+00:00,0.685,0.3,44087,19308,6383.0,1936.0
2020-11-03 23:29:22+00:00,0.694,0.292,46771,19679,2684.0,371.0
2020-11-03 23:34:59+00:00,0.447,0.537,67384,80951,20613.0,61272.0
2020-11-03 23:35:48+00:00,0.431,0.553,75472,96835,8088.0,15884.0
2020-11-03 23:37:05+00:00,0.438,0.546,78833,98271,3361.0,1436.0
2020-11-03 23:38:57+00:00,0.453,0.531,85950,100750,7117.0,2479.0
2020-11-03 23:39:26+00:00,0.454,0.529,86509,100800,559.0,50.0
2020-11-03 23:42:32+00:00,0.452,0.532,87516,103005,1007.0,2205.0
2020-11-03 23:42:53+00:00,0.453,0.531,87914,103051,398.0,46.0
2020-11-03 23:43:15+00:00,0.454,0.53,88547,103370,633.0,319.0
2020-11-03 23:43:45+00:00,0.481,0.503,112824,117984,24277.0,14614.0
2020-11-03 23:44:52+00:00,0.48,0.504,113912,119607,1088.0,1623.0
2020-11-03 23:46:53+00:00,0.485,0.499,117266,120651,3354.0,1044.0
2020-11-03 23:48:32+00:00,0.489,0.495,123409,124923,6143.0,4272.0
2020-11-03 23:48:40+00:00,0.49,0.494,123920,124932,511.0,9.0
2020-11-03 23:51:15+00:00,0.489,0.496,124955,126744,1035.0,1812.0
2020-11-03 23:52:46+00:00,0.494,0.49,128007,126970,3052.0,226.0
2020-11-03 23:54:01+00:00,0.495,0.489,129236,127669,1229.0,699.0
2020-11-03 23:55:20+00:00,0.5,0.485,132445,128472,3209.0,803.0
2020-11-03 23:55:45+00:00,0.509,0.475,141101,131676,8656.0,3204.0
2020-11-04 00:02:14+00:00,0.504,0.481,149584,142757,8483.0,11081.0
2020-11-04 00:03:29+00:00,0.508,0.477,152525,143217,2941.0,460.0
2020-11-04 00:04:11+00:00,0.515,0.47,159494,145558,6969.0,2341.0
2020-11-04 00:04:27+00:00,0.515,0.469,159866,145587,372.0,29.0
2020-11-04 00:05:44+00:00,0.52,0.465,164635,147221,4769.0,1634.0
2020-11-04 00:09:07+00:00,0.521,0.464,165657,147533,1022.0,312.0
2020-11-04 00:10:06+00:00,0.523,0.462,167622,148071,1965.0,538.0
2020-11-04 00:10:20+00:00,0.525,0.46,169289,148329,1667.0,258.0
2020-11-04 00:10:47+00:00,0.526,0.458,176433,153624,7144.0,5295.0
2020-11-04 00:11:22+00:00,0.527,0.458,177165,153969,732.0,345.0
2020-11-04 00:12:32+00:00,0.535,0.449,185227,155452,8062.0,1483.0
2020-11-04 00:14:12+00:00,0.537,0.448,186591,155667,1364.0,215.0
2020-11-04 00:15:30+00:00,0.537,0.448,186791,155833,200.0,166.0
2020-11-04 00:16:13+00:00,0.538,0.447,188235,156396,1444.0,563.0
2020-11-04 00:18:36+00:00,0.541,0.443,193185,158190,4950.0,1794.0
2020-11-04 00:18:52+00:00,0.543,0.442,194828,158589,1643.0,399.0
2020-11-04 00:19:06+00:00,0.545,0.44,197045,159082,2217.0,493.0
2020-11-04 00:20:24+00:00,0.545,0.44,197475,159430,430.0,348.0
2020-11-04 00:20:55+00:00,0.559,0.426,217322,165616,19847.0,6186.0
2020-11-04 00:21:30+00:00,0.561,0.424,219711,166056,2389.0,440.0
2020-11-04 00:22:16+00:00,0.564,0.421,223536,166860,3825.0,804.0
2020-11-04 00:25:19+00:00,0.569,0.416,228551,167096,5015.0,236.0
2020-11-04 00:25:49+00:00,0.569,0.416,228857,167319,306.0,223.0
2020-11-04 00:26:11+00:00,0.569,0.416,228861,167322,4.0,3.0
2020-11-04 00:27:41+00:00,0.57,0.415,229822,167326,961.0,4.0
2020-11-04 00:28:30+00:00,0.576,0.409,242128,171928,12306.0,4602.0
2020-11-04 00:29:22+00:00,0.578,0.408,244200,172376,2072.0,448.0
2020-11-04 00:29:52+00:00,0.58,0.405,249657,174329,5457.0,1953.0
2020-11-04 00:30:38+00:00,0.582,0.403,262942,182071,13285.0,7742.0
2020-11-04 00:30:53+00:00,0.583,0.403,263824,182369,882.0,298.0
2020-11-04 00:31:24+00:00,0.585,0.4,268861,183837,5037.0,1468.0
2020-11-04 00:31:45+00:00,0.587,0.398,272388,184686,3527.0,849.0
2020-11-04 00:31:53+00:00,0.591,0.394,278045,185363,5657.0,677.0
2020-11-04 00:32:37+00:00,0.591,0.394,278046,185364,1.0,1.0
2020-11-04 00:34:51+00:00,0.602,0.383,304180,193523,26134.0,8159.0
2020-11-04 00:36:37+00:00,0.606,0.379,313031,195774,8851.0,2251.0
2020-11-04 00:36:54+00:00,0.608,0.376,319193,197396,6162.0,1622.0
2020-11-04 00:37:11+00:00,0.612,0.373,326389,198926,7196.0,1530.0
2020-11-04 00:40:52+00:00,0.612,0.373,333765,203422,7376.0,4496.0
2020-11-04 00:42:53+00:00,0.616,0.369,360377,215875,26612.0,12453.0
2020-11-04 00:44:11+00:00,0.615,0.369,381561,228936,21184.0,13061.0
2020-11-04 00:45:57+00:00,0.619,0.366,390578,230940,9017.0,2004.0
2020-11-04 00:46:09+00:00,0.62,0.364,394582,231658,4004.0,718.0
2020-11-04 00:46:52+00:00,0.622,0.362,401206,233499,6624.0,1841.0
2020-11-04 00:47:56+00:00,0.622,0.362,402887,234478,1681.0,979.0
2020-11-04 00:48:39+00:00,0.622,0.362,413194,240476,10307.0,5998.0
2020-11-04 00:49:51+00:00,0.623,0.361,416931,241592,3737.0,1116.0
2020-11-04 00:50:54+00:00,0.624,0.36,419131,241807,2200.0,215.0
2020-11-04 00:51:52+00:00,0.627,0.357,426836,243031,7705.0,1224.0
2020-11-04 00:51:54+00:00,0.631,0.354,436476,244869,9640.0,1838.0
2020-11-04 00:52:26+00:00,0.627,0.358,462014,263797,25538.0,18928.0
2020-11-04 00:52:55+00:00,0.634,0.35,486926,268808,24912.0,5011.0
2020-11-04 00:53:17+00:00,0.636,0.348,494938,270815,8012.0,2007.0
2020-11-04 00:55:09+00:00,0.64,0.344,514594,276594,19656.0,5779.0
2020-11-04 00:55:15+00:00,0.641,0.344,516298,277077,1704.0,483.0
2020-11-04 00:55:52+00:00,0.642,0.342,520483,277267,4185.0,190.0
2020-11-04 00:57:56+00:00,0.643,0.341,525045,278445,4562.0,1178.0
2020-11-04 00:58:51+00:00,0.643,0.341,525147,278499,102.0,54.0
2020-11-04 00:59:20+00:00,0.645,0.34,533566,281260,8419.0,2761.0
2020-11-04 00:59:40+00:00,0.645,0.34,533570,281262,4.0,2.0
2020-11-04 00:59:52+00:00,0.646,0.338,538889,281958,5319.0,696.0
2020-11-04 01:00:01+00:00,0.646,0.338,539619,282340,730.0,382.0
2020-11-04 01:00:49+00:00,0.647,0.338,541171,282714,1552.0,374.0
2020-11-04 01:01:36+00:00,0.647,0.337,543358,283016,2187.0,302.0
2020-11-04 01:01:53+00:00,0.646,0.338,543717,284483,359.0,1467.0
2020-11-04 01:02:31+00:00,0.647,0.337,547479,285163,3762.0,680.0
2020-11-04 01:03:23+00:00,0.648,0.337,550324,286202,2845.0,1039.0
2020-11-04 01:04:52+00:00,0.648,0.336,555549,288063,5225.0,1861.0
2020-11-04 01:05:52+00:00,0.649,0.336,559255,289537,3706.0,1474.0
2020-11-04 01:06:52+00:00,0.65,0.335,563506,290422,4251.0,885.0
2020-11-04 01:08:16+00:00,0.651,0.333,567255,290163,3749.0,-259.0
2020-11-04 01:08:59+00:00,0.651,0.333,568164,290628,909.0,465.0
2020-11-04 01:09:53+00:00,0.652,0.332,574001,292283,5837.0,1655.0
2020-11-04 01:11:52+00:00,0.655,0.329,583712,293193,9711.0,910.0
2020-11-04 01:13:00+00:00,0.654,0.331,589208,298208,5496.0,5015.0
2020-11-04 01:13:04+00:00,0.58,0.404,725241,505168,136033.0,206960.0
2020-11-04 01:13:43+00:00,0.58,0.404,726242,505865,1001.0,697.0
2020-11-04 01:14:53+00:00,0.581,0.403,730783,506894,4541.0,1029.0
2020-11-04 01:15:00+00:00,0.581,0.403,731562,507435,779.0,541.0
2020-11-04 01:17:02+00:00,0.582,0.403,733577,507958,2015.0,523.0
2020-11-04 01:17:14+00:00,0.582,0.403,733581,507961,4.0,3.0
2020-11-04 01:17:41+00:00,0.582,0.402,733889,506913,308.0,-1048.0
2020-11-04 01:19:29+00:00,0.582,0.402,736402,508649,2513.0,1736.0
2020-11-04 01:20:52+00:00,0.585,0.399,750063,511581,13661.0,2932.0
2020-11-04 01:21:49+00:00,0.585,0.399,750782,512072,719.0,491.0
2020-11-04 01:22:12+00:00,0.585,0.399,751133,512311,351.0,239.0
2020-11-04 01:22:49+00:00,0.585,0.399,751135,512312,2.0,1.0
2020-11-04 01:22:53+00:00,0.585,0.399,752690,513373,1555.0,1061.0
2020-11-04 01:23:26+00:00,0.586,0.398,756023,513476,3333.0,103.0
2020-11-04 01:23:31+00:00,0.586,0.398,757598,514546,1575.0,1070.0
2020-11-04 01:23:52+00:00,0.587,0.397,761197,514813,3599.0,267.0
2020-11-04 01:24:45+00:00,0.588,0.396,764979,515190,3782.0,377.0
2020-11-04 01:24:51+00:00,0.59,0.395,772855,517420,7876.0,2230.0
