timestamp,republican__percent,democrat__percent,republican__count,democrat__count,republican__delta,democrat__delta
2020-11-04 02:22:18+00:00,0.577,0.402,53768,37460,,
2020-11-04 02:31:11+00:00,0.575,0.404,59160,41566,5392.0,4106.0
2020-11-04 02:51:31+00:00,0.594,0.383,68998,44489,9838.0,2923.0
2020-11-04 03:04:53+00:00,0.589,0.388,73030,48108,4032.0,3619.0
2020-11-04 03:11:06+00:00,0.592,0.384,77286,50132,4256.0,2024.0
2020-11-04 03:15:09+00:00,0.59,0.386,103200,67517,25914.0,17385.0
2020-11-04 03:18:00+00:00,0.449,0.53,133946,158110,30746.0,90593.0
2020-11-04 03:29:15+00:00,0.448,0.529,134050,158286,104.0,176.0
2020-11-04 03:58:43+00:00,0.449,0.527,135596,159152,1546.0,866.0
2020-11-04 04:14:18+00:00,0.262,0.718,160771,440586,25175.0,281434.0
2020-11-04 04:19:42+00:00,0.291,0.688,211588,500250,50817.0,59664.0
2020-11-04 04:27:34+00:00,0.256,0.725,226995,642857,15407.0,142607.0
2020-11-04 04:30:17+00:00,0.286,0.696,310526,755685,83531.0,112828.0
2020-11-04 04:31:28+00:00,0.264,0.717,368099,999724,57573.0,244039.0
2020-11-04 04:34:07+00:00,0.27,0.712,383230,1010593,15131.0,10869.0
2020-11-04 04:36:21+00:00,0.29,0.69,436612,1038836,53382.0,28243.0
2020-11-04 04:36:59+00:00,0.292,0.688,442920,1043591,6308.0,4755.0
2020-11-04 04:39:28+00:00,0.315,0.664,508594,1072084,65674.0,28493.0
2020-11-04 04:42:00+00:00,0.32,0.66,528932,1090922,20338.0,18838.0
2020-11-04 04:43:58+00:00,0.324,0.656,539993,1093319,11061.0,2397.0
2020-11-04 04:46:16+00:00,0.329,0.652,623491,1235610,83498.0,142291.0
2020-11-04 05:13:56+00:00,0.349,0.633,718570,1303308,95079.0,67698.0
2020-11-04 05:15:13+00:00,0.349,0.632,718828,1301717,258.0,-1591.0
2020-11-04 05:18:12+00:00,0.349,0.632,718863,1301781,35.0,64.0
2020-11-04 05:21:20+00:00,0.352,0.629,730370,1305122,11507.0,3341.0
2020-11-04 05:53:14+00:00,0.352,0.629,731603,1307326,1233.0,2204.0
2020-11-04 11:46:51+00:00,0.347,0.636,731400,1340549,-203.0,33223.0
2020-11-04 15:31:49+00:00,0.349,0.634,744587,1352631,13187.0,12082.0
2020-11-04 16:15:49+00:00,0.351,0.631,753072,1353814,8485.0,1183.0
2020-11-04 18:39:51+00:00,0.351,0.631,753249,1354132,177.0,318.0
2020-11-04 21:22:55+00:00,0.351,0.631,760163,1366560,6914.0,12428.0
