timestamp,republican__percent,democrat__percent,republican__count,democrat__count,republican__delta,democrat__delta
2020-11-04 01:14:54+00:00,0.345,0.615,212,378,,
2020-11-04 01:22:54+00:00,0.376,0.595,1169,1850,957.0,1472.0
2020-11-04 01:25:26+00:00,0.365,0.605,1205,1997,36.0,147.0
2020-11-04 01:29:06+00:00,0.28,0.693,2574,6371,1369.0,4374.0
2020-11-04 01:32:01+00:00,0.301,0.674,5079,11372,2505.0,5001.0
2020-11-04 01:47:25+00:00,0.289,0.687,8478,20152,3399.0,8780.0
2020-11-04 01:48:09+00:00,0.29,0.687,9169,21721,691.0,1569.0
2020-11-04 01:54:08+00:00,0.309,0.668,11082,23957,1913.0,2236.0
2020-11-04 01:54:18+00:00,0.339,0.638,14015,26376,2933.0,2419.0
2020-11-04 01:54:47+00:00,0.336,0.641,16307,31110,2292.0,4734.0
2020-11-04 01:55:37+00:00,0.327,0.649,20352,40392,4045.0,9282.0
2020-11-04 01:56:40+00:00,0.357,0.619,25020,43383,4668.0,2991.0
2020-11-04 01:56:40+00:00,0.357,0.619,25020,43383,0.0,0.0
2020-11-04 01:56:57+00:00,0.36,0.616,26289,44983,1269.0,1600.0
2020-11-04 01:57:15+00:00,0.36,0.617,28738,49254,2449.0,4271.0
2020-11-04 01:58:00+00:00,0.365,0.611,30040,50287,1302.0,1033.0
2020-11-04 01:58:24+00:00,0.359,0.616,30582,52475,542.0,2188.0
2020-11-04 02:02:28+00:00,0.368,0.608,34824,57536,4242.0,5061.0
2020-11-04 02:03:36+00:00,0.332,0.645,38571,74934,3747.0,17398.0
2020-11-04 02:04:25+00:00,0.341,0.636,40752,76006,2181.0,1072.0
2020-11-04 02:05:02+00:00,0.334,0.644,42199,81365,1447.0,5359.0
2020-11-04 02:10:27+00:00,0.331,0.646,42585,83112,386.0,1747.0
2020-11-04 02:16:37+00:00,0.326,0.652,43289,86578,704.0,3466.0
2020-11-04 02:20:46+00:00,0.325,0.652,46471,93228,3182.0,6650.0
2020-11-04 02:20:54+00:00,0.322,0.655,49094,99865,2623.0,6637.0
2020-11-04 02:21:59+00:00,0.276,0.701,53226,135186,4132.0,35321.0
2020-11-04 02:25:00+00:00,0.277,0.7,56021,141570,2795.0,6384.0
2020-11-04 02:25:24+00:00,0.278,0.699,56356,141701,335.0,131.0
2020-11-04 02:27:12+00:00,0.276,0.702,60746,154506,4390.0,12805.0
2020-11-04 02:28:10+00:00,0.273,0.705,63363,163629,2617.0,9123.0
2020-11-04 02:28:34+00:00,0.273,0.704,65710,169449,2347.0,5820.0
2020-11-04 02:28:45+00:00,0.265,0.713,64424,173337,-1286.0,3888.0
2020-11-04 02:30:54+00:00,0.272,0.705,68088,176477,3664.0,3140.0
2020-11-04 02:32:08+00:00,0.261,0.717,72037,197895,3949.0,21418.0
2020-11-04 02:32:28+00:00,0.26,0.718,74491,205709,2454.0,7814.0
2020-11-04 02:33:00+00:00,0.277,0.701,88785,224686,14294.0,18977.0
2020-11-04 02:33:53+00:00,0.283,0.695,94437,231920,5652.0,7234.0
2020-11-04 02:35:48+00:00,0.285,0.693,99965,243072,5528.0,11152.0
2020-11-04 02:37:42+00:00,0.288,0.69,103098,247006,3133.0,3934.0
2020-11-04 02:37:44+00:00,0.29,0.688,106251,252072,3153.0,5066.0
2020-11-04 02:38:35+00:00,0.29,0.687,106516,252332,265.0,260.0
2020-11-04 02:38:44+00:00,0.297,0.681,113050,259216,6534.0,6884.0
2020-11-04 02:40:23+00:00,0.298,0.68,114629,261569,1579.0,2353.0
2020-11-04 02:43:39+00:00,0.299,0.679,116393,264318,1764.0,2749.0
2020-11-04 02:44:11+00:00,0.299,0.678,121308,275073,4915.0,10755.0
2020-11-04 02:44:22+00:00,0.302,0.675,124406,278060,3098.0,2987.0
2020-11-04 02:46:12+00:00,0.301,0.676,127328,285959,2922.0,7899.0
2020-11-04 02:51:00+00:00,0.302,0.676,132382,296325,5054.0,10366.0
2020-11-04 03:05:57+00:00,0.301,0.677,142471,320442,10089.0,24117.0
2020-11-04 03:08:23+00:00,0.301,0.677,143939,323744,1468.0,3302.0
2020-11-04 03:08:38+00:00,0.312,0.666,166706,355854,22767.0,32110.0
2020-11-04 03:08:53+00:00,0.316,0.661,176750,369722,10044.0,13868.0
2020-11-04 03:09:14+00:00,0.318,0.659,183195,379640,6445.0,9918.0
2020-11-04 03:09:34+00:00,0.315,0.662,186173,391258,2978.0,11618.0
2020-11-04 03:10:11+00:00,0.319,0.659,196948,406862,10775.0,15604.0
2020-11-04 03:10:50+00:00,0.317,0.661,204338,426081,7390.0,19219.0
2020-11-04 03:10:55+00:00,0.317,0.661,206637,430874,2299.0,4793.0
2020-11-04 03:12:00+00:00,0.317,0.661,207966,433645,1329.0,2771.0
2020-11-04 03:13:24+00:00,0.317,0.661,208042,433804,76.0,159.0
2020-11-04 03:13:56+00:00,0.316,0.662,214991,450393,6949.0,16589.0
2020-11-04 03:17:45+00:00,0.314,0.663,222466,469729,7475.0,19336.0
2020-11-04 03:20:28+00:00,0.314,0.663,222568,469944,102.0,215.0
2020-11-04 03:20:36+00:00,0.315,0.662,224981,472817,2413.0,2873.0
2020-11-04 03:23:29+00:00,0.307,0.67,227875,497316,2894.0,24499.0
2020-11-04 03:23:51+00:00,0.309,0.668,232472,502561,4597.0,5245.0
2020-11-04 03:24:07+00:00,0.313,0.664,240511,510222,8039.0,7661.0
2020-11-04 03:25:14+00:00,0.316,0.662,247590,518686,7079.0,8464.0
2020-11-04 03:25:42+00:00,0.317,0.661,249854,520989,2264.0,2303.0
2020-11-04 03:25:53+00:00,0.318,0.66,251884,522778,2030.0,1789.0
2020-11-04 03:31:39+00:00,0.317,0.66,251123,522843,-761.0,65.0
2020-11-04 03:32:18+00:00,0.32,0.658,260406,535460,9283.0,12617.0
2020-11-04 03:33:19+00:00,0.319,0.658,264749,546097,4343.0,10637.0
2020-11-04 03:34:35+00:00,0.32,0.658,267514,550075,2765.0,3978.0
