timestamp,republican__percent,democrat__percent,republican__count,democrat__count,republican__delta,democrat__delta
2020-11-04 01:09:14+00:00,0.263,0.724,9616,26470,,
2020-11-04 01:13:29+00:00,0.281,0.707,10810,27198,1194.0,728.0
2020-11-04 01:13:52+00:00,0.397,0.589,21673,32154,10863.0,4956.0
2020-11-04 01:20:24+00:00,0.435,0.549,28640,36146,6967.0,3992.0
2020-11-04 01:20:50+00:00,0.552,0.431,74438,58121,45798.0,21975.0
2020-11-04 01:22:30+00:00,0.554,0.429,75379,58371,941.0,250.0
2020-11-04 01:25:54+00:00,0.584,0.398,110863,75554,35484.0,17183.0
2020-11-04 01:26:24+00:00,0.583,0.399,115464,79023,4601.0,3469.0
2020-11-04 01:28:36+00:00,0.568,0.413,122908,89368,7444.0,10345.0
2020-11-04 01:28:51+00:00,0.575,0.407,133558,94536,10650.0,5168.0
2020-11-04 01:32:32+00:00,0.575,0.406,133664,94379,106.0,-157.0
2020-11-04 01:32:51+00:00,0.579,0.402,147232,102223,13568.0,7844.0
2020-11-04 01:37:59+00:00,0.58,0.401,149265,103199,2033.0,976.0
2020-11-04 01:39:31+00:00,0.576,0.406,163964,115572,14699.0,12373.0
2020-11-04 01:39:54+00:00,0.576,0.405,164227,115472,263.0,-100.0
2020-11-04 01:40:08+00:00,0.576,0.405,164254,115491,27.0,19.0
2020-11-04 01:41:08+00:00,0.576,0.405,164465,115639,211.0,148.0
2020-11-04 01:43:02+00:00,0.577,0.404,167117,117011,2652.0,1372.0
2020-11-04 01:43:16+00:00,0.577,0.402,226635,157898,59518.0,40887.0
2020-11-04 01:43:27+00:00,0.579,0.399,234102,161324,7467.0,3426.0
2020-11-04 01:43:55+00:00,0.579,0.4,251144,173502,17042.0,12178.0
2020-11-04 01:46:03+00:00,0.579,0.4,251980,174080,836.0,578.0
2020-11-04 01:46:50+00:00,0.579,0.4,254398,175750,2418.0,1670.0
2020-11-04 01:48:02+00:00,0.591,0.388,281996,185135,27598.0,9385.0
2020-11-04 01:50:30+00:00,0.597,0.382,297831,190572,15835.0,5437.0
2020-11-04 01:51:17+00:00,0.582,0.397,320326,218504,22495.0,27932.0
2020-11-04 01:51:26+00:00,0.578,0.401,331689,230117,11363.0,11613.0
2020-11-04 01:51:52+00:00,0.568,0.406,326269,233213,-5420.0,3096.0
2020-11-04 01:53:23+00:00,0.571,0.404,366324,259185,40055.0,25972.0
2020-11-04 01:55:13+00:00,0.57,0.404,377932,267867,11608.0,8682.0
2020-11-04 01:56:48+00:00,0.57,0.404,378093,267982,161.0,115.0
2020-11-04 01:57:38+00:00,0.569,0.405,382178,272025,4085.0,4043.0
2020-11-04 01:58:41+00:00,0.57,0.404,400296,283719,18118.0,11694.0
2020-11-04 01:59:28+00:00,0.57,0.404,400377,283776,81.0,57.0
2020-11-04 02:01:11+00:00,0.593,0.384,519646,336499,119269.0,52723.0
2020-11-04 02:02:49+00:00,0.594,0.382,528009,339561,8363.0,3062.0
2020-11-04 02:04:55+00:00,0.594,0.383,535240,345112,7231.0,5551.0
2020-11-04 02:05:31+00:00,0.594,0.383,538197,347019,2957.0,1907.0
2020-11-04 02:07:30+00:00,0.594,0.383,540091,348240,1894.0,1221.0
2020-11-04 02:07:41+00:00,0.593,0.383,539548,348477,-543.0,237.0
2020-11-04 02:08:04+00:00,0.593,0.384,552537,357798,12989.0,9321.0
