timestamp,democrat__percent,republican__percent,democrat__count,republican__count,democrat__delta,republican__delta
2020-11-04 01:20:24+00:00,0.369,0.608,4094,6745,,
2020-11-04 01:25:51+00:00,0.357,0.621,5669,9861,1575.0,3116.0
2020-11-04 01:26:40+00:00,0.368,0.608,8661,14310,2992.0,4449.0
2020-11-04 01:27:23+00:00,0.367,0.61,8798,14624,137.0,314.0
2020-11-04 01:29:47+00:00,0.443,0.536,18664,22582,9866.0,7958.0
2020-11-04 01:32:50+00:00,0.443,0.536,20774,25136,2110.0,2554.0
2020-11-04 01:33:12+00:00,0.442,0.536,20810,25235,36.0,99.0
2020-11-04 01:39:13+00:00,0.435,0.543,21793,27204,983.0,1969.0
2020-11-04 01:40:05+00:00,0.439,0.54,34022,41850,12229.0,14646.0
2020-11-04 01:42:22+00:00,0.438,0.541,34105,42125,83.0,275.0
2020-11-04 01:43:40+00:00,0.431,0.548,35311,44897,1206.0,2772.0
2020-11-04 01:44:20+00:00,0.396,0.583,72882,107298,37571.0,62401.0
2020-11-04 01:46:50+00:00,0.396,0.583,75093,110554,2211.0,3256.0
2020-11-04 01:48:54+00:00,0.367,0.613,83383,139275,8290.0,28721.0
2020-11-04 01:50:40+00:00,0.367,0.613,85808,143325,2425.0,4050.0
2020-11-04 01:51:02+00:00,0.388,0.595,198198,303937,112390.0,160612.0
2020-11-04 01:52:25+00:00,0.392,0.591,209344,315618,11146.0,11681.0
2020-11-04 01:52:52+00:00,0.39,0.593,218209,331789,8865.0,16171.0
2020-11-04 01:54:30+00:00,0.391,0.591,244724,369903,26515.0,38114.0
2020-11-04 01:56:04+00:00,0.391,0.591,253039,382471,8315.0,12568.0
2020-11-04 01:56:54+00:00,0.391,0.591,253147,382633,108.0,162.0
2020-11-04 01:58:11+00:00,0.392,0.59,257030,386857,3883.0,4224.0
2020-11-04 01:59:32+00:00,0.391,0.591,268208,405399,11178.0,18542.0
2020-11-04 01:59:41+00:00,0.391,0.591,268486,405818,278.0,419.0
2020-11-04 02:00:15+00:00,0.391,0.591,268540,405900,54.0,82.0
2020-11-04 02:01:19+00:00,0.391,0.591,269760,407745,1220.0,1845.0
2020-11-04 02:02:11+00:00,0.375,0.607,323226,523196,53466.0,115451.0
2020-11-04 02:03:47+00:00,0.374,0.608,327022,531630,3796.0,8434.0
2020-11-04 02:04:54+00:00,0.375,0.607,332412,538064,5390.0,6434.0
2020-11-04 02:06:18+00:00,0.375,0.607,334258,541052,1846.0,2988.0
2020-11-04 02:08:47+00:00,0.374,0.608,335718,545766,1460.0,4714.0
2020-11-04 02:09:15+00:00,0.375,0.606,342362,553256,6644.0,7490.0
2020-11-04 02:09:30+00:00,0.375,0.606,344972,557475,2610.0,4219.0
2020-11-04 02:10:22+00:00,0.375,0.606,345353,558091,381.0,616.0
2020-11-04 02:11:07+00:00,0.375,0.606,351889,568652,6536.0,10561.0
2020-11-04 02:11:27+00:00,0.375,0.606,352753,570048,864.0,1396.0
2020-11-04 02:11:45+00:00,0.375,0.607,353956,572936,1203.0,2888.0
2020-11-04 02:12:24+00:00,0.375,0.607,354362,573594,406.0,658.0
2020-11-04 02:14:25+00:00,0.375,0.607,354686,574118,324.0,524.0
2020-11-04 02:15:08+00:00,0.375,0.607,354697,574136,11.0,18.0
2020-11-04 02:16:39+00:00,0.375,0.606,357968,578477,3271.0,4341.0
2020-11-04 02:16:55+00:00,0.375,0.607,358256,579897,288.0,1420.0
2020-11-04 02:19:42+00:00,0.375,0.607,358874,580897,618.0,1000.0
2020-11-04 02:19:55+00:00,0.374,0.607,361311,586406,2437.0,5509.0
2020-11-04 02:22:05+00:00,0.375,0.607,369899,598744,8588.0,12338.0
2020-11-04 02:22:45+00:00,0.375,0.607,370165,599174,266.0,430.0
2020-11-04 02:22:59+00:00,0.375,0.607,370426,599596,261.0,422.0
2020-11-04 02:25:29+00:00,0.377,0.604,380158,609059,9732.0,9463.0
2020-11-04 02:25:54+00:00,0.377,0.605,383774,615871,3616.0,6812.0
2020-11-04 02:26:23+00:00,0.377,0.605,384084,616369,310.0,498.0
2020-11-04 02:27:03+00:00,0.377,0.605,384673,617314,589.0,945.0
2020-11-04 02:27:38+00:00,0.377,0.605,384740,617421,67.0,107.0
2020-11-04 02:30:54+00:00,0.378,0.603,390579,623067,5839.0,5646.0
2020-11-04 02:32:54+00:00,0.378,0.604,391381,625382,802.0,2315.0
2020-11-04 02:33:09+00:00,0.381,0.6,398936,628246,7555.0,2864.0
2020-11-04 02:35:08+00:00,0.381,0.6,399209,628675,273.0,429.0
2020-11-04 02:35:53+00:00,0.381,0.6,403588,635571,4379.0,6896.0
2020-11-04 02:36:28+00:00,0.382,0.6,407282,639710,3694.0,4139.0
2020-11-04 02:37:03+00:00,0.383,0.599,415462,649769,8180.0,10059.0
2020-11-04 02:38:00+00:00,0.382,0.599,415342,651283,-120.0,1514.0
2020-11-04 02:38:22+00:00,0.382,0.599,415592,651675,250.0,392.0
2020-11-04 02:38:59+00:00,0.383,0.599,417090,652316,1498.0,641.0
2020-11-04 02:39:31+00:00,0.382,0.599,416557,653188,-533.0,872.0
2020-11-04 02:39:44+00:00,0.382,0.599,419410,657662,2853.0,4474.0
2020-11-04 02:40:05+00:00,0.381,0.6,421754,664179,2344.0,6517.0
