timestamp,republican__percent,democrat__percent,republican__count,democrat__count,republican__delta,democrat__delta
2020-11-04 02:31:47+00:00,0.285,0.697,72417,177104,,
2020-11-04 02:36:54+00:00,0.301,0.677,82224,184935,9807.0,7831.0
2020-11-04 02:42:28+00:00,0.304,0.676,199479,443578,117255.0,258643.0
2020-11-04 02:44:00+00:00,0.305,0.676,200315,443976,836.0,398.0
2020-11-04 02:47:21+00:00,0.305,0.676,200401,444168,86.0,192.0
2020-11-04 02:49:26+00:00,0.319,0.661,278664,577421,78263.0,133253.0
2020-11-04 02:53:51+00:00,0.32,0.66,281556,580710,2892.0,3289.0
2020-11-04 03:00:48+00:00,0.338,0.642,334598,635538,53042.0,54828.0
2020-11-04 03:10:10+00:00,0.361,0.619,399661,685291,65063.0,49753.0
2020-11-04 03:16:50+00:00,0.361,0.619,399890,685684,229.0,393.0
2020-11-04 03:21:23+00:00,0.361,0.619,399904,685708,14.0,24.0
2020-11-04 03:22:01+00:00,0.364,0.616,414095,700776,14191.0,15068.0
2020-11-04 03:25:36+00:00,0.366,0.614,420624,705638,6529.0,4862.0
2020-11-04 03:30:50+00:00,0.37,0.609,448429,738089,27805.0,32451.0
2020-11-04 03:31:51+00:00,0.37,0.609,457839,753579,9410.0,15490.0
2020-11-04 03:33:07+00:00,0.372,0.608,462577,756039,4738.0,2460.0
2020-11-04 03:37:36+00:00,0.372,0.607,464736,758319,2159.0,2280.0
2020-11-04 03:42:54+00:00,0.378,0.602,491484,782734,26748.0,24415.0
2020-11-04 03:43:52+00:00,0.378,0.602,491504,782766,20.0,32.0
2020-11-04 03:46:20+00:00,0.378,0.602,491515,782783,11.0,17.0
2020-11-04 03:48:19+00:00,0.378,0.602,492123,783752,608.0,969.0
2020-11-04 03:50:20+00:00,0.38,0.6,498735,787476,6612.0,3724.0
2020-11-04 03:51:20+00:00,0.392,0.587,556256,832965,57521.0,45489.0
2020-11-04 03:56:00+00:00,0.393,0.587,558304,833905,2048.0,940.0
2020-11-04 03:56:34+00:00,0.393,0.586,559654,834497,1350.0,592.0
2020-11-04 03:56:42+00:00,0.394,0.586,561468,835077,1814.0,580.0
2020-11-04 03:58:32+00:00,0.393,0.586,560281,835431,-1187.0,354.0
2020-11-04 04:00:26+00:00,0.394,0.577,595209,871665,34928.0,36234.0
2020-11-04 04:00:55+00:00,0.394,0.577,595213,871670,4.0,5.0
2020-11-04 04:06:06+00:00,0.394,0.576,595503,870583,290.0,-1087.0
2020-11-04 04:08:28+00:00,0.4,0.579,606563,878000,11060.0,7417.0
2020-11-04 04:09:35+00:00,0.401,0.579,609080,879444,2517.0,1444.0
2020-11-04 04:11:40+00:00,0.406,0.574,642350,908150,33270.0,28706.0
2020-11-04 04:14:11+00:00,0.407,0.573,644434,907274,2084.0,-876.0
2020-11-04 04:16:57+00:00,0.406,0.573,642855,907280,-1579.0,6.0
2020-11-04 04:20:14+00:00,0.408,0.572,648813,909610,5958.0,2330.0
2020-11-04 04:20:44+00:00,0.421,0.559,769911,1022281,121098.0,112671.0
2020-11-04 04:23:03+00:00,0.421,0.559,769918,1022290,7.0,9.0
2020-11-04 04:24:09+00:00,0.421,0.558,770782,1021606,864.0,-684.0
2020-11-04 04:26:46+00:00,0.421,0.559,773213,1026666,2431.0,5060.0
2020-11-04 04:28:34+00:00,0.421,0.559,773228,1026686,15.0,20.0
2020-11-04 04:31:23+00:00,0.421,0.558,773291,1024932,63.0,-1754.0
2020-11-04 04:32:26+00:00,0.434,0.545,882573,1108301,109282.0,83369.0
2020-11-04 04:32:46+00:00,0.434,0.545,882586,1108317,13.0,16.0
2020-11-04 04:33:47+00:00,0.434,0.545,886563,1113311,3977.0,4994.0
2020-11-04 04:34:57+00:00,0.435,0.544,889952,1112952,3389.0,-359.0
2020-11-04 04:35:54+00:00,0.435,0.544,891675,1115106,1723.0,2154.0
