timestamp,democrat__percent,republican__percent,democrat__count,republican__count,democrat__delta,republican__delta
2020-11-04 02:08:29+00:00,0.254,0.613,1451,3502,,
2020-11-04 02:16:44+00:00,0.24,0.624,2484,6460,1033.0,2958.0
2020-11-04 02:19:54+00:00,0.329,0.607,73192,135037,70708.0,128577.0
2020-11-04 02:22:45+00:00,0.327,0.608,73645,136930,453.0,1893.0
2020-11-04 02:23:11+00:00,0.324,0.611,73912,139384,267.0,2454.0
2020-11-04 02:27:47+00:00,0.319,0.616,75699,146177,1787.0,6793.0
2020-11-04 02:31:37+00:00,0.311,0.601,75671,146232,-28.0,55.0
2020-11-04 02:32:54+00:00,0.31,0.6,75525,146177,-146.0,-55.0
2020-11-04 02:35:25+00:00,0.309,0.602,75814,147703,289.0,1526.0
2020-11-04 02:37:49+00:00,0.307,0.604,76657,150817,843.0,3114.0
2020-11-04 02:38:51+00:00,0.301,0.613,80317,163570,3660.0,12753.0
2020-11-04 02:40:29+00:00,0.3,0.614,81382,166562,1065.0,2992.0
2020-11-04 02:44:02+00:00,0.3,0.613,81543,166620,161.0,58.0
2020-11-04 02:45:51+00:00,0.3,0.613,81599,166734,56.0,114.0
2020-11-04 02:48:47+00:00,0.297,0.616,82975,172096,1376.0,5362.0
2020-11-04 02:54:25+00:00,0.306,0.609,94700,188471,11725.0,16375.0
2020-11-04 02:55:21+00:00,0.305,0.61,94697,189393,-3.0,922.0
2020-11-04 02:57:00+00:00,0.304,0.611,94757,190449,60.0,1056.0
2020-11-04 02:59:24+00:00,0.304,0.609,94986,190285,229.0,-164.0
2020-11-04 03:00:18+00:00,0.303,0.611,97023,195648,2037.0,5363.0
2020-11-04 03:00:36+00:00,0.302,0.61,96860,195645,-163.0,-3.0
2020-11-04 03:03:27+00:00,0.301,0.612,97774,198795,914.0,3150.0
2020-11-04 03:05:34+00:00,0.299,0.616,98463,202853,689.0,4058.0
2020-11-04 03:06:37+00:00,0.299,0.616,98622,203181,159.0,328.0
2020-11-04 03:08:02+00:00,0.295,0.62,99456,209026,834.0,5845.0
2020-11-04 03:11:47+00:00,0.295,0.62,99643,209419,187.0,393.0
2020-11-04 03:13:33+00:00,0.295,0.621,99832,210156,189.0,737.0
2020-11-04 03:17:45+00:00,0.294,0.619,99730,209975,-102.0,-181.0
2020-11-04 03:20:46+00:00,0.293,0.622,99857,211983,127.0,2008.0
2020-11-04 03:23:47+00:00,0.292,0.625,103694,221949,3837.0,9966.0
2020-11-04 03:27:50+00:00,0.291,0.626,103753,223195,59.0,1246.0
2020-11-04 03:37:15+00:00,0.29,0.627,104143,225164,390.0,1969.0
2020-11-04 03:39:55+00:00,0.289,0.626,104518,226396,375.0,1232.0
2020-11-04 03:42:05+00:00,0.286,0.629,104624,230100,106.0,3704.0
2020-11-04 03:43:00+00:00,0.281,0.634,108395,244565,3771.0,14465.0
2020-11-04 03:52:31+00:00,0.28,0.635,108589,246264,194.0,1699.0
2020-11-04 03:54:06+00:00,0.28,0.636,109038,247672,449.0,1408.0
2020-11-04 03:54:51+00:00,0.279,0.636,108916,248282,-122.0,610.0
2020-11-04 03:55:41+00:00,0.292,0.626,129515,277658,20599.0,29376.0
2020-11-04 03:59:39+00:00,0.29,0.628,131472,284705,1957.0,7047.0
2020-11-04 04:00:36+00:00,0.29,0.628,131565,284905,93.0,200.0
2020-11-04 04:03:35+00:00,0.289,0.629,131783,286821,218.0,1916.0
2020-11-04 04:08:05+00:00,0.287,0.634,133136,294106,1353.0,7285.0
2020-11-04 04:08:28+00:00,0.287,0.634,133297,294461,161.0,355.0
2020-11-04 04:10:21+00:00,0.286,0.634,133330,295563,33.0,1102.0
2020-11-04 04:12:48+00:00,0.283,0.636,134567,302419,1237.0,6856.0
2020-11-04 04:17:00+00:00,0.281,0.639,142227,323428,7660.0,21009.0
2020-11-04 04:18:31+00:00,0.281,0.639,142319,323638,92.0,210.0
2020-11-04 04:25:22+00:00,0.28,0.64,142678,326122,359.0,2484.0
2020-11-04 04:26:17+00:00,0.278,0.642,143023,330290,345.0,4168.0
2020-11-04 04:32:05+00:00,0.278,0.642,143133,330544,110.0,254.0
2020-11-04 04:33:25+00:00,0.276,0.644,143915,335802,782.0,5258.0
2020-11-04 04:37:38+00:00,0.275,0.646,144351,339093,436.0,3291.0
2020-11-04 04:41:08+00:00,0.274,0.647,144474,341150,123.0,2057.0
2020-11-04 04:46:11+00:00,0.272,0.649,145432,347006,958.0,5856.0
2020-11-04 04:52:04+00:00,0.283,0.639,168388,380211,22956.0,33205.0
2020-11-04 04:52:34+00:00,0.283,0.64,169040,382282,652.0,2071.0
2020-11-04 04:56:09+00:00,0.282,0.641,169296,384817,256.0,2535.0
2020-11-04 05:01:12+00:00,0.281,0.642,169296,386791,0.0,1974.0
2020-11-04 05:04:08+00:00,0.281,0.642,169856,388070,560.0,1279.0
2020-11-04 05:05:46+00:00,0.286,0.636,176471,392431,6615.0,4361.0
2020-11-04 05:06:43+00:00,0.285,0.638,176982,396192,511.0,3761.0
2020-11-04 05:11:38+00:00,0.284,0.639,177690,399802,708.0,3610.0
2020-11-04 05:18:25+00:00,0.284,0.641,178297,402425,607.0,2623.0
2020-11-04 05:18:58+00:00,0.283,0.641,178353,403974,56.0,1549.0
2020-11-04 05:20:31+00:00,0.283,0.641,178817,405024,464.0,1050.0
