timestamp,democrat__percent,republican__percent,democrat__count,republican__count,democrat__delta,republican__delta
2020-11-03 14:17:31+00:00,0.407,0.593,11,16,,
2020-11-03 14:17:31+00:00,0.407,0.593,11,16,0.0,0.0
2020-11-04 00:10:59+00:00,0.766,0.234,1999,611,1988.0,595.0
2020-11-04 00:16:24+00:00,0.757,0.243,4012,1288,2013.0,677.0
2020-11-04 00:24:21+00:00,0.752,0.248,5435,1793,1423.0,505.0
2020-11-04 00:27:37+00:00,0.731,0.269,6928,2550,1493.0,757.0
2020-11-04 00:30:22+00:00,0.69,0.31,8448,3796,1520.0,1246.0
2020-11-04 00:30:42+00:00,0.64,0.355,10140,5625,1692.0,1829.0
2020-11-04 00:31:47+00:00,0.645,0.35,11280,6121,1140.0,496.0
2020-11-04 00:35:59+00:00,0.617,0.375,13496,8203,2216.0,2082.0
2020-11-04 00:42:45+00:00,0.595,0.395,14654,9728,1158.0,1525.0
2020-11-04 00:49:12+00:00,0.6,0.391,16208,10562,1554.0,834.0
2020-11-04 00:50:16+00:00,0.597,0.393,17180,11310,972.0,748.0
2020-11-04 00:52:25+00:00,0.606,0.384,18385,11650,1205.0,340.0
2020-11-04 00:53:17+00:00,0.6,0.39,19866,12913,1481.0,1263.0
2020-11-04 00:53:32+00:00,0.615,0.375,22232,13556,2366.0,643.0
2020-11-04 00:54:23+00:00,0.63,0.36,25247,14427,3015.0,871.0
2020-11-04 00:57:31+00:00,0.628,0.362,25568,14738,321.0,311.0
2020-11-04 01:01:09+00:00,0.625,0.366,26582,15566,1014.0,828.0
2020-11-04 01:05:06+00:00,0.623,0.368,27464,16223,882.0,657.0
2020-11-04 01:06:14+00:00,0.622,0.37,28771,17115,1307.0,892.0
2020-11-04 01:08:40+00:00,0.624,0.368,30793,18160,2022.0,1045.0
2020-11-04 01:09:02+00:00,0.621,0.371,31632,18898,839.0,738.0
2020-11-04 01:09:14+00:00,0.611,0.379,33190,20588,1558.0,1690.0
2020-11-04 01:10:10+00:00,0.605,0.385,33979,21623,789.0,1035.0
2020-11-04 01:10:37+00:00,0.601,0.389,35428,22931,1449.0,1308.0
2020-11-04 01:11:33+00:00,0.599,0.391,35331,23062,-97.0,131.0
2020-11-04 01:15:15+00:00,0.599,0.391,35356,23079,25.0,17.0
2020-11-04 01:16:06+00:00,0.594,0.396,37377,24918,2021.0,1839.0
2020-11-04 01:19:10+00:00,0.591,0.398,38898,26195,1521.0,1277.0
2020-11-04 01:20:33+00:00,0.587,0.401,41197,28143,2299.0,1948.0
2020-11-04 01:22:17+00:00,0.589,0.398,43033,29078,1836.0,935.0
2020-11-04 01:22:30+00:00,0.588,0.4,44621,30354,1588.0,1276.0
2020-11-04 01:26:52+00:00,0.588,0.4,44633,30362,12.0,8.0
2020-11-04 01:27:19+00:00,0.591,0.397,46349,31134,1716.0,772.0
2020-11-04 01:29:57+00:00,0.59,0.398,48026,32397,1677.0,1263.0
2020-11-04 01:30:28+00:00,0.584,0.404,49662,34355,1636.0,1958.0
2020-11-04 01:30:36+00:00,0.584,0.404,50449,34900,787.0,545.0
2020-11-04 01:31:19+00:00,0.582,0.406,50872,35488,423.0,588.0
2020-11-04 01:33:10+00:00,0.581,0.406,51693,36123,821.0,635.0
2020-11-04 01:34:57+00:00,0.581,0.406,51980,36323,287.0,200.0
2020-11-04 01:40:49+00:00,0.583,0.405,53621,37249,1641.0,926.0
2020-11-04 01:41:05+00:00,0.587,0.402,57170,39152,3549.0,1903.0
2020-11-04 01:44:15+00:00,0.587,0.402,57183,39161,13.0,9.0
2020-11-04 01:45:04+00:00,0.581,0.406,58875,41142,1692.0,1981.0
2020-11-04 01:45:44+00:00,0.576,0.412,61730,44154,2855.0,3012.0
2020-11-04 01:48:02+00:00,0.575,0.412,62080,44482,350.0,328.0
2020-11-04 01:57:18+00:00,0.577,0.41,63877,45389,1797.0,907.0
2020-11-04 01:57:24+00:00,0.578,0.409,64633,45735,756.0,346.0
2020-11-04 01:58:17+00:00,0.578,0.409,65244,46168,611.0,433.0
2020-11-04 02:00:42+00:00,0.578,0.409,65412,46286,168.0,118.0
2020-11-04 02:02:00+00:00,0.578,0.409,66402,46987,990.0,701.0
2020-11-04 02:02:09+00:00,0.578,0.409,67376,47676,974.0,689.0
2020-11-04 02:02:33+00:00,0.574,0.412,69235,49695,1859.0,2019.0
2020-11-04 02:04:55+00:00,0.575,0.412,70172,50280,937.0,585.0
2020-11-04 02:06:45+00:00,0.575,0.412,70582,50573,410.0,293.0
2020-11-04 02:11:52+00:00,0.575,0.412,71271,51067,689.0,494.0
2020-11-04 02:13:33+00:00,0.575,0.411,71448,51070,177.0,3.0
2020-11-04 02:15:19+00:00,0.575,0.411,71451,51072,3.0,2.0
2020-11-04 02:16:23+00:00,0.575,0.411,72406,51755,955.0,683.0
2020-11-04 02:18:53+00:00,0.578,0.408,74759,52771,2353.0,1016.0
2020-11-04 02:20:24+00:00,0.578,0.408,74770,52778,11.0,7.0
2020-11-04 02:20:47+00:00,0.578,0.408,76242,53818,1472.0,1040.0
2020-11-04 02:22:37+00:00,0.577,0.408,76229,53902,-13.0,84.0
2020-11-04 02:23:27+00:00,0.58,0.406,78509,54956,2280.0,1054.0
2020-11-04 02:24:39+00:00,0.581,0.405,80336,56000,1827.0,1044.0
2020-11-04 02:26:57+00:00,0.581,0.405,80608,56190,272.0,190.0
2020-11-04 02:28:29+00:00,0.587,0.398,87269,59171,6661.0,2981.0
2020-11-04 02:29:38+00:00,0.583,0.402,92522,63797,5253.0,4626.0
2020-11-04 02:31:57+00:00,0.582,0.402,92876,64152,354.0,355.0
2020-11-04 02:32:39+00:00,0.581,0.403,93896,65129,1020.0,977.0
2020-11-04 02:34:17+00:00,0.583,0.402,95539,65877,1643.0,748.0
2020-11-04 02:38:07+00:00,0.585,0.401,99071,67910,3532.0,2033.0
2020-11-04 02:40:17+00:00,0.585,0.4,101089,69121,2018.0,1211.0
2020-11-04 02:43:38+00:00,0.585,0.4,102325,69966,1236.0,845.0
2020-11-04 02:44:51+00:00,0.585,0.401,103493,70941,1168.0,975.0
2020-11-04 02:45:04+00:00,0.582,0.403,105291,72908,1798.0,1967.0
2020-11-04 02:48:46+00:00,0.582,0.403,105802,73262,511.0,354.0
2020-11-04 02:51:32+00:00,0.581,0.404,105976,73690,174.0,428.0
2020-11-04 02:53:00+00:00,0.578,0.406,110497,77615,4521.0,3925.0
2020-11-04 02:53:32+00:00,0.577,0.407,112919,79650,2422.0,2035.0
2020-11-04 02:54:48+00:00,0.577,0.408,114581,81021,1662.0,1371.0
2020-11-04 02:56:14+00:00,0.575,0.409,115372,82065,791.0,1044.0
2020-11-04 02:56:24+00:00,0.578,0.407,117589,82800,2217.0,735.0
2020-11-04 02:57:55+00:00,0.578,0.407,118895,83720,1306.0,920.0
2020-11-04 03:00:12+00:00,0.577,0.407,119651,84398,756.0,678.0
2020-11-04 03:01:23+00:00,0.576,0.409,122473,86964,2822.0,2566.0
2020-11-04 03:01:50+00:00,0.577,0.408,125856,88993,3383.0,2029.0
2020-11-04 03:04:21+00:00,0.577,0.408,126088,89157,232.0,164.0
2020-11-04 03:06:34+00:00,0.581,0.402,132383,91597,6295.0,2440.0
2020-11-04 03:11:37+00:00,0.585,0.398,139287,94763,6904.0,3166.0
2020-11-04 03:13:08+00:00,0.582,0.401,141759,97672,2472.0,2909.0
2020-11-04 03:13:15+00:00,0.579,0.404,149526,104332,7767.0,6660.0
2020-11-04 03:14:53+00:00,0.579,0.404,149843,104554,317.0,222.0
2020-11-04 03:18:54+00:00,0.578,0.404,150909,105480,1066.0,926.0
2020-11-04 03:19:35+00:00,0.577,0.406,152625,107393,1716.0,1913.0
2020-11-04 03:22:10+00:00,0.578,0.404,155890,108961,3265.0,1568.0
2020-11-04 03:22:58+00:00,0.577,0.406,158541,111555,2651.0,2594.0
2020-11-04 03:23:11+00:00,0.573,0.41,163393,116913,4852.0,5358.0
2020-11-04 03:23:54+00:00,0.572,0.41,163335,117076,-58.0,163.0
2020-11-04 03:24:19+00:00,0.572,0.41,163785,117399,450.0,323.0
2020-11-04 03:27:01+00:00,0.573,0.409,165935,118442,2150.0,1043.0
2020-11-04 03:27:27+00:00,0.579,0.402,174462,121129,8527.0,2687.0
2020-11-04 03:32:48+00:00,0.578,0.403,175949,122677,1487.0,1548.0
2020-11-04 03:35:00+00:00,0.579,0.403,176721,123003,772.0,326.0
2020-11-04 03:39:03+00:00,0.579,0.403,177249,123370,528.0,367.0
2020-11-04 03:40:47+00:00,0.579,0.403,177393,123471,144.0,101.0
2020-11-04 03:42:17+00:00,0.579,0.403,177883,123811,490.0,340.0
2020-11-04 03:45:43+00:00,0.58,0.402,179600,124481,1717.0,670.0
2020-11-04 03:45:50+00:00,0.581,0.402,182261,126109,2661.0,1628.0
2020-11-04 03:50:25+00:00,0.581,0.402,182270,126115,9.0,6.0
2020-11-04 03:54:44+00:00,0.581,0.401,182711,126105,441.0,-10.0
2020-11-04 04:01:19+00:00,0.58,0.402,184244,127700,1533.0,1595.0
2020-11-04 04:01:45+00:00,0.58,0.402,184247,127703,3.0,3.0
2020-11-04 04:03:35+00:00,0.58,0.402,186587,129324,2340.0,1621.0
2020-11-04 04:03:57+00:00,0.58,0.402,187237,129774,650.0,450.0
2020-11-04 04:05:19+00:00,0.58,0.402,187530,129978,293.0,204.0
2020-11-04 04:06:26+00:00,0.579,0.402,192471,133633,4941.0,3655.0
2020-11-04 04:07:19+00:00,0.579,0.402,192761,133834,290.0,201.0
2020-11-04 04:07:48+00:00,0.579,0.402,193022,134015,261.0,181.0
2020-11-04 04:08:32+00:00,0.58,0.402,196027,135867,3005.0,1852.0
2020-11-04 04:08:41+00:00,0.579,0.402,195894,136009,-133.0,142.0
2020-11-04 04:10:57+00:00,0.58,0.401,197477,136532,1583.0,523.0
2020-11-04 04:12:06+00:00,0.58,0.402,197691,137020,214.0,488.0
2020-11-04 04:12:41+00:00,0.579,0.402,197755,137301,64.0,281.0
2020-11-04 04:13:13+00:00,0.579,0.402,197787,137324,32.0,23.0
2020-11-04 04:13:57+00:00,0.579,0.402,200278,139053,2491.0,1729.0
2020-11-04 04:16:53+00:00,0.579,0.402,201350,139797,1072.0,744.0
2020-11-04 04:17:17+00:00,0.579,0.402,201974,140231,624.0,434.0
2020-11-04 04:18:06+00:00,0.577,0.405,203069,142535,1095.0,2304.0
2020-11-04 04:21:33+00:00,0.576,0.405,203602,143157,533.0,622.0
2020-11-04 04:22:30+00:00,0.576,0.405,203758,143267,156.0,110.0
2020-11-04 04:24:33+00:00,0.576,0.405,204977,144125,1219.0,858.0
2020-11-04 04:26:01+00:00,0.573,0.407,212160,150696,7183.0,6571.0
2020-11-04 04:29:19+00:00,0.574,0.407,213484,151373,1324.0,677.0
2020-11-04 04:30:59+00:00,0.574,0.407,213892,151662,408.0,289.0
2020-11-04 04:31:14+00:00,0.574,0.407,220303,156208,6411.0,4546.0
2020-11-04 04:35:41+00:00,0.574,0.408,220717,156886,414.0,678.0
2020-11-04 04:37:35+00:00,0.574,0.408,221306,157304,589.0,418.0
2020-11-04 04:38:27+00:00,0.574,0.408,223635,158960,2329.0,1656.0
2020-11-04 04:39:46+00:00,0.574,0.408,224066,159266,431.0,306.0
2020-11-04 04:45:47+00:00,0.574,0.408,227445,161668,3379.0,2402.0
2020-11-04 04:46:49+00:00,0.575,0.407,228587,161800,1142.0,132.0
2020-11-04 04:48:21+00:00,0.574,0.408,229997,163482,1410.0,1682.0
2020-11-04 04:50:07+00:00,0.574,0.408,230873,164105,876.0,623.0
2020-11-04 04:52:40+00:00,0.574,0.408,231549,164586,676.0,481.0
2020-11-04 04:56:17+00:00,0.574,0.408,232694,165400,1145.0,814.0
2020-11-04 04:56:26+00:00,0.574,0.408,232702,165405,8.0,5.0
2020-11-04 04:57:55+00:00,0.574,0.408,233884,166245,1182.0,840.0
2020-11-04 04:59:48+00:00,0.572,0.41,235289,168651,1405.0,2406.0
2020-11-04 05:01:04+00:00,0.572,0.41,238267,170786,2978.0,2135.0
2020-11-04 05:04:06+00:00,0.572,0.41,239329,171547,1062.0,761.0
2020-11-04 05:04:48+00:00,0.573,0.41,240703,172231,1374.0,684.0
2020-11-04 05:05:21+00:00,0.573,0.409,241224,172183,521.0,-48.0
2020-11-04 05:10:40+00:00,0.574,0.409,243335,173387,2111.0,1204.0
2020-11-04 05:14:17+00:00,0.571,0.411,252148,181494,8813.0,8107.0
2020-11-04 05:15:22+00:00,0.571,0.411,252668,181868,520.0,374.0
2020-11-04 05:15:48+00:00,0.573,0.408,259114,184500,6446.0,2632.0
2020-11-04 05:22:38+00:00,0.571,0.41,265195,190420,6081.0,5920.0
2020-11-04 05:24:10+00:00,0.57,0.411,267774,193079,2579.0,2659.0
2020-11-04 05:25:04+00:00,0.57,0.411,268384,193519,610.0,440.0
2020-11-04 05:27:05+00:00,0.57,0.411,269033,193987,649.0,468.0
2020-11-04 05:29:50+00:00,0.574,0.407,277031,196431,7998.0,2444.0
2020-11-04 05:31:29+00:00,0.575,0.406,279161,197112,2130.0,681.0
2020-11-04 05:32:34+00:00,0.575,0.406,279518,197364,357.0,252.0
2020-11-04 05:33:04+00:00,0.574,0.407,279632,198275,114.0,911.0
2020-11-04 05:33:59+00:00,0.575,0.406,281660,198876,2028.0,601.0
2020-11-04 05:39:05+00:00,0.573,0.407,280912,199531,-748.0,655.0
2020-11-04 05:44:33+00:00,0.573,0.407,281117,199676,205.0,145.0
2020-11-04 05:45:41+00:00,0.573,0.407,281190,199728,73.0,52.0
2020-11-04 05:51:23+00:00,0.572,0.408,282941,201818,1751.0,2090.0
2020-11-04 05:56:41+00:00,0.572,0.408,284571,202981,1630.0,1163.0
2020-11-04 06:01:58+00:00,0.572,0.408,284870,203194,299.0,213.0
2020-11-04 06:02:07+00:00,0.572,0.408,285416,203583,546.0,389.0
2020-11-04 06:07:21+00:00,0.572,0.408,285459,203614,43.0,31.0
2020-11-04 06:14:25+00:00,0.572,0.408,286088,204062,629.0,448.0
2020-11-04 06:15:32+00:00,0.573,0.407,289104,205349,3016.0,1287.0
2020-11-04 06:18:52+00:00,0.573,0.407,289597,205700,493.0,351.0
2020-11-04 06:21:58+00:00,0.571,0.409,291973,209136,2376.0,3436.0
2020-11-04 06:22:48+00:00,0.571,0.409,292870,209779,897.0,643.0
2020-11-04 06:24:56+00:00,0.574,0.406,298758,211317,5888.0,1538.0
2020-11-04 06:27:06+00:00,0.574,0.406,299295,211696,537.0,379.0
2020-11-04 06:28:24+00:00,0.574,0.406,300278,212392,983.0,696.0
2020-11-04 06:29:37+00:00,0.574,0.405,302805,213652,2527.0,1260.0
2020-11-04 06:31:58+00:00,0.574,0.405,303273,213982,468.0,330.0
2020-11-04 06:33:37+00:00,0.574,0.406,304565,215424,1292.0,1442.0
2020-11-04 06:33:43+00:00,0.574,0.406,305223,215889,658.0,465.0
2020-11-04 06:35:07+00:00,0.574,0.406,305226,215891,3.0,2.0
2020-11-04 06:36:48+00:00,0.573,0.407,307142,218162,1916.0,2271.0
2020-11-04 06:37:16+00:00,0.573,0.407,308286,218975,1144.0,813.0
2020-11-04 06:39:06+00:00,0.574,0.405,312224,220298,3938.0,1323.0
2020-11-04 06:40:31+00:00,0.573,0.406,313371,222039,1147.0,1741.0
2020-11-04 06:42:21+00:00,0.573,0.406,313957,222455,586.0,416.0
2020-11-04 06:45:07+00:00,0.574,0.406,317812,224794,3855.0,2339.0
2020-11-04 06:50:08+00:00,0.573,0.406,319852,226632,2040.0,1838.0
2020-11-04 06:51:58+00:00,0.573,0.407,320503,227652,651.0,1020.0
2020-11-04 06:52:53+00:00,0.573,0.406,321275,227640,772.0,-12.0
2020-11-04 06:57:39+00:00,0.573,0.407,321852,228611,577.0,971.0
2020-11-04 06:58:42+00:00,0.572,0.407,322693,229608,841.0,997.0
2020-11-04 07:09:26+00:00,0.573,0.405,341321,241248,18628.0,11640.0
2020-11-04 07:20:42+00:00,0.573,0.405,341772,241567,451.0,319.0
2020-11-04 07:30:38+00:00,0.573,0.405,342989,242427,1217.0,860.0
2020-11-04 08:03:38+00:00,0.573,0.405,343847,243033,858.0,606.0
2020-11-04 08:38:35+00:00,0.573,0.405,343956,243110,109.0,77.0
2020-11-04 09:04:11+00:00,0.573,0.405,343957,243111,1.0,1.0
2020-11-04 15:07:27+00:00,0.573,0.405,343959,243112,2.0,1.0
2020-11-04 16:29:45+00:00,0.572,0.406,346130,245680,2171.0,2568.0
2020-11-04 16:30:59+00:00,0.572,0.406,346493,245937,363.0,257.0
2020-11-04 16:35:32+00:00,0.572,0.406,347041,246326,548.0,389.0
2020-11-04 17:18:50+00:00,0.572,0.406,347484,246641,443.0,315.0
2020-11-04 17:39:36+00:00,0.572,0.406,348206,247153,722.0,512.0
2020-11-04 17:55:02+00:00,0.572,0.406,349524,248089,1318.0,936.0
2020-11-04 19:06:37+00:00,0.572,0.406,349821,248299,297.0,210.0
2020-11-04 21:25:51+00:00,0.572,0.406,350075,248480,254.0,181.0
2020-11-04 21:38:37+00:00,0.572,0.405,354717,251154,4642.0,2674.0
2020-11-04 21:49:36+00:00,0.572,0.406,356382,252957,1665.0,1803.0
2020-11-04 21:50:58+00:00,0.572,0.406,357863,254008,1481.0,1051.0
2020-11-04 21:54:45+00:00,0.572,0.406,361289,256439,3426.0,2431.0
2020-11-04 21:54:56+00:00,0.571,0.406,361111,256762,-178.0,323.0
2020-11-04 21:58:02+00:00,0.571,0.406,362372,257659,1261.0,897.0
2020-11-04 22:01:13+00:00,0.571,0.406,363369,258367,997.0,708.0
2020-11-04 22:05:26+00:00,0.571,0.406,364774,259366,1405.0,999.0
2020-11-04 22:16:25+00:00,0.571,0.406,366103,260311,1329.0,945.0
2020-11-04 22:20:27+00:00,0.571,0.406,366205,260384,102.0,73.0
2020-11-04 22:23:11+00:00,0.571,0.406,366805,260810,600.0,426.0
2020-11-04 22:27:01+00:00,0.571,0.406,367432,261257,627.0,447.0
2020-11-04 22:28:11+00:00,0.571,0.406,367568,261353,136.0,96.0
2020-11-04 22:31:01+00:00,0.571,0.406,367874,261570,306.0,217.0
2020-11-04 22:35:28+00:00,0.57,0.407,368801,263337,927.0,1767.0
2020-11-04 22:44:20+00:00,0.57,0.407,369896,264119,1095.0,782.0
2020-11-04 22:47:16+00:00,0.57,0.407,370000,264193,104.0,74.0
2020-11-04 22:49:04+00:00,0.57,0.407,370501,264550,501.0,357.0
2020-11-04 22:54:25+00:00,0.57,0.407,370633,264645,132.0,95.0
2020-11-04 22:59:32+00:00,0.57,0.408,371707,266064,1074.0,1419.0
2020-11-04 23:21:37+00:00,0.57,0.408,372233,266440,526.0,376.0
2020-11-04 23:25:41+00:00,0.569,0.408,373175,267584,942.0,1144.0
2020-11-04 23:29:31+00:00,0.569,0.408,373447,267779,272.0,195.0
2020-11-04 23:34:01+00:00,0.569,0.408,374041,268205,594.0,426.0
2020-11-05 00:08:18+00:00,0.569,0.409,374492,269187,451.0,982.0
2020-11-05 00:57:57+00:00,0.569,0.408,374923,268837,431.0,-350.0
2020-11-05 01:07:28+00:00,0.569,0.408,375766,269442,843.0,605.0
2020-11-05 01:12:06+00:00,0.569,0.409,377613,271430,1847.0,1988.0
2020-11-05 01:18:36+00:00,0.568,0.409,381792,274917,4179.0,3487.0
2020-11-05 01:22:07+00:00,0.569,0.409,384830,276618,3038.0,1701.0
2020-11-05 01:25:38+00:00,0.569,0.409,385188,276875,358.0,257.0
2020-11-05 01:30:22+00:00,0.569,0.409,385341,276985,153.0,110.0
2020-11-05 01:39:06+00:00,0.569,0.409,385573,277152,232.0,167.0
2020-11-05 01:42:55+00:00,0.569,0.409,387342,278423,1769.0,1271.0
2020-11-05 01:49:06+00:00,0.567,0.41,394894,285549,7552.0,7126.0
2020-11-05 02:19:16+00:00,0.567,0.41,395109,285705,215.0,156.0
2020-11-05 02:22:14+00:00,0.567,0.41,395385,285904,276.0,199.0
2020-11-05 02:30:09+00:00,0.567,0.41,395385,285904,0.0,0.0
2020-11-05 02:31:38+00:00,0.567,0.41,404773,292693,9388.0,6789.0
2020-11-05 02:43:15+00:00,0.567,0.411,406194,294437,1421.0,1744.0
2020-11-05 02:46:58+00:00,0.567,0.411,407199,295165,1005.0,728.0
2020-11-05 02:54:59+00:00,0.569,0.408,422257,302778,15058.0,7613.0
2020-11-05 03:04:02+00:00,0.568,0.408,423493,304199,1236.0,1421.0
2020-11-05 03:08:18+00:00,0.568,0.408,423602,304277,109.0,78.0
2020-11-05 03:10:26+00:00,0.569,0.408,424815,304612,1213.0,335.0
2020-11-05 03:32:20+00:00,0.568,0.408,424372,304831,-443.0,219.0
2020-11-05 03:42:39+00:00,0.568,0.409,426426,307057,2054.0,2226.0
2020-11-05 03:46:15+00:00,0.568,0.409,427408,307764,982.0,707.0
2020-11-05 03:49:37+00:00,0.568,0.409,427943,308149,535.0,385.0
2020-11-05 03:54:22+00:00,0.568,0.409,428074,308244,131.0,95.0
2020-11-05 03:57:01+00:00,0.566,0.411,436495,316960,8421.0,8716.0
2020-11-05 03:59:53+00:00,0.566,0.411,436519,316978,24.0,18.0
2020-11-05 04:00:24+00:00,0.566,0.411,436769,317159,250.0,181.0
2020-11-05 04:00:40+00:00,0.566,0.411,439850,319396,3081.0,2237.0
2020-11-05 04:03:59+00:00,0.566,0.411,441216,320388,1366.0,992.0
2020-11-05 04:06:47+00:00,0.566,0.411,441527,320614,311.0,226.0
2020-11-05 04:09:25+00:00,0.566,0.411,442144,321062,617.0,448.0
2020-11-05 04:12:15+00:00,0.566,0.411,442838,321566,694.0,504.0
2020-11-05 04:14:49+00:00,0.566,0.411,443579,322104,741.0,538.0
2020-11-05 04:19:31+00:00,0.566,0.411,446265,324055,2686.0,1951.0
2020-11-06 18:25:46+00:00,0.566,0.411,448415,325616,2150.0,1561.0
2020-11-06 20:37:29+00:00,0.566,0.411,448532,325701,117.0,85.0
2020-11-06 21:07:47+00:00,0.566,0.411,448540,325707,8.0,6.0
2020-11-06 21:15:25+00:00,0.566,0.411,448579,325735,39.0,28.0
2020-11-06 23:15:22+00:00,0.566,0.411,448596,325748,17.0,13.0
2020-11-06 23:47:04+00:00,0.566,0.411,448640,325779,44.0,31.0
