timestamp,republican__percent,democrat__percent,republican__count,democrat__count,republican__delta,democrat__delta
2020-11-04 01:22:53+00:00,0.469,0.511,19593,21348,,
2020-11-04 01:24:17+00:00,0.311,0.676,44676,97110,25083.0,75762.0
2020-11-04 01:30:45+00:00,0.391,0.594,114552,174025,69876.0,76915.0
2020-11-04 01:35:37+00:00,0.499,0.486,280867,273549,166315.0,99524.0
2020-11-04 01:40:07+00:00,0.491,0.494,332588,334620,51721.0,61071.0
2020-11-04 01:43:51+00:00,0.493,0.492,346799,346096,14211.0,11476.0
2020-11-04 01:56:46+00:00,0.416,0.571,402595,552600,55796.0,206504.0
2020-11-04 01:59:17+00:00,0.424,0.564,431258,573655,28663.0,21055.0
2020-11-04 01:59:32+00:00,0.396,0.592,470704,703678,39446.0,130023.0
2020-11-04 02:11:32+00:00,0.397,0.591,512302,762646,41598.0,58968.0
2020-11-04 02:15:30+00:00,0.4,0.587,529214,776621,16912.0,13975.0
2020-11-04 02:15:52+00:00,0.4,0.587,529214,776622,0.0,1.0
2020-11-04 02:27:21+00:00,0.4,0.587,529250,776674,36.0,52.0
2020-11-04 02:27:48+00:00,0.394,0.593,591684,890529,62434.0,113855.0
2020-11-04 02:28:26+00:00,0.383,0.604,631771,996317,40087.0,105788.0
2020-11-04 02:30:41+00:00,0.423,0.564,855818,1141090,224047.0,144773.0
2020-11-04 02:32:09+00:00,0.424,0.563,933847,1239991,78029.0,98901.0
2020-11-04 02:34:10+00:00,0.416,0.572,1005045,1381937,71198.0,141946.0
2020-11-04 02:42:47+00:00,0.416,0.572,1005118,1382037,73.0,100.0
2020-11-04 02:43:06+00:00,0.415,0.572,1009972,1392058,4854.0,10021.0
2020-11-04 02:45:28+00:00,0.415,0.572,1009983,1392073,11.0,15.0
2020-11-04 02:51:37+00:00,0.415,0.572,1009983,1392074,0.0,1.0
2020-11-04 02:59:01+00:00,0.414,0.573,1053795,1458513,43812.0,66439.0
2020-11-04 03:00:48+00:00,0.414,0.573,1053813,1458539,18.0,26.0
2020-11-04 03:03:29+00:00,0.413,0.574,1059877,1473049,6064.0,14510.0
2020-11-04 03:17:31+00:00,0.413,0.574,1059991,1473207,114.0,158.0
2020-11-04 03:21:03+00:00,0.413,0.574,1060057,1473300,66.0,93.0
2020-11-04 03:25:44+00:00,0.382,0.605,980489,1552868,-79568.0,79568.0
2020-11-04 03:45:44+00:00,0.382,0.605,980507,1552896,18.0,28.0
2020-11-04 04:14:17+00:00,0.376,0.611,1017301,1653114,36794.0,100218.0
2020-11-04 04:20:22+00:00,0.377,0.61,1024438,1657579,7137.0,4465.0
2020-11-04 04:25:36+00:00,0.378,0.609,1037875,1672132,13437.0,14553.0
2020-11-04 04:26:30+00:00,0.378,0.609,1037892,1672159,17.0,27.0
2020-11-04 04:33:22+00:00,0.379,0.608,1041512,1670816,3620.0,-1343.0
2020-11-04 04:56:14+00:00,0.379,0.608,1041516,1670823,4.0,7.0
2020-11-04 05:27:34+00:00,0.379,0.608,1042011,1671616,495.0,793.0
2020-11-04 07:02:11+00:00,0.378,0.609,1092428,1760023,50417.0,88407.0
2020-11-04 08:36:21+00:00,0.379,0.609,1099442,1766649,7014.0,6626.0
2020-11-04 16:35:48+00:00,0.379,0.609,1099447,1766657,5.0,8.0
2020-11-04 19:01:00+00:00,0.379,0.609,1099448,1766658,1.0,1.0
2020-11-04 20:31:49+00:00,0.379,0.608,1105325,1773186,5877.0,6528.0
2020-11-04 20:50:48+00:00,0.379,0.608,1105700,1773787,375.0,601.0
2020-11-05 00:56:07+00:00,0.38,0.607,1115009,1781079,9309.0,7292.0
2020-11-05 01:07:49+00:00,0.381,0.606,1126551,1791838,11542.0,10759.0
2020-11-05 04:52:43+00:00,0.382,0.606,1132124,1795987,5573.0,4149.0
2020-11-05 19:24:22+00:00,0.384,0.604,1150424,1809521,18300.0,13534.0
2020-11-05 19:42:03+00:00,0.385,0.602,1165763,1822830,15339.0,13309.0
2020-11-05 19:47:42+00:00,0.386,0.601,1175471,1830202,9708.0,7372.0
2020-11-05 19:56:40+00:00,0.388,0.599,1189123,1835786,13652.0,5584.0
2020-11-05 20:10:55+00:00,0.388,0.599,1192410,1840859,3287.0,5073.0
2020-11-05 20:15:37+00:00,0.388,0.599,1199284,1851472,6874.0,10613.0
2020-11-05 20:56:37+00:00,0.388,0.599,1204291,1859203,5007.0,7731.0
2020-11-05 21:15:58+00:00,0.388,0.598,1206072,1858844,1781.0,-359.0
2020-11-05 21:33:19+00:00,0.389,0.598,1215619,1868741,9547.0,9897.0
2020-11-05 21:43:27+00:00,0.389,0.598,1222473,1879277,6854.0,10536.0
2020-11-05 21:48:49+00:00,0.39,0.597,1233130,1887638,10657.0,8361.0
2020-11-05 21:57:36+00:00,0.39,0.597,1234795,1890186,1665.0,2548.0
2020-11-05 22:00:37+00:00,0.391,0.595,1245302,1895025,10507.0,4839.0
2020-11-05 22:39:37+00:00,0.391,0.596,1255772,1914168,10470.0,19143.0
2020-11-06 03:57:41+00:00,0.391,0.596,1268064,1932906,12292.0,18738.0
2020-11-06 04:31:40+00:00,0.391,0.596,1270751,1937001,2687.0,4095.0
2020-11-06 13:50:33+00:00,0.391,0.596,1271649,1938370,898.0,1369.0
2020-11-06 15:45:04+00:00,0.392,0.595,1281802,1945593,10153.0,7223.0
2020-11-06 15:48:18+00:00,0.392,0.594,1282738,1943741,936.0,-1852.0
2020-11-06 16:57:33+00:00,0.393,0.594,1294769,1956979,12031.0,13238.0
2020-11-06 18:23:37+00:00,0.395,0.591,1309560,1959367,14791.0,2388.0
2020-11-06 18:32:00+00:00,0.395,0.591,1309586,1959406,26.0,39.0
2020-11-06 18:40:09+00:00,0.395,0.591,1313746,1965630,4160.0,6224.0
2020-11-06 18:48:00+00:00,0.396,0.591,1320140,1970208,6394.0,4578.0
2020-11-06 18:58:14+00:00,0.396,0.59,1321917,1969522,1777.0,-686.0
2020-11-06 19:04:54+00:00,0.396,0.59,1322026,1969686,109.0,164.0
2020-11-06 19:47:40+00:00,0.396,0.59,1322031,1969692,5.0,6.0
2020-11-06 19:53:17+00:00,0.396,0.59,1322066,1969744,35.0,52.0
2020-11-06 20:00:37+00:00,0.396,0.59,1322926,1971025,860.0,1281.0
2020-11-06 20:09:38+00:00,0.396,0.59,1330299,1982011,7373.0,10986.0
2020-11-06 22:26:09+00:00,0.397,0.59,1337901,1988316,7602.0,6305.0
2020-11-06 22:26:44+00:00,0.397,0.59,1337893,1988304,-8.0,-12.0
2020-11-06 22:29:06+00:00,0.397,0.589,1338464,1985782,571.0,-2522.0
2020-11-06 23:00:35+00:00,0.397,0.589,1346153,1997189,7689.0,11407.0
2020-11-06 23:53:55+00:00,0.398,0.589,1357752,2009336,11599.0,12147.0
2020-11-07 00:32:08+00:00,0.398,0.588,1365760,2017756,8008.0,8420.0
2020-11-07 00:36:05+00:00,0.4,0.586,1382901,2025950,17141.0,8194.0
2020-11-07 00:40:05+00:00,0.4,0.586,1385441,2029671,2540.0,3721.0
2020-11-07 02:57:37+00:00,0.4,0.586,1394858,2043466,9417.0,13795.0
2020-11-07 05:12:49+00:00,0.4,0.586,1397882,2047897,3024.0,4431.0
2020-11-07 13:57:50+00:00,0.401,0.585,1408310,2054518,10428.0,6621.0
2020-11-07 14:07:37+00:00,0.401,0.585,1408394,2054640,84.0,122.0
2020-11-07 15:10:36+00:00,0.402,0.584,1415788,2056767,7394.0,2127.0
2020-11-07 21:16:45+00:00,0.401,0.584,1417572,2064494,1784.0,7727.0
2020-11-07 21:31:38+00:00,0.401,0.585,1425869,2080132,8297.0,15638.0
2020-11-07 23:30:53+00:00,0.401,0.585,1433932,2091896,8063.0,11764.0
2020-11-08 04:29:48+00:00,0.402,0.584,1440541,2092727,6609.0,831.0
2020-11-08 14:20:57+00:00,0.401,0.584,1439867,2096964,-674.0,4237.0
