timestamp,democrat__percent,republican__percent,democrat__count,republican__count,democrat__delta,republican__delta
2020-11-04 01:12:56+00:00,0.472,0.493,8267,8634,,
2020-11-04 01:13:20+00:00,0.364,0.605,40533,67370,32266.0,58736.0
2020-11-04 01:15:56+00:00,0.368,0.601,42595,69563,2062.0,2193.0
2020-11-04 01:16:56+00:00,0.371,0.598,46461,74889,3866.0,5326.0
2020-11-04 01:17:56+00:00,0.37,0.599,50493,81744,4032.0,6855.0
2020-11-04 01:19:57+00:00,0.368,0.601,52581,85873,2088.0,4129.0
2020-11-04 01:20:57+00:00,0.367,0.601,52834,86521,253.0,648.0
2020-11-04 01:21:57+00:00,0.365,0.603,54280,89674,1446.0,3153.0
2020-11-04 01:23:56+00:00,0.369,0.599,57119,92721,2839.0,3047.0
2020-11-04 01:24:58+00:00,0.364,0.604,62436,103603,5317.0,10882.0
2020-11-04 01:25:56+00:00,0.362,0.606,67353,112751,4917.0,9148.0
2020-11-04 01:27:59+00:00,0.358,0.61,68723,117097,1370.0,4346.0
2020-11-04 01:29:05+00:00,0.357,0.611,76159,130345,7436.0,13248.0
2020-11-04 01:29:57+00:00,0.358,0.61,79084,134751,2925.0,4406.0
2020-11-04 01:31:58+00:00,0.44,0.529,144425,173638,65341.0,38887.0
2020-11-04 01:32:58+00:00,0.437,0.532,144988,176507,563.0,2869.0
2020-11-04 01:33:59+00:00,0.434,0.534,146859,180697,1871.0,4190.0
2020-11-04 01:35:01+00:00,0.431,0.538,148640,185542,1781.0,4845.0
2020-11-04 01:36:59+00:00,0.43,0.539,149989,188009,1349.0,2467.0
2020-11-04 01:37:59+00:00,0.427,0.541,150857,191133,868.0,3124.0
2020-11-04 01:38:59+00:00,0.425,0.543,151931,194114,1074.0,2981.0
2020-11-04 01:40:58+00:00,0.448,0.521,183039,212865,31108.0,18751.0
2020-11-04 01:42:00+00:00,0.444,0.524,184605,217867,1566.0,5002.0
2020-11-04 01:43:01+00:00,0.445,0.523,196601,231062,11996.0,13195.0
2020-11-04 01:44:58+00:00,0.443,0.525,198361,235078,1760.0,4016.0
2020-11-04 01:46:03+00:00,0.44,0.528,208079,249695,9718.0,14617.0
2020-11-04 01:47:01+00:00,0.436,0.531,211169,257181,3090.0,7486.0
2020-11-04 01:49:02+00:00,0.43,0.536,212765,265214,1596.0,8033.0
2020-11-04 01:50:00+00:00,0.429,0.538,217805,273145,5040.0,7931.0
2020-11-04 01:51:05+00:00,0.426,0.541,227815,289314,10010.0,16169.0
2020-11-04 01:53:00+00:00,0.422,0.544,231588,298540,3773.0,9226.0
2020-11-04 01:54:00+00:00,0.418,0.548,233815,306533,2227.0,7993.0
2020-11-04 01:55:04+00:00,0.414,0.551,238274,317123,4459.0,10590.0
2020-11-04 01:57:03+00:00,0.41,0.555,242205,327863,3931.0,10740.0
2020-11-04 01:58:01+00:00,0.406,0.558,244269,335719,2064.0,7856.0
2020-11-04 01:58:55+00:00,0.405,0.559,246762,340593,2493.0,4874.0
2020-11-04 01:59:04+00:00,0.4,0.564,249648,352004,2886.0,11411.0
2020-11-04 02:00:01+00:00,0.396,0.567,251726,360425,2078.0,8421.0
2020-11-04 02:02:08+00:00,0.393,0.57,261001,378551,9275.0,18126.0
2020-11-04 02:03:01+00:00,0.39,0.573,262403,385530,1402.0,6979.0
2020-11-04 02:03:22+00:00,0.389,0.574,269964,398354,7561.0,12824.0
2020-11-04 02:04:03+00:00,0.386,0.577,273891,409417,3927.0,11063.0
2020-11-04 02:06:12+00:00,0.383,0.579,278270,420675,4379.0,11258.0
2020-11-04 02:07:02+00:00,0.382,0.581,288569,438897,10299.0,18222.0
2020-11-04 02:08:03+00:00,0.38,0.582,289367,443188,798.0,4291.0
2020-11-04 02:08:20+00:00,0.378,0.584,291663,450611,2296.0,7423.0
2020-11-04 02:10:14+00:00,0.376,0.586,296624,462291,4961.0,11680.0
2020-11-04 02:11:02+00:00,0.374,0.588,299517,470898,2893.0,8607.0
2020-11-04 02:12:02+00:00,0.374,0.588,300006,471667,489.0,769.0
2020-11-04 02:14:17+00:00,0.368,0.593,308320,496830,8314.0,25163.0
2020-11-04 02:15:02+00:00,0.365,0.596,314281,513183,5961.0,16353.0
2020-11-04 02:17:04+00:00,0.362,0.599,316336,523440,2055.0,10257.0
2020-11-04 02:20:14+00:00,0.358,0.602,335741,564570,19405.0,41130.0
2020-11-04 02:23:49+00:00,0.353,0.607,348154,598666,12413.0,34096.0
2020-11-04 02:24:03+00:00,0.352,0.608,348830,602524,676.0,3858.0
2020-11-04 02:24:39+00:00,0.35,0.61,351096,611910,2266.0,9386.0
2020-11-04 02:28:21+00:00,0.348,0.612,357914,629435,6818.0,17525.0
2020-11-04 02:29:08+00:00,0.346,0.613,358212,634636,298.0,5201.0
2020-11-04 02:29:23+00:00,0.346,0.614,359226,637471,1014.0,2835.0
2020-11-04 02:32:46+00:00,0.345,0.614,366975,653110,7749.0,15639.0
2020-11-04 02:34:41+00:00,0.344,0.615,371172,663578,4197.0,10468.0
2020-11-04 02:34:54+00:00,0.34,0.619,378537,689160,7365.0,25582.0
2020-11-04 02:38:34+00:00,0.338,0.62,386373,708731,7836.0,19571.0
2020-11-04 02:39:53+00:00,0.338,0.621,387672,712261,1299.0,3530.0
2020-11-04 02:40:14+00:00,0.337,0.621,388234,715411,562.0,3150.0
2020-11-04 02:40:30+00:00,0.336,0.622,390548,722979,2314.0,7568.0
2020-11-04 02:42:35+00:00,0.336,0.622,391746,725197,1198.0,2218.0
2020-11-04 02:44:27+00:00,0.335,0.623,396546,737456,4800.0,12259.0
2020-11-04 02:44:33+00:00,0.334,0.624,397577,742778,1031.0,5322.0
2020-11-04 02:47:27+00:00,0.334,0.624,400914,749012,3337.0,6234.0
2020-11-04 02:47:34+00:00,0.334,0.624,404623,755942,3709.0,6930.0
2020-11-04 02:48:30+00:00,0.334,0.624,405690,757937,1067.0,1995.0
2020-11-04 02:51:28+00:00,0.334,0.624,408802,763749,3112.0,5812.0
2020-11-04 02:53:00+00:00,0.333,0.625,411275,771913,2473.0,8164.0
2020-11-04 02:57:00+00:00,0.332,0.626,413495,779662,2220.0,7749.0
2020-11-04 02:57:08+00:00,0.332,0.626,417028,786324,3533.0,6662.0
2020-11-04 02:58:35+00:00,0.331,0.627,418580,792899,1552.0,6575.0
2020-11-04 02:59:33+00:00,0.331,0.627,425376,805773,6796.0,12874.0
2020-11-04 03:00:33+00:00,0.33,0.628,425313,809383,-63.0,3610.0
2020-11-04 03:01:56+00:00,0.33,0.628,425564,809862,251.0,479.0
2020-11-04 03:02:48+00:00,0.33,0.628,427554,813648,1990.0,3786.0
2020-11-04 03:04:33+00:00,0.329,0.629,428579,819381,1025.0,5733.0
2020-11-04 03:05:08+00:00,0.329,0.629,428777,819759,198.0,378.0
2020-11-04 03:06:34+00:00,0.329,0.629,432173,826252,3396.0,6493.0
2020-11-04 03:07:22+00:00,0.329,0.629,433967,829682,1794.0,3430.0
2020-11-04 03:09:16+00:00,0.329,0.629,435004,831664,1037.0,1982.0
2020-11-04 03:11:02+00:00,0.329,0.629,435751,833092,747.0,1428.0
2020-11-04 03:11:30+00:00,0.328,0.629,435062,834311,-689.0,1219.0
2020-11-04 03:13:08+00:00,0.328,0.63,436070,837573,1008.0,3262.0
