timestamp,republican__percent,democrat__percent,republican__count,democrat__count,republican__delta,democrat__delta
2020-11-04 04:07:31+00:00,0.404,0.574,11943,16969,,
2020-11-04 04:09:48+00:00,0.183,0.793,77469,335701,65526.0,318732.0
2020-11-04 04:11:37+00:00,0.253,0.722,137411,392137,59942.0,56436.0
2020-11-04 04:13:25+00:00,0.293,0.682,196328,456982,58917.0,64845.0
2020-11-04 04:13:51+00:00,0.296,0.679,199692,458078,3364.0,1096.0
2020-11-04 04:14:58+00:00,0.299,0.676,202855,458629,3163.0,551.0
2020-11-04 04:19:14+00:00,0.3,0.675,203834,458625,979.0,-4.0
2020-11-04 04:20:21+00:00,0.314,0.659,279585,586772,75751.0,128147.0
2020-11-04 04:23:42+00:00,0.312,0.661,293385,621563,13800.0,34791.0
2020-11-04 04:23:51+00:00,0.329,0.644,325762,637662,32377.0,16099.0
2020-11-04 04:23:59+00:00,0.335,0.638,344243,655603,18481.0,17941.0
2020-11-04 04:24:19+00:00,0.342,0.631,413528,762972,69285.0,107369.0
2020-11-04 04:25:23+00:00,0.343,0.63,416463,764933,2935.0,1961.0
2020-11-04 04:29:07+00:00,0.346,0.627,425119,770375,8656.0,5442.0
2020-11-04 04:30:35+00:00,0.385,0.59,732502,1122535,307383.0,352160.0
2020-11-04 04:36:25+00:00,0.385,0.59,732527,1122574,25.0,39.0
2020-11-04 04:37:19+00:00,0.385,0.589,732945,1121311,418.0,-1263.0
2020-11-04 04:37:37+00:00,0.385,0.589,732972,1121352,27.0,41.0
2020-11-04 04:40:07+00:00,0.385,0.588,734119,1121200,1147.0,-152.0
2020-11-04 04:43:33+00:00,0.39,0.583,762465,1139787,28346.0,18587.0
2020-11-04 05:01:34+00:00,0.391,0.583,770162,1148349,7697.0,8562.0
2020-11-04 05:05:30+00:00,0.39,0.583,768938,1149464,-1224.0,1115.0
2020-11-04 05:16:37+00:00,0.391,0.582,772651,1150084,3713.0,620.0
2020-11-04 05:33:19+00:00,0.391,0.582,774090,1152227,1439.0,2143.0
2020-11-04 05:34:36+00:00,0.391,0.582,774108,1152252,18.0,25.0
2020-11-04 05:43:41+00:00,0.389,0.583,778559,1166838,4451.0,14586.0
2020-11-04 05:47:07+00:00,0.39,0.583,780948,1167418,2389.0,580.0
2020-11-04 06:02:17+00:00,0.39,0.583,785199,1173771,4251.0,6353.0
2020-11-04 06:15:50+00:00,0.39,0.582,787093,1174585,1894.0,814.0
2020-11-04 06:28:26+00:00,0.39,0.582,787385,1175020,292.0,435.0
2020-11-04 06:30:53+00:00,0.392,0.581,795515,1179067,8130.0,4047.0
2020-11-04 06:31:54+00:00,0.391,0.581,794182,1180101,-1333.0,1034.0
2020-11-04 06:46:21+00:00,0.391,0.581,794219,1180157,37.0,56.0
2020-11-04 06:51:57+00:00,0.392,0.58,798989,1182178,4770.0,2021.0
2020-11-04 06:59:53+00:00,0.393,0.579,808144,1190624,9155.0,8446.0
2020-11-04 07:00:40+00:00,0.394,0.578,811620,1190650,3476.0,26.0
2020-11-04 07:20:55+00:00,0.393,0.579,814990,1200711,3370.0,10061.0
2020-11-04 07:36:54+00:00,0.393,0.579,815203,1201024,213.0,313.0
2020-11-04 08:20:13+00:00,0.393,0.578,817586,1202455,2383.0,1431.0
2020-11-04 08:20:48+00:00,0.394,0.578,820466,1203628,2880.0,1173.0
2020-11-04 08:21:36+00:00,0.394,0.578,827125,1213396,6659.0,9768.0
2020-11-04 08:45:19+00:00,0.394,0.577,828569,1213411,1444.0,15.0
2020-11-04 08:46:00+00:00,0.397,0.574,842887,1218683,14318.0,5272.0
2020-11-04 09:00:54+00:00,0.398,0.573,847006,1219433,4119.0,750.0
2020-11-04 09:01:52+00:00,0.398,0.573,847143,1219630,137.0,197.0
2020-11-04 09:30:49+00:00,0.396,0.574,851047,1233589,3904.0,13959.0
2020-11-04 10:01:10+00:00,0.397,0.574,854492,1235463,3445.0,1874.0
2020-11-04 10:01:50+00:00,0.397,0.574,854627,1235658,135.0,195.0
2020-11-04 10:30:53+00:00,0.397,0.573,856635,1236403,2008.0,745.0
2020-11-04 10:31:50+00:00,0.397,0.573,856714,1236517,79.0,114.0
2020-11-04 11:15:50+00:00,0.398,0.572,863035,1240342,6321.0,3825.0
2020-11-04 14:45:51+00:00,0.398,0.572,863245,1240643,210.0,301.0
2020-11-04 16:30:53+00:00,0.398,0.572,863268,1240677,23.0,34.0
2020-11-04 16:31:50+00:00,0.398,0.572,863269,1240678,1.0,1.0
2020-11-04 19:46:51+00:00,0.399,0.571,869040,1243664,5771.0,2986.0
2020-11-05 02:01:52+00:00,0.401,0.569,892676,1266665,23636.0,23001.0
2020-11-05 20:01:38+00:00,0.401,0.569,896955,1272737,4279.0,6072.0
2020-11-06 02:00:40+00:00,0.403,0.566,926119,1300703,29164.0,27966.0
2020-11-06 20:00:40+00:00,0.403,0.566,928921,1304639,2802.0,3936.0
2020-11-07 14:00:51+00:00,0.405,0.565,942987,1315526,14066.0,10887.0
2020-11-07 14:02:37+00:00,0.404,0.565,943244,1319141,257.0,3615.0
