timestamp,republican__percent,democrat__percent,republican__count,democrat__count,republican__delta,democrat__delta
2020-11-04 00:19:27+00:00,0.429,0.571,33,44,,
2020-11-04 00:42:45+00:00,0.364,0.636,4,7,-29.0,-37.0
2020-11-04 01:03:44+00:00,0.188,0.799,12133,51563,12129.0,51556.0
2020-11-04 01:14:19+00:00,0.216,0.772,18652,66665,6519.0,15102.0
2020-11-04 01:14:26+00:00,0.225,0.764,27059,91879,8407.0,25214.0
2020-11-04 01:15:31+00:00,0.16,0.831,31277,162445,4218.0,70566.0
2020-11-04 01:15:55+00:00,0.163,0.828,34445,174970,3168.0,12525.0
2020-11-04 01:17:19+00:00,0.169,0.822,37039,180154,2594.0,5184.0
2020-11-04 01:24:10+00:00,0.169,0.821,37055,180011,16.0,-143.0
2020-11-04 01:26:57+00:00,0.151,0.841,45597,253956,8542.0,73945.0
2020-11-04 01:29:03+00:00,0.155,0.836,47567,256553,1970.0,2597.0
2020-11-04 01:31:11+00:00,0.407,0.587,177822,256465,130255.0,-88.0
2020-11-04 01:32:56+00:00,0.39,0.604,185752,287677,7930.0,31212.0
2020-11-04 01:35:04+00:00,0.385,0.608,193665,305840,7913.0,18163.0
2020-11-04 01:36:16+00:00,0.361,0.632,201407,352602,7742.0,46762.0
2020-11-04 01:36:55+00:00,0.361,0.632,201955,353560,548.0,958.0
2020-11-04 01:37:50+00:00,0.363,0.631,205022,356389,3067.0,2829.0
2020-11-04 01:38:49+00:00,0.337,0.656,228736,445254,23714.0,88865.0
2020-11-04 01:40:56+00:00,0.337,0.655,231859,450647,3123.0,5393.0
2020-11-04 01:44:56+00:00,0.342,0.651,237400,451892,5541.0,1245.0
2020-11-04 01:46:00+00:00,0.342,0.651,237441,451970,41.0,78.0
2020-11-04 01:47:01+00:00,0.343,0.65,238600,452158,1159.0,188.0
2020-11-04 01:48:56+00:00,0.343,0.65,238748,452438,148.0,280.0
2020-11-04 01:49:47+00:00,0.343,0.649,240479,455018,1731.0,2580.0
2020-11-04 01:50:58+00:00,0.351,0.641,251090,458544,10611.0,3526.0
2020-11-04 01:51:36+00:00,0.308,0.685,294190,654285,43100.0,195741.0
2020-11-04 01:52:56+00:00,0.31,0.683,297430,655306,3240.0,1021.0
2020-11-04 01:54:55+00:00,0.311,0.681,299800,656475,2370.0,1169.0
2020-11-04 01:57:01+00:00,0.311,0.681,303861,665368,4061.0,8893.0
2020-11-04 01:58:08+00:00,0.313,0.68,306812,666556,2951.0,1188.0
2020-11-04 01:59:15+00:00,0.323,0.669,329739,682958,22927.0,16402.0
2020-11-04 01:59:44+00:00,0.323,0.669,329757,682995,18.0,37.0
2020-11-04 01:59:54+00:00,0.324,0.668,332354,685223,2597.0,2228.0
2020-11-04 02:00:34+00:00,0.324,0.668,332363,685242,9.0,19.0
