timestamp,republican__percent,democrat__percent,republican__count,democrat__count,republican__delta,democrat__delta
2020-11-04 01:14:14+00:00,0.342,0.658,864,1663,,
2020-11-04 01:16:02+00:00,0.356,0.644,2530,4577,1666.0,2914.0
2020-11-04 01:18:01+00:00,0.429,0.571,7886,10497,5356.0,5920.0
2020-11-04 01:22:02+00:00,0.441,0.559,17013,21565,9127.0,11068.0
2020-11-04 01:26:03+00:00,0.447,0.553,30146,37295,13133.0,15730.0
2020-11-04 01:28:01+00:00,0.45,0.55,40086,48993,9940.0,11698.0
2020-11-04 01:32:02+00:00,0.467,0.533,54371,62056,14285.0,13063.0
2020-11-04 01:33:56+00:00,0.468,0.532,55754,63378,1383.0,1322.0
2020-11-04 01:35:06+00:00,0.471,0.529,67153,75422,11399.0,12044.0
2020-11-04 01:36:01+00:00,0.473,0.527,71510,79673,4357.0,4251.0
2020-11-04 01:40:57+00:00,0.474,0.526,73844,81945,2334.0,2272.0
2020-11-04 01:43:59+00:00,0.474,0.526,75759,84070,1915.0,2125.0
2020-11-04 01:45:58+00:00,0.475,0.525,76996,85100,1237.0,1030.0
2020-11-04 01:52:02+00:00,0.475,0.525,77088,85203,92.0,103.0
2020-11-04 02:01:57+00:00,0.475,0.525,77182,85307,94.0,104.0
2020-11-04 02:22:26+00:00,0.475,0.525,77388,85535,206.0,228.0
2020-11-04 02:33:01+00:00,0.475,0.525,77546,85709,158.0,174.0
2020-11-04 02:33:33+00:00,0.475,0.525,77852,86047,306.0,338.0
2020-11-04 02:34:27+00:00,0.475,0.525,77911,86112,59.0,65.0
2020-11-04 03:11:48+00:00,0.467,0.533,79375,90592,1464.0,4480.0
2020-11-04 03:37:16+00:00,0.467,0.533,80127,91452,752.0,860.0
2020-11-04 03:37:55+00:00,0.461,0.539,85002,99384,4875.0,7932.0
2020-11-04 03:47:58+00:00,0.459,0.541,88674,104516,3672.0,5132.0
2020-11-04 03:55:15+00:00,0.448,0.552,89433,110195,759.0,5679.0
2020-11-04 03:56:52+00:00,0.435,0.565,100145,130073,10712.0,19878.0
2020-11-04 04:10:20+00:00,0.43,0.57,107364,142319,7219.0,12246.0
2020-11-04 04:24:39+00:00,0.429,0.571,108706,144688,1342.0,2369.0
2020-11-04 06:00:04+00:00,0.427,0.573,132940,178396,24234.0,33708.0
2020-11-04 06:08:50+00:00,0.339,0.661,155001,302230,22061.0,123834.0
2020-11-04 06:12:55+00:00,0.339,0.661,156501,305153,1500.0,2923.0
2020-11-04 21:13:02+00:00,0.337,0.663,161637,317997,5136.0,12844.0
2020-11-06 21:48:51+00:00,0.337,0.663,163211,321094,1574.0,3097.0
