timestamp,republican__percent,democrat__percent,republican__count,democrat__count,republican__delta,democrat__delta
2020-11-04 00:13:12+00:00,0.705,0.295,308,129,,
2020-11-04 00:14:44+00:00,0.604,0.396,419,275,111.0,146.0
2020-11-04 00:16:15+00:00,0.713,0.287,1368,551,949.0,276.0
2020-11-04 00:16:31+00:00,0.656,0.344,1424,747,56.0,196.0
2020-11-04 00:18:24+00:00,0.633,0.367,1643,953,219.0,206.0
2020-11-04 00:22:53+00:00,0.664,0.336,2169,1097,526.0,144.0
2020-11-04 00:24:07+00:00,0.672,0.328,2398,1170,229.0,73.0
2020-11-04 00:25:48+00:00,0.704,0.296,3618,1521,1220.0,351.0
2020-11-04 00:26:01+00:00,0.676,0.324,4026,1929,408.0,408.0
2020-11-04 00:27:06+00:00,0.704,0.296,5062,2128,1036.0,199.0
2020-11-04 00:29:06+00:00,0.704,0.296,5590,2350,528.0,222.0
2020-11-04 00:31:28+00:00,0.713,0.287,6081,2448,491.0,98.0
2020-11-04 00:32:07+00:00,0.704,0.296,7069,2972,988.0,524.0
2020-11-04 00:32:39+00:00,0.672,0.327,7651,3723,582.0,751.0
2020-11-04 00:33:53+00:00,0.669,0.33,7792,3844,141.0,121.0
2020-11-04 00:35:17+00:00,0.648,0.351,8648,4684,856.0,840.0
2020-11-04 00:37:55+00:00,0.648,0.352,9053,4918,405.0,234.0
2020-11-04 00:39:05+00:00,0.647,0.351,11689,6342,2636.0,1424.0
2020-11-04 00:40:59+00:00,0.562,0.434,14810,11437,3121.0,5095.0
2020-11-04 00:41:20+00:00,0.562,0.434,14883,11494,73.0,57.0
2020-11-04 00:42:03+00:00,0.563,0.433,15061,11583,178.0,89.0
2020-11-04 00:47:41+00:00,0.559,0.435,18912,14717,3851.0,3134.0
2020-11-04 00:51:56+00:00,0.559,0.436,18998,14818,86.0,101.0
2020-11-04 00:53:56+00:00,0.462,0.528,36632,41866,17634.0,27048.0
2020-11-04 00:57:59+00:00,0.464,0.527,37000,42024,368.0,158.0
2020-11-04 00:58:36+00:00,0.452,0.538,38224,45497,1224.0,3473.0
2020-11-04 00:59:15+00:00,0.45,0.54,39491,47389,1267.0,1892.0
2020-11-04 01:00:15+00:00,0.451,0.54,40463,48448,972.0,1059.0
2020-11-04 01:01:03+00:00,0.441,0.55,42563,53083,2100.0,4635.0
2020-11-04 01:03:35+00:00,0.458,0.532,52248,60689,9685.0,7606.0
2020-11-04 01:06:02+00:00,0.465,0.526,56327,63716,4079.0,3027.0
2020-11-04 01:07:41+00:00,0.467,0.523,57058,63900,731.0,184.0
2020-11-04 01:09:21+00:00,0.468,0.522,60275,67229,3217.0,3329.0
2020-11-04 01:10:16+00:00,0.453,0.537,63060,74754,2785.0,7525.0
2020-11-04 01:13:15+00:00,0.449,0.537,66179,79150,3119.0,4396.0
2020-11-04 01:13:58+00:00,0.46,0.527,77964,89320,11785.0,10170.0
2020-11-04 01:14:21+00:00,0.463,0.524,88871,100579,10907.0,11259.0
2020-11-04 01:16:18+00:00,0.464,0.523,89640,101038,769.0,459.0
2020-11-04 01:18:41+00:00,0.468,0.519,92922,103048,3282.0,2010.0
2020-11-04 01:22:08+00:00,0.47,0.518,94329,103963,1407.0,915.0
2020-11-04 01:22:47+00:00,0.476,0.512,100742,108361,6413.0,4398.0
2020-11-04 01:23:59+00:00,0.479,0.508,104004,110301,3262.0,1940.0
2020-11-04 01:25:54+00:00,0.479,0.509,105418,112020,1414.0,1719.0
2020-11-04 01:29:13+00:00,0.479,0.509,106417,113082,999.0,1062.0
2020-11-04 01:29:47+00:00,0.482,0.505,108646,113831,2229.0,749.0
2020-11-04 01:30:13+00:00,0.478,0.51,110994,118425,2348.0,4594.0
2020-11-04 01:31:46+00:00,0.482,0.505,113871,119305,2877.0,880.0
2020-11-04 01:31:46+00:00,0.482,0.505,113871,119305,0.0,0.0
2020-11-04 01:33:23+00:00,0.482,0.506,114290,119981,419.0,676.0
2020-11-04 01:42:21+00:00,0.475,0.513,118745,128244,4455.0,8263.0
2020-11-04 01:44:31+00:00,0.513,0.474,193127,178444,74382.0,50200.0
2020-11-04 01:44:55+00:00,0.518,0.469,198182,179435,5055.0,991.0
2020-11-04 01:47:57+00:00,0.52,0.467,202535,181892,4353.0,2457.0
2020-11-04 01:49:58+00:00,0.521,0.466,203371,181902,836.0,10.0
2020-11-04 01:52:03+00:00,0.517,0.471,202403,184394,-968.0,2492.0
2020-11-04 01:57:01+00:00,0.525,0.462,228371,200967,25968.0,16573.0
2020-11-04 01:57:44+00:00,0.528,0.459,232443,202067,4072.0,1100.0
2020-11-04 01:58:39+00:00,0.528,0.46,235450,205127,3007.0,3060.0
2020-11-04 02:02:08+00:00,0.541,0.446,278946,229963,43496.0,24836.0
2020-11-04 02:03:55+00:00,0.545,0.443,285747,232268,6801.0,2305.0
2020-11-04 02:08:03+00:00,0.545,0.442,290799,235841,5052.0,3573.0
2020-11-04 02:10:05+00:00,0.554,0.433,309667,242032,18868.0,6191.0
2020-11-04 02:12:42+00:00,0.55,0.437,328524,261027,18857.0,18995.0
2020-11-04 02:12:51+00:00,0.552,0.435,333982,263192,5458.0,2165.0
2020-11-04 02:13:04+00:00,0.552,0.435,334969,263970,987.0,778.0
2020-11-04 02:13:20+00:00,0.556,0.431,343169,266018,8200.0,2048.0
2020-11-04 02:16:24+00:00,0.556,0.431,344711,267213,1542.0,1195.0
2020-11-04 02:16:50+00:00,0.558,0.43,350168,269843,5457.0,2630.0
2020-11-04 02:22:26+00:00,0.563,0.424,376839,283801,26671.0,13958.0
2020-11-04 02:24:20+00:00,0.563,0.424,388550,292620,11711.0,8819.0
2020-11-04 02:25:29+00:00,0.563,0.424,400589,301687,12039.0,9067.0
2020-11-04 02:26:59+00:00,0.564,0.423,413941,310456,13352.0,8769.0
2020-11-04 02:31:07+00:00,0.562,0.425,436383,330005,22442.0,19549.0
2020-11-04 02:32:15+00:00,0.562,0.425,437260,330668,877.0,663.0
2020-11-04 02:34:42+00:00,0.562,0.425,442472,334609,5212.0,3941.0
2020-11-04 02:37:15+00:00,0.555,0.432,454106,353466,11634.0,18857.0
