timestamp,republican__percent,democrat__percent,republican__count,democrat__count,republican__delta,democrat__delta
2020-11-04 00:13:37+00:00,0.688,0.312,298,135,,
2020-11-04 00:15:05+00:00,0.606,0.394,498,324,200.0,189.0
2020-11-04 00:16:50+00:00,0.664,0.336,1543,781,1045.0,457.0
2020-11-04 00:18:44+00:00,0.635,0.365,1744,1002,201.0,221.0
2020-11-04 00:23:18+00:00,0.664,0.336,2272,1150,528.0,148.0
2020-11-04 00:24:33+00:00,0.672,0.328,2508,1224,236.0,74.0
2020-11-04 00:26:01+00:00,0.697,0.303,3675,1597,1167.0,373.0
2020-11-04 00:26:17+00:00,0.669,0.331,4078,2017,403.0,420.0
2020-11-04 00:27:21+00:00,0.695,0.305,5079,2229,1001.0,212.0
2020-11-04 00:29:22+00:00,0.693,0.307,5580,2472,501.0,243.0
2020-11-04 00:31:44+00:00,0.702,0.298,6061,2573,481.0,101.0
2020-11-04 00:32:27+00:00,0.693,0.307,7031,3115,970.0,542.0
2020-11-04 00:33:10+00:00,0.661,0.338,7595,3884,564.0,769.0
2020-11-04 00:34:12+00:00,0.658,0.341,7734,4008,139.0,124.0
2020-11-04 00:34:57+00:00,0.566,0.434,7750,5943,16.0,1935.0
2020-11-04 00:35:17+00:00,0.575,0.424,8312,6129,562.0,186.0
2020-11-04 00:35:49+00:00,0.566,0.433,8603,6582,291.0,453.0
2020-11-04 00:39:35+00:00,0.569,0.428,10808,8130,2205.0,1548.0
2020-11-04 00:39:57+00:00,0.581,0.416,11565,8280,757.0,150.0
2020-11-04 00:40:56+00:00,0.516,0.479,14552,13509,2987.0,5229.0
2020-11-04 00:42:33+00:00,0.517,0.479,14776,13690,224.0,181.0
2020-11-04 00:48:27+00:00,0.521,0.473,18581,16869,3805.0,3179.0
2020-11-04 00:52:23+00:00,0.521,0.473,18661,16942,80.0,73.0
2020-11-04 00:53:56+00:00,0.456,0.538,37000,43653,18339.0,26711.0
2020-11-04 00:58:31+00:00,0.456,0.537,37204,43813,204.0,160.0
2020-11-04 00:59:15+00:00,0.445,0.548,38451,47351,1247.0,3538.0
