timestamp,republican__percent,democrat__percent,republican__count,democrat__count,republican__delta,democrat__delta
2020-11-04 01:06:57+00:00,0.724,0.264,40977,14942,,
2020-11-04 01:07:57+00:00,0.73,0.258,55631,19661,14654.0,4719.0
2020-11-04 01:09:05+00:00,0.734,0.255,74591,25914,18960.0,6253.0
2020-11-04 01:10:00+00:00,0.737,0.252,91804,31390,17213.0,5476.0
2020-11-04 01:10:57+00:00,0.739,0.25,96349,32594,4545.0,1204.0
2020-11-04 01:12:05+00:00,0.743,0.246,104549,34615,8200.0,2021.0
2020-11-04 01:12:57+00:00,0.744,0.246,111409,36837,6860.0,2222.0
2020-11-04 01:13:58+00:00,0.751,0.237,139938,44161,28529.0,7324.0
2020-11-04 01:14:57+00:00,0.752,0.237,146960,46316,7022.0,2155.0
2020-11-04 01:15:38+00:00,0.747,0.241,158332,51082,11372.0,4766.0
2020-11-04 01:15:59+00:00,0.723,0.266,183099,67364,24767.0,16282.0
2020-11-04 01:16:56+00:00,0.722,0.266,183161,67480,62.0,116.0
2020-11-04 01:18:58+00:00,0.721,0.267,211383,78279,28222.0,10799.0
2020-11-04 01:19:57+00:00,0.721,0.267,234870,86977,23487.0,8698.0
2020-11-04 01:20:59+00:00,0.724,0.264,255677,93230,20807.0,6253.0
2020-11-04 01:21:41+00:00,0.724,0.264,255714,93244,37.0,14.0
2020-11-04 01:22:55+00:00,0.727,0.262,261578,94269,5864.0,1025.0
2020-11-04 01:23:58+00:00,0.725,0.263,290802,105491,29224.0,11222.0
2020-11-04 01:24:56+00:00,0.726,0.262,295165,106520,4363.0,1029.0
2020-11-04 01:25:57+00:00,0.727,0.261,305805,109787,10640.0,3267.0
2020-11-04 01:26:57+00:00,0.727,0.26,311551,111421,5746.0,1634.0
2020-11-04 01:27:02+00:00,0.727,0.26,311565,111426,14.0,5.0
2020-11-04 01:27:57+00:00,0.727,0.261,346774,124495,35209.0,13069.0
2020-11-04 01:28:55+00:00,0.727,0.26,347217,124177,443.0,-318.0
2020-11-04 01:29:23+00:00,0.727,0.26,347747,124366,530.0,189.0
2020-11-04 01:29:58+00:00,0.727,0.26,347962,124443,215.0,77.0
2020-11-04 01:30:56+00:00,0.726,0.261,355222,127704,7260.0,3261.0
2020-11-04 01:32:00+00:00,0.728,0.259,398379,141731,43157.0,14027.0
2020-11-04 01:33:19+00:00,0.684,0.303,449826,199265,51447.0,57534.0
2020-11-04 01:33:56+00:00,0.684,0.303,450474,199552,648.0,287.0
2020-11-04 01:34:11+00:00,0.684,0.303,469909,208162,19435.0,8610.0
2020-11-04 01:34:56+00:00,0.684,0.303,470305,208337,396.0,175.0
2020-11-04 01:36:01+00:00,0.684,0.303,470791,208552,486.0,215.0
2020-11-04 01:36:57+00:00,0.685,0.302,474402,209152,3611.0,600.0
2020-11-04 01:37:58+00:00,0.685,0.302,475192,209501,790.0,349.0
2020-11-04 01:38:58+00:00,0.689,0.298,500669,216545,25477.0,7044.0
2020-11-04 01:40:55+00:00,0.691,0.295,518166,221214,17497.0,4669.0
2020-11-04 01:41:56+00:00,0.692,0.295,519699,221548,1533.0,334.0
2020-11-04 01:49:58+00:00,0.681,0.305,655307,293493,135608.0,71945.0
2020-11-04 01:50:18+00:00,0.681,0.305,655324,293500,17.0,7.0
2020-11-04 01:50:58+00:00,0.681,0.305,657087,294290,1763.0,790.0
2020-11-04 01:52:04+00:00,0.686,0.3,701839,306927,44752.0,12637.0
2020-11-04 01:52:58+00:00,0.687,0.299,710708,309318,8869.0,2391.0
2020-11-04 01:54:03+00:00,0.612,0.372,798547,485391,87839.0,176073.0
2020-11-04 01:54:58+00:00,0.615,0.369,814026,488416,15479.0,3025.0
2020-11-04 01:55:09+00:00,0.615,0.369,814037,488422,11.0,6.0
2020-11-04 01:55:56+00:00,0.616,0.368,819031,489291,4994.0,869.0
2020-11-04 01:56:24+00:00,0.616,0.367,819693,488356,662.0,-935.0
2020-11-04 01:57:01+00:00,0.617,0.367,824113,490194,4420.0,1838.0
2020-11-04 01:57:10+00:00,0.617,0.367,824150,490216,37.0,22.0
2020-11-04 01:57:57+00:00,0.617,0.366,826457,490248,2307.0,32.0
2020-11-04 02:10:47+00:00,0.619,0.364,1020826,600292,194369.0,110044.0
2020-11-04 02:13:20+00:00,0.623,0.36,1055694,610032,34868.0,9740.0
2020-11-04 02:13:48+00:00,0.623,0.36,1055708,610040,14.0,8.0
2020-11-04 02:19:16+00:00,0.622,0.36,1100827,637135,45119.0,27095.0
2020-11-04 02:19:55+00:00,0.623,0.36,1107804,640144,6977.0,3009.0
2020-11-04 02:22:04+00:00,0.624,0.358,1119884,642498,12080.0,2354.0
2020-11-04 02:22:26+00:00,0.624,0.358,1121122,643208,1238.0,710.0
2020-11-04 02:22:45+00:00,0.624,0.358,1121347,643337,225.0,129.0
2020-11-04 02:28:17+00:00,0.629,0.354,1181858,665147,60511.0,21810.0
2020-11-04 02:29:53+00:00,0.63,0.352,1196482,668510,14624.0,3363.0
2020-11-04 02:30:53+00:00,0.591,0.391,1299918,860013,103436.0,191503.0
