timestamp,democrat__percent,republican__percent,democrat__count,republican__count,democrat__delta,republican__delta
2020-11-04 01:06:58+00:00,0.249,0.73,17357,50885,,
2020-11-04 01:07:57+00:00,0.252,0.727,22483,64863,5126.0,13978.0
2020-11-04 01:08:58+00:00,0.246,0.732,24444,72735,1961.0,7872.0
2020-11-04 01:10:57+00:00,0.244,0.735,25591,77087,1147.0,4352.0
2020-11-04 01:12:05+00:00,0.239,0.739,30702,94931,5111.0,17844.0
2020-11-04 01:12:36+00:00,0.236,0.742,35504,111628,4802.0,16697.0
2020-11-04 01:12:57+00:00,0.235,0.743,37329,118023,1825.0,6395.0
2020-11-04 01:13:58+00:00,0.227,0.751,44096,145886,6767.0,27863.0
2020-11-04 01:14:57+00:00,0.226,0.752,45797,152387,1701.0,6501.0
2020-11-04 01:15:59+00:00,0.25,0.729,60606,176728,14809.0,24341.0
2020-11-04 01:16:56+00:00,0.25,0.728,60709,176784,103.0,56.0
2020-11-04 01:18:59+00:00,0.251,0.727,70462,204088,9753.0,27304.0
2020-11-04 01:19:57+00:00,0.25,0.727,78001,226828,7539.0,22740.0
2020-11-04 01:20:59+00:00,0.247,0.731,83443,246951,5442.0,20123.0
2020-11-04 01:22:55+00:00,0.244,0.733,83922,252110,479.0,5159.0
2020-11-04 01:23:58+00:00,0.246,0.731,94487,280772,10565.0,28662.0
2020-11-04 01:24:56+00:00,0.245,0.732,95412,285067,925.0,4295.0
2020-11-04 01:25:58+00:00,0.243,0.733,97950,295462,2538.0,10395.0
2020-11-04 01:26:57+00:00,0.243,0.734,99792,301428,1842.0,5966.0
2020-11-04 01:27:10+00:00,0.252,0.726,109319,314942,9527.0,13514.0
2020-11-04 01:27:57+00:00,0.25,0.727,120178,349478,10859.0,34536.0
2020-11-04 01:28:56+00:00,0.25,0.727,120323,349900,145.0,422.0
2020-11-04 01:29:58+00:00,0.25,0.727,120391,350098,68.0,198.0
2020-11-04 01:30:28+00:00,0.25,0.727,120567,350610,176.0,512.0
2020-11-04 01:30:56+00:00,0.251,0.727,123611,358028,3044.0,7418.0
2020-11-04 01:32:01+00:00,0.248,0.73,136153,400773,12542.0,42745.0
2020-11-04 01:33:19+00:00,0.287,0.692,187235,451452,51082.0,50679.0
2020-11-04 01:33:56+00:00,0.288,0.691,189682,455105,2447.0,3653.0
2020-11-04 01:34:56+00:00,0.288,0.691,189838,455480,156.0,375.0
2020-11-04 01:35:27+00:00,0.289,0.69,198598,474160,8760.0,18680.0
2020-11-04 01:36:01+00:00,0.289,0.691,198795,475320,197.0,1160.0
2020-11-04 01:36:57+00:00,0.288,0.691,199239,478035,444.0,2715.0
2020-11-04 01:37:59+00:00,0.288,0.691,199557,478798,318.0,763.0
2020-11-04 01:38:58+00:00,0.285,0.694,206388,502574,6831.0,23776.0
